day,hour,y_hat,y
2008-09-30,0.0,14291.287,14260.0
2008-09-30,1.0,13429.923,13410.0
2008-09-30,2.0,12959.935,12818.0
2008-09-30,3.0,12666.372,12543.0
2008-09-30,4.0,12567.834,12348.0
2008-09-30,5.0,12748.309,12480.0
2008-09-30,6.0,13400.266,13164.0
2008-09-30,7.0,14706.92,14734.0
2008-09-30,8.0,15436.252,15478.0
2008-09-30,9.0,15745.417,15541.0
2008-09-30,10.0,15944.093,15803.0
2008-09-30,11.0,16175.697,16067.0
2008-09-30,12.0,16214.14,16228.0
2008-09-30,13.0,16169.115,16332.0
2008-09-30,14.0,16240.899,16417.0
2008-09-30,15.0,16082.871,16409.0
2008-09-30,16.0,15987.828,16251.0
2008-09-30,17.0,16168.252,16219.0
2008-09-30,18.0,16254.923,16072.0
2008-09-30,19.0,16367.454,15971.0
2008-09-30,20.0,16364.759,16509.0
2008-09-30,21.0,16415.947,16573.0
2008-09-30,22.0,16245.557,15772.0
2008-09-30,23.0,15232.752,14800.0
2008-10-01,0.0,13888.402,13659.0
2008-10-01,1.0,12983.258,12782.0
2008-10-01,2.0,12534.278,12384.0
2008-10-01,3.0,12309.773,11883.0
2008-10-01,4.0,12126.267,11823.0
2008-10-01,5.0,12262.483,12033.0
2008-10-01,6.0,12878.221,12733.0
2008-10-01,7.0,13901.006,14358.0
2008-10-01,8.0,14699.491,15137.0
2008-10-01,9.0,14967.138,15210.0
2008-10-01,10.0,15263.118,15360.0
2008-10-01,11.0,15341.96,15574.0
2008-10-01,12.0,15366.927,15521.0
2008-10-01,13.0,15417.962,15571.0
2008-10-01,14.0,15526.683,15622.0
2008-10-01,15.0,15455.264,15515.0
2008-10-01,16.0,15396.832,15256.0
2008-10-01,17.0,15503.356,15176.0
2008-10-01,18.0,15573.029,15135.0
2008-10-01,19.0,15571.017,15254.0
2008-10-01,20.0,15634.1,16053.0
2008-10-01,21.0,15775.951,16331.0
2008-10-01,22.0,15592.514,15774.0
2008-10-01,23.0,14725.443,14803.0
2008-10-02,0.0,14028.318,13671.0
2008-10-02,1.0,13266.793,12933.0
2008-10-02,2.0,12728.091,12548.0
2008-10-02,3.0,12526.662,12281.0
2008-10-02,4.0,12391.2295,12140.0
2008-10-02,5.0,12523.578,12347.0
2008-10-02,6.0,13146.48,13183.0
2008-10-02,7.0,14317.253,14934.0
2008-10-02,8.0,15078.862,15858.0
2008-10-02,9.0,15318.1875,15799.0
2008-10-02,10.0,15547.385,15885.0
2008-10-02,11.0,15831.686,16000.0
2008-10-02,12.0,15884.937,15982.0
2008-10-02,13.0,15801.562,15845.0
2008-10-02,14.0,15858.381,15776.0
2008-10-02,15.0,15775.493,15600.0
2008-10-02,16.0,15657.768,15489.0
2008-10-02,17.0,15832.984,15388.0
2008-10-02,18.0,15865.555,15329.0
2008-10-02,19.0,16027.624,15355.0
2008-10-02,20.0,16058.96,16113.0
2008-10-02,21.0,16176.029,16481.0
2008-10-02,22.0,16029.75,15906.0
2008-10-02,23.0,15212.229,14969.0
