day,hour,y_hat,y
2008-09-30,0.0,14061.176,14260.0
2008-09-30,1.0,13111.782,13410.0
2008-09-30,2.0,12510.954,12818.0
2008-09-30,3.0,12155.137,12543.0
2008-09-30,4.0,12028.442,12348.0
2008-09-30,5.0,12191.805,12480.0
2008-09-30,6.0,12929.969,13164.0
2008-09-30,7.0,14493.1,14734.0
2008-09-30,8.0,15328.178,15478.0
2008-09-30,9.0,15469.741,15541.0
2008-09-30,10.0,15674.405,15803.0
2008-09-30,11.0,15999.636,16067.0
2008-09-30,12.0,16213.135,16228.0
2008-09-30,13.0,16424.365,16332.0
2008-09-30,14.0,16669.926,16417.0
2008-09-30,15.0,16774.516,16409.0
2008-09-30,16.0,16786.004,16251.0
2008-09-30,17.0,16840.008,16219.0
2008-09-30,18.0,16784.227,16072.0
2008-09-30,19.0,16579.145,15971.0
2008-09-30,20.0,16581.742,16509.0
2008-09-30,21.0,16720.861,16573.0
2008-09-30,22.0,16176.157,15772.0
2008-09-30,23.0,15023.443,14800.0
2008-10-01,0.0,13580.939,13659.0
2008-10-01,1.0,12743.47,12782.0
2008-10-01,2.0,12190.556,12384.0
2008-10-01,3.0,11927.745,11883.0
2008-10-01,4.0,11853.007,11823.0
2008-10-01,5.0,12029.116,12033.0
2008-10-01,6.0,12828.539,12733.0
2008-10-01,7.0,14404.259,14358.0
2008-10-01,8.0,15275.123,15137.0
2008-10-01,9.0,15270.325,15210.0
2008-10-01,10.0,15338.832,15360.0
2008-10-01,11.0,15508.678,15574.0
2008-10-01,12.0,15504.518,15521.0
2008-10-01,13.0,15612.556,15571.0
2008-10-01,14.0,15755.091,15622.0
2008-10-01,15.0,15713.864,15515.0
2008-10-01,16.0,15623.381,15256.0
2008-10-01,17.0,15598.284,15176.0
2008-10-01,18.0,15535.167,15135.0
2008-10-01,19.0,15435.648,15254.0
2008-10-01,20.0,15808.178,16053.0
2008-10-01,21.0,16058.188,16331.0
2008-10-01,22.0,15574.028,15774.0
2008-10-01,23.0,14490.983,14803.0
2008-10-02,0.0,13612.817,13671.0
2008-10-02,1.0,12784.137,12933.0
2008-10-02,2.0,12316.442,12548.0
2008-10-02,3.0,12047.379,12281.0
2008-10-02,4.0,11976.224,12140.0
2008-10-02,5.0,12175.421,12347.0
2008-10-02,6.0,12972.035,13183.0
2008-10-02,7.0,14564.914,14934.0
2008-10-02,8.0,15430.902,15858.0
2008-10-02,9.0,15549.845,15799.0
2008-10-02,10.0,15676.349,15885.0
2008-10-02,11.0,15853.929,16000.0
2008-10-02,12.0,15884.575,15982.0
2008-10-02,13.0,15955.838,15845.0
2008-10-02,14.0,15992.334,15776.0
2008-10-02,15.0,15920.42,15600.0
2008-10-02,16.0,15825.581,15489.0
2008-10-02,17.0,15928.219,15388.0
2008-10-02,18.0,16086.657,15329.0
2008-10-02,19.0,16197.086,15355.0
2008-10-02,20.0,16415.451,16113.0
2008-10-02,21.0,16575.965,16481.0
2008-10-02,22.0,16281.703,15906.0
2008-10-02,23.0,15209.168,14969.0
2008-10-03,0.0,13824.981,14082.0
2008-10-03,1.0,12956.59,13284.0
2008-10-03,2.0,12429.039,12890.0
2008-10-03,3.0,12164.817,12670.0
2008-10-03,4.0,12075.157,12618.0
2008-10-03,5.0,12246.665,12834.0
2008-10-03,6.0,13011.127,13630.0
2008-10-03,7.0,14485.2705,15231.0
2008-10-03,8.0,15332.52,16245.0
2008-10-03,9.0,15521.347,16081.0
2008-10-03,10.0,15675.69,15959.0
2008-10-03,11.0,15868.727,15912.0
2008-10-03,12.0,15893.318,15732.0
2008-10-03,13.0,15926.466,15624.0
2008-10-03,14.0,16000.129,15661.0
2008-10-03,15.0,15923.306,15421.0
2008-10-03,16.0,15803.218,15300.0
2008-10-03,17.0,15766.375,15146.0
2008-10-03,18.0,15662.561,15039.0
2008-10-03,19.0,15518.121,14821.0
2008-10-03,20.0,15537.5,15349.0
2008-10-03,21.0,15711.82,15296.0
2008-10-03,22.0,15472.081,14937.0
2008-10-03,23.0,14544.562,14122.0
2008-10-04,0.0,13249.863,13193.0
2008-10-04,1.0,12432.384,12369.0
2008-10-04,2.0,11888.508,12056.0
2008-10-04,3.0,11604.911,11755.0
2008-10-04,4.0,11450.418,11704.0
2008-10-04,5.0,11458.231,11710.0
2008-10-04,6.0,11741.234,12145.0
2008-10-04,7.0,12400.004,12681.0
2008-10-04,8.0,12930.389,13442.0
2008-10-04,9.0,13428.5625,13957.0
2008-10-04,10.0,13895.965,14329.0
