day,hour,y_hat,y
2008-09-30,0.0,14231.632,14260.0
2008-09-30,1.0,13416.838,13410.0
2008-09-30,2.0,12950.605,12818.0
2008-09-30,3.0,12724.881,12543.0
2008-09-30,4.0,12665.546,12348.0
2008-09-30,5.0,12854.584,12480.0
2008-09-30,6.0,13642.045,13164.0
2008-09-30,7.0,15126.463,14734.0
2008-09-30,8.0,15935.9795,15478.0
2008-09-30,9.0,16025.44,15541.0
2008-09-30,10.0,16055.121,15803.0
2008-09-30,11.0,16110.665,16067.0
2008-09-30,12.0,16031.03,16228.0
2008-09-30,13.0,16018.052,16332.0
2008-09-30,14.0,16050.942,16417.0
2008-09-30,15.0,15893.057,16409.0
2008-09-30,16.0,15723.137,16251.0
2008-09-30,17.0,15809.394,16219.0
2008-09-30,18.0,15960.216,16072.0
2008-09-30,19.0,16079.746,15971.0
2008-09-30,20.0,16156.895,16509.0
2008-09-30,21.0,16299.033,16573.0
2008-09-30,22.0,16106.84,15772.0
2008-09-30,23.0,15146.032,14800.0
2008-10-01,0.0,13723.999,13659.0
2008-10-01,1.0,12896.841,12782.0
2008-10-01,2.0,12395.203,12384.0
2008-10-01,3.0,12156.465,11883.0
2008-10-01,4.0,12023.17,11823.0
2008-10-01,5.0,12228.106,12033.0
2008-10-01,6.0,12858.135,12733.0
2008-10-01,7.0,14097.963,14358.0
2008-10-01,8.0,14858.883,15137.0
2008-10-01,9.0,15076.623,15210.0
2008-10-01,10.0,15240.075,15360.0
2008-10-01,11.0,15395.451,15574.0
2008-10-01,12.0,15397.284,15521.0
2008-10-01,13.0,15444.376,15571.0
2008-10-01,14.0,15483.108,15622.0
2008-10-01,15.0,15385.121,15515.0
2008-10-01,16.0,15286.61,15256.0
2008-10-01,17.0,15330.518,15176.0
2008-10-01,18.0,15410.709,15135.0
2008-10-01,19.0,15418.942,15254.0
2008-10-01,20.0,15498.429,16053.0
2008-10-01,21.0,15640.61,16331.0
2008-10-01,22.0,15455.734,15774.0
2008-10-01,23.0,14589.395,14803.0
2008-10-02,0.0,13735.531,13671.0
2008-10-02,1.0,12986.174,12933.0
2008-10-02,2.0,12527.35,12548.0
2008-10-02,3.0,12314.219,12281.0
2008-10-02,4.0,12312.565,12140.0
2008-10-02,5.0,12545.927,12347.0
2008-10-02,6.0,13330.254,13183.0
2008-10-02,7.0,14690.313,14934.0
2008-10-02,8.0,15530.307,15858.0
2008-10-02,9.0,15731.414,15799.0
2008-10-02,10.0,15851.253,15885.0
2008-10-02,11.0,15968.94,16000.0
2008-10-02,12.0,16005.91,15982.0
2008-10-02,13.0,16019.8,15845.0
2008-10-02,14.0,16061.855,15776.0
2008-10-02,15.0,15994.989,15600.0
2008-10-02,16.0,15855.317,15489.0
2008-10-02,17.0,15859.902,15388.0
2008-10-02,18.0,16051.571,15329.0
2008-10-02,19.0,16096.367,15355.0
2008-10-02,20.0,16189.857,16113.0
2008-10-02,21.0,16315.629,16481.0
2008-10-02,22.0,16119.17,15906.0
2008-10-02,23.0,15218.217,14969.0
2008-10-03,0.0,13943.962,14082.0
2008-10-03,1.0,13122.167,13284.0
2008-10-03,2.0,12668.49,12890.0
2008-10-03,3.0,12460.279,12670.0
2008-10-03,4.0,12389.785,12618.0
2008-10-03,5.0,12669.065,12834.0
2008-10-03,6.0,13396.999,13630.0
2008-10-03,7.0,14927.081,15231.0
2008-10-03,8.0,15746.616,16245.0
2008-10-03,9.0,15892.735,16081.0
2008-10-03,10.0,15919.4,15959.0
2008-10-03,11.0,16024.697,15912.0
2008-10-03,12.0,15927.888,15732.0
2008-10-03,13.0,15844.704,15624.0
2008-10-03,14.0,15827.177,15661.0
2008-10-03,15.0,15687.103,15421.0
2008-10-03,16.0,15520.038,15300.0
2008-10-03,17.0,15564.536,15146.0
2008-10-03,18.0,15610.567,15039.0
2008-10-03,19.0,15596.796,14821.0
2008-10-03,20.0,15701.655,15349.0
2008-10-03,21.0,15813.586,15296.0
2008-10-03,22.0,15708.945,14937.0
2008-10-03,23.0,14857.221,14122.0
2008-10-04,0.0,13367.848,13193.0
2008-10-04,1.0,12602.402,12369.0
2008-10-04,2.0,12066.355,12056.0
2008-10-04,3.0,11795.938,11755.0
2008-10-04,4.0,11639.182,11704.0
2008-10-04,5.0,11693.367,11710.0
2008-10-04,6.0,12028.128,12145.0
2008-10-04,7.0,12556.405,12681.0
2008-10-04,8.0,13063.569,13442.0
2008-10-04,9.0,13648.17,13957.0
2008-10-04,10.0,14059.447,14329.0
2008-10-04,11.0,14204.209,14288.0
2008-10-04,12.0,14185.822,14261.0
2008-10-04,13.0,14111.458,14084.0
2008-10-04,14.0,14046.643,13975.0
2008-10-04,15.0,13915.259,13802.0
2008-10-04,16.0,13853.434,13779.0
2008-10-04,17.0,13906.985,13787.0
2008-10-04,18.0,14138.609,13811.0
2008-10-04,19.0,14078.015,13782.0
2008-10-04,20.0,14237.139,14331.0
2008-10-04,21.0,14328.672,14562.0
2008-10-04,22.0,14211.067,14262.0
2008-10-04,23.0,13580.257,13446.0
2008-10-05,0.0,12358.644,12763.0
2008-10-05,1.0,11674.995,11936.0
2008-10-05,2.0,11246.682,11585.0
2008-10-05,3.0,10976.845,11320.0
2008-10-05,4.0,10900.643,11376.0
2008-10-05,5.0,10923.995,11372.0
2008-10-05,6.0,11084.593,11637.0
2008-10-05,7.0,11279.756,11977.0
2008-10-05,8.0,11694.836,12540.0
2008-10-05,9.0,12463.478,13114.0
2008-10-05,10.0,13005.116,13400.0
2008-10-05,11.0,13149.216,13476.0
2008-10-05,12.0,13238.971,13474.0
2008-10-05,13.0,13443.136,13583.0
2008-10-05,14.0,13434.384,13555.0
2008-10-05,15.0,13359.085,13626.0
2008-10-05,16.0,13413.595,13640.0
2008-10-05,17.0,13641.48,13912.0
2008-10-05,18.0,13869.165,14012.0
2008-10-05,19.0,14075.301,14051.0
2008-10-05,20.0,14257.337,14809.0
2008-10-05,21.0,14583.27,14933.0
2008-10-05,22.0,14513.584,14370.0
2008-10-05,23.0,13831.663,13594.0
2008-10-06,0.0,13110.708,12803.0
2008-10-06,1.0,12426.888,12222.0
2008-10-06,2.0,12068.737,11955.0
2008-10-06,3.0,11888.269,11807.0
2008-10-06,4.0,11855.374,11834.0
2008-10-06,5.0,12096.948,12124.0
2008-10-06,6.0,12891.774,12891.0
2008-10-06,7.0,14240.749,14682.0
2008-10-06,8.0,15098.844,15735.0
2008-10-06,9.0,15310.624,15827.0
2008-10-06,10.0,15484.196,16000.0
2008-10-06,11.0,15663.789,16068.0
2008-10-06,12.0,15744.872,16172.0
2008-10-06,13.0,15784.193,16168.0
2008-10-06,14.0,15785.882,16312.0
2008-10-06,15.0,15690.942,16238.0
2008-10-06,16.0,15651.266,16114.0
2008-10-06,17.0,15643.8125,16055.0
2008-10-06,18.0,15775.214,15980.0
2008-10-06,19.0,15831.158,15860.0
2008-10-06,20.0,15871.87,16626.0
2008-10-06,21.0,16019.7705,16571.0
2008-10-06,22.0,15819.177,15960.0
2008-10-06,23.0,14881.338,14944.0
2008-10-07,0.0,13909.228,13885.0
2008-10-07,1.0,13052.058,12981.0
2008-10-07,2.0,12580.063,12604.0
2008-10-07,3.0,12326.334,12344.0
2008-10-07,4.0,12291.596,12227.0
2008-10-07,5.0,12476.204,12549.0
2008-10-07,6.0,13246.203,13286.0
2008-10-07,7.0,14732.17,14751.0
2008-10-07,8.0,15507.061,15666.0
2008-10-07,9.0,15701.375,15749.0
2008-10-07,10.0,15800.875,15667.0
2008-10-07,11.0,15950.304,15859.0
2008-10-07,12.0,15852.883,15846.0
2008-10-07,13.0,15742.913,15885.0
2008-10-07,14.0,15676.287,16158.0
2008-10-07,15.0,15621.54,16202.0
2008-10-07,16.0,15451.445,16082.0
2008-10-07,17.0,15448.951,16021.0
2008-10-07,18.0,15583.185,15938.0
2008-10-07,19.0,15533.397,15899.0
2008-10-07,20.0,15609.154,16630.0
2008-10-07,21.0,15723.917,16650.0
2008-10-07,22.0,15530.694,16016.0
2008-10-07,23.0,14631.792,14961.0
2008-10-08,0.0,13918.763,13927.0
2008-10-08,1.0,13143.712,12998.0
2008-10-08,2.0,12656.556,12676.0
2008-10-08,3.0,12460.787,12378.0
2008-10-08,4.0,12413.077,12302.0
2008-10-08,5.0,12667.442,12393.0
2008-10-08,6.0,13468.701,13091.0
2008-10-08,7.0,14963.94,14775.0
2008-10-08,8.0,15849.451,15904.0
2008-10-08,9.0,15929.214,16076.0
2008-10-08,10.0,15935.503,16135.0
2008-10-08,11.0,16038.29,16319.0
2008-10-08,12.0,15936.555,16364.0
2008-10-08,13.0,15968.482,16396.0
2008-10-08,14.0,15956.388,16337.0
2008-10-08,15.0,15919.318,16139.0
2008-10-08,16.0,15771.242,15984.0
2008-10-08,17.0,15853.289,15905.0
2008-10-08,18.0,15982.306,15908.0
2008-10-08,19.0,16123.746,16058.0
2008-10-08,20.0,16198.574,16557.0
2008-10-08,21.0,16318.575,16477.0
2008-10-08,22.0,16066.956,15914.0
2008-10-08,23.0,15197.466,14961.0
2008-10-09,0.0,14090.386,13910.0
2008-10-09,1.0,13231.631,13143.0
2008-10-09,2.0,12759.166,12677.0
2008-10-09,3.0,12520.06,12444.0
2008-10-09,4.0,12430.347,12360.0
2008-10-09,5.0,12650.173,12499.0
2008-10-09,6.0,13427.335,13271.0
2008-10-09,7.0,14729.242,14768.0
2008-10-09,8.0,15629.861,15736.0
2008-10-09,9.0,15850.041,15737.0
2008-10-09,10.0,16043.959,15708.0
2008-10-09,11.0,16193.137,16016.0
2008-10-09,12.0,16263.731,16030.0
2008-10-09,13.0,16279.358,16219.0
2008-10-09,14.0,16212.477,16176.0
2008-10-09,15.0,16251.124,16235.0
2008-10-09,16.0,16007.652,16091.0
2008-10-09,17.0,16125.652,15952.0
2008-10-09,18.0,16102.644,15725.0
2008-10-09,19.0,16187.149,15648.0
2008-10-09,20.0,16235.616,16363.0
2008-10-09,21.0,16370.712,16415.0
2008-10-09,22.0,16181.455,15911.0
2008-10-09,23.0,15319.461,14948.0
2008-10-10,0.0,14090.057,13875.0
2008-10-10,1.0,13216.32,13018.0
2008-10-10,2.0,12707.825,12606.0
2008-10-10,3.0,12435.649,12303.0
2008-10-10,4.0,12364.899,12242.0
2008-10-10,5.0,12575.612,12377.0
2008-10-10,6.0,13307.106,13072.0
2008-10-10,7.0,14665.001,14534.0
2008-10-10,8.0,15493.209,15459.0
2008-10-10,9.0,15633.323,15578.0
2008-10-10,10.0,15692.371,15740.0
2008-10-10,11.0,15785.083,15863.0
2008-10-10,12.0,15683.959,15792.0
2008-10-10,13.0,15583.135,15838.0
2008-10-10,14.0,15499.222,15904.0
2008-10-10,15.0,15363.695,15907.0
2008-10-10,16.0,15151.59,15821.0
2008-10-10,17.0,15145.047,15802.0
2008-10-10,18.0,15245.252,15568.0
2008-10-10,19.0,15239.3,15215.0
2008-10-10,20.0,15241.04,15594.0
2008-10-10,21.0,15317.406,15494.0
2008-10-10,22.0,15154.061,15160.0
2008-10-10,23.0,14368.055,14369.0
2008-10-11,0.0,13516.339,13261.0
2008-10-11,1.0,12690.871,12543.0
2008-10-11,2.0,12216.344,12060.0
2008-10-11,3.0,11902.593,11746.0
2008-10-11,4.0,11830.392,11593.0
2008-10-11,5.0,11870.617,11671.0
2008-10-11,6.0,12175.913,11809.0
2008-10-11,7.0,12782.335,12442.0
2008-10-11,8.0,13289.626,13048.0
2008-10-11,9.0,13846.585,13655.0
2008-10-11,10.0,14254.486,14059.0
2008-10-11,11.0,14489.733,14245.0
2008-10-11,12.0,14448.011,14362.0
2008-10-11,13.0,14463.639,14332.0
2008-10-11,14.0,14347.26,14396.0
2008-10-11,15.0,14236.792,14517.0
2008-10-11,16.0,14177.412,14677.0
2008-10-11,17.0,14297.325,14836.0
2008-10-11,18.0,14465.96,14800.0
2008-10-11,19.0,14552.106,14573.0
2008-10-11,20.0,14654.432,15008.0
2008-10-11,21.0,14823.914,14767.0
2008-10-11,22.0,14731.685,14246.0
2008-10-11,23.0,14086.502,13471.0
2008-10-12,0.0,13028.415,12600.0
2008-10-12,1.0,12335.956,11988.0
2008-10-12,2.0,11854.694,11519.0
2008-10-12,3.0,11649.278,11322.0
2008-10-12,4.0,11514.005,11194.0
2008-10-12,5.0,11521.106,11197.0
2008-10-12,6.0,11640.249,11318.0
2008-10-12,7.0,11926.044,11642.0
2008-10-12,8.0,12309.417,12181.0
2008-10-12,9.0,12991.909,12724.0
2008-10-12,10.0,13415.334,13126.0
2008-10-12,11.0,13525.589,13332.0
2008-10-12,12.0,13626.966,13448.0
2008-10-12,13.0,13732.094,13647.0
2008-10-12,14.0,13691.255,13829.0
2008-10-12,15.0,13610.322,13998.0
2008-10-12,16.0,13633.877,14310.0
2008-10-12,17.0,13763.242,14517.0
2008-10-12,18.0,14109.076,14698.0
2008-10-12,19.0,14255.428,14586.0
2008-10-12,20.0,14400.4795,15267.0
2008-10-12,21.0,14642.347,15111.0
2008-10-12,22.0,14563.505,14400.0
2008-10-12,23.0,13946.571,13611.0
2008-10-13,0.0,13266.07,12826.0
2008-10-13,1.0,12726.708,12174.0
2008-10-13,2.0,12431.795,11878.0
2008-10-13,3.0,12332.557,11762.0
2008-10-13,4.0,12318.22,11745.0
2008-10-13,5.0,12638.754,11973.0
2008-10-13,6.0,13560.365,12785.0
2008-10-13,7.0,15020.843,14350.0
2008-10-13,8.0,15917.331,15589.0
2008-10-13,9.0,16034.226,15683.0
2008-10-13,10.0,16109.417,15929.0
2008-10-13,11.0,16173.847,16166.0
2008-10-13,12.0,16028.105,16239.0
2008-10-13,13.0,15936.123,16486.0
2008-10-13,14.0,15821.453,16646.0
2008-10-13,15.0,15763.52,16733.0
2008-10-13,16.0,15644.728,16800.0
2008-10-13,17.0,15673.016,16769.0
2008-10-13,18.0,15900.63,16676.0
2008-10-13,19.0,16041.685,16444.0
2008-10-13,20.0,16164.716,17016.0
2008-10-13,21.0,16350.913,16925.0
2008-10-13,22.0,16171.456,16200.0
2008-10-13,23.0,15204.0205,14966.0
2008-10-14,0.0,14106.451,13959.0
2008-10-14,1.0,13269.737,13046.0
2008-10-14,2.0,12807.813,12512.0
2008-10-14,3.0,12562.436,12290.0
2008-10-14,4.0,12484.566,12147.0
2008-10-14,5.0,12691.889,12351.0
2008-10-14,6.0,13563.733,13296.0
2008-10-14,7.0,14998.028,14896.0
2008-10-14,8.0,15873.355,16023.0
2008-10-14,9.0,16077.654,15998.0
2008-10-14,10.0,16119.073,16004.0
2008-10-14,11.0,16273.392,16245.0
2008-10-14,12.0,16276.5,16437.0
2008-10-14,13.0,16256.261,16580.0
2008-10-14,14.0,16344.491,16768.0
2008-10-14,15.0,16295.219,16730.0
2008-10-14,16.0,16053.793,16665.0
2008-10-14,17.0,16120.607,16694.0
2008-10-14,18.0,16280.069,16535.0
2008-10-14,19.0,16223.892,16472.0
2008-10-14,20.0,16280.363,17082.0
2008-10-14,21.0,16464.578,17026.0
2008-10-14,22.0,16260.102,16255.0
2008-10-14,23.0,15290.972,15196.0
2008-10-15,0.0,14455.315,14019.0
2008-10-15,1.0,13581.987,13083.0
2008-10-15,2.0,13079.499,12529.0
2008-10-15,3.0,12786.561,12291.0
2008-10-15,4.0,12766.908,12135.0
2008-10-15,5.0,12949.712,12287.0
2008-10-15,6.0,13801.861,13065.0
2008-10-15,7.0,15408.025,14869.0
2008-10-15,8.0,16269.103,15716.0
2008-10-15,9.0,16323.372,15643.0
2008-10-15,10.0,16356.299,15792.0
2008-10-15,11.0,16522.475,16163.0
2008-10-15,12.0,16612.576,16290.0
2008-10-15,13.0,16587.197,16629.0
2008-10-15,14.0,16667.72,16973.0
2008-10-15,15.0,16689.771,17090.0
2008-10-15,16.0,16545.738,17132.0
2008-10-15,17.0,16484.498,17168.0
2008-10-15,18.0,16524.895,17011.0
2008-10-15,19.0,16633.402,16991.0
2008-10-15,20.0,16740.215,17519.0
2008-10-15,21.0,16798.166,17376.0
2008-10-15,22.0,16626.43,16605.0
2008-10-15,23.0,15683.889,15490.0
2008-10-16,0.0,14275.61,14378.0
2008-10-16,1.0,13479.288,13393.0
2008-10-16,2.0,13038.617,12840.0
2008-10-16,3.0,12894.751,12571.0
2008-10-16,4.0,12827.65,12355.0
2008-10-16,5.0,13024.544,12405.0
2008-10-16,6.0,13710.098,13150.0
2008-10-16,7.0,15124.707,14679.0
2008-10-16,8.0,15756.923,15789.0
2008-10-16,9.0,15960.387,15706.0
2008-10-16,10.0,15957.845,15720.0
2008-10-16,11.0,15903.823,15930.0
2008-10-16,12.0,15710.768,15883.0
2008-10-16,13.0,15575.252,15930.0
2008-10-16,14.0,15480.862,16048.0
2008-10-16,15.0,15342.732,15834.0
2008-10-16,16.0,15174.145,15656.0
2008-10-16,17.0,15228.71,15518.0
2008-10-16,18.0,15453.886,15390.0
2008-10-16,19.0,15663.818,15652.0
2008-10-16,20.0,15843.529,16319.0
2008-10-16,21.0,16057.753,16178.0
2008-10-16,22.0,15862.63,15544.0
2008-10-16,23.0,15068.892,14681.0
2008-10-17,0.0,13945.672,13598.0
2008-10-17,1.0,13069.799,12922.0
2008-10-17,2.0,12535.938,12465.0
2008-10-17,3.0,12284.715,12171.0
2008-10-17,4.0,12177.657,12036.0
2008-10-17,5.0,12349.941,12158.0
2008-10-17,6.0,13054.883,12909.0
2008-10-17,7.0,14309.361,14411.0
2008-10-17,8.0,15179.122,15421.0
2008-10-17,9.0,15363.782,15574.0
2008-10-17,10.0,15551.795,15624.0
2008-10-17,11.0,15728.019,15765.0
2008-10-17,12.0,15737.825,15708.0
2008-10-17,13.0,15672.548,15664.0
2008-10-17,14.0,15624.744,15595.0
2008-10-17,15.0,15491.018,15342.0
2008-10-17,16.0,15385.05,15064.0
2008-10-17,17.0,15371.359,14994.0
2008-10-17,18.0,15403.108,14869.0
2008-10-17,19.0,15323.539,15033.0
2008-10-17,20.0,15347.658,15595.0
2008-10-17,21.0,15424.809,15424.0
2008-10-17,22.0,15287.621,15143.0
2008-10-17,23.0,14507.445,14468.0
2008-10-18,0.0,13354.431,13549.0
2008-10-18,1.0,12585.344,12789.0
