day,hour,y_hat,y
2008-09-30,0.0,13978.92,14260.0
2008-09-30,1.0,13171.26,13410.0
2008-09-30,2.0,12696.342,12818.0
2008-09-30,3.0,12437.135,12543.0
2008-09-30,4.0,12324.772,12348.0
2008-09-30,5.0,12526.731,12480.0
2008-09-30,6.0,13326.964,13164.0
2008-09-30,7.0,14751.548,14734.0
2008-09-30,8.0,15629.164,15478.0
2008-09-30,9.0,15759.5625,15541.0
2008-09-30,10.0,15784.656,15803.0
2008-09-30,11.0,15894.286,16067.0
2008-09-30,12.0,15816.565,16228.0
2008-09-30,13.0,15747.509,16332.0
2008-09-30,14.0,15868.071,16417.0
2008-09-30,15.0,15816.462,16409.0
2008-09-30,16.0,15617.247,16251.0
2008-09-30,17.0,15589.8125,16219.0
2008-09-30,18.0,15724.714,16072.0
2008-09-30,19.0,15661.471,15971.0
2008-09-30,20.0,15815.28,16509.0
2008-09-30,21.0,16021.083,16573.0
2008-09-30,22.0,15779.78,15772.0
2008-09-30,23.0,14904.666,14800.0
2008-10-01,0.0,13699.156,13659.0
2008-10-01,1.0,12878.22,12782.0
2008-10-01,2.0,12382.361,12384.0
2008-10-01,3.0,12143.861,11883.0
2008-10-01,4.0,12039.912,11823.0
2008-10-01,5.0,12254.364,12033.0
2008-10-01,6.0,12907.822,12733.0
2008-10-01,7.0,14156.089,14358.0
2008-10-01,8.0,14923.558,15137.0
2008-10-01,9.0,15196.569,15210.0
2008-10-01,10.0,15387.175,15360.0
2008-10-01,11.0,15571.908,15574.0
2008-10-01,12.0,15631.276,15521.0
2008-10-01,13.0,15688.654,15571.0
2008-10-01,14.0,15725.595,15622.0
2008-10-01,15.0,15641.718,15515.0
2008-10-01,16.0,15575.213,15256.0
2008-10-01,17.0,15644.717,15176.0
2008-10-01,18.0,15744.177,15135.0
2008-10-01,19.0,15775.475,15254.0
2008-10-01,20.0,15844.455,16053.0
2008-10-01,21.0,15954.654,16331.0
2008-10-01,22.0,15784.749,15774.0
2008-10-01,23.0,14873.601,14803.0
2008-10-02,0.0,13598.821,13671.0
2008-10-02,1.0,12845.022,12933.0
2008-10-02,2.0,12386.404,12548.0
2008-10-02,3.0,12174.868,12281.0
2008-10-02,4.0,12116.203,12140.0
2008-10-02,5.0,12346.661,12347.0
2008-10-02,6.0,13150.166,13183.0
2008-10-02,7.0,14574.209,14934.0
2008-10-02,8.0,15463.623,15858.0
2008-10-02,9.0,15585.751,15799.0
2008-10-02,10.0,15636.53,15885.0
2008-10-02,11.0,15740.943,16000.0
2008-10-02,12.0,15695.092,15982.0
2008-10-02,13.0,15678.48,15845.0
2008-10-02,14.0,15708.734,15776.0
2008-10-02,15.0,15635.962,15600.0
2008-10-02,16.0,15523.129,15489.0
2008-10-02,17.0,15595.347,15388.0
2008-10-02,18.0,15704.621,15329.0
2008-10-02,19.0,15769.64,15355.0
2008-10-02,20.0,15886.452,16113.0
2008-10-02,21.0,16107.745,16481.0
2008-10-02,22.0,15890.615,15906.0
2008-10-02,23.0,14962.231,14969.0
2008-10-03,0.0,13901.288,14082.0
2008-10-03,1.0,13080.6045,13284.0
2008-10-03,2.0,12566.848,12890.0
2008-10-03,3.0,12342.1875,12670.0
2008-10-03,4.0,12225.257,12618.0
2008-10-03,5.0,12420.3955,12834.0
2008-10-03,6.0,13183.477,13630.0
2008-10-03,7.0,14533.592,15231.0
2008-10-03,8.0,15387.737,16245.0
2008-10-03,9.0,15584.024,16081.0
2008-10-03,10.0,15629.46,15959.0
2008-10-03,11.0,15768.28,15912.0
2008-10-03,12.0,15667.947,15732.0
2008-10-03,13.0,15611.943,15624.0
2008-10-03,14.0,15501.569,15661.0
2008-10-03,15.0,15371.999,15421.0
2008-10-03,16.0,15154.865,15300.0
2008-10-03,17.0,15091.528,15146.0
2008-10-03,18.0,15151.284,15039.0
2008-10-03,19.0,15015.588,14821.0
2008-10-03,20.0,15024.001,15349.0
2008-10-03,21.0,15241.495,15296.0
2008-10-03,22.0,15092.433,14937.0
2008-10-03,23.0,14345.121,14122.0
2008-10-04,0.0,13360.076,13193.0
2008-10-04,1.0,12568.81,12369.0
2008-10-04,2.0,12078.701,12056.0
2008-10-04,3.0,11814.675,11755.0
2008-10-04,4.0,11724.298,11704.0
2008-10-04,5.0,11801.112,11710.0
2008-10-04,6.0,12031.815,12145.0
2008-10-04,7.0,12603.4795,12681.0
2008-10-04,8.0,13154.173,13442.0
2008-10-04,9.0,13719.244,13957.0
2008-10-04,10.0,14042.521,14329.0
2008-10-04,11.0,14174.065,14288.0
2008-10-04,12.0,14100.794,14261.0
2008-10-04,13.0,14021.366,14084.0
2008-10-04,14.0,13875.6875,13975.0
2008-10-04,15.0,13740.513,13802.0
2008-10-04,16.0,13724.598,13779.0
2008-10-04,17.0,13795.384,13787.0
2008-10-04,18.0,14006.506,13811.0
2008-10-04,19.0,14136.452,13782.0
2008-10-04,20.0,14246.168,14331.0
2008-10-04,21.0,14407.553,14562.0
2008-10-04,22.0,14211.789,14262.0
2008-10-04,23.0,13592.93,13446.0
2008-10-05,0.0,12746.257,12763.0
2008-10-05,1.0,11998.707,11936.0
2008-10-05,2.0,11567.644,11585.0
2008-10-05,3.0,11311.203,11320.0
2008-10-05,4.0,11238.177,11376.0
2008-10-05,5.0,11239.724,11372.0
2008-10-05,6.0,11336.783,11637.0
2008-10-05,7.0,11576.119,11977.0
2008-10-05,8.0,11957.821,12540.0
2008-10-05,9.0,12703.998,13114.0
2008-10-05,10.0,13260.333,13400.0
2008-10-05,11.0,13452.547,13476.0
2008-10-05,12.0,13532.717,13474.0
2008-10-05,13.0,13644.978,13583.0
2008-10-05,14.0,13671.345,13555.0
2008-10-05,15.0,13569.366,13626.0
2008-10-05,16.0,13623.087,13640.0
2008-10-05,17.0,13814.793,13912.0
2008-10-05,18.0,14154.458,14012.0
