day,hour,y_hat,y
2008-09-30,0.0,13997.1045,14260.0
2008-09-30,1.0,13243.913,13410.0
2008-09-30,2.0,12820.052,12818.0
2008-09-30,3.0,12668.095,12543.0
2008-09-30,4.0,12593.733,12348.0
2008-09-30,5.0,12893.652,12480.0
2008-09-30,6.0,13711.617,13164.0
2008-09-30,7.0,15327.611,14734.0
2008-09-30,8.0,16172.836,15478.0
2008-09-30,9.0,16105.958,15541.0
2008-09-30,10.0,16009.265,15803.0
2008-09-30,11.0,15916.195,16067.0
2008-09-30,12.0,15748.649,16228.0
2008-09-30,13.0,15500.773,16332.0
2008-09-30,14.0,15360.436,16417.0
2008-09-30,15.0,15173.512,16409.0
2008-09-30,16.0,14971.498,16251.0
2008-09-30,17.0,15002.269,16219.0
2008-09-30,18.0,15120.995,16072.0
2008-09-30,19.0,15280.817,15971.0
2008-09-30,20.0,15532.324,16509.0
2008-09-30,21.0,15779.445,16573.0
2008-09-30,22.0,15601.535,15772.0
2008-09-30,23.0,14760.837,14800.0
2008-10-01,0.0,13723.826,13659.0
2008-10-01,1.0,12857.595,12782.0
2008-10-01,2.0,12413.958,12384.0
2008-10-01,3.0,12103.899,11883.0
2008-10-01,4.0,12061.367,11823.0
2008-10-01,5.0,12186.193,12033.0
2008-10-01,6.0,12867.35,12733.0
2008-10-01,7.0,14178.3545,14358.0
2008-10-01,8.0,14882.58,15137.0
2008-10-01,9.0,15136.718,15210.0
2008-10-01,10.0,15247.227,15360.0
2008-10-01,11.0,15298.049,15574.0
2008-10-01,12.0,15258.982,15521.0
2008-10-01,13.0,15243.615,15571.0
2008-10-01,14.0,15294.676,15622.0
2008-10-01,15.0,15191.982,15515.0
2008-10-01,16.0,15018.029,15256.0
2008-10-01,17.0,15124.815,15176.0
2008-10-01,18.0,15197.704,15135.0
2008-10-01,19.0,15351.004,15254.0
2008-10-01,20.0,15452.236,16053.0
2008-10-01,21.0,15590.152,16331.0
2008-10-01,22.0,15397.366,15774.0
2008-10-01,23.0,14544.873,14803.0
2008-10-02,0.0,13781.987,13671.0
2008-10-02,1.0,13057.471,12933.0
2008-10-02,2.0,12640.12,12548.0
2008-10-02,3.0,12460.234,12281.0
2008-10-02,4.0,12420.934,12140.0
2008-10-02,5.0,12696.246,12347.0
2008-10-02,6.0,13444.249,13183.0
2008-10-02,7.0,14776.438,14934.0
2008-10-02,8.0,15581.31,15858.0
2008-10-02,9.0,15771.06,15799.0
2008-10-02,10.0,15830.338,15885.0
2008-10-02,11.0,15795.74,16000.0
2008-10-02,12.0,15710.692,15982.0
2008-10-02,13.0,15585.613,15845.0
2008-10-02,14.0,15520.493,15776.0
2008-10-02,15.0,15416.149,15600.0
2008-10-02,16.0,15258.013,15489.0
2008-10-02,17.0,15360.373,15388.0
2008-10-02,18.0,15569.139,15329.0
2008-10-02,19.0,15712.497,15355.0
2008-10-02,20.0,15853.808,16113.0
2008-10-02,21.0,16037.716,16481.0
2008-10-02,22.0,15819.101,15906.0
