day,hour,y_hat,y
2008-09-30,0.0,14110.395,14260.0
2008-09-30,1.0,13248.285,13410.0
2008-09-30,2.0,12744.202,12818.0
2008-09-30,3.0,12475.207,12543.0
2008-09-30,4.0,12451.196,12348.0
2008-09-30,5.0,12678.734,12480.0
2008-09-30,6.0,13433.385,13164.0
2008-09-30,7.0,14824.269,14734.0
2008-09-30,8.0,15693.572,15478.0
2008-09-30,9.0,15815.206,15541.0
2008-09-30,10.0,15901.16,15803.0
2008-09-30,11.0,16054.525,16067.0
2008-09-30,12.0,16017.58,16228.0
2008-09-30,13.0,15978.578,16332.0
2008-09-30,14.0,15975.959,16417.0
2008-09-30,15.0,15911.501,16409.0
2008-09-30,16.0,15762.684,16251.0
2008-09-30,17.0,15732.357,16219.0
2008-09-30,18.0,15946.891,16072.0
2008-09-30,19.0,15932.007,15971.0
2008-09-30,20.0,16024.972,16509.0
2008-09-30,21.0,16179.188,16573.0
2008-09-30,22.0,15950.281,15772.0
2008-09-30,23.0,15055.765,14800.0
2008-10-01,0.0,13637.81,13659.0
2008-10-01,1.0,12872.541,12782.0
2008-10-01,2.0,12477.64,12384.0
2008-10-01,3.0,12250.964,11883.0
2008-10-01,4.0,12199.965,11823.0
2008-10-01,5.0,12460.595,12033.0
2008-10-01,6.0,13186.309,12733.0
2008-10-01,7.0,14603.078,14358.0
2008-10-01,8.0,15432.978,15137.0
2008-10-01,9.0,15439.1,15210.0
2008-10-01,10.0,15441.544,15360.0
2008-10-01,11.0,15442.971,15574.0
2008-10-01,12.0,15231.125,15521.0
2008-10-01,13.0,15219.586,15571.0
2008-10-01,14.0,15134.474,15622.0
2008-10-01,15.0,14931.039,15515.0
2008-10-01,16.0,14817.288,15256.0
2008-10-01,17.0,14922.844,15176.0
2008-10-01,18.0,15029.27,15135.0
2008-10-01,19.0,15174.595,15254.0
2008-10-01,20.0,15382.64,16053.0
2008-10-01,21.0,15653.312,16331.0
2008-10-01,22.0,15518.63,15774.0
2008-10-01,23.0,14595.869,14803.0
2008-10-02,0.0,13660.685,13671.0
2008-10-02,1.0,12899.036,12933.0
2008-10-02,2.0,12495.201,12548.0
2008-10-02,3.0,12299.103,12281.0
2008-10-02,4.0,12274.878,12140.0
2008-10-02,5.0,12497.266,12347.0
2008-10-02,6.0,13284.25,13183.0
2008-10-02,7.0,14712.684,14934.0
2008-10-02,8.0,15562.226,15858.0
2008-10-02,9.0,15709.17,15799.0
2008-10-02,10.0,15775.365,15885.0
2008-10-02,11.0,15840.498,16000.0
2008-10-02,12.0,15791.394,15982.0
2008-10-02,13.0,15787.726,15845.0
2008-10-02,14.0,15746.472,15776.0
2008-10-02,15.0,15672.415,15600.0
2008-10-02,16.0,15505.248,15489.0
2008-10-02,17.0,15595.771,15388.0
2008-10-02,18.0,15704.796,15329.0
2008-10-02,19.0,15860.412,15355.0
2008-10-02,20.0,15960.306,16113.0
2008-10-02,21.0,16105.051,16481.0
2008-10-02,22.0,15944.266,15906.0
2008-10-02,23.0,15062.109,14969.0
2008-10-03,0.0,13917.129,14082.0
2008-10-03,1.0,13164.372,13284.0
2008-10-03,2.0,12744.23,12890.0
2008-10-03,3.0,12529.008,12670.0
2008-10-03,4.0,12475.563,12618.0
2008-10-03,5.0,12736.736,12834.0
2008-10-03,6.0,13429.6,13630.0
2008-10-03,7.0,14733.057,15231.0
2008-10-03,8.0,15614.945,16245.0
2008-10-03,9.0,15724.773,16081.0
2008-10-03,10.0,15843.134,15959.0
2008-10-03,11.0,15846.251,15912.0
2008-10-03,12.0,15762.998,15732.0
2008-10-03,13.0,15590.316,15624.0
2008-10-03,14.0,15454.027,15661.0
2008-10-03,15.0,15234.035,15421.0
2008-10-03,16.0,15098.646,15300.0
2008-10-03,17.0,15126.986,15146.0
2008-10-03,18.0,15160.423,15039.0
2008-10-03,19.0,15205.291,14821.0
2008-10-03,20.0,15233.343,15349.0
2008-10-03,21.0,15407.31,15296.0
2008-10-03,22.0,15246.609,14937.0
2008-10-03,23.0,14533.784,14122.0
2008-10-04,0.0,13387.728,13193.0
2008-10-04,1.0,12612.732,12369.0
2008-10-04,2.0,12080.146,12056.0
2008-10-04,3.0,11783.796,11755.0
2008-10-04,4.0,11697.366,11704.0
2008-10-04,5.0,11710.303,11710.0
2008-10-04,6.0,11926.306,12145.0
2008-10-04,7.0,12247.705,12681.0
2008-10-04,8.0,12775.284,13442.0
2008-10-04,9.0,13435.82,13957.0
2008-10-04,10.0,13901.053,14329.0
2008-10-04,11.0,14071.95,14288.0
2008-10-04,12.0,14045.689,14261.0
2008-10-04,13.0,13942.729,14084.0
2008-10-04,14.0,13776.55,13975.0
2008-10-04,15.0,13702.822,13802.0
2008-10-04,16.0,13641.432,13779.0
2008-10-04,17.0,13773.222,13787.0
2008-10-04,18.0,13886.411,13811.0
2008-10-04,19.0,13997.343,13782.0
2008-10-04,20.0,14078.233,14331.0
2008-10-04,21.0,14235.985,14562.0
2008-10-04,22.0,14125.8125,14262.0
2008-10-04,23.0,13544.584,13446.0
2008-10-05,0.0,12738.365,12763.0
2008-10-05,1.0,12045.652,11936.0
2008-10-05,2.0,11639.976,11585.0
2008-10-05,3.0,11407.334,11320.0
2008-10-05,4.0,11263.031,11376.0
2008-10-05,5.0,11305.131,11372.0
2008-10-05,6.0,11503.079,11637.0
2008-10-05,7.0,11931.903,11977.0
2008-10-05,8.0,12376.252,12540.0
2008-10-05,9.0,12949.793,13114.0
2008-10-05,10.0,13281.104,13400.0
2008-10-05,11.0,13336.368,13476.0
2008-10-05,12.0,13262.262,13474.0
2008-10-05,13.0,13306.547,13583.0
2008-10-05,14.0,13288.218,13555.0
2008-10-05,15.0,13068.87,13626.0
2008-10-05,16.0,13056.966,13640.0
2008-10-05,17.0,13334.394,13912.0
2008-10-05,18.0,13548.572,14012.0
2008-10-05,19.0,13733.956,14051.0
2008-10-05,20.0,13997.665,14809.0
2008-10-05,21.0,14302.604,14933.0
2008-10-05,22.0,14210.928,14370.0
2008-10-05,23.0,13529.615,13594.0
2008-10-06,0.0,13240.216,12803.0
2008-10-06,1.0,12622.406,12222.0
2008-10-06,2.0,12325.087,11955.0
2008-10-06,3.0,12193.404,11807.0
2008-10-06,4.0,12227.487,11834.0
2008-10-06,5.0,12499.235,12124.0
2008-10-06,6.0,13274.37,12891.0
2008-10-06,7.0,14667.592,14682.0
2008-10-06,8.0,15539.963,15735.0
2008-10-06,9.0,15762.834,15827.0
2008-10-06,10.0,15898.907,16000.0
2008-10-06,11.0,16023.135,16068.0
2008-10-06,12.0,15987.756,16172.0
2008-10-06,13.0,15929.6,16168.0
2008-10-06,14.0,15944.871,16312.0
2008-10-06,15.0,15798.498,16238.0
2008-10-06,16.0,15682.621,16114.0
2008-10-06,17.0,15732.557,16055.0
2008-10-06,18.0,15963.03,15980.0
2008-10-06,19.0,16118.046,15860.0
2008-10-06,20.0,16286.7295,16626.0
2008-10-06,21.0,16393.715,16571.0
2008-10-06,22.0,16169.643,15960.0
2008-10-06,23.0,15228.179,14944.0
2008-10-07,0.0,14200.64,13885.0
2008-10-07,1.0,13455.889,12981.0
2008-10-07,2.0,13073.146,12604.0
2008-10-07,3.0,12911.322,12344.0
2008-10-07,4.0,12901.208,12227.0
2008-10-07,5.0,13126.561,12549.0
2008-10-07,6.0,13771.394,13286.0
2008-10-07,7.0,15072.579,14751.0
2008-10-07,8.0,15876.923,15666.0
2008-10-07,9.0,15984.424,15749.0
2008-10-07,10.0,15974.817,15667.0
2008-10-07,11.0,15873.766,15859.0
2008-10-07,12.0,15724.263,15846.0
2008-10-07,13.0,15550.882,15885.0
2008-10-07,14.0,15395.296,16158.0
2008-10-07,15.0,15242.607,16202.0
2008-10-07,16.0,15007.275,16082.0
2008-10-07,17.0,15150.268,16021.0
2008-10-07,18.0,15420.12,15938.0
2008-10-07,19.0,15680.869,15899.0
2008-10-07,20.0,15887.491,16630.0
2008-10-07,21.0,16042.445,16650.0
2008-10-07,22.0,15860.64,16016.0
2008-10-07,23.0,15110.476,14961.0
2008-10-08,0.0,13937.853,13927.0
2008-10-08,1.0,13152.1,12998.0
2008-10-08,2.0,12652.204,12676.0
2008-10-08,3.0,12446.931,12378.0
2008-10-08,4.0,12351.841,12302.0
2008-10-08,5.0,12551.19,12393.0
2008-10-08,6.0,13343.531,13091.0
2008-10-08,7.0,14803.757,14775.0
2008-10-08,8.0,15670.283,15904.0
2008-10-08,9.0,15808.632,16076.0
2008-10-08,10.0,15887.177,16135.0
2008-10-08,11.0,16073.316,16319.0
2008-10-08,12.0,16127.633,16364.0
2008-10-08,13.0,16093.079,16396.0
2008-10-08,14.0,16151.231,16337.0
2008-10-08,15.0,16055.704,16139.0
2008-10-08,16.0,15923.488,15984.0
2008-10-08,17.0,16018.57,15905.0
2008-10-08,18.0,16112.759,15908.0
2008-10-08,19.0,16141.312,16058.0
2008-10-08,20.0,16223.883,16557.0
2008-10-08,21.0,16302.17,16477.0
2008-10-08,22.0,16107.361,15914.0
2008-10-08,23.0,15245.851,14961.0
2008-10-09,0.0,14054.626,13910.0
2008-10-09,1.0,13293.667,13143.0
2008-10-09,2.0,12840.297,12677.0
2008-10-09,3.0,12666.115,12444.0
2008-10-09,4.0,12625.758,12360.0
2008-10-09,5.0,12865.575,12499.0
2008-10-09,6.0,13652.963,13271.0
2008-10-09,7.0,15119.405,14768.0
2008-10-09,8.0,15978.914,15736.0
2008-10-09,9.0,16032.82,15737.0
2008-10-09,10.0,16068.847,15708.0
2008-10-09,11.0,16085.831,16016.0
2008-10-09,12.0,15961.089,16030.0
2008-10-09,13.0,15877.039,16219.0
2008-10-09,14.0,15879.856,16176.0
2008-10-09,15.0,15746.316,16235.0
2008-10-09,16.0,15573.539,16091.0
2008-10-09,17.0,15614.816,15952.0
2008-10-09,18.0,15767.417,15725.0
2008-10-09,19.0,15928.259,15648.0
2008-10-09,20.0,16050.652,16363.0
2008-10-09,21.0,16195.248,16415.0
2008-10-09,22.0,16001.919,15911.0
2008-10-09,23.0,15110.505,14948.0
2008-10-10,0.0,14054.341,13875.0
2008-10-10,1.0,13241.939,13018.0
2008-10-10,2.0,12780.663,12606.0
2008-10-10,3.0,12575.308,12303.0
2008-10-10,4.0,12484.869,12242.0
2008-10-10,5.0,12701.98,12377.0
2008-10-10,6.0,13481.281,13072.0
2008-10-10,7.0,14766.302,14534.0
2008-10-10,8.0,15640.63,15459.0
2008-10-10,9.0,15820.556,15578.0
2008-10-10,10.0,15897.66,15740.0
2008-10-10,11.0,16008.118,15863.0
2008-10-10,12.0,15877.119,15792.0
2008-10-10,13.0,15804.77,15838.0
2008-10-10,14.0,15742.206,15904.0
2008-10-10,15.0,15546.571,15907.0
2008-10-10,16.0,15411.223,15821.0
2008-10-10,17.0,15383.189,15802.0
2008-10-10,18.0,15419.228,15568.0
2008-10-10,19.0,15434.019,15215.0
2008-10-10,20.0,15479.37,15594.0
2008-10-10,21.0,15600.095,15494.0
2008-10-10,22.0,15433.347,15160.0
2008-10-10,23.0,14664.528,14369.0
2008-10-11,0.0,13356.723,13261.0
2008-10-11,1.0,12564.849,12543.0
2008-10-11,2.0,12124.527,12060.0
2008-10-11,3.0,11852.798,11746.0
2008-10-11,4.0,11764.956,11593.0
2008-10-11,5.0,11800.001,11671.0
2008-10-11,6.0,12089.945,11809.0
2008-10-11,7.0,12502.844,12442.0
2008-10-11,8.0,13071.887,13048.0
2008-10-11,9.0,13674.551,13655.0
2008-10-11,10.0,14090.354,14059.0
2008-10-11,11.0,14270.174,14245.0
2008-10-11,12.0,14226.869,14362.0
2008-10-11,13.0,14126.791,14332.0
2008-10-11,14.0,14013.38,14396.0
2008-10-11,15.0,13878.669,14517.0
2008-10-11,16.0,13803.534,14677.0
2008-10-11,17.0,13926.376,14836.0
2008-10-11,18.0,14117.464,14800.0
2008-10-11,19.0,14137.882,14573.0
2008-10-11,20.0,14305.979,15008.0
2008-10-11,21.0,14432.465,14767.0
2008-10-11,22.0,14267.605,14246.0
2008-10-11,23.0,13746.478,13471.0
2008-10-12,0.0,12891.437,12600.0
2008-10-12,1.0,12198.3125,11988.0
2008-10-12,2.0,11817.564,11519.0
2008-10-12,3.0,11607.5625,11322.0
2008-10-12,4.0,11510.651,11194.0
2008-10-12,5.0,11571.788,11197.0
2008-10-12,6.0,11796.621,11318.0
2008-10-12,7.0,12162.871,11642.0
2008-10-12,8.0,12654.773,12181.0
2008-10-12,9.0,13199.475,12724.0
2008-10-12,10.0,13559.032,13126.0
2008-10-12,11.0,13561.774,13332.0
2008-10-12,12.0,13552.994,13448.0
2008-10-12,13.0,13583.067,13647.0
2008-10-12,14.0,13529.108,13829.0
2008-10-12,15.0,13417.139,13998.0
2008-10-12,16.0,13355.932,14310.0
2008-10-12,17.0,13546.028,14517.0
2008-10-12,18.0,13906.703,14698.0
2008-10-12,19.0,14150.823,14586.0
2008-10-12,20.0,14337.166,15267.0
2008-10-12,21.0,14598.572,15111.0
2008-10-12,22.0,14513.892,14400.0
2008-10-12,23.0,13863.629,13611.0
2008-10-13,0.0,13697.532,12826.0
2008-10-13,1.0,13090.584,12174.0
2008-10-13,2.0,12797.451,11878.0
2008-10-13,3.0,12669.626,11762.0
2008-10-13,4.0,12693.173,11745.0
2008-10-13,5.0,12985.433,11973.0
2008-10-13,6.0,13879.699,12785.0
2008-10-13,7.0,15428.616,14350.0
2008-10-13,8.0,16355.435,15589.0
2008-10-13,9.0,16383.563,15683.0
2008-10-13,10.0,16368.384,15929.0
2008-10-13,11.0,16363.431,16166.0
2008-10-13,12.0,16229.871,16239.0
2008-10-13,13.0,16064.754,16486.0
2008-10-13,14.0,15998.201,16646.0
2008-10-13,15.0,15831.999,16733.0
2008-10-13,16.0,15678.632,16800.0
2008-10-13,17.0,15769.358,16769.0
2008-10-13,18.0,16054.938,16676.0
2008-10-13,19.0,16368.649,16444.0
2008-10-13,20.0,16531.168,17016.0
2008-10-13,21.0,16678.527,16925.0
2008-10-13,22.0,16366.966,16200.0
2008-10-13,23.0,15425.261,14966.0
2008-10-14,0.0,14242.839,13959.0
2008-10-14,1.0,13406.898,13046.0
2008-10-14,2.0,12873.457,12512.0
2008-10-14,3.0,12570.923,12290.0
2008-10-14,4.0,12558.934,12147.0
2008-10-14,5.0,12748.117,12351.0
2008-10-14,6.0,13623.138,13296.0
2008-10-14,7.0,15104.782,14896.0
2008-10-14,8.0,16073.284,16023.0
2008-10-14,9.0,16225.749,15998.0
2008-10-14,10.0,16327.607,16004.0
2008-10-14,11.0,16494.662,16245.0
2008-10-14,12.0,16499.059,16437.0
2008-10-14,13.0,16552.352,16580.0
2008-10-14,14.0,16610.098,16768.0
2008-10-14,15.0,16551.473,16730.0
2008-10-14,16.0,16586.33,16665.0
2008-10-14,17.0,16452.215,16694.0
2008-10-14,18.0,16618.338,16535.0
2008-10-14,19.0,16566.14,16472.0
2008-10-14,20.0,16564.254,17082.0
2008-10-14,21.0,16660.576,17026.0
2008-10-14,22.0,16465.738,16255.0
2008-10-14,23.0,15472.766,15196.0
2008-10-15,0.0,14261.137,14019.0
2008-10-15,1.0,13477.517,13083.0
2008-10-15,2.0,13045.172,12529.0
2008-10-15,3.0,12834.897,12291.0
2008-10-15,4.0,12782.592,12135.0
2008-10-15,5.0,13017.342,12287.0
2008-10-15,6.0,13798.815,13065.0
2008-10-15,7.0,15186.471,14869.0
2008-10-15,8.0,16065.091,15716.0
2008-10-15,9.0,16209.684,15643.0
2008-10-15,10.0,16272.692,15792.0
2008-10-15,11.0,16401.377,16163.0
2008-10-15,12.0,16379.568,16290.0
2008-10-15,13.0,16387.285,16629.0
2008-10-15,14.0,16425.12,16973.0
2008-10-15,15.0,16325.466,17090.0
2008-10-15,16.0,16185.988,17132.0
2008-10-15,17.0,16308.056,17168.0
2008-10-15,18.0,16464.1,17011.0
2008-10-15,19.0,16561.707,16991.0
2008-10-15,20.0,16646.174,17519.0
2008-10-15,21.0,16806.668,17376.0
2008-10-15,22.0,16562.35,16605.0
2008-10-15,23.0,15666.03,15490.0
2008-10-16,0.0,14251.961,14378.0
2008-10-16,1.0,13362.571,13393.0
2008-10-16,2.0,12859.874,12840.0
2008-10-16,3.0,12577.627,12571.0
2008-10-16,4.0,12525.204,12355.0
2008-10-16,5.0,12694.004,12405.0
2008-10-16,6.0,13323.32,13150.0
2008-10-16,7.0,14612.621,14679.0
2008-10-16,8.0,15364.402,15789.0
2008-10-16,9.0,15627.75,15706.0
2008-10-16,10.0,15746.606,15720.0
2008-10-16,11.0,15868.998,15930.0
2008-10-16,12.0,15890.89,15883.0
2008-10-16,13.0,15908.155,15930.0
2008-10-16,14.0,15880.207,16048.0
2008-10-16,15.0,15841.399,15834.0
2008-10-16,16.0,15739.301,15656.0
2008-10-16,17.0,15768.057,15518.0
2008-10-16,18.0,15848.743,15390.0
2008-10-16,19.0,15864.122,15652.0
2008-10-16,20.0,15926.449,16319.0
2008-10-16,21.0,16016.45,16178.0
2008-10-16,22.0,15807.48,15544.0
2008-10-16,23.0,15013.976,14681.0
2008-10-17,0.0,13960.59,13598.0
2008-10-17,1.0,13210.346,12922.0
2008-10-17,2.0,12844.225,12465.0
2008-10-17,3.0,12670.46,12171.0
2008-10-17,4.0,12663.812,12036.0
2008-10-17,5.0,12891.748,12158.0
2008-10-17,6.0,13689.582,12909.0
2008-10-17,7.0,15081.573,14411.0
2008-10-17,8.0,15928.119,15421.0
2008-10-17,9.0,16000.351,15574.0
2008-10-17,10.0,15902.608,15624.0
2008-10-17,11.0,15850.63,15765.0
2008-10-17,12.0,15570.59,15708.0
