day,hour,y_hat,y
2008-09-30,0.0,14284.905,14260.0
2008-09-30,1.0,13453.162,13410.0
2008-09-30,2.0,13008.823,12818.0
2008-09-30,3.0,12856.389,12543.0
2008-09-30,4.0,12763.967,12348.0
2008-09-30,5.0,13019.061,12480.0
2008-09-30,6.0,13850.038,13164.0
2008-09-30,7.0,15383.024,14734.0
2008-09-30,8.0,16206.745,15478.0
2008-09-30,9.0,16272.784,15541.0
2008-09-30,10.0,16227.534,15803.0
2008-09-30,11.0,16265.458,16067.0
2008-09-30,12.0,16171.575,16228.0
2008-09-30,13.0,16003.194,16332.0
2008-09-30,14.0,15922.842,16417.0
2008-09-30,15.0,15775.805,16409.0
2008-09-30,16.0,15584.275,16251.0
2008-09-30,17.0,15665.599,16219.0
2008-09-30,18.0,15892.841,16072.0
2008-09-30,19.0,15941.4,15971.0
2008-09-30,20.0,16161.029,16509.0
2008-09-30,21.0,16264.283,16573.0
2008-09-30,22.0,16034.975,15772.0
2008-09-30,23.0,15098.827,14800.0
2008-10-01,0.0,13832.776,13659.0
2008-10-01,1.0,13047.425,12782.0
2008-10-01,2.0,12675.324,12384.0
2008-10-01,3.0,12466.702,11883.0
2008-10-01,4.0,12483.913,11823.0
2008-10-01,5.0,12638.025,12033.0
2008-10-01,6.0,13375.802,12733.0
2008-10-01,7.0,14773.879,14358.0
2008-10-01,8.0,15592.56,15137.0
2008-10-01,9.0,15569.995,15210.0
2008-10-01,10.0,15595.707,15360.0
2008-10-01,11.0,15552.8955,15574.0
2008-10-01,12.0,15372.008,15521.0
2008-10-01,13.0,15133.988,15571.0
2008-10-01,14.0,15065.029,15622.0
2008-10-01,15.0,14853.686,15515.0
2008-10-01,16.0,14648.691,15256.0
2008-10-01,17.0,14716.768,15176.0
2008-10-01,18.0,14914.835,15135.0
2008-10-01,19.0,15126.494,15254.0
2008-10-01,20.0,15303.266,16053.0
2008-10-01,21.0,15557.499,16331.0
2008-10-01,22.0,15307.0,15774.0
2008-10-01,23.0,14480.785,14803.0
2008-10-02,0.0,13844.977,13671.0
2008-10-02,1.0,13050.065,12933.0
2008-10-02,2.0,12576.7295,12548.0
2008-10-02,3.0,12376.07,12281.0
2008-10-02,4.0,12315.849,12140.0
2008-10-02,5.0,12470.866,12347.0
2008-10-02,6.0,13200.377,13183.0
2008-10-02,7.0,14460.019,14934.0
2008-10-02,8.0,15209.44,15858.0
2008-10-02,9.0,15491.855,15799.0
2008-10-02,10.0,15649.895,15885.0
2008-10-02,11.0,15800.344,16000.0
2008-10-02,12.0,15811.674,15982.0
2008-10-02,13.0,15880.253,15845.0
2008-10-02,14.0,15922.344,15776.0
2008-10-02,15.0,15921.422,15600.0
2008-10-02,16.0,15766.751,15489.0
2008-10-02,17.0,15890.371,15388.0
2008-10-02,18.0,16052.653,15329.0
2008-10-02,19.0,16111.8955,15355.0
