day,hour,y_hat,y
2008-09-30,0.0,14249.885,14260.0
2008-09-30,1.0,13454.378,13410.0
2008-09-30,2.0,13001.926,12818.0
2008-09-30,3.0,12783.267,12543.0
2008-09-30,4.0,12722.5625,12348.0
2008-09-30,5.0,12943.86,12480.0
2008-09-30,6.0,13697.733,13164.0
2008-09-30,7.0,15061.864,14734.0
2008-09-30,8.0,15878.106,15478.0
2008-09-30,9.0,16024.744,15541.0
2008-09-30,10.0,16088.198,15803.0
2008-09-30,11.0,16137.474,16067.0
2008-09-30,12.0,16033.307,16228.0
2008-09-30,13.0,15936.34,16332.0
2008-09-30,14.0,15880.371,16417.0
2008-09-30,15.0,15752.836,16409.0
2008-09-30,16.0,15602.446,16251.0
2008-09-30,17.0,15640.075,16219.0
2008-09-30,18.0,15810.364,16072.0
2008-09-30,19.0,15926.553,15971.0
2008-09-30,20.0,16054.943,16509.0
2008-09-30,21.0,16196.522,16573.0
2008-09-30,22.0,15972.252,15772.0
2008-09-30,23.0,15095.255,14800.0
2008-10-01,0.0,13800.273,13659.0
2008-10-01,1.0,12930.459,12782.0
2008-10-01,2.0,12422.213,12384.0
2008-10-01,3.0,12143.361,11883.0
2008-10-01,4.0,12053.806,11823.0
2008-10-01,5.0,12208.348,12033.0
2008-10-01,6.0,12845.132,12733.0
2008-10-01,7.0,14043.46,14358.0
2008-10-01,8.0,14791.167,15137.0
2008-10-01,9.0,15034.974,15210.0
2008-10-01,10.0,15204.466,15360.0
2008-10-01,11.0,15362.077,15574.0
2008-10-01,12.0,15399.455,15521.0
2008-10-01,13.0,15440.532,15571.0
2008-10-01,14.0,15492.523,15622.0
2008-10-01,15.0,15450.684,15515.0
2008-10-01,16.0,15387.667,15256.0
2008-10-01,17.0,15472.703,15176.0
2008-10-01,18.0,15600.635,15135.0
2008-10-01,19.0,15665.085,15254.0
2008-10-01,20.0,15754.657,16053.0
2008-10-01,21.0,15944.235,16331.0
2008-10-01,22.0,15775.017,15774.0
2008-10-01,23.0,14858.388,14803.0
2008-10-02,0.0,13858.86,13671.0
2008-10-02,1.0,13053.775,12933.0
2008-10-02,2.0,12570.164,12548.0
2008-10-02,3.0,12320.289,12281.0
2008-10-02,4.0,12226.292,12140.0
2008-10-02,5.0,12366.709,12347.0
2008-10-02,6.0,12935.094,13183.0
2008-10-02,7.0,13956.474,14934.0
2008-10-02,8.0,14687.026,15858.0
2008-10-02,9.0,15077.252,15799.0
2008-10-02,10.0,15360.764,15885.0
2008-10-02,11.0,15579.804,16000.0
2008-10-02,12.0,15651.157,15982.0
2008-10-02,13.0,15721.554,15845.0
2008-10-02,14.0,15758.566,15776.0
