day,hour,y_hat,y
2008-09-30,0.0,14174.9795,14260.0
2008-09-30,1.0,13286.287,13410.0
2008-09-30,2.0,12758.749,12818.0
2008-09-30,3.0,12436.997,12543.0
2008-09-30,4.0,12329.492,12348.0
2008-09-30,5.0,12447.567,12480.0
2008-09-30,6.0,13174.323,13164.0
2008-09-30,7.0,14570.646,14734.0
2008-09-30,8.0,15340.192,15478.0
2008-09-30,9.0,15465.671,15541.0
2008-09-30,10.0,15668.818,15803.0
2008-09-30,11.0,15987.272,16067.0
2008-09-30,12.0,16128.709,16228.0
2008-09-30,13.0,16334.9,16332.0
2008-09-30,14.0,16508.15,16417.0
2008-09-30,15.0,16551.594,16409.0
2008-09-30,16.0,16532.332,16251.0
2008-09-30,17.0,16553.016,16219.0
2008-09-30,18.0,16412.771,16072.0
2008-09-30,19.0,16391.688,15971.0
2008-09-30,20.0,16487.186,16509.0
2008-09-30,21.0,16480.01,16573.0
2008-09-30,22.0,16074.911,15772.0
2008-09-30,23.0,15011.455,14800.0
2008-10-01,0.0,13545.688,13659.0
2008-10-01,1.0,12737.967,12782.0
2008-10-01,2.0,12243.8125,12384.0
2008-10-01,3.0,11974.138,11883.0
2008-10-01,4.0,11896.244,11823.0
2008-10-01,5.0,12036.696,12033.0
2008-10-01,6.0,12754.46,12733.0
2008-10-01,7.0,14222.821,14358.0
2008-10-01,8.0,15040.896,15137.0
2008-10-01,9.0,15049.609,15210.0
2008-10-01,10.0,15170.405,15360.0
2008-10-01,11.0,15355.737,15574.0
2008-10-01,12.0,15356.513,15521.0
2008-10-01,13.0,15492.686,15571.0
2008-10-01,14.0,15626.326,15622.0
2008-10-01,15.0,15664.383,15515.0
2008-10-01,16.0,15548.778,15256.0
2008-10-01,17.0,15625.426,15176.0
2008-10-01,18.0,15553.26,15135.0
2008-10-01,19.0,15576.202,15254.0
2008-10-01,20.0,15878.084,16053.0
2008-10-01,21.0,16058.633,16331.0
2008-10-01,22.0,15532.9795,15774.0
2008-10-01,23.0,14476.655,14803.0
2008-10-02,0.0,13567.529,13671.0
2008-10-02,1.0,12799.475,12933.0
2008-10-02,2.0,12252.628,12548.0
2008-10-02,3.0,11995.111,12281.0
2008-10-02,4.0,11870.73,12140.0
2008-10-02,5.0,12044.634,12347.0
2008-10-02,6.0,12767.568,13183.0
2008-10-02,7.0,14277.985,14934.0
2008-10-02,8.0,15118.438,15858.0
2008-10-02,9.0,15364.746,15799.0
2008-10-02,10.0,15574.507,15885.0
2008-10-02,11.0,15813.022,16000.0
2008-10-02,12.0,15999.363,15982.0
2008-10-02,13.0,16118.221,15845.0
2008-10-02,14.0,16274.747,15776.0
2008-10-02,15.0,16313.146,15600.0
2008-10-02,16.0,16271.92,15489.0
2008-10-02,17.0,16271.339,15388.0
2008-10-02,18.0,16357.659,15329.0
2008-10-02,19.0,16383.37,15355.0
2008-10-02,20.0,16564.441,16113.0
2008-10-02,21.0,16648.7,16481.0
2008-10-02,22.0,16185.777,15906.0
2008-10-02,23.0,15041.275,14969.0
2008-10-03,0.0,13908.4,14082.0
2008-10-03,1.0,13060.017,13284.0
2008-10-03,2.0,12529.743,12890.0
2008-10-03,3.0,12257.329,12670.0
2008-10-03,4.0,12125.618,12618.0
2008-10-03,5.0,12290.644,12834.0
2008-10-03,6.0,13030.287,13630.0
2008-10-03,7.0,14512.57,15231.0
2008-10-03,8.0,15270.326,16245.0
2008-10-03,9.0,15403.464,16081.0
2008-10-03,10.0,15559.505,15959.0
2008-10-03,11.0,15763.969,15912.0
2008-10-03,12.0,15790.697,15732.0
2008-10-03,13.0,15886.184,15624.0
2008-10-03,14.0,16023.889,15661.0
2008-10-03,15.0,15934.931,15421.0
2008-10-03,16.0,15805.27,15300.0
2008-10-03,17.0,15706.54,15146.0
2008-10-03,18.0,15449.832,15039.0
2008-10-03,19.0,15345.025,14821.0
2008-10-03,20.0,15611.731,15349.0
2008-10-03,21.0,15736.358,15296.0
2008-10-03,22.0,15365.203,14937.0
2008-10-03,23.0,14420.158,14122.0
2008-10-04,0.0,13493.471,13193.0
2008-10-04,1.0,12660.464,12369.0
2008-10-04,2.0,12108.363,12056.0
2008-10-04,3.0,11806.5,11755.0
2008-10-04,4.0,11684.252,11704.0
2008-10-04,5.0,11711.677,11710.0
2008-10-04,6.0,11872.681,12145.0
2008-10-04,7.0,12279.809,12681.0
2008-10-04,8.0,12852.076,13442.0
2008-10-04,9.0,13385.421,13957.0
2008-10-04,10.0,13876.33,14329.0
2008-10-04,11.0,14066.907,14288.0
2008-10-04,12.0,14122.601,14261.0
2008-10-04,13.0,14056.746,14084.0
2008-10-04,14.0,14089.701,13975.0
2008-10-04,15.0,13918.245,13802.0
2008-10-04,16.0,13927.995,13779.0
2008-10-04,17.0,14015.407,13787.0
2008-10-04,18.0,13970.698,13811.0
2008-10-04,19.0,14053.73,13782.0
2008-10-04,20.0,14374.521,14331.0
2008-10-04,21.0,14532.25,14562.0
2008-10-04,22.0,14225.222,14262.0
2008-10-04,23.0,13577.348,13446.0
2008-10-05,0.0,12744.113,12763.0
2008-10-05,1.0,11951.724,11936.0
2008-10-05,2.0,11431.115,11585.0
2008-10-05,3.0,11153.1875,11320.0
2008-10-05,4.0,10989.327,11376.0
2008-10-05,5.0,10939.129,11372.0
2008-10-05,6.0,11046.26,11637.0
2008-10-05,7.0,11374.801,11977.0
2008-10-05,8.0,11832.154,12540.0
2008-10-05,9.0,12447.037,13114.0
2008-10-05,10.0,13045.472,13400.0
2008-10-05,11.0,13328.507,13476.0
2008-10-05,12.0,13586.617,13474.0
2008-10-05,13.0,13859.635,13583.0
2008-10-05,14.0,13987.361,13555.0
2008-10-05,15.0,14081.414,13626.0
2008-10-05,16.0,14210.043,13640.0
2008-10-05,17.0,14409.378,13912.0
2008-10-05,18.0,14711.276,14012.0
2008-10-05,19.0,14691.361,14051.0
2008-10-05,20.0,14862.688,14809.0
2008-10-05,21.0,15148.379,14933.0
2008-10-05,22.0,14814.113,14370.0
2008-10-05,23.0,13909.589,13594.0
2008-10-06,0.0,13047.711,12803.0
2008-10-06,1.0,12315.882,12222.0
2008-10-06,2.0,11924.985,11955.0
2008-10-06,3.0,11727.456,11807.0
2008-10-06,4.0,11688.696,11834.0
2008-10-06,5.0,11920.214,12124.0
2008-10-06,6.0,12718.769,12891.0
2008-10-06,7.0,14340.923,14682.0
2008-10-06,8.0,15368.175,15735.0
2008-10-06,9.0,15572.243,15827.0
2008-10-06,10.0,15737.6,16000.0
2008-10-06,11.0,15919.21,16068.0
2008-10-06,12.0,15983.79,16172.0
2008-10-06,13.0,16064.509,16168.0
2008-10-06,14.0,16190.534,16312.0
2008-10-06,15.0,16197.244,16238.0
2008-10-06,16.0,16105.444,16114.0
2008-10-06,17.0,16121.236,16055.0
2008-10-06,18.0,16064.877,15980.0
2008-10-06,19.0,16054.864,15860.0
2008-10-06,20.0,16292.242,16626.0
2008-10-06,21.0,16324.021,16571.0
2008-10-06,22.0,15800.886,15960.0
2008-10-06,23.0,14760.24,14944.0
2008-10-07,0.0,13623.504,13885.0
2008-10-07,1.0,12820.061,12981.0
2008-10-07,2.0,12372.144,12604.0
2008-10-07,3.0,12121.858,12344.0
2008-10-07,4.0,12074.723,12227.0
2008-10-07,5.0,12279.464,12549.0
2008-10-07,6.0,13111.822,13286.0
2008-10-07,7.0,14650.152,14751.0
2008-10-07,8.0,15560.268,15666.0
2008-10-07,9.0,15700.13,15749.0
2008-10-07,10.0,15837.258,15667.0
2008-10-07,11.0,16001.24,15859.0
2008-10-07,12.0,16047.406,15846.0
2008-10-07,13.0,16158.759,15885.0
2008-10-07,14.0,16269.905,16158.0
2008-10-07,15.0,16293.912,16202.0
2008-10-07,16.0,16182.732,16082.0
2008-10-07,17.0,16213.653,16021.0
2008-10-07,18.0,16097.093,15938.0
2008-10-07,19.0,16030.411,15899.0
2008-10-07,20.0,16174.605,16630.0
2008-10-07,21.0,16392.033,16650.0
2008-10-07,22.0,16114.513,16016.0
2008-10-07,23.0,15091.854,14961.0
2008-10-08,0.0,14073.652,13927.0
2008-10-08,1.0,13163.717,12998.0
2008-10-08,2.0,12627.477,12676.0
2008-10-08,3.0,12304.341,12378.0
2008-10-08,4.0,12248.267,12302.0
2008-10-08,5.0,12397.839,12393.0
2008-10-08,6.0,13093.25,13091.0
2008-10-08,7.0,14506.654,14775.0
2008-10-08,8.0,15372.811,15904.0
2008-10-08,9.0,15547.743,16076.0
2008-10-08,10.0,15822.592,16135.0
2008-10-08,11.0,16162.358,16319.0
2008-10-08,12.0,16354.272,16364.0
2008-10-08,13.0,16571.402,16396.0
2008-10-08,14.0,16722.246,16337.0
2008-10-08,15.0,16850.547,16139.0
2008-10-08,16.0,16808.977,15984.0
2008-10-08,17.0,16880.045,15905.0
2008-10-08,18.0,17019.988,15908.0
2008-10-08,19.0,16980.828,16058.0
2008-10-08,20.0,16982.74,16557.0
2008-10-08,21.0,16941.52,16477.0
2008-10-08,22.0,16504.127,15914.0
2008-10-08,23.0,15461.298,14961.0
2008-10-09,0.0,13811.092,13910.0
2008-10-09,1.0,12979.963,13143.0
2008-10-09,2.0,12442.228,12677.0
2008-10-09,3.0,12229.156,12444.0
2008-10-09,4.0,12080.733,12360.0
2008-10-09,5.0,12314.264,12499.0
2008-10-09,6.0,13034.441,13271.0
2008-10-09,7.0,14615.177,14768.0
2008-10-09,8.0,15526.757,15736.0
2008-10-09,9.0,15654.6875,15737.0
2008-10-09,10.0,15833.3545,15708.0
2008-10-09,11.0,15958.496,16016.0
2008-10-09,12.0,15975.908,16030.0
2008-10-09,13.0,16024.162,16219.0
2008-10-09,14.0,16126.327,16176.0
2008-10-09,15.0,16057.384,16235.0
2008-10-09,16.0,15976.249,16091.0
2008-10-09,17.0,15984.33,15952.0
2008-10-09,18.0,15894.646,15725.0
2008-10-09,19.0,15894.947,15648.0
2008-10-09,20.0,16317.928,16363.0
2008-10-09,21.0,16386.594,16415.0
2008-10-09,22.0,15890.02,15911.0
2008-10-09,23.0,14906.872,14948.0
2008-10-10,0.0,13832.25,13875.0
2008-10-10,1.0,12972.942,13018.0
2008-10-10,2.0,12469.659,12606.0
2008-10-10,3.0,12161.441,12303.0
2008-10-10,4.0,12084.301,12242.0
2008-10-10,5.0,12252.119,12377.0
2008-10-10,6.0,13065.073,13072.0
2008-10-10,7.0,14602.027,14534.0
2008-10-10,8.0,15473.122,15459.0
2008-10-10,9.0,15684.414,15578.0
2008-10-10,10.0,15723.416,15740.0
2008-10-10,11.0,15934.226,15863.0
2008-10-10,12.0,15945.359,15792.0
2008-10-10,13.0,15950.914,15838.0
2008-10-10,14.0,15948.4795,15904.0
2008-10-10,15.0,15909.196,15907.0
2008-10-10,16.0,15684.792,15821.0
2008-10-10,17.0,15729.87,15802.0
2008-10-10,18.0,15665.369,15568.0
2008-10-10,19.0,15579.26,15215.0
2008-10-10,20.0,15628.28,15594.0
2008-10-10,21.0,15712.201,15494.0
2008-10-10,22.0,15352.632,15160.0
2008-10-10,23.0,14354.556,14369.0
2008-10-11,0.0,13321.006,13261.0
2008-10-11,1.0,12595.01,12543.0
2008-10-11,2.0,12127.501,12060.0
2008-10-11,3.0,11905.498,11746.0
2008-10-11,4.0,11785.61,11593.0
2008-10-11,5.0,11851.804,11671.0
2008-10-11,6.0,12202.54,11809.0
2008-10-11,7.0,12849.093,12442.0
2008-10-11,8.0,13566.208,13048.0
2008-10-11,9.0,14034.262,13655.0
2008-10-11,10.0,14349.351,14059.0
2008-10-11,11.0,14391.765,14245.0
2008-10-11,12.0,14359.62,14362.0
2008-10-11,13.0,14339.935,14332.0
2008-10-11,14.0,14274.841,14396.0
2008-10-11,15.0,14169.618,14517.0
2008-10-11,16.0,14021.999,14677.0
2008-10-11,17.0,14046.203,14836.0
2008-10-11,18.0,13989.476,14800.0
2008-10-11,19.0,14003.372,14573.0
2008-10-11,20.0,14238.699,15008.0
2008-10-11,21.0,14432.453,14767.0
2008-10-11,22.0,14228.285,14246.0
2008-10-11,23.0,13564.194,13471.0
2008-10-12,0.0,12759.908,12600.0
2008-10-12,1.0,12063.082,11988.0
2008-10-12,2.0,11578.283,11519.0
2008-10-12,3.0,11360.26,11322.0
2008-10-12,4.0,11218.72,11194.0
2008-10-12,5.0,11264.635,11197.0
2008-10-12,6.0,11469.465,11318.0
2008-10-12,7.0,11937.748,11642.0
2008-10-12,8.0,12406.805,12181.0
2008-10-12,9.0,13025.238,12724.0
2008-10-12,10.0,13512.519,13126.0
2008-10-12,11.0,13653.803,13332.0
2008-10-12,12.0,13754.361,13448.0
2008-10-12,13.0,13755.722,13647.0
2008-10-12,14.0,13756.211,13829.0
2008-10-12,15.0,13672.896,13998.0
2008-10-12,16.0,13689.316,14310.0
2008-10-12,17.0,13824.198,14517.0
2008-10-12,18.0,14130.254,14698.0
2008-10-12,19.0,14265.547,14586.0
2008-10-12,20.0,14420.3545,15267.0
2008-10-12,21.0,14753.353,15111.0
2008-10-12,22.0,14471.987,14400.0
2008-10-12,23.0,13731.589,13611.0
2008-10-13,0.0,13047.361,12826.0
2008-10-13,1.0,12397.622,12174.0
2008-10-13,2.0,12074.925,11878.0
2008-10-13,3.0,11892.183,11762.0
2008-10-13,4.0,11860.735,11745.0
2008-10-13,5.0,12109.611,11973.0
2008-10-13,6.0,12974.661,12785.0
2008-10-13,7.0,14635.595,14350.0
2008-10-13,8.0,15539.586,15589.0
2008-10-13,9.0,15724.929,15683.0
2008-10-13,10.0,15921.657,15929.0
2008-10-13,11.0,16227.552,16166.0
2008-10-13,12.0,16375.265,16239.0
2008-10-13,13.0,16556.584,16486.0
2008-10-13,14.0,16729.635,16646.0
2008-10-13,15.0,16695.787,16733.0
2008-10-13,16.0,16598.643,16800.0
2008-10-13,17.0,16587.408,16769.0
2008-10-13,18.0,16453.71,16676.0
2008-10-13,19.0,16513.703,16444.0
2008-10-13,20.0,16793.623,17016.0
2008-10-13,21.0,16831.564,16925.0
2008-10-13,22.0,16207.278,16200.0
2008-10-13,23.0,15121.784,14966.0
2008-10-14,0.0,14249.506,13959.0
2008-10-14,1.0,13442.666,13046.0
2008-10-14,2.0,12958.389,12512.0
2008-10-14,3.0,12755.249,12290.0
2008-10-14,4.0,12631.498,12147.0
2008-10-14,5.0,12906.366,12351.0
2008-10-14,6.0,13744.81,13296.0
2008-10-14,7.0,15286.186,14896.0
2008-10-14,8.0,16303.715,16023.0
2008-10-14,9.0,16312.95,15998.0
2008-10-14,10.0,16388.633,16004.0
2008-10-14,11.0,16446.395,16245.0
2008-10-14,12.0,16409.559,16437.0
2008-10-14,13.0,16359.497,16580.0
2008-10-14,14.0,16370.903,16768.0
2008-10-14,15.0,16300.123,16730.0
2008-10-14,16.0,16147.592,16665.0
2008-10-14,17.0,16159.665,16694.0
2008-10-14,18.0,15968.478,16535.0
2008-10-14,19.0,16080.382,16472.0
2008-10-14,20.0,16441.258,17082.0
2008-10-14,21.0,16507.84,17026.0
2008-10-14,22.0,16078.612,16255.0
2008-10-14,23.0,15179.512,15196.0
2008-10-15,0.0,14089.084,14019.0
2008-10-15,1.0,13304.06,13083.0
2008-10-15,2.0,12901.905,12529.0
2008-10-15,3.0,12566.21,12291.0
