day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2008-09-30,0.0,14048.116,14260.0,13579.85197128195,14521.020968816463,0.8115
2008-09-30,1.0,13182.661,13410.0,12715.919713261368,13655.392682325572,0.82908
2008-09-30,2.0,12708.481,12818.0,12235.257455193085,13187.39693739409,0.67228
2008-09-30,3.0,12491.026,12543.0,11991.960709099447,12995.72571997949,0.57998
2008-09-30,4.0,12341.436,12348.0,11811.31738579797,12877.154628435148,0.50692
2008-09-30,5.0,12513.644,12480.0,11944.182108479126,13089.593803134037,0.453
2008-09-30,6.0,13316.275,13164.0,12696.791397689514,13945.782580215291,0.3162
2008-09-30,7.0,14974.537,14734.0,14223.88505555584,15731.564228435782,0.26418
2008-09-30,8.0,15835.706,15478.0,15058.82138113673,16616.6993725687,0.18184
2008-09-30,9.0,15833.96,15541.0,15196.169205792261,16472.069199698908,0.18168
2008-09-30,10.0,15874.461,15803.0,15374.76870670581,16373.196240493005,0.38672
2008-09-30,11.0,15963.82,16067.0,15515.132374781737,16412.07441301021,0.67254
2008-09-30,12.0,15937.492,16228.0,15468.709109994676,16409.153064407263,0.88488
2008-09-30,13.0,16059.62,16332.0,15550.921831841477,16570.635198682015,0.8503
2008-09-30,14.0,16155.424,16417.0,15590.616435405285,16714.516877227285,0.81756
2008-09-30,15.0,16093.84,16409.0,15455.208857016776,16724.147103639796,0.83242
2008-09-30,16.0,16061.133,16251.0,15364.433997126549,16749.119558058228,0.70532
2008-09-30,17.0,16059.318,16219.0,15316.326895511078,16796.75189663557,0.66482
2008-09-30,18.0,15864.578,16072.0,15111.720193671952,16619.318398739746,0.70664
2008-09-30,19.0,15890.2295,15971.0,15153.143019301866,16625.395226383018,0.58652
2008-09-30,20.0,16316.292,16509.0,15603.698224750467,17033.04512779752,0.7039
2008-09-30,21.0,16515.502,16573.0,15846.687778996915,17175.070479593865,0.56696
2008-09-30,22.0,15874.855,15772.0,15194.648733499373,16554.78828271927,0.38654
2008-09-30,23.0,14821.641,14800.0,14093.767393416852,15554.969969826969,0.4772
2008-10-01,0.0,13736.948,13659.0,13225.896172626064,14246.001046498579,0.37866
2008-10-01,1.0,12815.114,12782.0,12305.104069583485,13327.453371451786,0.44802
2008-10-01,2.0,12284.875,12384.0,11762.881849345322,12813.206374000414,0.64362
2008-10-01,3.0,11880.717,11883.0,11328.95381244391,12439.846876351985,0.5019
2008-10-01,4.0,11851.392,11823.0,11269.997555690215,12442.52502737755,0.46068
2008-10-01,5.0,11917.634,12033.0,11285.786012822335,12551.813981041469,0.6384
2008-10-01,6.0,12571.072,12733.0,11902.764563673423,13240.132536944335,0.68198
2008-10-01,7.0,14017.18,14358.0,13228.246578484728,14798.321462927403,0.80112
2008-10-01,8.0,14794.316,15137.0,14004.619936214429,15572.432056483784,0.80232
2008-10-01,9.0,14971.368,15210.0,14310.674808791571,15632.918527425909,0.75646
2008-10-01,10.0,15233.372,15360.0,14725.982400605766,15745.691901086357,0.68562
2008-10-01,11.0,15612.463,15574.0,15163.871489223562,16063.208781354448,0.43268
2008-10-01,12.0,15683.853,15521.0,15202.923510518485,16166.342236792108,0.25662
2008-10-01,13.0,15748.405,15571.0,15207.632788995072,16284.567017609186,0.26102
2008-10-01,14.0,15876.41,15622.0,15259.89140631141,16486.703982322153,0.21106
2008-10-01,15.0,15934.279,15515.0,15229.268164900397,16622.432241514685,0.12158
2008-10-01,16.0,15868.021,15256.0,15105.496762488763,16621.353474769643,0.059
2008-10-01,17.0,15887.145,15176.0,15074.194212837428,16695.047209128235,0.04392
2008-10-01,18.0,15912.1,15135.0,15077.236416972684,16757.21182172048,0.03486
2008-10-01,19.0,15764.464,15254.0,14949.822632073647,16571.019938250658,0.10894
2008-10-01,20.0,15941.372,16053.0,15175.010953196217,16704.474521933083,0.61038
