ds,y_hat,y
2015-01-01 00:00:00,15798.176,16375.0
2015-01-01 01:00:00,15112.384,16172.0
2015-01-01 02:00:00,14749.878,15968.0
2015-01-01 03:00:00,14574.813,15749.0
2015-01-01 04:00:00,14570.995,15727.0
2015-01-01 05:00:00,14755.412,15710.0
2015-01-01 06:00:00,15367.075,15937.0
2015-01-01 07:00:00,16391.3,16239.0
2015-01-01 08:00:00,17085.432,16573.0
2015-01-01 09:00:00,17152.002,16600.0
2015-01-01 10:00:00,17086.229,16439.0
2015-01-01 11:00:00,16870.635,16306.0
2015-01-01 12:00:00,16517.465,16064.0
2015-01-01 13:00:00,16150.283,15760.0
2015-01-01 14:00:00,15833.289,15511.0
2015-01-01 15:00:00,15543.698,15124.0
2015-01-01 16:00:00,15370.584,15000.0
2015-01-01 17:00:00,15487.3125,15365.0
2015-01-01 18:00:00,16218.217,16413.0
2015-01-01 19:00:00,16654.44,16662.0
2015-01-01 20:00:00,16574.445,16586.0
2015-01-01 21:00:00,16572.21,16312.0
2015-01-01 22:00:00,16332.321,15859.0
2015-01-01 23:00:00,15628.617,15195.0
2015-01-02 00:00:00,15008.016,14722.0
2015-01-02 01:00:00,14378.568,14338.0
2015-01-02 02:00:00,14052.859,14123.0
2015-01-02 03:00:00,13923.504,13981.0
2015-01-02 04:00:00,13935.628,13822.0
2015-01-02 05:00:00,14153.25,14111.0
2015-01-02 06:00:00,14762.356,14627.0
2015-01-02 07:00:00,15730.792,15440.0
2015-01-02 08:00:00,16525.035,16133.0
2015-01-02 09:00:00,16756.826,16422.0
2015-01-02 10:00:00,16847.098,16395.0
2015-01-02 11:00:00,16802.227,16238.0
2015-01-02 12:00:00,16568.557,16294.0
2015-01-02 13:00:00,16249.936,16008.0
2015-01-02 14:00:00,15970.027,15816.0
2015-01-02 15:00:00,15713.176,15563.0
2015-01-02 16:00:00,15554.56,15400.0
2015-01-02 17:00:00,15703.868,15607.0
2015-01-02 18:00:00,16423.764,16460.0
2015-01-02 19:00:00,16897.852,16662.0
2015-01-02 20:00:00,16736.621,16454.0
2015-01-02 21:00:00,16548.912,16322.0
2015-01-02 22:00:00,16348.712,16035.0
2015-01-02 23:00:00,15780.351,15406.0
2015-01-03 00:00:00,14807.757,14722.0
2015-01-03 01:00:00,14150.842,14146.0
2015-01-03 02:00:00,13776.517,13723.0
2015-01-03 03:00:00,13591.681,13530.0
2015-01-03 04:00:00,13535.747,13457.0
2015-01-03 05:00:00,13602.084,13589.0
2015-01-03 06:00:00,13803.776,13918.0
2015-01-03 07:00:00,14120.13,14231.0
2015-01-03 08:00:00,14635.217,14747.0
2015-01-03 09:00:00,15121.64,15053.0
2015-01-03 10:00:00,15430.504,15415.0
2015-01-03 11:00:00,15425.47,15637.0
2015-01-03 12:00:00,15233.499,15701.0
2015-01-03 13:00:00,14892.862,15476.0
2015-01-03 14:00:00,14537.784,15334.0
2015-01-03 15:00:00,14290.574,15152.0
