day,hour,y_hat,y
2008-09-30,0.0,14145.772,14260.0
2008-09-30,1.0,13334.478,13410.0
2008-09-30,2.0,12876.622,12818.0
2008-09-30,3.0,12632.413,12543.0
2008-09-30,4.0,12557.717,12348.0
2008-09-30,5.0,12759.671,12480.0
2008-09-30,6.0,13449.237,13164.0
2008-09-30,7.0,14707.273,14734.0
2008-09-30,8.0,15538.867,15478.0
2008-09-30,9.0,15823.905,15541.0
2008-09-30,10.0,16009.021,15803.0
2008-09-30,11.0,16118.936,16067.0
2008-09-30,12.0,16114.951,16228.0
2008-09-30,13.0,16145.875,16332.0
2008-09-30,14.0,16176.697,16417.0
2008-09-30,15.0,16120.091,16409.0
2008-09-30,16.0,16053.514,16251.0
2008-09-30,17.0,16098.019,16219.0
2008-09-30,18.0,16198.873,16072.0
2008-09-30,19.0,16277.283,15971.0
2008-09-30,20.0,16352.377,16509.0
2008-09-30,21.0,16499.164,16573.0
2008-09-30,22.0,16256.589,15772.0
2008-09-30,23.0,15339.203,14800.0
2008-10-01,0.0,13858.6045,13659.0
2008-10-01,1.0,13007.317,12782.0
2008-10-01,2.0,12509.98,12384.0
2008-10-01,3.0,12253.217,11883.0
2008-10-01,4.0,12172.904,11823.0
2008-10-01,5.0,12309.621,12033.0
2008-10-01,6.0,12848.115,12733.0
2008-10-01,7.0,13826.703,14358.0
2008-10-01,8.0,14525.602,15137.0
2008-10-01,9.0,14933.324,15210.0
2008-10-01,10.0,15181.928,15360.0
2008-10-01,11.0,15341.349,15574.0
2008-10-01,12.0,15402.196,15521.0
2008-10-01,13.0,15468.895,15571.0
2008-10-01,14.0,15471.872,15622.0
2008-10-01,15.0,15422.424,15515.0
2008-10-01,16.0,15378.59,15256.0
2008-10-01,17.0,15427.465,15176.0
2008-10-01,18.0,15608.067,15135.0
2008-10-01,19.0,15617.191,15254.0
2008-10-01,20.0,15644.282,16053.0
2008-10-01,21.0,15800.792,16331.0
2008-10-01,22.0,15610.983,15774.0
2008-10-01,23.0,14786.73,14803.0
2008-10-02,0.0,13886.267,13671.0
2008-10-02,1.0,13090.201,12933.0
2008-10-02,2.0,12625.933,12548.0
2008-10-02,3.0,12392.412,12281.0
2008-10-02,4.0,12315.194,12140.0
2008-10-02,5.0,12454.031,12347.0
2008-10-02,6.0,13031.5205,13183.0
2008-10-02,7.0,14044.743,14934.0
2008-10-02,8.0,14776.961,15858.0
2008-10-02,9.0,15172.877,15799.0
2008-10-02,10.0,15465.199,15885.0
2008-10-02,11.0,15692.929,16000.0
2008-10-02,12.0,15779.143,15982.0
2008-10-02,13.0,15838.554,15845.0
2008-10-02,14.0,15879.261,15776.0
2008-10-02,15.0,15824.422,15600.0
2008-10-02,16.0,15772.862,15489.0
2008-10-02,17.0,15863.986,15388.0
2008-10-02,18.0,16041.484,15329.0
2008-10-02,19.0,16141.219,15355.0
2008-10-02,20.0,16186.718,16113.0
2008-10-02,21.0,16285.912,16481.0
2008-10-02,22.0,16084.929,15906.0
2008-10-02,23.0,15228.127,14969.0
2008-10-03,0.0,13957.151,14082.0
2008-10-03,1.0,13137.657,13284.0
2008-10-03,2.0,12642.875,12890.0
2008-10-03,3.0,12370.124,12670.0
2008-10-03,4.0,12280.456,12618.0
2008-10-03,5.0,12415.447,12834.0
2008-10-03,6.0,12984.072,13630.0
2008-10-03,7.0,14010.724,15231.0
2008-10-03,8.0,14738.722,16245.0
2008-10-03,9.0,15122.473,16081.0
2008-10-03,10.0,15394.078,15959.0
2008-10-03,11.0,15615.3955,15912.0
2008-10-03,12.0,15645.116,15732.0
2008-10-03,13.0,15696.226,15624.0
2008-10-03,14.0,15727.049,15661.0
2008-10-03,15.0,15652.879,15421.0
2008-10-03,16.0,15590.236,15300.0
2008-10-03,17.0,15671.426,15146.0
2008-10-03,18.0,15834.361,15039.0
2008-10-03,19.0,15893.948,14821.0
2008-10-03,20.0,15903.551,15349.0
2008-10-03,21.0,16035.105,15296.0
2008-10-03,22.0,15847.48,14937.0
2008-10-03,23.0,15004.239,14122.0
2008-10-04,0.0,13063.309,13193.0
2008-10-04,1.0,12235.162,12369.0
