day,hour,y_hat,y
2016-09-30,0.0,10143.546,9902.0
2016-09-30,1.0,9389.197,9163.0
2016-09-30,2.0,8818.091,8694.0
2016-09-30,3.0,8475.3955,8429.0
2016-09-30,4.0,8262.891,8234.0
2016-09-30,5.0,8198.92,8212.0
2016-09-30,6.0,8370.24,8339.0
2016-09-30,7.0,8860.745,8949.0
2016-09-30,8.0,9643.221,10036.0
2016-09-30,9.0,10263.447,10766.0
2016-09-30,10.0,10686.32,11079.0
2016-09-30,11.0,10954.487,11331.0
2016-09-30,12.0,11222.115,11503.0
2016-09-30,13.0,11338.61,11449.0
2016-09-30,14.0,11380.236,11399.0
2016-09-30,15.0,11453.597,11394.0
2016-09-30,16.0,11433.816,11267.0
2016-09-30,17.0,11407.933,11138.0
2016-09-30,18.0,11406.517,11042.0
2016-09-30,19.0,11338.694,10998.0
2016-09-30,20.0,11205.258,11152.0
2016-09-30,21.0,11200.499,11121.0
2016-09-30,22.0,11159.504,10832.0
2016-09-30,23.0,10860.107,10458.0
2016-10-01,0.0,9760.489,9808.0
2016-10-01,1.0,8995.8125,9142.0
2016-10-01,2.0,8430.683,8616.0
2016-10-01,3.0,8038.4634,8302.0
2016-10-01,4.0,7763.252,8102.0
2016-10-01,5.0,7624.8296,7964.0
2016-10-01,6.0,7653.6816,7979.0
2016-10-01,7.0,7892.2734,8222.0
2016-10-01,8.0,8320.983,8603.0
2016-10-01,9.0,8725.75,8909.0
2016-10-01,10.0,9162.137,9375.0
2016-10-01,11.0,9481.537,9784.0
2016-10-01,12.0,9758.198,9969.0
2016-10-01,13.0,9897.094,10061.0
2016-10-01,14.0,9945.02,9950.0
2016-10-01,15.0,9933.328,9795.0
2016-10-01,16.0,9934.596,9698.0
2016-10-01,17.0,9871.138,9595.0
2016-10-01,18.0,9825.506,9573.0
2016-10-01,19.0,9664.408,9610.0
2016-10-01,20.0,9633.721,9864.0
2016-10-01,21.0,9768.455,10074.0
2016-10-01,22.0,9910.63,9950.0
2016-10-01,23.0,9655.99,9623.0
2016-10-02,0.0,9133.546,9182.0
2016-10-02,1.0,8549.814,8637.0
2016-10-02,2.0,8047.524,8213.0
2016-10-02,3.0,7733.245,7900.0
2016-10-02,4.0,7471.313,7734.0
2016-10-02,5.0,7360.5522,7594.0
2016-10-02,6.0,7319.7407,7595.0
2016-10-02,7.0,7430.8228,7633.0
2016-10-02,8.0,7550.82,7861.0
2016-10-02,9.0,7837.602,7872.0
2016-10-02,10.0,8341.076,8278.0
2016-10-02,11.0,8713.617,8548.0
2016-10-02,12.0,9014.76,8849.0
2016-10-02,13.0,9262.601,9038.0
2016-10-02,14.0,9347.198,9106.0
2016-10-02,15.0,9439.733,9114.0
2016-10-02,16.0,9524.163,9101.0
2016-10-02,17.0,9539.334,9191.0
2016-10-02,18.0,9559.15,9261.0
2016-10-02,19.0,9437.255,9346.0
2016-10-02,20.0,9423.672,9735.0
2016-10-02,21.0,9629.598,10042.0
2016-10-02,22.0,9807.894,9835.0
2016-10-02,23.0,9561.846,9483.0
2016-10-03,0.0,9147.447,9043.0
2016-10-03,1.0,8610.789,8514.0
2016-10-03,2.0,8175.6177,8181.0
2016-10-03,3.0,7944.1055,7958.0
2016-10-03,4.0,7832.448,7869.0
2016-10-03,5.0,7820.2026,7851.0
2016-10-03,6.0,8073.491,8097.0
2016-10-03,7.0,8692.464,8754.0
2016-10-03,8.0,9578.227,9912.0
2016-10-03,9.0,10277.753,10500.0
2016-10-03,10.0,10642.071,10885.0
2016-10-03,11.0,10869.445,11070.0
2016-10-03,12.0,11106.17,11341.0
2016-10-03,13.0,11306.985,11450.0
2016-10-03,14.0,11387.962,11480.0
2016-10-03,15.0,11543.684,11537.0
2016-10-03,16.0,11580.597,11434.0
2016-10-03,17.0,11540.155,11326.0
2016-10-03,18.0,11542.364,11249.0
2016-10-03,19.0,11526.606,11160.0
2016-10-03,20.0,11444.245,11389.0
2016-10-03,21.0,11497.697,11567.0
2016-10-03,22.0,11506.941,11255.0
2016-10-03,23.0,11029.288,10727.0
2016-10-04,0.0,10054.442,9955.0
2016-10-04,1.0,9208.817,9197.0
2016-10-04,2.0,8635.619,8701.0
2016-10-04,3.0,8251.42,8404.0
2016-10-04,4.0,7994.134,8227.0
2016-10-04,5.0,7932.5117,8162.0
2016-10-04,6.0,8090.554,8363.0
2016-10-04,7.0,8656.8545,9011.0
2016-10-04,8.0,9559.453,10128.0
2016-10-04,9.0,10332.642,10736.0
2016-10-04,10.0,10847.202,11050.0
2016-10-04,11.0,11204.945,11282.0
2016-10-04,12.0,11576.984,11583.0
2016-10-04,13.0,11848.478,11837.0
2016-10-04,14.0,12051.273,11905.0
2016-10-04,15.0,12209.18,12005.0
2016-10-04,16.0,12310.2705,12015.0
2016-10-04,17.0,12296.724,12007.0
2016-10-04,18.0,12212.103,11951.0
2016-10-04,19.0,12027.924,11731.0
2016-10-04,20.0,11772.214,11747.0
2016-10-04,21.0,11835.631,12025.0
2016-10-04,22.0,11805.847,11731.0
2016-10-04,23.0,11373.985,11146.0
2016-10-05,0.0,10505.807,10298.0
2016-10-05,1.0,9729.657,9495.0
2016-10-05,2.0,9212.842,8953.0
2016-10-05,3.0,8911.96,8601.0
2016-10-05,4.0,8737.602,8432.0
2016-10-05,5.0,8694.436,8378.0
2016-10-05,6.0,8902.617,8550.0
2016-10-05,7.0,9576.041,9217.0
2016-10-05,8.0,10627.845,10384.0
2016-10-05,9.0,11276.857,10960.0
2016-10-05,10.0,11599.441,11430.0
2016-10-05,11.0,11818.291,11835.0
2016-10-05,12.0,12026.834,12289.0
2016-10-05,13.0,12123.911,12387.0
2016-10-05,14.0,12201.769,12510.0
2016-10-05,15.0,12308.544,12639.0
