day,hour,y_hat,y
2016-09-30,0.0,9951.525,9902.0
2016-09-30,1.0,9163.816,9163.0
2016-09-30,2.0,8638.356,8694.0
2016-09-30,3.0,8296.42,8429.0
2016-09-30,4.0,8102.893,8234.0
2016-09-30,5.0,8044.983,8212.0
2016-09-30,6.0,8224.932,8339.0
2016-09-30,7.0,8853.407,8949.0
2016-09-30,8.0,9787.178,10036.0
2016-09-30,9.0,10411.005,10766.0
2016-09-30,10.0,10747.177,11079.0
2016-09-30,11.0,10947.097,11331.0
2016-09-30,12.0,11091.052,11503.0
2016-09-30,13.0,11142.483,11449.0
2016-09-30,14.0,11130.988,11399.0
2016-09-30,15.0,11110.672,11394.0
2016-09-30,16.0,11061.122,11267.0
2016-09-30,17.0,11001.799,11138.0
2016-09-30,18.0,10959.042,11042.0
2016-09-30,19.0,10811.198,10998.0
2016-09-30,20.0,10755.468,11152.0
2016-09-30,21.0,10854.005,11121.0
2016-09-30,22.0,10817.231,10832.0
2016-09-30,23.0,10360.897,10458.0
2016-10-01,0.0,9928.0205,9808.0
2016-10-01,1.0,9266.014,9142.0
2016-10-01,2.0,8735.121,8616.0
2016-10-01,3.0,8393.8,8302.0
2016-10-01,4.0,8169.441,8102.0
2016-10-01,5.0,8050.342,7964.0
2016-10-01,6.0,8066.535,7979.0
2016-10-01,7.0,8267.224,8222.0
2016-10-01,8.0,8603.089,8603.0
2016-10-01,9.0,8887.292,8909.0
2016-10-01,10.0,9265.197,9375.0
2016-10-01,11.0,9557.509,9784.0
2016-10-01,12.0,9766.336,9969.0
2016-10-01,13.0,9830.593,10061.0
2016-10-01,14.0,9838.261,9950.0
2016-10-01,15.0,9790.677,9795.0
2016-10-01,16.0,9752.61,9698.0
2016-10-01,17.0,9708.845,9595.0
2016-10-01,18.0,9739.163,9573.0
2016-10-01,19.0,9726.654,9610.0
2016-10-01,20.0,9839.326,9864.0
2016-10-01,21.0,10098.806,10074.0
2016-10-01,22.0,10170.009,9950.0
2016-10-01,23.0,9913.496,9623.0
2016-10-02,0.0,9166.82,9182.0
2016-10-02,1.0,8665.419,8637.0
2016-10-02,2.0,8222.144,8213.0
2016-10-02,3.0,7916.353,7900.0
2016-10-02,4.0,7736.927,7734.0
2016-10-02,5.0,7619.907,7594.0
2016-10-02,6.0,7617.3657,7595.0
2016-10-02,7.0,7682.135,7633.0
2016-10-02,8.0,7807.612,7861.0
2016-10-02,9.0,7970.7515,7872.0
2016-10-02,10.0,8313.922,8278.0
2016-10-02,11.0,8637.4,8548.0
2016-10-02,12.0,8852.22,8849.0
2016-10-02,13.0,8977.638,9038.0
2016-10-02,14.0,9050.282,9106.0
2016-10-02,15.0,9053.032,9114.0
2016-10-02,16.0,9078.885,9101.0
2016-10-02,17.0,9108.714,9191.0
2016-10-02,18.0,9273.72,9261.0
2016-10-02,19.0,9414.704,9346.0
2016-10-02,20.0,9567.757,9735.0
2016-10-02,21.0,9764.887,10042.0
2016-10-02,22.0,9901.883,9835.0
2016-10-02,23.0,9658.303,9483.0
2016-10-03,0.0,9211.313,9043.0
2016-10-03,1.0,8586.382,8514.0
2016-10-03,2.0,8173.788,8181.0
2016-10-03,3.0,7927.866,7958.0
2016-10-03,4.0,7803.645,7869.0
2016-10-03,5.0,7810.006,7851.0
2016-10-03,6.0,8059.4775,8097.0
2016-10-03,7.0,8772.729,8754.0
2016-10-03,8.0,9834.259,9912.0
2016-10-03,9.0,10475.744,10500.0
2016-10-03,10.0,10749.035,10885.0
2016-10-03,11.0,10914.023,11070.0
2016-10-03,12.0,11078.515,11341.0
2016-10-03,13.0,11166.365,11450.0
2016-10-03,14.0,11188.603,11480.0
2016-10-03,15.0,11250.506,11537.0
2016-10-03,16.0,11217.295,11434.0
2016-10-03,17.0,11186.357,11326.0
2016-10-03,18.0,11300.402,11249.0
2016-10-03,19.0,11388.525,11160.0
2016-10-03,20.0,11363.332,11389.0
2016-10-03,21.0,11410.849,11567.0
2016-10-03,22.0,11272.558,11255.0
2016-10-03,23.0,10719.578,10727.0
2016-10-04,0.0,10098.331,9955.0
2016-10-04,1.0,9317.966,9197.0
2016-10-04,2.0,8783.981,8701.0
2016-10-04,3.0,8453.664,8404.0
2016-10-04,4.0,8260.973,8227.0
2016-10-04,5.0,8191.2783,8162.0
2016-10-04,6.0,8399.171,8363.0
2016-10-04,7.0,9022.006,9011.0
2016-10-04,8.0,10020.158,10128.0
2016-10-04,9.0,10717.517,10736.0
2016-10-04,10.0,11065.31,11050.0
2016-10-04,11.0,11282.508,11282.0
2016-10-04,12.0,11501.652,11583.0
2016-10-04,13.0,11629.92,11837.0
2016-10-04,14.0,11701.46,11905.0
2016-10-04,15.0,11846.828,12005.0
2016-10-04,16.0,11858.831,12015.0
2016-10-04,17.0,11800.939,12007.0
2016-10-04,18.0,11789.287,11951.0
2016-10-04,19.0,11803.14,11731.0
2016-10-04,20.0,11688.588,11747.0
2016-10-04,21.0,11677.036,12025.0
2016-10-04,22.0,11538.023,11731.0
2016-10-04,23.0,11094.017,11146.0
2016-10-05,0.0,10221.597,10298.0
2016-10-05,1.0,9496.135,9495.0
2016-10-05,2.0,8981.613,8953.0
2016-10-05,3.0,8662.403,8601.0
2016-10-05,4.0,8453.611,8432.0
2016-10-05,5.0,8425.506,8378.0
2016-10-05,6.0,8625.393,8550.0
2016-10-05,7.0,9284.334,9217.0
2016-10-05,8.0,10437.706,10384.0
2016-10-05,9.0,11206.704,10960.0
2016-10-05,10.0,11643.108,11430.0
2016-10-05,11.0,11916.165,11835.0
2016-10-05,12.0,12248.637,12289.0
2016-10-05,13.0,12396.65,12387.0
2016-10-05,14.0,12516.095,12510.0
2016-10-05,15.0,12646.103,12639.0
2016-10-05,16.0,12728.652,12970.0
2016-10-05,17.0,12665.098,13030.0
2016-10-05,18.0,12677.269,13006.0
2016-10-05,19.0,12651.402,12736.0
2016-10-05,20.0,12651.687,12650.0
2016-10-05,21.0,12599.396,12673.0
2016-10-05,22.0,12361.505,12234.0
2016-10-05,23.0,11872.491,11479.0
2016-10-06,0.0,10555.118,10562.0
2016-10-06,1.0,9706.872,9695.0
2016-10-06,2.0,9149.919,9067.0
2016-10-06,3.0,8755.412,8703.0
2016-10-06,4.0,8536.177,8498.0
2016-10-06,5.0,8472.84,8401.0
2016-10-06,6.0,8664.663,8601.0
2016-10-06,7.0,9290.214,9347.0
2016-10-06,8.0,10267.499,10526.0
2016-10-06,9.0,10978.986,11316.0
2016-10-06,10.0,11314.127,11678.0
2016-10-06,11.0,11649.025,11920.0
2016-10-06,12.0,11885.477,12105.0
2016-10-06,13.0,12031.83,12139.0
2016-10-06,14.0,12107.681,12348.0
2016-10-06,15.0,12243.871,12444.0
2016-10-06,16.0,12261.999,12345.0
2016-10-06,17.0,12203.714,12343.0
2016-10-06,18.0,12330.233,12308.0
2016-10-06,19.0,12350.154,12193.0
2016-10-06,20.0,12141.23,12451.0
2016-10-06,21.0,12100.706,12496.0
2016-10-06,22.0,11951.512,12196.0
2016-10-06,23.0,11487.665,11639.0
2016-10-07,0.0,10366.909,10825.0
2016-10-07,1.0,9559.29,9997.0
2016-10-07,2.0,8994.406,9411.0
2016-10-07,3.0,8652.112,9069.0
2016-10-07,4.0,8437.691,8690.0
2016-10-07,5.0,8374.594,8621.0
2016-10-07,6.0,8545.605,8789.0
2016-10-07,7.0,9148.652,9399.0
2016-10-07,8.0,10087.071,10473.0
2016-10-07,9.0,10685.446,11015.0
2016-10-07,10.0,11008.927,11541.0
2016-10-07,11.0,11232.319,11864.0
2016-10-07,12.0,11397.76,12188.0
2016-10-07,13.0,11441.099,11994.0
2016-10-07,14.0,11417.761,11722.0
2016-10-07,15.0,11431.227,11445.0
2016-10-07,16.0,11352.06,11245.0
