day,hour,y_hat,y
2016-09-30,0.0,9954.033,9902.0
2016-09-30,1.0,9232.787,9163.0
2016-09-30,2.0,8718.858,8694.0
2016-09-30,3.0,8404.301,8429.0
2016-09-30,4.0,8209.366,8234.0
2016-09-30,5.0,8171.522,8212.0
2016-09-30,6.0,8341.559,8339.0
2016-09-30,7.0,8880.449,8949.0
2016-09-30,8.0,9726.825,10036.0
2016-09-30,9.0,10305.908,10766.0
2016-09-30,10.0,10613.871,11079.0
2016-09-30,11.0,10810.667,11331.0
2016-09-30,12.0,10992.091,11503.0
2016-09-30,13.0,11070.148,11449.0
2016-09-30,14.0,11084.658,11399.0
2016-09-30,15.0,11133.682,11394.0
2016-09-30,16.0,11103.86,11267.0
2016-09-30,17.0,11031.005,11138.0
2016-09-30,18.0,11105.985,11042.0
2016-09-30,19.0,11105.899,10998.0
2016-09-30,20.0,11042.102,11152.0
2016-09-30,21.0,11107.848,11121.0
2016-09-30,22.0,11109.137,10832.0
2016-09-30,23.0,10719.534,10458.0
2016-10-01,0.0,9832.462,9808.0
2016-10-01,1.0,9174.516,9142.0
2016-10-01,2.0,8673.981,8616.0
2016-10-01,3.0,8352.053,8302.0
2016-10-01,4.0,8157.061,8102.0
2016-10-01,5.0,8055.794,7964.0
2016-10-01,6.0,8107.1343,7979.0
2016-10-01,7.0,8318.58,8222.0
2016-10-01,8.0,8665.999,8603.0
2016-10-01,9.0,9008.042,8909.0
2016-10-01,10.0,9396.469,9375.0
2016-10-01,11.0,9660.093,9784.0
2016-10-01,12.0,9839.348,9969.0
2016-10-01,13.0,9893.617,10061.0
2016-10-01,14.0,9844.751,9950.0
2016-10-01,15.0,9726.558,9795.0
2016-10-01,16.0,9632.929,9698.0
2016-10-01,17.0,9612.797,9595.0
2016-10-01,18.0,9681.467,9573.0
2016-10-01,19.0,9739.63,9610.0
2016-10-01,20.0,9803.68,9864.0
2016-10-01,21.0,9951.45,10074.0
2016-10-01,22.0,10071.962,9950.0
2016-10-01,23.0,9855.747,9623.0
2016-10-02,0.0,9340.2295,9182.0
2016-10-02,1.0,8846.645,8637.0
2016-10-02,2.0,8398.698,8213.0
2016-10-02,3.0,8041.1787,7900.0
2016-10-02,4.0,7885.3096,7734.0
2016-10-02,5.0,7708.096,7594.0
2016-10-02,6.0,7753.9614,7595.0
2016-10-02,7.0,7779.2437,7633.0
2016-10-02,8.0,7929.298,7861.0
2016-10-02,9.0,8098.47,7872.0
2016-10-02,10.0,8430.29,8278.0
2016-10-02,11.0,8705.523,8548.0
2016-10-02,12.0,8895.45,8849.0
2016-10-02,13.0,8905.1045,9038.0
2016-10-02,14.0,8867.872,9106.0
2016-10-02,15.0,8936.633,9114.0
2016-10-02,16.0,8809.037,9101.0
2016-10-02,17.0,8880.7295,9191.0
2016-10-02,18.0,8967.768,9261.0
2016-10-02,19.0,9202.208,9346.0
2016-10-02,20.0,9492.628,9735.0
2016-10-02,21.0,9699.368,10042.0
2016-10-02,22.0,9695.551,9835.0
2016-10-02,23.0,9524.657,9483.0
2016-10-03,0.0,9336.761,9043.0
2016-10-03,1.0,8714.081,8514.0
2016-10-03,2.0,8311.59,8181.0
2016-10-03,3.0,8066.924,7958.0
2016-10-03,4.0,7934.283,7869.0
2016-10-03,5.0,7908.7544,7851.0
2016-10-03,6.0,8144.915,8097.0
2016-10-03,7.0,8862.903,8754.0
2016-10-03,8.0,9828.01,9912.0
2016-10-03,9.0,10569.039,10500.0
2016-10-03,10.0,10856.768,10885.0
2016-10-03,11.0,11114.894,11070.0
2016-10-03,12.0,11302.378,11341.0
2016-10-03,13.0,11461.3,11450.0
2016-10-03,14.0,11526.507,11480.0
2016-10-03,15.0,11595.647,11537.0
2016-10-03,16.0,11574.198,11434.0
2016-10-03,17.0,11522.532,11326.0
2016-10-03,18.0,11512.711,11249.0
2016-10-03,19.0,11470.215,11160.0
2016-10-03,20.0,11402.216,11389.0
2016-10-03,21.0,11413.742,11567.0
2016-10-03,22.0,11409.711,11255.0
2016-10-03,23.0,10967.542,10727.0
2016-10-04,0.0,10030.539,9955.0
2016-10-04,1.0,9273.908,9197.0
2016-10-04,2.0,8793.587,8701.0
2016-10-04,3.0,8513.072,8404.0
2016-10-04,4.0,8360.444,8227.0
2016-10-04,5.0,8315.955,8162.0
2016-10-04,6.0,8547.169,8363.0
2016-10-04,7.0,9222.266,9011.0
2016-10-04,8.0,10255.835,10128.0
2016-10-04,9.0,10906.599,10736.0
2016-10-04,10.0,11185.784,11050.0
2016-10-04,11.0,11345.034,11282.0
2016-10-04,12.0,11507.066,11583.0
2016-10-04,13.0,11567.804,11837.0
2016-10-04,14.0,11627.144,11905.0
2016-10-04,15.0,11644.967,12005.0
2016-10-04,16.0,11623.883,12015.0
2016-10-04,17.0,11531.056,12007.0
2016-10-04,18.0,11619.742,11951.0
