day,hour,y_hat,y
2016-09-30,0.0,10137.425,9902.0
2016-09-30,1.0,9352.466,9163.0
2016-09-30,2.0,8780.495,8694.0
2016-09-30,3.0,8431.689,8429.0
2016-09-30,4.0,8216.913,8234.0
2016-09-30,5.0,8159.4766,8212.0
2016-09-30,6.0,8321.544,8339.0
2016-09-30,7.0,8882.077,8949.0
2016-09-30,8.0,9767.901,10036.0
2016-09-30,9.0,10453.795,10766.0
2016-09-30,10.0,10849.586,11079.0
2016-09-30,11.0,11130.426,11331.0
2016-09-30,12.0,11383.091,11503.0
2016-09-30,13.0,11499.171,11449.0
2016-09-30,14.0,11561.342,11399.0
2016-09-30,15.0,11656.467,11394.0
2016-09-30,16.0,11654.792,11267.0
2016-09-30,17.0,11511.752,11138.0
2016-09-30,18.0,11447.8955,11042.0
2016-09-30,19.0,11264.165,10998.0
2016-09-30,20.0,11073.924,11152.0
2016-09-30,21.0,11074.975,11121.0
2016-09-30,22.0,11050.964,10832.0
2016-09-30,23.0,10720.499,10458.0
2016-10-01,0.0,10180.199,9808.0
2016-10-01,1.0,9459.177,9142.0
2016-10-01,2.0,8875.11,8616.0
2016-10-01,3.0,8522.125,8302.0
2016-10-01,4.0,8264.299,8102.0
2016-10-01,5.0,8165.379,7964.0
2016-10-01,6.0,8190.0317,7979.0
2016-10-01,7.0,8370.259,8222.0
2016-10-01,8.0,8738.943,8603.0
2016-10-01,9.0,9123.591,8909.0
2016-10-01,10.0,9513.294,9375.0
2016-10-01,11.0,9859.447,9784.0
2016-10-01,12.0,10038.206,9969.0
2016-10-01,13.0,10145.504,10061.0
2016-10-01,14.0,10165.897,9950.0
2016-10-01,15.0,10135.491,9795.0
2016-10-01,16.0,10111.082,9698.0
2016-10-01,17.0,10101.149,9595.0
2016-10-01,18.0,10100.749,9573.0
2016-10-01,19.0,10140.817,9610.0
2016-10-01,20.0,10133.357,9864.0
2016-10-01,21.0,10250.621,10074.0
2016-10-01,22.0,10344.677,9950.0
2016-10-01,23.0,10093.192,9623.0
2016-10-02,0.0,9289.417,9182.0
2016-10-02,1.0,8766.067,8637.0
2016-10-02,2.0,8325.248,8213.0
2016-10-02,3.0,8036.896,7900.0
2016-10-02,4.0,7843.5303,7734.0
2016-10-02,5.0,7748.936,7594.0
2016-10-02,6.0,7746.789,7595.0
2016-10-02,7.0,7835.8296,7633.0
2016-10-02,8.0,7986.4424,7861.0
2016-10-02,9.0,8172.7485,7872.0
2016-10-02,10.0,8510.798,8278.0
2016-10-02,11.0,8767.157,8548.0
2016-10-02,12.0,8979.31,8849.0
2016-10-02,13.0,9080.361,9038.0
2016-10-02,14.0,9120.838,9106.0
2016-10-02,15.0,9104.375,9114.0
2016-10-02,16.0,9108.052,9101.0
2016-10-02,17.0,9130.992,9191.0
2016-10-02,18.0,9260.55,9261.0
2016-10-02,19.0,9423.588,9346.0
2016-10-02,20.0,9641.811,9735.0
2016-10-02,21.0,9853.763,10042.0
2016-10-02,22.0,9947.697,9835.0
2016-10-02,23.0,9699.815,9483.0
2016-10-03,0.0,9220.91,9043.0
2016-10-03,1.0,8663.144,8514.0
2016-10-03,2.0,8264.977,8181.0
2016-10-03,3.0,8000.2593,7958.0
2016-10-03,4.0,7870.093,7869.0
2016-10-03,5.0,7842.7554,7851.0
2016-10-03,6.0,8121.29,8097.0
2016-10-03,7.0,8775.605,8754.0
2016-10-03,8.0,9764.368,9912.0
2016-10-03,9.0,10405.412,10500.0
2016-10-03,10.0,10795.39,10885.0
2016-10-03,11.0,11003.362,11070.0
2016-10-03,12.0,11227.46,11341.0
2016-10-03,13.0,11358.288,11450.0
2016-10-03,14.0,11435.447,11480.0
2016-10-03,15.0,11527.745,11537.0
2016-10-03,16.0,11578.629,11434.0
2016-10-03,17.0,11518.135,11326.0
2016-10-03,18.0,11536.23,11249.0
2016-10-03,19.0,11611.263,11160.0
2016-10-03,20.0,11494.885,11389.0
2016-10-03,21.0,11560.378,11567.0
2016-10-03,22.0,11581.928,11255.0
2016-10-03,23.0,11099.196,10727.0
2016-10-04,0.0,10033.043,9955.0
2016-10-04,1.0,9258.786,9197.0
2016-10-04,2.0,8741.979,8701.0
2016-10-04,3.0,8444.179,8404.0
2016-10-04,4.0,8242.922,8227.0
2016-10-04,5.0,8203.096,8162.0
2016-10-04,6.0,8407.313,8363.0
2016-10-04,7.0,9068.554,9011.0
2016-10-04,8.0,10094.232,10128.0
2016-10-04,9.0,10796.409,10736.0
2016-10-04,10.0,11173.133,11050.0
2016-10-04,11.0,11405.78,11282.0
2016-10-04,12.0,11620.625,11583.0
2016-10-04,13.0,11759.983,11837.0
2016-10-04,14.0,11828.567,11905.0
2016-10-04,15.0,11963.65,12005.0
2016-10-04,16.0,11953.506,12015.0
2016-10-04,17.0,11881.279,12007.0
2016-10-04,18.0,11878.034,11951.0
2016-10-04,19.0,11827.931,11731.0
2016-10-04,20.0,11749.572,11747.0
2016-10-04,21.0,11785.535,12025.0
2016-10-04,22.0,11664.322,11731.0
2016-10-04,23.0,11240.455,11146.0
2016-10-05,0.0,10668.894,10298.0
2016-10-05,1.0,9888.642,9495.0
2016-10-05,2.0,9399.141,8953.0
2016-10-05,3.0,9075.468,8601.0
2016-10-05,4.0,8916.48,8432.0
2016-10-05,5.0,8849.878,8378.0
2016-10-05,6.0,9093.791,8550.0
2016-10-05,7.0,9755.801,9217.0
2016-10-05,8.0,10848.091,10384.0
2016-10-05,9.0,11489.137,10960.0
2016-10-05,10.0,11751.999,11430.0
2016-10-05,11.0,11903.267,11835.0
2016-10-05,12.0,12083.277,12289.0
2016-10-05,13.0,12098.935,12387.0
2016-10-05,14.0,12125.288,12510.0
2016-10-05,15.0,12198.928,12639.0
2016-10-05,16.0,12168.283,12970.0
2016-10-05,17.0,12189.56,13030.0
2016-10-05,18.0,12381.64,13006.0
2016-10-05,19.0,12541.692,12736.0
2016-10-05,20.0,12426.079,12650.0
2016-10-05,21.0,12429.5625,12673.0
2016-10-05,22.0,12276.891,12234.0
2016-10-05,23.0,11842.198,11479.0
2016-10-06,0.0,10815.421,10562.0
2016-10-06,1.0,10011.617,9695.0
2016-10-06,2.0,9473.518,9067.0
2016-10-06,3.0,9136.224,8703.0
2016-10-06,4.0,8940.393,8498.0
2016-10-06,5.0,8892.714,8401.0
2016-10-06,6.0,9099.224,8601.0
2016-10-06,7.0,9732.771,9347.0
2016-10-06,8.0,10696.8125,10526.0
2016-10-06,9.0,11344.274,11316.0
2016-10-06,10.0,11646.078,11678.0
2016-10-06,11.0,11843.336,11920.0
2016-10-06,12.0,11993.878,12105.0
2016-10-06,13.0,12065.145,12139.0
2016-10-06,14.0,12069.311,12348.0
2016-10-06,15.0,12156.478,12444.0
2016-10-06,16.0,12095.141,12345.0
2016-10-06,17.0,12099.67,12343.0
2016-10-06,18.0,12178.682,12308.0
2016-10-06,19.0,12260.379,12193.0
2016-10-06,20.0,12142.421,12451.0
2016-10-06,21.0,12094.293,12496.0
2016-10-06,22.0,11981.532,12196.0
2016-10-06,23.0,11563.902,11639.0
2016-10-07,0.0,10271.48,10825.0
2016-10-07,1.0,9500.181,9997.0
2016-10-07,2.0,8992.203,9411.0
2016-10-07,3.0,8699.499,9069.0
2016-10-07,4.0,8495.452,8690.0
2016-10-07,5.0,8461.885,8621.0
2016-10-07,6.0,8635.955,8789.0
2016-10-07,7.0,9243.398,9399.0
2016-10-07,8.0,10094.494,10473.0
2016-10-07,9.0,10631.4,11015.0
2016-10-07,10.0,10878.941,11541.0
