day,hour,y_hat,y
2016-09-30,0.0,10012.907,9902.0
2016-09-30,1.0,9257.48,9163.0
2016-09-30,2.0,8724.217,8694.0
2016-09-30,3.0,8386.508,8429.0
2016-09-30,4.0,8201.5205,8234.0
2016-09-30,5.0,8140.771,8212.0
2016-09-30,6.0,8348.223,8339.0
2016-09-30,7.0,8927.167,8949.0
2016-09-30,8.0,9816.435,10036.0
2016-09-30,9.0,10495.896,10766.0
2016-09-30,10.0,10866.924,11079.0
2016-09-30,11.0,11136.04,11331.0
2016-09-30,12.0,11343.01,11503.0
2016-09-30,13.0,11428.251,11449.0
2016-09-30,14.0,11457.05,11399.0
2016-09-30,15.0,11526.355,11394.0
2016-09-30,16.0,11516.244,11267.0
2016-09-30,17.0,11445.825,11138.0
2016-09-30,18.0,11403.857,11042.0
2016-09-30,19.0,11283.622,10998.0
2016-09-30,20.0,11159.988,11152.0
2016-09-30,21.0,11197.144,11121.0
2016-09-30,22.0,11161.657,10832.0
2016-09-30,23.0,10812.233,10458.0
2016-10-01,0.0,9957.713,9808.0
2016-10-01,1.0,9249.873,9142.0
2016-10-01,2.0,8680.947,8616.0
2016-10-01,3.0,8343.493,8302.0
2016-10-01,4.0,8091.8447,8102.0
2016-10-01,5.0,7949.2837,7964.0
2016-10-01,6.0,7984.432,7979.0
2016-10-01,7.0,8141.851,8222.0
2016-10-01,8.0,8476.906,8603.0
2016-10-01,9.0,8830.747,8909.0
2016-10-01,10.0,9245.567,9375.0
2016-10-01,11.0,9510.944,9784.0
2016-10-01,12.0,9723.959,9969.0
2016-10-01,13.0,9801.615,10061.0
2016-10-01,14.0,9803.344,9950.0
2016-10-01,15.0,9793.329,9795.0
2016-10-01,16.0,9667.709,9698.0
2016-10-01,17.0,9626.698,9595.0
2016-10-01,18.0,9688.823,9573.0
2016-10-01,19.0,9756.289,9610.0
2016-10-01,20.0,9714.817,9864.0
2016-10-01,21.0,9831.416,10074.0
2016-10-01,22.0,9912.958,9950.0
2016-10-01,23.0,9702.314,9623.0
2016-10-02,0.0,9040.51,9182.0
2016-10-02,1.0,8484.979,8637.0
2016-10-02,2.0,8002.299,8213.0
2016-10-02,3.0,7727.2725,7900.0
2016-10-02,4.0,7486.853,7734.0
2016-10-02,5.0,7353.5674,7594.0
2016-10-02,6.0,7358.3604,7595.0
2016-10-02,7.0,7484.1387,7633.0
2016-10-02,8.0,7628.218,7861.0
2016-10-02,9.0,7908.2515,7872.0
2016-10-02,10.0,8374.609,8278.0
2016-10-02,11.0,8671.11,8548.0
2016-10-02,12.0,8971.619,8849.0
2016-10-02,13.0,9098.056,9038.0
2016-10-02,14.0,9263.819,9106.0
2016-10-02,15.0,9299.11,9114.0
2016-10-02,16.0,9328.826,9101.0
2016-10-02,17.0,9358.521,9191.0
2016-10-02,18.0,9430.672,9261.0
2016-10-02,19.0,9348.254,9346.0
2016-10-02,20.0,9332.169,9735.0
2016-10-02,21.0,9552.524,10042.0
2016-10-02,22.0,9728.561,9835.0
2016-10-02,23.0,9504.472,9483.0
2016-10-03,0.0,9128.1455,9043.0
2016-10-03,1.0,8576.167,8514.0
2016-10-03,2.0,8182.6353,8181.0
2016-10-03,3.0,7930.009,7958.0
2016-10-03,4.0,7796.9814,7869.0
2016-10-03,5.0,7764.7026,7851.0
2016-10-03,6.0,7962.338,8097.0
2016-10-03,7.0,8447.552,8754.0
2016-10-03,8.0,9217.264,9912.0
2016-10-03,9.0,9875.438,10500.0
2016-10-03,10.0,10360.626,10885.0
2016-10-03,11.0,10727.358,11070.0
2016-10-03,12.0,11072.092,11341.0
2016-10-03,13.0,11284.833,11450.0
2016-10-03,14.0,11442.911,11480.0
2016-10-03,15.0,11566.761,11537.0
2016-10-03,16.0,11648.253,11434.0
2016-10-03,17.0,11620.01,11326.0
2016-10-03,18.0,11548.597,11249.0
2016-10-03,19.0,11443.919,11160.0
2016-10-03,20.0,11345.618,11389.0
2016-10-03,21.0,11423.016,11567.0
2016-10-03,22.0,11440.964,11255.0
2016-10-03,23.0,11017.586,10727.0
2016-10-04,0.0,10221.159,9955.0
2016-10-04,1.0,9395.143,9197.0
2016-10-04,2.0,8836.24,8701.0
2016-10-04,3.0,8495.451,8404.0
2016-10-04,4.0,8304.74,8227.0
2016-10-04,5.0,8232.499,8162.0
2016-10-04,6.0,8449.35,8363.0
2016-10-04,7.0,9080.757,9011.0
2016-10-04,8.0,10041.08,10128.0
2016-10-04,9.0,10775.584,10736.0
2016-10-04,10.0,11146.975,11050.0
2016-10-04,11.0,11398.212,11282.0
2016-10-04,12.0,11680.87,11583.0
2016-10-04,13.0,11849.427,11837.0
2016-10-04,14.0,11961.381,11905.0
2016-10-04,15.0,12077.958,12005.0
2016-10-04,16.0,12117.661,12015.0
2016-10-04,17.0,12061.851,12007.0
2016-10-04,18.0,12083.495,11951.0
2016-10-04,19.0,11970.664,11731.0
2016-10-04,20.0,11783.286,11747.0
2016-10-04,21.0,11837.474,12025.0
2016-10-04,22.0,11786.075,11731.0
2016-10-04,23.0,11318.099,11146.0
2016-10-05,0.0,10628.297,10298.0
2016-10-05,1.0,9865.306,9495.0
2016-10-05,2.0,9259.981,8953.0
2016-10-05,3.0,8937.587,8601.0
2016-10-05,4.0,8714.519,8432.0
2016-10-05,5.0,8623.692,8378.0
2016-10-05,6.0,8786.388,8550.0
2016-10-05,7.0,9386.683,9217.0
2016-10-05,8.0,10333.832,10384.0
2016-10-05,9.0,10972.66,10960.0
2016-10-05,10.0,11337.386,11430.0
2016-10-05,11.0,11625.214,11835.0
2016-10-05,12.0,11879.5625,12289.0
2016-10-05,13.0,12011.452,12387.0
2016-10-05,14.0,12117.753,12510.0
2016-10-05,15.0,12285.934,12639.0
2016-10-05,16.0,12306.398,12970.0
2016-10-05,17.0,12289.521,13030.0
2016-10-05,18.0,12371.039,13006.0
2016-10-05,19.0,12458.249,12736.0
2016-10-05,20.0,12206.092,12650.0
2016-10-05,21.0,12194.386,12673.0
2016-10-05,22.0,12135.073,12234.0
2016-10-05,23.0,11646.049,11479.0
2016-10-06,0.0,10754.034,10562.0
2016-10-06,1.0,9844.979,9695.0
2016-10-06,2.0,9183.524,9067.0
2016-10-06,3.0,8790.917,8703.0
2016-10-06,4.0,8528.516,8498.0
2016-10-06,5.0,8438.804,8401.0
2016-10-06,6.0,8611.562,8601.0
2016-10-06,7.0,9253.56,9347.0
2016-10-06,8.0,10278.099,10526.0
2016-10-06,9.0,11064.742,11316.0
2016-10-06,10.0,11479.159,11678.0
2016-10-06,11.0,11801.29,11920.0
2016-10-06,12.0,12105.896,12105.0
2016-10-06,13.0,12300.724,12139.0
2016-10-06,14.0,12452.106,12348.0
2016-10-06,15.0,12611.049,12444.0
2016-10-06,16.0,12624.511,12345.0
