day,hour,y_hat,y
2016-09-30,0.0,10278.786,9902.0
2016-09-30,1.0,9448.239,9163.0
2016-09-30,2.0,8857.776,8694.0
2016-09-30,3.0,8479.606,8429.0
2016-09-30,4.0,8228.014,8234.0
2016-09-30,5.0,8142.0522,8212.0
2016-09-30,6.0,8287.986,8339.0
2016-09-30,7.0,8762.194,8949.0
2016-09-30,8.0,9553.282,10036.0
2016-09-30,9.0,10284.103,10766.0
2016-09-30,10.0,10785.262,11079.0
2016-09-30,11.0,11148.115,11331.0
2016-09-30,12.0,11452.291,11503.0
2016-09-30,13.0,11624.637,11449.0
2016-09-30,14.0,11716.1455,11399.0
2016-09-30,15.0,11782.91,11394.0
2016-09-30,16.0,11778.018,11267.0
2016-09-30,17.0,11692.64,11138.0
2016-09-30,18.0,11569.584,11042.0
2016-09-30,19.0,11352.529,10998.0
2016-09-30,20.0,11184.18,11152.0
2016-09-30,21.0,11154.657,11121.0
2016-09-30,22.0,11179.164,10832.0
2016-09-30,23.0,10891.414,10458.0
2016-10-01,0.0,9801.204,9808.0
2016-10-01,1.0,9099.647,9142.0
2016-10-01,2.0,8584.797,8616.0
2016-10-01,3.0,8220.486,8302.0
2016-10-01,4.0,8013.8423,8102.0
2016-10-01,5.0,7878.2197,7964.0
2016-10-01,6.0,7946.865,7979.0
2016-10-01,7.0,8134.464,8222.0
2016-10-01,8.0,8459.698,8603.0
2016-10-01,9.0,8820.179,8909.0
2016-10-01,10.0,9202.28,9375.0
2016-10-01,11.0,9520.577,9784.0
2016-10-01,12.0,9681.473,9969.0
2016-10-01,13.0,9736.071,10061.0
2016-10-01,14.0,9691.868,9950.0
2016-10-01,15.0,9653.859,9795.0
2016-10-01,16.0,9587.722,9698.0
2016-10-01,17.0,9619.038,9595.0
2016-10-01,18.0,9610.139,9573.0
2016-10-01,19.0,9638.694,9610.0
2016-10-01,20.0,9692.608,9864.0
2016-10-01,21.0,9808.5625,10074.0
2016-10-01,22.0,9931.32,9950.0
2016-10-01,23.0,9755.416,9623.0
2016-10-02,0.0,9151.817,9182.0
2016-10-02,1.0,8611.273,8637.0
2016-10-02,2.0,8161.0527,8213.0
2016-10-02,3.0,7837.723,7900.0
2016-10-02,4.0,7623.958,7734.0
2016-10-02,5.0,7541.7485,7594.0
2016-10-02,6.0,7516.385,7595.0
2016-10-02,7.0,7599.238,7633.0
2016-10-02,8.0,7739.725,7861.0
2016-10-02,9.0,7922.6924,7872.0
2016-10-02,10.0,8309.074,8278.0
2016-10-02,11.0,8586.637,8548.0
2016-10-02,12.0,8794.642,8849.0
2016-10-02,13.0,8935.6875,9038.0
2016-10-02,14.0,9017.43,9106.0
2016-10-02,15.0,9009.896,9114.0
2016-10-02,16.0,9030.378,9101.0
2016-10-02,17.0,9047.126,9191.0
2016-10-02,18.0,9152.922,9261.0
2016-10-02,19.0,9251.539,9346.0
2016-10-02,20.0,9415.99,9735.0
2016-10-02,21.0,9612.786,10042.0
2016-10-02,22.0,9725.044,9835.0
2016-10-02,23.0,9523.721,9483.0
2016-10-03,0.0,9206.258,9043.0
2016-10-03,1.0,8645.198,8514.0
2016-10-03,2.0,8247.599,8181.0
2016-10-03,3.0,7979.4917,7958.0
2016-10-03,4.0,7855.1616,7869.0
2016-10-03,5.0,7842.786,7851.0
2016-10-03,6.0,8068.631,8097.0
2016-10-03,7.0,8698.328,8754.0
2016-10-03,8.0,9622.472,9912.0
2016-10-03,9.0,10370.493,10500.0
2016-10-03,10.0,10760.498,10885.0
2016-10-03,11.0,11027.035,11070.0
2016-10-03,12.0,11347.926,11341.0
2016-10-03,13.0,11501.491,11450.0
2016-10-03,14.0,11622.075,11480.0
2016-10-03,15.0,11747.483,11537.0
2016-10-03,16.0,11814.503,11434.0
2016-10-03,17.0,11716.541,11326.0
2016-10-03,18.0,11745.082,11249.0
2016-10-03,19.0,11683.802,11160.0
2016-10-03,20.0,11545.522,11389.0
2016-10-03,21.0,11582.642,11567.0
2016-10-03,22.0,11543.554,11255.0
2016-10-03,23.0,11111.474,10727.0
2016-10-04,0.0,10176.009,9955.0
2016-10-04,1.0,9382.923,9197.0
2016-10-04,2.0,8814.585,8701.0
2016-10-04,3.0,8457.249,8404.0
2016-10-04,4.0,8251.501,8227.0
2016-10-04,5.0,8180.7183,8162.0
2016-10-04,6.0,8371.293,8363.0
2016-10-04,7.0,8958.688,9011.0
2016-10-04,8.0,9851.4375,10128.0
2016-10-04,9.0,10586.735,10736.0
2016-10-04,10.0,11035.5625,11050.0
2016-10-04,11.0,11341.134,11282.0
2016-10-04,12.0,11634.172,11583.0
2016-10-04,13.0,11805.27,11837.0
2016-10-04,14.0,11893.618,11905.0
2016-10-04,15.0,12042.275,12005.0
