day,hour,y_hat,y
2016-09-30,0.0,10258.798,9902.0
2016-09-30,1.0,9465.852,9163.0
2016-09-30,2.0,8852.651,8694.0
2016-09-30,3.0,8484.816,8429.0
2016-09-30,4.0,8186.612,8234.0
2016-09-30,5.0,8076.1704,8212.0
2016-09-30,6.0,8152.288,8339.0
2016-09-30,7.0,8538.142,8949.0
2016-09-30,8.0,9199.792,10036.0
2016-09-30,9.0,9917.889,10766.0
2016-09-30,10.0,10409.799,11079.0
2016-09-30,11.0,10855.57,11331.0
2016-09-30,12.0,11246.238,11503.0
2016-09-30,13.0,11457.011,11449.0
2016-09-30,14.0,11601.806,11399.0
2016-09-30,15.0,11793.08,11394.0
2016-09-30,16.0,11801.806,11267.0
2016-09-30,17.0,11756.179,11138.0
2016-09-30,18.0,11737.739,11042.0
2016-09-30,19.0,11526.85,10998.0
2016-09-30,20.0,11340.581,11152.0
2016-09-30,21.0,11276.188,11121.0
2016-09-30,22.0,11277.145,10832.0
2016-09-30,23.0,10955.104,10458.0
2016-10-01,0.0,10079.328,9808.0
2016-10-01,1.0,9400.972,9142.0
2016-10-01,2.0,8893.937,8616.0
2016-10-01,3.0,8566.998,8302.0
2016-10-01,4.0,8340.316,8102.0
2016-10-01,5.0,8228.967,7964.0
2016-10-01,6.0,8260.279,7979.0
2016-10-01,7.0,8466.576,8222.0
2016-10-01,8.0,8780.342,8603.0
2016-10-01,9.0,9000.479,8909.0
2016-10-01,10.0,9273.328,9375.0
2016-10-01,11.0,9489.594,9784.0
2016-10-01,12.0,9588.341,9969.0
2016-10-01,13.0,9604.202,10061.0
2016-10-01,14.0,9611.6875,9950.0
2016-10-01,15.0,9537.227,9795.0
2016-10-01,16.0,9491.704,9698.0
2016-10-01,17.0,9485.013,9595.0
2016-10-01,18.0,9654.942,9573.0
2016-10-01,19.0,9841.91,9610.0
2016-10-01,20.0,10001.172,9864.0
2016-10-01,21.0,10168.908,10074.0
2016-10-01,22.0,10240.781,9950.0
2016-10-01,23.0,9930.399,9623.0
2016-10-02,0.0,9356.881,9182.0
2016-10-02,1.0,8803.359,8637.0
2016-10-02,2.0,8382.861,8213.0
2016-10-02,3.0,8084.5884,7900.0
2016-10-02,4.0,7879.9707,7734.0
2016-10-02,5.0,7752.5293,7594.0
2016-10-02,6.0,7750.3867,7595.0
2016-10-02,7.0,7758.864,7633.0
2016-10-02,8.0,7839.8438,7861.0
2016-10-02,9.0,8016.431,7872.0
2016-10-02,10.0,8368.366,8278.0
2016-10-02,11.0,8654.428,8548.0
2016-10-02,12.0,8849.119,8849.0
2016-10-02,13.0,8980.669,9038.0
2016-10-02,14.0,9053.866,9106.0
2016-10-02,15.0,8978.72,9114.0
2016-10-02,16.0,9019.4795,9101.0
2016-10-02,17.0,9079.93,9191.0
2016-10-02,18.0,9146.392,9261.0
