day,hour,y_hat,y
2016-09-30,0.0,10066.103,9902.0
2016-09-30,1.0,9313.064,9163.0
2016-09-30,2.0,8793.718,8694.0
2016-09-30,3.0,8469.176,8429.0
2016-09-30,4.0,8272.714,8234.0
2016-09-30,5.0,8209.527,8212.0
2016-09-30,6.0,8391.751,8339.0
2016-09-30,7.0,8940.608,8949.0
2016-09-30,8.0,9814.178,10036.0
2016-09-30,9.0,10404.711,10766.0
2016-09-30,10.0,10747.604,11079.0
2016-09-30,11.0,10965.022,11331.0
2016-09-30,12.0,11151.508,11503.0
2016-09-30,13.0,11234.273,11449.0
2016-09-30,14.0,11253.837,11399.0
2016-09-30,15.0,11300.855,11394.0
2016-09-30,16.0,11260.858,11267.0
2016-09-30,17.0,11196.094,11138.0
2016-09-30,18.0,11247.67,11042.0
2016-09-30,19.0,11215.128,10998.0
2016-09-30,20.0,11172.774,11152.0
2016-09-30,21.0,11193.886,11121.0
2016-09-30,22.0,11168.786,10832.0
2016-09-30,23.0,10806.3,10458.0
2016-10-01,0.0,9795.89,9808.0
2016-10-01,1.0,9192.214,9142.0
2016-10-01,2.0,8768.389,8616.0
2016-10-01,3.0,8531.689,8302.0
2016-10-01,4.0,8402.595,8102.0
2016-10-01,5.0,8377.671,7964.0
2016-10-01,6.0,8527.073,7979.0
2016-10-01,7.0,8949.295,8222.0
2016-10-01,8.0,9591.046,8603.0
2016-10-01,9.0,9853.034,8909.0
2016-10-01,10.0,9933.202,9375.0
2016-10-01,11.0,9915.194,9784.0
2016-10-01,12.0,9837.002,9969.0
2016-10-01,13.0,9691.712,10061.0
2016-10-01,14.0,9506.486,9950.0
2016-10-01,15.0,9367.612,9795.0
2016-10-01,16.0,9186.166,9698.0
2016-10-01,17.0,9129.77,9595.0
2016-10-01,18.0,9359.752,9573.0
2016-10-01,19.0,9683.345,9610.0
2016-10-01,20.0,9874.311,9864.0
2016-10-01,21.0,10078.218,10074.0
2016-10-01,22.0,10084.648,9950.0
2016-10-01,23.0,9816.273,9623.0
2016-10-02,0.0,9225.416,9182.0
2016-10-02,1.0,8573.42,8637.0
2016-10-02,2.0,8082.871,8213.0
2016-10-02,3.0,7760.2866,7900.0
2016-10-02,4.0,7563.332,7734.0
2016-10-02,5.0,7471.1685,7594.0
2016-10-02,6.0,7556.543,7595.0
2016-10-02,7.0,7867.5923,7633.0
2016-10-02,8.0,8345.334,7861.0
2016-10-02,9.0,8777.156,7872.0
2016-10-02,10.0,9150.609,8278.0
2016-10-02,11.0,9417.581,8548.0
2016-10-02,12.0,9637.568,8849.0
2016-10-02,13.0,9736.069,9038.0
2016-10-02,14.0,9793.328,9106.0
2016-10-02,15.0,9830.134,9114.0
2016-10-02,16.0,9816.498,9101.0
2016-10-02,17.0,9788.791,9191.0
2016-10-02,18.0,9762.84,9261.0
2016-10-02,19.0,9685.291,9346.0
2016-10-02,20.0,9654.584,9735.0
2016-10-02,21.0,9811.574,10042.0
2016-10-02,22.0,9925.883,9835.0
2016-10-02,23.0,9648.418,9483.0
2016-10-03,0.0,9303.901,9043.0
2016-10-03,1.0,8781.559,8514.0
2016-10-03,2.0,8428.313,8181.0
2016-10-03,3.0,8229.838,7958.0
2016-10-03,4.0,8152.2495,7869.0
2016-10-03,5.0,8173.9165,7851.0
2016-10-03,6.0,8430.172,8097.0
2016-10-03,7.0,9047.436,8754.0
2016-10-03,8.0,9963.087,9912.0
2016-10-03,9.0,10513.468,10500.0
2016-10-03,10.0,10748.716,10885.0
2016-10-03,11.0,10899.655,11070.0
2016-10-03,12.0,11046.966,11341.0
2016-10-03,13.0,11102.147,11450.0
2016-10-03,14.0,11117.96,11480.0
2016-10-03,15.0,11181.939,11537.0
2016-10-03,16.0,11126.671,11434.0
2016-10-03,17.0,11139.772,11326.0
2016-10-03,18.0,11323.437,11249.0
2016-10-03,19.0,11512.62,11160.0
2016-10-03,20.0,11542.402,11389.0
2016-10-03,21.0,11622.13,11567.0
2016-10-03,22.0,11545.114,11255.0
2016-10-03,23.0,11145.884,10727.0
2016-10-04,0.0,10353.386,9955.0
2016-10-04,1.0,9605.5,9197.0
2016-10-04,2.0,9100.591,8701.0
2016-10-04,3.0,8756.687,8404.0
2016-10-04,4.0,8562.701,8227.0
2016-10-04,5.0,8497.76,8162.0
2016-10-04,6.0,8670.408,8363.0
2016-10-04,7.0,9210.133,9011.0
2016-10-04,8.0,10046.727,10128.0
2016-10-04,9.0,10637.555,10736.0
2016-10-04,10.0,11001.944,11050.0
2016-10-04,11.0,11246.05,11282.0
2016-10-04,12.0,11472.529,11583.0
2016-10-04,13.0,11586.657,11837.0
2016-10-04,14.0,11649.944,11905.0
2016-10-04,15.0,11700.572,12005.0
2016-10-04,16.0,11682.264,12015.0
2016-10-04,17.0,11652.09,12007.0
2016-10-04,18.0,11733.532,11951.0
2016-10-04,19.0,11774.994,11731.0
2016-10-04,20.0,11721.112,11747.0
2016-10-04,21.0,11757.974,12025.0
2016-10-04,22.0,11712.857,11731.0
2016-10-04,23.0,11299.707,11146.0
2016-10-05,0.0,10705.551,10298.0
2016-10-05,1.0,9929.562,9495.0
2016-10-05,2.0,9374.949,8953.0
2016-10-05,3.0,9009.308,8601.0
2016-10-05,4.0,8809.786,8432.0
2016-10-05,5.0,8740.612,8378.0
2016-10-05,6.0,8915.817,8550.0
2016-10-05,7.0,9468.867,9217.0
2016-10-05,8.0,10364.233,10384.0
2016-10-05,9.0,11035.938,10960.0
2016-10-05,10.0,11442.349,11430.0
2016-10-05,11.0,11746.213,11835.0
2016-10-05,12.0,12013.22,12289.0
2016-10-05,13.0,12204.377,12387.0
2016-10-05,14.0,12351.026,12510.0
2016-10-05,15.0,12486.2295,12639.0
2016-10-05,16.0,12521.819,12970.0
2016-10-05,17.0,12548.334,13030.0
2016-10-05,18.0,12608.534,13006.0
2016-10-05,19.0,12661.822,12736.0
2016-10-05,20.0,12512.764,12650.0
2016-10-05,21.0,12437.322,12673.0
2016-10-05,22.0,12317.405,12234.0
2016-10-05,23.0,11885.177,11479.0
2016-10-06,0.0,10695.981,10562.0
2016-10-06,1.0,9949.547,9695.0
2016-10-06,2.0,9475.583,9067.0
2016-10-06,3.0,9186.668,8703.0
2016-10-06,4.0,9018.226,8498.0
2016-10-06,5.0,9002.3125,8401.0
2016-10-06,6.0,9202.895,8601.0
2016-10-06,7.0,9820.232,9347.0
2016-10-06,8.0,10789.672,10526.0
2016-10-06,9.0,11331.065,11316.0
2016-10-06,10.0,11540.024,11678.0
2016-10-06,11.0,11603.392,11920.0
2016-10-06,12.0,11629.237,12105.0
2016-10-06,13.0,11620.263,12139.0
2016-10-06,14.0,11568.745,12348.0
2016-10-06,15.0,11494.629,12444.0
2016-10-06,16.0,11481.81,12345.0
2016-10-06,17.0,11400.734,12343.0
2016-10-06,18.0,11612.778,12308.0
2016-10-06,19.0,11815.095,12193.0
2016-10-06,20.0,11818.3955,12451.0
2016-10-06,21.0,11842.532,12496.0
2016-10-06,22.0,11717.659,12196.0
2016-10-06,23.0,11319.316,11639.0
2016-10-07,0.0,10432.697,10825.0
2016-10-07,1.0,9700.634,9997.0
2016-10-07,2.0,9170.5625,9411.0
2016-10-07,3.0,8849.673,9069.0
2016-10-07,4.0,8634.055,8690.0
2016-10-07,5.0,8572.496,8621.0
2016-10-07,6.0,8713.884,8789.0
2016-10-07,7.0,9213.712,9399.0
2016-10-07,8.0,9988.733,10473.0
2016-10-07,9.0,10521.317,11015.0
2016-10-07,10.0,10808.439,11541.0
2016-10-07,11.0,10990.845,11864.0
2016-10-07,12.0,11156.444,12188.0
2016-10-07,13.0,11170.016,11994.0
2016-10-07,14.0,11189.637,11722.0
2016-10-07,15.0,11185.893,11445.0
2016-10-07,16.0,11163.955,11245.0
2016-10-07,17.0,11126.285,11008.0
2016-10-07,18.0,11246.252,10791.0
2016-10-07,19.0,11335.564,10618.0
2016-10-07,20.0,11301.433,10732.0
2016-10-07,21.0,11298.3545,10837.0
2016-10-07,22.0,11272.669,10527.0
2016-10-07,23.0,10935.814,10095.0
2016-10-08,0.0,9795.46,9489.0
2016-10-08,1.0,9079.004,8766.0
2016-10-08,2.0,8526.589,8225.0
2016-10-08,3.0,8149.761,7984.0
2016-10-08,4.0,7905.6035,7694.0
2016-10-08,5.0,7775.7983,7589.0
2016-10-08,6.0,7813.2964,7653.0
2016-10-08,7.0,8019.564,7886.0
2016-10-08,8.0,8342.125,8274.0
2016-10-08,9.0,8673.815,8463.0
2016-10-08,10.0,9064.159,8828.0
2016-10-08,11.0,9360.435,9072.0
2016-10-08,12.0,9562.886,9200.0
2016-10-08,13.0,9608.0205,9292.0
2016-10-08,14.0,9613.916,9266.0
2016-10-08,15.0,9566.805,9134.0
2016-10-08,16.0,9557.873,9138.0
2016-10-08,17.0,9466.04,9106.0
2016-10-08,18.0,9502.031,9070.0
2016-10-08,19.0,9501.287,9110.0
2016-10-08,20.0,9512.379,9441.0
2016-10-08,21.0,9616.863,9695.0
2016-10-08,22.0,9742.04,9505.0
2016-10-08,23.0,9519.377,9227.0
2016-10-09,0.0,9044.024,8797.0
2016-10-09,1.0,8445.459,8290.0
2016-10-09,2.0,7974.005,7904.0
2016-10-09,3.0,7676.0615,7641.0
2016-10-09,4.0,7490.474,7458.0
2016-10-09,5.0,7390.705,7359.0
2016-10-09,6.0,7473.333,7333.0
2016-10-09,7.0,7719.984,7466.0
2016-10-09,8.0,8112.0103,7662.0
2016-10-09,9.0,8452.58,7691.0
2016-10-09,10.0,8827.39,8006.0
2016-10-09,11.0,9092.451,8334.0
2016-10-09,12.0,9291.421,8525.0
2016-10-09,13.0,9390.762,8676.0
2016-10-09,14.0,9402.032,8758.0
2016-10-09,15.0,9427.06,8799.0
2016-10-09,16.0,9383.215,8819.0
2016-10-09,17.0,9379.854,8831.0
2016-10-09,18.0,9387.116,8871.0
2016-10-09,19.0,9358.821,8931.0
2016-10-09,20.0,9399.127,9376.0
2016-10-09,21.0,9565.182,9665.0
2016-10-09,22.0,9700.904,9453.0
2016-10-09,23.0,9466.171,9160.0
2016-10-10,0.0,9119.068,8789.0
2016-10-10,1.0,8563.237,8293.0
2016-10-10,2.0,8172.6904,7938.0
2016-10-10,3.0,7941.4937,7691.0
2016-10-10,4.0,7803.6895,7646.0
2016-10-10,5.0,7781.4326,7606.0
2016-10-10,6.0,7975.349,7832.0
2016-10-10,7.0,8457.754,8394.0
2016-10-10,8.0,9218.767,9388.0
2016-10-10,9.0,9755.963,9859.0
2016-10-10,10.0,10101.582,10162.0
2016-10-10,11.0,10356.137,10448.0
2016-10-10,12.0,10611.1875,10724.0
2016-10-10,13.0,10756.361,10892.0
2016-10-10,14.0,10838.71,11005.0
2016-10-10,15.0,10939.313,11116.0
2016-10-10,16.0,10988.336,11130.0
2016-10-10,17.0,10974.287,11054.0
2016-10-10,18.0,11058.953,10994.0
2016-10-10,19.0,11142.312,10889.0
2016-10-10,20.0,11119.453,11246.0
2016-10-10,21.0,11196.879,11288.0
2016-10-10,22.0,11160.408,10969.0
2016-10-10,23.0,10788.281,10431.0
2016-10-11,0.0,9977.932,9747.0
2016-10-11,1.0,9250.949,9066.0
2016-10-11,2.0,8749.114,8608.0
2016-10-11,3.0,8433.736,8313.0
2016-10-11,4.0,8235.455,7953.0
2016-10-11,5.0,8187.334,7938.0
2016-10-11,6.0,8371.219,8140.0
2016-10-11,7.0,8952.125,8759.0
2016-10-11,8.0,9825.104,9855.0
2016-10-11,9.0,10452.422,10406.0
2016-10-11,10.0,10792.038,10731.0
2016-10-11,11.0,11019.05,11015.0
2016-10-11,12.0,11237.625,11227.0
2016-10-11,13.0,11351.359,11332.0
2016-10-11,14.0,11421.767,11427.0
2016-10-11,15.0,11518.964,11568.0
2016-10-11,16.0,11496.659,11606.0
2016-10-11,17.0,11456.358,11553.0
2016-10-11,18.0,11479.628,11495.0
2016-10-11,19.0,11468.135,11347.0
2016-10-11,20.0,11380.751,11552.0
2016-10-11,21.0,11454.704,11635.0
2016-10-11,22.0,11426.234,11272.0
2016-10-11,23.0,11004.556,10697.0
2016-10-12,0.0,10055.9,9938.0
2016-10-12,1.0,9362.061,9197.0
2016-10-12,2.0,8895.0,8652.0
2016-10-12,3.0,8618.615,8319.0
2016-10-12,4.0,8458.941,8146.0
2016-10-12,5.0,8427.192,8112.0
2016-10-12,6.0,8607.397,8314.0
2016-10-12,7.0,9171.524,8959.0
2016-10-12,8.0,10048.442,10083.0
2016-10-12,9.0,10557.079,10604.0
2016-10-12,10.0,10758.755,10959.0
2016-10-12,11.0,10879.371,11261.0
2016-10-12,12.0,10976.115,11524.0
2016-10-12,13.0,10971.382,11612.0
2016-10-12,14.0,10953.825,11665.0
2016-10-12,15.0,10965.409,11589.0
2016-10-12,16.0,10888.775,11482.0
2016-10-12,17.0,10862.245,11405.0
2016-10-12,18.0,10978.291,11222.0
2016-10-12,19.0,11112.085,11006.0
2016-10-12,20.0,11132.795,11125.0
2016-10-12,21.0,11249.273,11074.0
2016-10-12,22.0,11203.689,10782.0
2016-10-12,23.0,10814.177,10248.0
2016-10-13,0.0,9854.19,9489.0
2016-10-13,1.0,9119.516,8805.0
2016-10-13,2.0,8610.156,8352.0
2016-10-13,3.0,8290.996,8035.0
2016-10-13,4.0,8096.0244,7871.0
2016-10-13,5.0,8047.249,7868.0
2016-10-13,6.0,8204.85,8083.0
2016-10-13,7.0,8744.007,8747.0
2016-10-13,8.0,9578.617,9890.0
2016-10-13,9.0,10153.7,10419.0
2016-10-13,10.0,10439.23,10615.0
2016-10-13,11.0,10604.248,10703.0
2016-10-13,12.0,10745.401,10755.0
2016-10-13,13.0,10776.767,10735.0
2016-10-13,14.0,10772.711,10700.0
2016-10-13,15.0,10801.312,10725.0
2016-10-13,16.0,10757.703,10650.0
2016-10-13,17.0,10682.941,10541.0
2016-10-13,18.0,10693.526,10486.0
2016-10-13,19.0,10648.114,10425.0
2016-10-13,20.0,10584.901,10861.0
2016-10-13,21.0,10690.066,11006.0
2016-10-13,22.0,10699.675,10764.0
2016-10-13,23.0,10339.869,10323.0
2016-10-14,0.0,9672.901,9607.0
2016-10-14,1.0,9031.568,8950.0
2016-10-14,2.0,8593.611,8489.0
2016-10-14,3.0,8351.134,8191.0
2016-10-14,4.0,8211.647,8044.0
2016-10-14,5.0,8202.844,8012.0
2016-10-14,6.0,8405.423,8210.0
2016-10-14,7.0,8965.16,8836.0
2016-10-14,8.0,9811.184,9942.0
2016-10-14,9.0,10318.935,10466.0
2016-10-14,10.0,10545.074,10612.0
2016-10-14,11.0,10671.133,10705.0
2016-10-14,12.0,10748.158,10823.0
2016-10-14,13.0,10735.256,10846.0
2016-10-14,14.0,10676.325,10834.0
2016-10-14,15.0,10654.93,10887.0
2016-10-14,16.0,10580.008,10815.0
2016-10-14,17.0,10517.543,10691.0
2016-10-14,18.0,10637.617,10595.0
2016-10-14,19.0,10755.616,10475.0
2016-10-14,20.0,10765.8125,10805.0
2016-10-14,21.0,10882.542,10828.0
2016-10-14,22.0,10857.116,10668.0
2016-10-14,23.0,10514.847,10376.0
2016-10-15,0.0,9589.743,9772.0
2016-10-15,1.0,8943.185,9184.0
2016-10-15,2.0,8481.099,8619.0
2016-10-15,3.0,8211.087,8325.0
2016-10-15,4.0,8047.071,8075.0
2016-10-15,5.0,7986.334,7923.0
2016-10-15,6.0,8110.8057,7959.0
2016-10-15,7.0,8502.201,8185.0
2016-10-15,8.0,9108.361,8667.0
2016-10-15,9.0,9483.476,8973.0
2016-10-15,10.0,9732.615,9334.0
2016-10-15,11.0,9883.134,9685.0
2016-10-15,12.0,9982.846,9843.0
2016-10-15,13.0,9963.804,9971.0
2016-10-15,14.0,9908.417,9921.0
2016-10-15,15.0,9863.554,9847.0
2016-10-15,16.0,9764.637,9771.0
2016-10-15,17.0,9717.903,9806.0
2016-10-15,18.0,9817.053,9748.0
2016-10-15,19.0,9930.588,9722.0
2016-10-15,20.0,9999.033,10216.0
2016-10-15,21.0,10175.319,10378.0
2016-10-15,22.0,10225.948,10213.0
2016-10-15,23.0,9943.248,9837.0
2016-10-16,0.0,9276.338,9312.0
2016-10-16,1.0,8651.701,8908.0
2016-10-16,2.0,8193.42,8521.0
2016-10-16,3.0,7889.8955,8230.0
2016-10-16,4.0,7697.2817,8031.0
2016-10-16,5.0,7626.7583,7944.0
2016-10-16,6.0,7722.4453,7885.0
2016-10-16,7.0,8063.349,7995.0
2016-10-16,8.0,8593.86,8167.0
2016-10-16,9.0,9033.526,8404.0
2016-10-16,10.0,9391.398,8660.0
2016-10-16,11.0,9672.899,8955.0
2016-10-16,12.0,9898.872,9188.0
2016-10-16,13.0,10015.486,9540.0
2016-10-16,14.0,10080.08,9684.0
2016-10-16,15.0,10133.984,9725.0
2016-10-16,16.0,10133.489,9744.0
2016-10-16,17.0,10105.641,9839.0
2016-10-16,18.0,10152.151,9941.0
2016-10-16,19.0,10141.81,10139.0
2016-10-16,20.0,10128.756,10658.0
2016-10-16,21.0,10273.573,10931.0
2016-10-16,22.0,10351.431,10711.0
2016-10-16,23.0,10039.466,10346.0
2016-10-17,0.0,10156.221,9798.0
2016-10-17,1.0,9573.243,9239.0
2016-10-17,2.0,9167.58,8929.0
2016-10-17,3.0,8936.424,8647.0
2016-10-17,4.0,8828.762,8505.0
2016-10-17,5.0,8832.725,8428.0
2016-10-17,6.0,9093.961,8617.0
2016-10-17,7.0,9789.107,9394.0
2016-10-17,8.0,10836.862,10496.0
2016-10-17,9.0,11553.193,11119.0
2016-10-17,10.0,11949.884,11548.0
2016-10-17,11.0,12275.104,11774.0
2016-10-17,12.0,12629.89,12180.0
2016-10-17,13.0,12886.785,12513.0
2016-10-17,14.0,13064.982,12748.0
2016-10-17,15.0,13297.342,13031.0
2016-10-17,16.0,13369.104,13425.0
2016-10-17,17.0,13462.587,13635.0
2016-10-17,18.0,13643.756,13629.0
2016-10-17,19.0,13819.932,13394.0
2016-10-17,20.0,13707.3,13634.0
2016-10-17,21.0,13608.096,13678.0
2016-10-17,22.0,13405.188,13285.0
2016-10-17,23.0,12865.031,12586.0
2016-10-18,0.0,11512.6,11738.0
2016-10-18,1.0,10674.601,10769.0
2016-10-18,2.0,10126.014,10179.0
2016-10-18,3.0,9795.795,9714.0
2016-10-18,4.0,9601.563,9404.0
2016-10-18,5.0,9559.95,9185.0
2016-10-18,6.0,9792.427,9221.0
2016-10-18,7.0,10493.315,9815.0
2016-10-18,8.0,11596.242,11006.0
2016-10-18,9.0,12218.187,11731.0
2016-10-18,10.0,12471.708,12074.0
2016-10-18,11.0,12603.524,12494.0
2016-10-18,12.0,12719.181,12872.0
2016-10-18,13.0,12740.816,13147.0
2016-10-18,14.0,12697.617,13264.0
2016-10-18,15.0,12709.595,13401.0
2016-10-18,16.0,12651.044,13422.0
2016-10-18,17.0,12602.909,13289.0
2016-10-18,18.0,12766.736,13096.0
2016-10-18,19.0,12989.857,12658.0
2016-10-18,20.0,12935.948,12671.0
2016-10-18,21.0,12891.89,12455.0
2016-10-18,22.0,12702.943,11968.0
2016-10-18,23.0,12213.714,11217.0
2016-10-19,0.0,10848.58,10287.0
2016-10-19,1.0,10008.097,9485.0
2016-10-19,2.0,9427.864,8914.0
2016-10-19,3.0,9043.978,8510.0
2016-10-19,4.0,8817.84,8238.0
2016-10-19,5.0,8714.01,8083.0
2016-10-19,6.0,8815.592,8259.0
2016-10-19,7.0,9246.58,8746.0
2016-10-19,8.0,9931.256,9745.0
2016-10-19,9.0,10387.83,10306.0
2016-10-19,10.0,10639.981,10590.0
2016-10-19,11.0,10846.159,11014.0
2016-10-19,12.0,10960.657,11348.0
2016-10-19,13.0,10979.318,11507.0
2016-10-19,14.0,10926.473,11642.0
2016-10-19,15.0,10875.089,11769.0
2016-10-19,16.0,10827.142,11725.0
2016-10-19,17.0,10759.123,11559.0
2016-10-19,18.0,10859.465,11447.0
2016-10-19,19.0,10909.51,11448.0
2016-10-19,20.0,10889.273,11804.0
2016-10-19,21.0,10899.044,11739.0
2016-10-19,22.0,10884.352,11292.0
2016-10-19,23.0,10560.385,10724.0
2016-10-20,0.0,9916.336,10018.0
2016-10-20,1.0,9243.603,9291.0
2016-10-20,2.0,8780.615,8762.0
2016-10-20,3.0,8493.992,8417.0
2016-10-20,4.0,8328.903,8170.0
2016-10-20,5.0,8292.315,8055.0
2016-10-20,6.0,8456.959,8227.0
2016-10-20,7.0,8961.51,8796.0
2016-10-20,8.0,9721.266,9849.0
2016-10-20,9.0,10230.581,10541.0
2016-10-20,10.0,10539.542,10829.0
2016-10-20,11.0,10739.964,11034.0
2016-10-20,12.0,10919.05,11157.0
2016-10-20,13.0,10986.305,11198.0
2016-10-20,14.0,10997.55,11126.0
2016-10-20,15.0,11045.781,11177.0
2016-10-20,16.0,11044.085,11073.0
2016-10-20,17.0,11049.656,11017.0
2016-10-20,18.0,11115.416,10958.0
2016-10-20,19.0,11212.371,11022.0
2016-10-20,20.0,11149.274,11322.0
2016-10-20,21.0,11182.279,11295.0
2016-10-20,22.0,11149.628,11015.0
2016-10-20,23.0,10819.432,10588.0
2016-10-21,0.0,10026.14,9878.0
2016-10-21,1.0,9316.3545,9236.0
2016-10-21,2.0,8782.703,8809.0
2016-10-21,3.0,8432.818,8545.0
2016-10-21,4.0,8227.601,8389.0
2016-10-21,5.0,8153.394,8298.0
2016-10-21,6.0,8236.613,8465.0
2016-10-21,7.0,8635.885,9026.0
