day,hour,y_hat,y
2016-09-30,0.0,9906.752,9902.0
2016-09-30,1.0,9191.704,9163.0
2016-09-30,2.0,8689.421,8694.0
2016-09-30,3.0,8395.883,8429.0
2016-09-30,4.0,8219.734,8234.0
2016-09-30,5.0,8164.971,8212.0
2016-09-30,6.0,8354.664,8339.0
2016-09-30,7.0,8973.75,8949.0
2016-09-30,8.0,9914.426,10036.0
2016-09-30,9.0,10512.353,10766.0
2016-09-30,10.0,10817.093,11079.0
2016-09-30,11.0,11006.89,11331.0
2016-09-30,12.0,11203.337,11503.0
2016-09-30,13.0,11286.006,11449.0
2016-09-30,14.0,11299.994,11399.0
2016-09-30,15.0,11339.768,11394.0
2016-09-30,16.0,11287.6045,11267.0
2016-09-30,17.0,11150.0205,11138.0
2016-09-30,18.0,11091.391,11042.0
2016-09-30,19.0,10994.834,10998.0
2016-09-30,20.0,10858.011,11152.0
2016-09-30,21.0,11006.49,11121.0
2016-09-30,22.0,11020.732,10832.0
2016-09-30,23.0,10617.404,10458.0
2016-10-01,0.0,9784.513,9808.0
2016-10-01,1.0,9073.769,9142.0
2016-10-01,2.0,8558.483,8616.0
2016-10-01,3.0,8180.203,8302.0
2016-10-01,4.0,7936.112,8102.0
2016-10-01,5.0,7851.8735,7964.0
2016-10-01,6.0,7855.1304,7979.0
2016-10-01,7.0,8009.5024,8222.0
2016-10-01,8.0,8383.369,8603.0
2016-10-01,9.0,8731.875,8909.0
2016-10-01,10.0,9087.869,9375.0
2016-10-01,11.0,9452.11,9784.0
2016-10-01,12.0,9648.08,9969.0
2016-10-01,13.0,9746.924,10061.0
2016-10-01,14.0,9801.244,9950.0
2016-10-01,15.0,9768.852,9795.0
2016-10-01,16.0,9732.996,9698.0
2016-10-01,17.0,9729.574,9595.0
2016-10-01,18.0,9783.063,9573.0
2016-10-01,19.0,9916.712,9610.0
2016-10-01,20.0,10119.711,9864.0
2016-10-01,21.0,10203.481,10074.0
2016-10-01,22.0,10111.121,9950.0
2016-10-01,23.0,9851.914,9623.0
2016-10-02,0.0,9302.502,9182.0
2016-10-02,1.0,8723.766,8637.0
2016-10-02,2.0,8268.665,8213.0
2016-10-02,3.0,7904.4893,7900.0
2016-10-02,4.0,7674.697,7734.0
2016-10-02,5.0,7545.1343,7594.0
2016-10-02,6.0,7542.072,7595.0
2016-10-02,7.0,7625.4077,7633.0
2016-10-02,8.0,7807.6694,7861.0
2016-10-02,9.0,7987.1206,7872.0
2016-10-02,10.0,8321.339,8278.0
2016-10-02,11.0,8612.753,8548.0
2016-10-02,12.0,8887.382,8849.0
2016-10-02,13.0,9047.045,9038.0
2016-10-02,14.0,9190.35,9106.0
2016-10-02,15.0,9174.909,9114.0
2016-10-02,16.0,9205.087,9101.0
2016-10-02,17.0,9307.475,9191.0
2016-10-02,18.0,9449.344,9261.0
2016-10-02,19.0,9449.667,9346.0
2016-10-02,20.0,9771.869,9735.0
2016-10-02,21.0,10087.767,10042.0
2016-10-02,22.0,10085.123,9835.0
2016-10-02,23.0,9738.845,9483.0
2016-10-03,0.0,9073.933,9043.0
