day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2016-09-30,0.0,10184.404,9902.0,9600.31956511674,10776.63103544022,0.17146
2016-09-30,1.0,9374.556,9163.0,8836.064804283806,9924.062376734113,0.22066
2016-09-30,2.0,8810.858,8694.0,8305.446116371939,9325.707830474124,0.32312
2016-09-30,3.0,8449.603,8429.0,7968.805358966841,8938.407572964237,0.462
2016-09-30,4.0,8212.137,8234.0,7749.8337828486865,8681.660178413322,0.53184
2016-09-30,5.0,8134.7417,8212.0,7676.834820920791,8600.459091075405,0.62666
2016-09-30,6.0,8306.405,8339.0,7846.145774394802,8772.475915480802,0.55254
2016-09-30,7.0,8862.76,8949.0,8370.527369556843,9363.773202525586,0.63136
2016-09-30,8.0,9744.149,10036.0,9176.62681457942,10321.550819261261,0.83976
2016-09-30,9.0,10428.735,10766.0,9837.05087435166,11023.822132570154,0.86724
2016-09-30,10.0,10818.513,11079.0,10260.645107548722,11371.746865390278,0.82018
2016-09-30,11.0,11095.633,11331.0,10566.341110218096,11623.595915948683,0.80896
2016-09-30,12.0,11354.546,11503.0,10832.416829249281,11876.557115190746,0.7121
2016-09-30,13.0,11471.769,11449.0,10929.462333728374,12015.422170970209,0.46668
2016-09-30,14.0,11524.117,11399.0,10966.612880417711,12080.997969871636,0.3307
2016-09-30,15.0,11613.131,11394.0,11022.855793655435,12198.242190503473,0.2322
2016-09-30,16.0,11572.505,11267.0,10924.496867560085,12215.106718516454,0.17526
2016-09-30,17.0,11494.444,11138.0,10772.298749841239,12206.484783596345,0.16482
2016-09-30,18.0,11525.527,11042.0,10749.196490959284,12301.699255109417,0.11202
2016-09-30,19.0,11411.057,10998.0,10603.64317770778,12220.366879005911,0.16002
2016-09-30,20.0,11244.25,11152.0,10437.773495617505,12042.222146341413,0.41196
2016-09-30,21.0,11255.549,11121.0,10475.42343851074,12020.379789870332,0.37228
2016-09-30,22.0,11181.741,10832.0,10423.797413827038,11933.844484717918,0.18536
2016-09-30,23.0,10801.003,10458.0,10026.193747753186,11570.968044864778,0.19558
2016-10-01,0.0,10029.217,9808.0,9369.434371234789,10684.581223998335,0.2557
2016-10-01,1.0,9385.424,9142.0,8798.659341727662,9971.38577547052,0.2078
2016-10-01,2.0,8784.841,8616.0,8245.649061036742,9322.797969634878,0.27074
2016-10-01,3.0,8441.601,8302.0,7938.158735464254,8946.901630598131,0.2955
2016-10-01,4.0,8197.966,8102.0,7713.5230280329215,8683.49085342923,0.34852
2016-10-01,5.0,8056.509,7964.0,7575.755684871488,8537.817535777584,0.3542
2016-10-01,6.0,8079.685,7979.0,7601.048269279158,8561.36766236091,0.34218
2016-10-01,7.0,8231.578,8222.0,7725.860054458613,8744.518288420133,0.48702
2016-10-01,8.0,8459.762,8603.0,7876.501073766851,9045.969976580764,0.68692
2016-10-01,9.0,8769.318,8909.0,8158.056575279753,9375.412460460455,0.67362
2016-10-01,10.0,9191.3955,9375.0,8618.154421477444,9756.268515677943,0.73782
2016-10-01,11.0,9558.5205,9784.0,9004.702861993199,10113.245737055347,0.79098
2016-10-01,12.0,9779.75,9969.0,9227.23291546398,10327.615516987706,0.75384
2016-10-01,13.0,9815.758,10061.0,9246.936850017364,10379.795889255098,0.80358
2016-10-01,14.0,9848.757,9950.0,9261.069627937057,10424.65260581926,0.63444
2016-10-01,15.0,9859.997,9795.0,9238.908587430637,10470.398177448955,0.41858
2016-10-01,16.0,9794.64,9698.0,9123.375436121169,10455.36079560528,0.38928
2016-10-01,17.0,9769.65,9595.0,9030.587162870883,10498.876166334661,0.31944
2016-10-01,18.0,9687.839,9573.0,8878.886639730654,10490.039377750889,0.38936
2016-10-01,19.0,9695.903,9610.0,8822.519010284697,10565.409004273717,0.42068
2016-10-01,20.0,9746.302,9864.0,8905.799770108073,10592.163645270308,0.60542
2016-10-01,21.0,9959.06,10074.0,9162.003300368793,10760.40739137002,0.60758
2016-10-01,22.0,10103.254,9950.0,9300.200859553412,10919.113028269247,0.35248
2016-10-01,23.0,9879.887,9623.0,9074.155326673881,10699.943951927631,0.26304
2016-10-02,0.0,8926.947,9182.0,8281.621527605588,9569.169672792748,0.78098
2016-10-02,1.0,8443.619,8637.0,7873.047524750164,9016.88817039819,0.74774
2016-10-02,2.0,8016.853,8213.0,7501.853809745087,8540.534210855867,0.77246
2016-10-02,3.0,7689.804,7900.0,7206.484285149355,8175.960612346852,0.80264
2016-10-02,4.0,7524.4937,7734.0,7057.079931619816,7987.597051769183,0.81128
2016-10-02,5.0,7441.9023,7594.0,6977.215242884955,7904.799369345585,0.73916
2016-10-02,6.0,7436.29,7595.0,6971.205699850829,7900.873786512682,0.74806
2016-10-02,7.0,7572.4463,7633.0,7068.312714308813,8080.199358263789,0.5929
2016-10-02,8.0,7739.188,7861.0,7163.957263644698,8313.995836633814,0.65912
2016-10-02,9.0,7829.981,7872.0,7239.447504830662,8412.604569867583,0.5542
2016-10-02,10.0,8192.285,8278.0,7636.458131323658,8745.863016582045,0.61768
2016-10-02,11.0,8443.671,8548.0,7903.424196660417,8987.495070137786,0.6454
2016-10-02,12.0,8646.243,8849.0,8096.562403562047,9196.575693640842,0.76596
2016-10-02,13.0,8762.298,9038.0,8189.522159432377,9337.067797394615,0.82844
2016-10-02,14.0,8826.051,9106.0,8234.904216904357,9415.860197478327,0.82592
2016-10-02,15.0,8939.739,9114.0,8300.848457264854,9575.031176286242,0.70456
2016-10-02,16.0,8901.349,9101.0,8206.897788080367,9593.528454847385,0.7154
2016-10-02,17.0,8985.021,9191.0,8222.370488211922,9752.05268719137,0.70472
2016-10-02,18.0,9376.88,9261.0,8560.812547727946,10187.60200989881,0.39328
2016-10-02,19.0,9695.619,9346.0,8833.348989884433,10551.163225132645,0.21106
2016-10-02,20.0,9896.003,9735.0,9051.528881152648,10732.745160910048,0.35234
2016-10-02,21.0,9884.232,10042.0,9085.985944641572,10680.882756920233,0.64956
2016-10-02,22.0,9883.054,9835.0,9084.44975562192,10680.061191830597,0.45284
2016-10-02,23.0,9610.127,9483.0,8815.721884363953,10400.830889013812,0.37786
2016-10-03,0.0,9309.237,9043.0,8629.649861710184,9990.069116992008,0.22354
2016-10-03,1.0,8637.659,8514.0,8018.632030155426,9254.12135882777,0.34754
2016-10-03,2.0,8207.651,8181.0,7646.315172362716,8767.022243524578,0.46564
2016-10-03,3.0,7922.362,7958.0,7394.649345574225,8446.136074920729,0.55412
