day,hour,y_hat,y
2016-09-30,0.0,10080.203,9902.0
2016-09-30,1.0,10443.473,9163.0
2016-09-30,2.0,9560.389,8694.0
2016-09-30,3.0,10336.875,8429.0
2016-09-30,4.0,10273.729,8234.0
2016-09-30,5.0,9966.298,8212.0
2016-09-30,6.0,9911.521,8339.0
2016-09-30,7.0,10314.003,8949.0
2016-09-30,8.0,10479.6,10036.0
2016-09-30,9.0,9977.774,10766.0
2016-09-30,10.0,10322.101,11079.0
2016-09-30,11.0,10325.708,11331.0
2016-09-30,12.0,10032.414,11503.0
2016-09-30,13.0,10012.501,11449.0
2016-09-30,14.0,9854.195,11399.0
2016-09-30,15.0,10405.847,11394.0
2016-09-30,16.0,9966.607,11267.0
2016-09-30,17.0,10830.726,11138.0
2016-09-30,18.0,10811.198,11042.0
2016-09-30,19.0,10934.135,10998.0
2016-09-30,20.0,10080.226,11152.0
2016-09-30,21.0,10554.366,11121.0
2016-09-30,22.0,11091.847,10832.0
2016-09-30,23.0,10321.2705,10458.0
2016-10-01,0.0,8820.887,9808.0
2016-10-01,1.0,9517.759,9142.0
2016-10-01,2.0,9246.954,8616.0
2016-10-01,3.0,8983.268,8302.0
2016-10-01,4.0,8754.652,8102.0
2016-10-01,5.0,8786.211,7964.0
2016-10-01,6.0,9821.188,7979.0
2016-10-01,7.0,8718.1455,8222.0
2016-10-01,8.0,8469.648,8603.0
2016-10-01,9.0,9348.757,8909.0
2016-10-01,10.0,9831.897,9375.0
2016-10-01,11.0,8958.233,9784.0
2016-10-01,12.0,9933.68,9969.0
2016-10-01,13.0,9255.136,10061.0
2016-10-01,14.0,9698.406,9950.0
2016-10-01,15.0,9650.065,9795.0
2016-10-01,16.0,8937.733,9698.0
2016-10-01,17.0,9559.048,9595.0
2016-10-01,18.0,9291.883,9573.0
2016-10-01,19.0,9112.398,9610.0
2016-10-01,20.0,9057.972,9864.0
2016-10-01,21.0,9557.11,10074.0
2016-10-01,22.0,9819.007,9950.0
2016-10-01,23.0,9437.958,9623.0
2016-10-02,0.0,8113.1274,9182.0
2016-10-02,1.0,8091.083,8637.0
2016-10-02,2.0,8209.664,8213.0
2016-10-02,3.0,7862.813,7900.0
2016-10-02,4.0,7528.8086,7734.0
2016-10-02,5.0,7989.336,7594.0
2016-10-02,6.0,8019.3726,7595.0
2016-10-02,7.0,7749.948,7633.0
2016-10-02,8.0,7727.5454,7861.0
2016-10-02,9.0,8010.528,7872.0
2016-10-02,10.0,8619.852,8278.0
2016-10-02,11.0,9789.743,8548.0
2016-10-02,12.0,10342.789,8849.0
2016-10-02,13.0,8960.232,9038.0
2016-10-02,14.0,9803.25,9106.0
2016-10-02,15.0,9118.517,9114.0
2016-10-02,16.0,8870.758,9101.0
2016-10-02,17.0,9073.51,9191.0
2016-10-02,18.0,9230.241,9261.0
2016-10-02,19.0,9100.14,9346.0
2016-10-02,20.0,9506.844,9735.0
2016-10-02,21.0,9020.542,10042.0
2016-10-02,22.0,8783.843,9835.0
2016-10-02,23.0,9625.517,9483.0
2016-10-03,0.0,10462.8,9043.0
2016-10-03,1.0,10088.85,8514.0
2016-10-03,2.0,10115.56,8181.0
2016-10-03,3.0,10243.511,7958.0
2016-10-03,4.0,10277.905,7869.0
2016-10-03,5.0,10182.58,7851.0
2016-10-03,6.0,10311.421,8097.0
2016-10-03,7.0,9768.714,8754.0
2016-10-03,8.0,9954.444,9912.0
2016-10-03,9.0,10528.699,10500.0
2016-10-03,10.0,9483.281,10885.0
2016-10-03,11.0,10250.349,11070.0
2016-10-03,12.0,10346.607,11341.0
2016-10-03,13.0,8572.53,11450.0
2016-10-03,14.0,10312.722,11480.0
2016-10-03,15.0,9983.255,11537.0
2016-10-03,16.0,10270.454,11434.0
2016-10-03,17.0,9606.656,11326.0
2016-10-03,18.0,10966.883,11249.0
2016-10-03,19.0,11154.78,11160.0
2016-10-03,20.0,9942.04,11389.0
2016-10-03,21.0,11124.1,11567.0
2016-10-03,22.0,10334.368,11255.0
2016-10-03,23.0,10266.493,10727.0
2016-10-04,0.0,10439.066,9955.0
2016-10-04,1.0,10269.208,9197.0
2016-10-04,2.0,10759.087,8701.0
2016-10-04,3.0,10368.781,8404.0
2016-10-04,4.0,9602.992,8227.0
2016-10-04,5.0,9984.14,8162.0
2016-10-04,6.0,10644.241,8363.0
2016-10-04,7.0,9766.039,9011.0
2016-10-04,8.0,10404.582,10128.0
2016-10-04,9.0,9900.533,10736.0
2016-10-04,10.0,10989.79,11050.0
2016-10-04,11.0,11136.682,11282.0
2016-10-04,12.0,11131.943,11583.0
2016-10-04,13.0,10269.847,11837.0
2016-10-04,14.0,11338.476,11905.0
2016-10-04,15.0,10665.597,12005.0
2016-10-04,16.0,11445.872,12015.0
2016-10-04,17.0,10182.455,12007.0
2016-10-04,18.0,11220.529,11951.0
2016-10-04,19.0,10870.25,11731.0
2016-10-04,20.0,10896.687,11747.0
2016-10-04,21.0,10725.779,12025.0
2016-10-04,22.0,10945.72,11731.0
2016-10-04,23.0,10940.708,11146.0
2016-10-05,0.0,10508.591,10298.0
2016-10-05,1.0,10800.425,9495.0
2016-10-05,2.0,10822.987,8953.0
2016-10-05,3.0,10532.167,8601.0
2016-10-05,4.0,10639.715,8432.0
2016-10-05,5.0,10120.108,8378.0
2016-10-05,6.0,10033.073,8550.0
2016-10-05,7.0,10102.2705,9217.0
2016-10-05,8.0,10528.135,10384.0
2016-10-05,9.0,9812.337,10960.0
2016-10-05,10.0,10489.93,11430.0
2016-10-05,11.0,12861.4,11835.0
2016-10-05,12.0,11806.601,12289.0
2016-10-05,13.0,12079.423,12387.0
2016-10-05,14.0,12493.697,12510.0
2016-10-05,15.0,11435.804,12639.0
2016-10-05,16.0,11158.659,12970.0
