ds,y_hat,y
2015-01-01 00:00:00,11789.288,11774.0
2015-01-01 01:00:00,10976.496,11341.0
2015-01-01 02:00:00,10433.054,10969.0
2015-01-01 03:00:00,10067.623,10651.0
2015-01-01 04:00:00,9891.512,10425.0
2015-01-01 05:00:00,9849.888,10299.0
2015-01-01 06:00:00,10029.859,10294.0
2015-01-01 07:00:00,10588.551,10443.0
2015-01-01 08:00:00,11414.507,10634.0
2015-01-01 09:00:00,11793.58,10532.0
2015-01-01 10:00:00,11910.954,10433.0
2015-01-01 11:00:00,11962.751,10543.0
2015-01-01 12:00:00,11938.078,10635.0
2015-01-01 13:00:00,11828.144,10623.0
2015-01-01 14:00:00,11774.735,10592.0
2015-01-01 15:00:00,11695.978,10511.0
2015-01-01 16:00:00,11670.679,10503.0
2015-01-01 17:00:00,11718.688,10585.0
2015-01-01 18:00:00,12448.658,11404.0
2015-01-01 19:00:00,13066.172,12140.0
2015-01-01 20:00:00,12996.268,12076.0
2015-01-01 21:00:00,12696.454,11919.0
2015-01-01 22:00:00,12483.176,11712.0
2015-01-01 23:00:00,12001.196,11397.0
2015-01-02 00:00:00,11328.339,10826.0
2015-01-02 01:00:00,10581.206,10304.0
2015-01-02 02:00:00,10073.78,9884.0
2015-01-02 03:00:00,9769.939,9620.0
2015-01-02 04:00:00,9604.061,9513.0
2015-01-02 05:00:00,9589.22,9533.0
2015-01-02 06:00:00,9789.285,9791.0
2015-01-02 07:00:00,10393.0205,10346.0
2015-01-02 08:00:00,11319.694,11115.0
2015-01-02 09:00:00,11726.533,11543.0
2015-01-02 10:00:00,11859.847,11598.0
2015-01-02 11:00:00,11941.477,11661.0
2015-01-02 12:00:00,11992.692,11701.0
2015-01-02 13:00:00,11911.138,11628.0
2015-01-02 14:00:00,11846.042,11469.0
2015-01-02 15:00:00,11813.819,11445.0
2015-01-02 16:00:00,11736.279,11394.0
2015-01-02 17:00:00,11769.703,11478.0
2015-01-02 18:00:00,12423.037,12211.0
2015-01-02 19:00:00,13038.389,12804.0
2015-01-02 20:00:00,12896.483,12666.0
2015-01-02 21:00:00,12635.836,12436.0
2015-01-02 22:00:00,12339.761,12185.0
2015-01-02 23:00:00,11857.823,11823.0
2015-01-03 00:00:00,11051.7295,11194.0
2015-01-03 01:00:00,10380.818,10520.0
2015-01-03 02:00:00,9834.472,9963.0
2015-01-03 03:00:00,9489.05,9622.0
2015-01-03 04:00:00,9260.934,9475.0
2015-01-03 05:00:00,9183.199,9423.0
2015-01-03 06:00:00,9200.629,9494.0
2015-01-03 07:00:00,9405.05,9733.0
2015-01-03 08:00:00,9703.879,10135.0
2015-01-03 09:00:00,9870.285,10432.0
2015-01-03 10:00:00,10147.858,10696.0
2015-01-03 11:00:00,10389.739,11014.0
2015-01-03 12:00:00,10576.059,11244.0
2015-01-03 13:00:00,10593.802,11249.0
2015-01-03 14:00:00,10583.742,11328.0
2015-01-03 15:00:00,10507.889,11200.0
2015-01-03 16:00:00,10448.692,11073.0
2015-01-03 17:00:00,10524.49,11033.0
2015-01-03 18:00:00,11136.611,11517.0
2015-01-03 19:00:00,11819.188,12009.0
2015-01-03 20:00:00,11825.635,12010.0
2015-01-03 21:00:00,11619.532,11840.0
2015-01-03 22:00:00,11407.45,11648.0
2015-01-03 23:00:00,11073.502,11302.0
2015-01-04 00:00:00,10277.345,10823.0
2015-01-04 01:00:00,9773.724,10217.0
2015-01-04 02:00:00,9339.023,9752.0
2015-01-04 03:00:00,9031.455,9384.0
2015-01-04 04:00:00,8882.216,9251.0
2015-01-04 05:00:00,8825.8,9197.0
2015-01-04 06:00:00,8824.582,9251.0
