day,hour,y_hat,y
2016-09-30,0.0,1639.3739,1671.0
2016-09-30,1.0,1527.6371,1589.0
2016-09-30,2.0,1450.715,1513.0
2016-09-30,3.0,1398.5059,1476.0
2016-09-30,4.0,1372.3883,1449.0
2016-09-30,5.0,1397.5139,1482.0
2016-09-30,6.0,1500.156,1574.0
2016-09-30,7.0,1698.5831,1786.0
2016-09-30,8.0,1809.8822,1924.0
2016-09-30,9.0,1835.8307,1932.0
2016-09-30,10.0,1880.8817,1977.0
2016-09-30,11.0,1926.5269,1999.0
2016-09-30,12.0,1952.8676,2002.0
2016-09-30,13.0,1979.2227,1999.0
2016-09-30,14.0,2008.877,2001.0
2016-09-30,15.0,2020.307,1974.0
2016-09-30,16.0,2006.0759,1923.0
2016-09-30,17.0,2010.4437,1903.0
2016-09-30,18.0,2005.6567,1866.0
2016-09-30,19.0,1957.9772,1842.0
2016-09-30,20.0,1936.9779,1856.0
2016-09-30,21.0,1933.4343,1857.0
2016-09-30,22.0,1874.6202,1792.0
2016-09-30,23.0,1737.9287,1684.0
2016-10-01,0.0,1555.797,1549.0
2016-10-01,1.0,1452.5255,1443.0
2016-10-01,2.0,1378.9895,1369.0
2016-10-01,3.0,1337.5938,1326.0
2016-10-01,4.0,1319.0067,1309.0
2016-10-01,5.0,1321.235,1308.0
2016-10-01,6.0,1362.5642,1331.0
2016-10-01,7.0,1440.1101,1394.0
2016-10-01,8.0,1515.5309,1475.0
2016-10-01,9.0,1585.5139,1540.0
2016-10-01,10.0,1645.1592,1608.0
2016-10-01,11.0,1679.7805,1646.0
2016-10-01,12.0,1682.2722,1656.0
2016-10-01,13.0,1675.5769,1649.0
2016-10-01,14.0,1655.9269,1640.0
2016-10-01,15.0,1638.7489,1628.0
2016-10-01,16.0,1622.1655,1615.0
2016-10-01,17.0,1631.4376,1614.0
2016-10-01,18.0,1646.111,1607.0
2016-10-01,19.0,1642.7708,1593.0
2016-10-01,20.0,1658.2728,1650.0
2016-10-01,21.0,1668.224,1666.0
2016-10-01,22.0,1645.3666,1609.0
2016-10-01,23.0,1557.9613,1531.0
2016-10-02,0.0,1456.7411,1436.0
2016-10-02,1.0,1366.8679,1359.0
2016-10-02,2.0,1304.9602,1302.0
2016-10-02,3.0,1265.6536,1279.0
2016-10-02,4.0,1248.4193,1250.0
2016-10-02,5.0,1247.6957,1257.0
2016-10-02,6.0,1268.759,1264.0
2016-10-02,7.0,1322.201,1317.0
2016-10-02,8.0,1375.5802,1372.0
2016-10-02,9.0,1447.2522,1441.0
2016-10-02,10.0,1518.2086,1512.0
2016-10-02,11.0,1561.7495,1559.0
2016-10-02,12.0,1590.1702,1602.0
2016-10-02,13.0,1619.5477,1622.0
2016-10-02,14.0,1621.0186,1633.0
2016-10-02,15.0,1623.9894,1631.0
2016-10-02,16.0,1630.0044,1637.0
2016-10-02,17.0,1644.348,1666.0
2016-10-02,18.0,1674.306,1697.0
2016-10-02,19.0,1689.7266,1708.0
2016-10-02,20.0,1709.1653,1768.0
2016-10-02,21.0,1756.5995,1803.0
2016-10-02,22.0,1720.8053,1730.0
2016-10-02,23.0,1623.5166,1633.0
2016-10-03,0.0,1546.7866,1543.0
2016-10-03,1.0,1474.234,1467.0
2016-10-03,2.0,1428.2013,1428.0
2016-10-03,3.0,1403.0029,1402.0
2016-10-03,4.0,1398.0615,1401.0
