day,hour,y_hat,y
2016-09-30,0.0,1658.5962,1671.0
2016-09-30,1.0,1598.8008,1589.0
2016-09-30,2.0,1559.2518,1513.0
2016-09-30,3.0,1534.2334,1476.0
2016-09-30,4.0,1546.8832,1449.0
2016-09-30,5.0,1586.5966,1482.0
2016-09-30,6.0,1712.1848,1574.0
2016-09-30,7.0,1919.4734,1786.0
2016-09-30,8.0,2040.0718,1924.0
2016-09-30,9.0,2041.7402,1932.0
2016-09-30,10.0,2037.1914,1977.0
2016-09-30,11.0,2029.9885,1999.0
2016-09-30,12.0,1984.2645,2002.0
2016-09-30,13.0,1940.4081,1999.0
2016-09-30,14.0,1913.8354,2001.0
2016-09-30,15.0,1869.7557,1974.0
2016-09-30,16.0,1832.2065,1923.0
2016-09-30,17.0,1830.1469,1903.0
2016-09-30,18.0,1854.3157,1866.0
2016-09-30,19.0,1875.7213,1842.0
2016-09-30,20.0,1886.8827,1856.0
2016-09-30,21.0,1902.2871,1857.0
2016-09-30,22.0,1864.0428,1792.0
2016-09-30,23.0,1765.7462,1684.0
2016-10-01,0.0,1560.5435,1549.0
2016-10-01,1.0,1430.3861,1443.0
2016-10-01,2.0,1341.102,1369.0
2016-10-01,3.0,1282.1855,1326.0
2016-10-01,4.0,1240.2809,1309.0
2016-10-01,5.0,1233.3699,1308.0
2016-10-01,6.0,1248.4686,1331.0
2016-10-01,7.0,1291.5969,1394.0
2016-10-01,8.0,1347.8865,1475.0
2016-10-01,9.0,1444.4313,1540.0
2016-10-01,10.0,1533.4882,1608.0
2016-10-01,11.0,1587.5864,1646.0
2016-10-01,12.0,1630.1547,1656.0
2016-10-01,13.0,1665.7579,1649.0
2016-10-01,14.0,1668.5107,1640.0
2016-10-01,15.0,1678.2471,1628.0
2016-10-01,16.0,1669.5267,1615.0
2016-10-01,17.0,1696.1771,1614.0
2016-10-01,18.0,1696.9926,1607.0
2016-10-01,19.0,1678.9314,1593.0
2016-10-01,20.0,1656.7802,1650.0
2016-10-01,21.0,1668.7584,1666.0
2016-10-01,22.0,1669.4341,1609.0
2016-10-01,23.0,1591.7196,1531.0
2016-10-02,0.0,1539.7201,1436.0
2016-10-02,1.0,1452.5343,1359.0
2016-10-02,2.0,1401.7477,1302.0
2016-10-02,3.0,1370.0087,1279.0
2016-10-02,4.0,1353.1532,1250.0
2016-10-02,5.0,1355.4873,1257.0
2016-10-02,6.0,1377.9,1264.0
2016-10-02,7.0,1422.5808,1317.0
2016-10-02,8.0,1478.3225,1372.0
2016-10-02,9.0,1557.1908,1441.0
2016-10-02,10.0,1621.7786,1512.0
2016-10-02,11.0,1646.8188,1559.0
2016-10-02,12.0,1661.6447,1602.0
2016-10-02,13.0,1667.8918,1622.0
2016-10-02,14.0,1654.6211,1633.0
2016-10-02,15.0,1638.374,1631.0
2016-10-02,16.0,1631.3938,1637.0
2016-10-02,17.0,1666.114,1666.0
2016-10-02,18.0,1708.3269,1697.0
2016-10-02,19.0,1728.5686,1708.0
2016-10-02,20.0,1749.3341,1768.0
2016-10-02,21.0,1769.0835,1803.0
2016-10-02,22.0,1746.1873,1730.0
2016-10-02,23.0,1670.5964,1633.0
2016-10-03,0.0,1540.0563,1543.0
2016-10-03,1.0,1460.2927,1467.0
2016-10-03,2.0,1400.8073,1428.0
2016-10-03,3.0,1376.2683,1402.0
2016-10-03,4.0,1370.1488,1401.0
2016-10-03,5.0,1397.8553,1424.0
2016-10-03,6.0,1511.5618,1545.0
2016-10-03,7.0,1708.147,1751.0
2016-10-03,8.0,1822.1266,1876.0
2016-10-03,9.0,1876.0715,1902.0
2016-10-03,10.0,1917.6455,1938.0
2016-10-03,11.0,1961.4579,2003.0
2016-10-03,12.0,1988.1688,2047.0
2016-10-03,13.0,2009.344,2066.0
2016-10-03,14.0,2038.3108,2100.0
2016-10-03,15.0,2052.513,2115.0
2016-10-03,16.0,2028.0092,2093.0
2016-10-03,17.0,2034.6362,2088.0
2016-10-03,18.0,2041.977,2084.0
2016-10-03,19.0,2015.69,2061.0
2016-10-03,20.0,2014.6453,2107.0
2016-10-03,21.0,2028.0264,2106.0
2016-10-03,22.0,1999.6694,1996.0
2016-10-03,23.0,1870.5759,1834.0
2016-10-04,0.0,1686.619,1695.0
2016-10-04,1.0,1591.2832,1596.0
2016-10-04,2.0,1524.7134,1532.0
2016-10-04,3.0,1483.2915,1474.0
2016-10-04,4.0,1468.3121,1454.0
2016-10-04,5.0,1497.8605,1477.0
2016-10-04,6.0,1612.5934,1590.0
2016-10-04,7.0,1812.1206,1794.0
2016-10-04,8.0,1941.502,1909.0
2016-10-04,9.0,1976.1241,1924.0
2016-10-04,10.0,2016.7717,1973.0
2016-10-04,11.0,2062.913,2030.0
2016-10-04,12.0,2078.89,2072.0
2016-10-04,13.0,2097.655,2130.0
2016-10-04,14.0,2116.6516,2174.0
2016-10-04,15.0,2107.8508,2205.0
2016-10-04,16.0,2095.572,2215.0
2016-10-04,17.0,2093.4238,2215.0
2016-10-04,18.0,2089.638,2215.0
2016-10-04,19.0,2071.0708,2175.0
2016-10-04,20.0,2065.0337,2200.0
2016-10-04,21.0,2072.647,2187.0
2016-10-04,22.0,2027.4883,2079.0
2016-10-04,23.0,1893.21,1933.0
2016-10-05,0.0,1792.097,1793.0
