day,hour,y_hat,y
2016-09-30,0.0,1662.2361,1671.0
2016-09-30,1.0,1556.093,1589.0
2016-09-30,2.0,1485.8541,1513.0
2016-09-30,3.0,1439.2172,1476.0
2016-09-30,4.0,1427.7113,1449.0
2016-09-30,5.0,1448.0222,1482.0
2016-09-30,6.0,1548.0146,1574.0
2016-09-30,7.0,1711.1129,1786.0
2016-09-30,8.0,1833.015,1924.0
2016-09-30,9.0,1862.8197,1932.0
2016-09-30,10.0,1908.768,1977.0
2016-09-30,11.0,1947.6428,1999.0
2016-09-30,12.0,1959.1696,2002.0
2016-09-30,13.0,1957.4512,1999.0
2016-09-30,14.0,1960.478,2001.0
2016-09-30,15.0,1946.0605,1974.0
2016-09-30,16.0,1933.4401,1923.0
2016-09-30,17.0,1918.3593,1903.0
2016-09-30,18.0,1900.0938,1866.0
2016-09-30,19.0,1882.5896,1842.0
2016-09-30,20.0,1871.0026,1856.0
2016-09-30,21.0,1872.6338,1857.0
2016-09-30,22.0,1847.3204,1792.0
2016-09-30,23.0,1735.6472,1684.0
2016-10-01,0.0,1536.4084,1549.0
2016-10-01,1.0,1428.2255,1443.0
2016-10-01,2.0,1356.6453,1369.0
2016-10-01,3.0,1314.9413,1326.0
2016-10-01,4.0,1299.8427,1309.0
2016-10-01,5.0,1296.8892,1308.0
2016-10-01,6.0,1322.9945,1331.0
2016-10-01,7.0,1370.8187,1394.0
2016-10-01,8.0,1442.6067,1475.0
2016-10-01,9.0,1507.5061,1540.0
2016-10-01,10.0,1570.1516,1608.0
2016-10-01,11.0,1599.6561,1646.0
2016-10-01,12.0,1596.3263,1656.0
2016-10-01,13.0,1580.5172,1649.0
2016-10-01,14.0,1560.0204,1640.0
2016-10-01,15.0,1542.8015,1628.0
2016-10-01,16.0,1521.1464,1615.0
2016-10-01,17.0,1536.3041,1614.0
2016-10-01,18.0,1545.3967,1607.0
2016-10-01,19.0,1549.7056,1593.0
2016-10-01,20.0,1563.1396,1650.0
2016-10-01,21.0,1597.2637,1666.0
2016-10-01,22.0,1584.0409,1609.0
2016-10-01,23.0,1514.734,1531.0
2016-10-02,0.0,1444.941,1436.0
2016-10-02,1.0,1350.1443,1359.0
2016-10-02,2.0,1291.115,1302.0
2016-10-02,3.0,1254.2188,1279.0
2016-10-02,4.0,1241.5859,1250.0
2016-10-02,5.0,1251.4922,1257.0
2016-10-02,6.0,1277.1552,1264.0
2016-10-02,7.0,1339.3506,1317.0
2016-10-02,8.0,1398.6497,1372.0
2016-10-02,9.0,1478.8118,1441.0
2016-10-02,10.0,1538.38,1512.0
2016-10-02,11.0,1572.9503,1559.0
2016-10-02,12.0,1583.6864,1602.0
2016-10-02,13.0,1591.0391,1622.0
2016-10-02,14.0,1592.0922,1633.0
2016-10-02,15.0,1588.344,1631.0
2016-10-02,16.0,1585.9868,1637.0
2016-10-02,17.0,1612.4457,1666.0
2016-10-02,18.0,1649.5721,1697.0
2016-10-02,19.0,1661.2246,1708.0
2016-10-02,20.0,1679.1785,1768.0
2016-10-02,21.0,1717.2399,1803.0
2016-10-02,22.0,1696.4163,1730.0
2016-10-02,23.0,1623.5845,1633.0
2016-10-03,0.0,1624.8798,1543.0
2016-10-03,1.0,1535.8674,1467.0
2016-10-03,2.0,1471.1564,1428.0
2016-10-03,3.0,1434.615,1402.0
2016-10-03,4.0,1427.7964,1401.0
2016-10-03,5.0,1452.447,1424.0
2016-10-03,6.0,1571.8004,1545.0
2016-10-03,7.0,1779.0753,1751.0
2016-10-03,8.0,1901.2328,1876.0
2016-10-03,9.0,1936.1478,1902.0
2016-10-03,10.0,1980.8424,1938.0
2016-10-03,11.0,2023.4656,2003.0
2016-10-03,12.0,2044.289,2047.0
2016-10-03,13.0,2057.4102,2066.0
2016-10-03,14.0,2065.621,2100.0
2016-10-03,15.0,2068.1357,2115.0
2016-10-03,16.0,2057.2527,2093.0
2016-10-03,17.0,2055.7717,2088.0
2016-10-03,18.0,2055.4695,2084.0
2016-10-03,19.0,2032.3195,2061.0
2016-10-03,20.0,2022.6503,2107.0
2016-10-03,21.0,2030.1733,2106.0
2016-10-03,22.0,1992.8175,1996.0
2016-10-03,23.0,1863.4155,1834.0
2016-10-04,0.0,1782.6443,1695.0
2016-10-04,1.0,1685.3792,1596.0
2016-10-04,2.0,1616.5406,1532.0
2016-10-04,3.0,1571.5092,1474.0
2016-10-04,4.0,1562.1918,1454.0
2016-10-04,5.0,1592.4291,1477.0
2016-10-04,6.0,1718.1936,1590.0
2016-10-04,7.0,1947.5328,1794.0
2016-10-04,8.0,2061.9258,1909.0
2016-10-04,9.0,2099.0837,1924.0
2016-10-04,10.0,2127.5105,1973.0
2016-10-04,11.0,2154.2996,2030.0
2016-10-04,12.0,2168.461,2072.0
2016-10-04,13.0,2192.6829,2130.0
2016-10-04,14.0,2194.8403,2174.0
2016-10-04,15.0,2193.382,2205.0
2016-10-04,16.0,2163.9343,2215.0
2016-10-04,17.0,2155.7205,2215.0
2016-10-04,18.0,2165.1501,2215.0
2016-10-04,19.0,2163.212,2175.0
2016-10-04,20.0,2142.9863,2200.0
2016-10-04,21.0,2141.9436,2187.0
2016-10-04,22.0,2097.9565,2079.0
2016-10-04,23.0,1954.9186,1933.0
2016-10-05,0.0,1822.2075,1793.0
2016-10-05,1.0,1715.2856,1676.0
2016-10-05,2.0,1637.9111,1593.0
2016-10-05,3.0,1583.0227,1525.0
2016-10-05,4.0,1557.673,1506.0
2016-10-05,5.0,1582.5664,1534.0
2016-10-05,6.0,1680.5526,1641.0
2016-10-05,7.0,1861.8202,1851.0
2016-10-05,8.0,1966.6763,1980.0
2016-10-05,9.0,2021.0825,1996.0
2016-10-05,10.0,2077.5962,2056.0
2016-10-05,11.0,2130.9324,2120.0
2016-10-05,12.0,2154.03,2169.0
2016-10-05,13.0,2194.061,2244.0
2016-10-05,14.0,2218.4832,2305.0
2016-10-05,15.0,2232.6658,2347.0
2016-10-05,16.0,2228.801,2344.0
2016-10-05,17.0,2233.4783,2371.0
2016-10-05,18.0,2240.8762,2358.0
2016-10-05,19.0,2239.0745,2308.0
2016-10-05,20.0,2220.7898,2327.0
2016-10-05,21.0,2204.0125,2305.0
2016-10-05,22.0,2157.4675,2199.0
2016-10-05,23.0,2019.6918,2038.0
2016-10-06,0.0,1906.898,1876.0
2016-10-06,1.0,1801.7504,1754.0
2016-10-06,2.0,1732.3276,1660.0
2016-10-06,3.0,1690.2997,1590.0
2016-10-06,4.0,1673.492,1550.0
2016-10-06,5.0,1703.787,1572.0
2016-10-06,6.0,1803.3429,1677.0
2016-10-06,7.0,1985.9243,1880.0
2016-10-06,8.0,2109.7314,2007.0
2016-10-06,9.0,2148.684,2022.0
2016-10-06,10.0,2185.339,2085.0
2016-10-06,11.0,2228.7341,2162.0
2016-10-06,12.0,2239.8376,2231.0
2016-10-06,13.0,2263.6387,2320.0
2016-10-06,14.0,2272.1538,2411.0
2016-10-06,15.0,2276.4404,2478.0
2016-10-06,16.0,2256.6917,2491.0
2016-10-06,17.0,2269.5854,2495.0
2016-10-06,18.0,2308.5525,2483.0
2016-10-06,19.0,2314.636,2404.0
2016-10-06,20.0,2290.2397,2397.0
2016-10-06,21.0,2263.4358,2366.0
2016-10-06,22.0,2208.4866,2234.0
2016-10-06,23.0,2077.8691,2048.0
2016-10-07,0.0,1868.4467,1878.0
2016-10-07,1.0,1735.1163,1748.0
2016-10-07,2.0,1641.4513,1648.0
2016-10-07,3.0,1583.0153,1566.0
2016-10-07,4.0,1551.7281,1539.0
2016-10-07,5.0,1568.8667,1548.0
2016-10-07,6.0,1665.2423,1643.0
2016-10-07,7.0,1845.3103,1839.0
2016-10-07,8.0,1961.9067,1951.0
2016-10-07,9.0,2023.9575,1961.0
2016-10-07,10.0,2093.6184,2021.0
2016-10-07,11.0,2153.2937,2099.0
2016-10-07,12.0,2191.858,2161.0
2016-10-07,13.0,2222.165,2227.0
2016-10-07,14.0,2255.3606,2298.0
2016-10-07,15.0,2262.7913,2343.0
2016-10-07,16.0,2241.4734,2365.0
2016-10-07,17.0,2243.1282,2383.0
2016-10-07,18.0,2227.3567,2359.0
2016-10-07,19.0,2184.9119,2274.0
2016-10-07,20.0,2130.8164,2217.0
2016-10-07,21.0,2098.343,2157.0
2016-10-07,22.0,2055.833,2049.0
2016-10-07,23.0,1928.4274,1903.0
2016-10-08,0.0,1668.2006,1743.0
2016-10-08,1.0,1549.4908,1592.0
2016-10-08,2.0,1462.3075,1497.0
2016-10-08,3.0,1407.3705,1426.0
2016-10-08,4.0,1377.6116,1376.0
2016-10-08,5.0,1385.3712,1350.0
2016-10-08,6.0,1418.5363,1371.0
2016-10-08,7.0,1490.1443,1425.0
2016-10-08,8.0,1560.5082,1496.0
2016-10-08,9.0,1619.6819,1556.0
2016-10-08,10.0,1676.1769,1612.0
2016-10-08,11.0,1705.53,1657.0
2016-10-08,12.0,1713.1793,1671.0
2016-10-08,13.0,1696.5348,1669.0
2016-10-08,14.0,1684.0583,1673.0
2016-10-08,15.0,1657.4722,1664.0
2016-10-08,16.0,1657.3326,1645.0
2016-10-08,17.0,1657.2301,1645.0
2016-10-08,18.0,1657.681,1644.0
2016-10-08,19.0,1665.367,1616.0
2016-10-08,20.0,1659.8928,1662.0
2016-10-08,21.0,1663.1936,1662.0
2016-10-08,22.0,1665.47,1599.0
2016-10-08,23.0,1576.8245,1510.0
2016-10-09,0.0,1442.2955,1421.0
2016-10-09,1.0,1354.423,1346.0
2016-10-09,2.0,1293.0656,1291.0
2016-10-09,3.0,1261.4307,1260.0
2016-10-09,4.0,1237.2739,1242.0
2016-10-09,5.0,1235.0385,1234.0
2016-10-09,6.0,1255.0905,1262.0
2016-10-09,7.0,1301.7501,1301.0
2016-10-09,8.0,1355.8167,1369.0
2016-10-09,9.0,1433.128,1439.0
2016-10-09,10.0,1496.4298,1503.0
2016-10-09,11.0,1532.1047,1533.0
2016-10-09,12.0,1562.4489,1547.0
2016-10-09,13.0,1576.2715,1561.0
2016-10-09,14.0,1577.2986,1562.0
2016-10-09,15.0,1586.8917,1565.0
2016-10-09,16.0,1583.5223,1579.0
2016-10-09,17.0,1621.8851,1610.0
2016-10-09,18.0,1659.1028,1636.0
2016-10-09,19.0,1680.9199,1644.0
2016-10-09,20.0,1699.2749,1741.0
2016-10-09,21.0,1725.0992,1747.0
2016-10-09,22.0,1717.8477,1673.0
2016-10-09,23.0,1632.4597,1592.0
2016-10-10,0.0,1554.4384,1541.0
2016-10-10,1.0,1481.0868,1464.0
2016-10-10,2.0,1440.6835,1411.0
2016-10-10,3.0,1423.4346,1394.0
2016-10-10,4.0,1414.0413,1390.0
2016-10-10,5.0,1454.8461,1424.0
2016-10-10,6.0,1583.9918,1537.0
2016-10-10,7.0,1815.5403,1745.0
2016-10-10,8.0,1934.239,1891.0
2016-10-10,9.0,1967.2246,1920.0
2016-10-10,10.0,1992.7822,1974.0
2016-10-10,11.0,2012.543,2011.0
2016-10-10,12.0,2017.5271,2028.0
2016-10-10,13.0,2031.6005,2025.0
2016-10-10,14.0,2028.347,2033.0
2016-10-10,15.0,2019.5222,1993.0
2016-10-10,16.0,1993.1287,1973.0
2016-10-10,17.0,1963.9435,1971.0
2016-10-10,18.0,1980.511,1973.0
2016-10-10,19.0,1981.7971,1964.0
2016-10-10,20.0,1985.9364,2016.0
2016-10-10,21.0,2017.4025,1999.0
2016-10-10,22.0,1975.9133,1892.0
2016-10-10,23.0,1844.8882,1762.0
2016-10-11,0.0,1663.9888,1647.0
2016-10-11,1.0,1555.6731,1554.0
2016-10-11,2.0,1489.9382,1501.0
2016-10-11,3.0,1446.9548,1452.0
2016-10-11,4.0,1429.9846,1450.0
2016-10-11,5.0,1454.2589,1472.0
2016-10-11,6.0,1565.7614,1584.0
2016-10-11,7.0,1759.6804,1793.0
2016-10-11,8.0,1879.9712,1921.0
2016-10-11,9.0,1910.1157,1932.0
2016-10-11,10.0,1950.1643,1945.0
2016-10-11,11.0,1993.2401,1980.0
2016-10-11,12.0,2004.2882,1985.0
2016-10-11,13.0,2013.1553,1993.0
2016-10-11,14.0,2033.2493,2002.0
2016-10-11,15.0,2022.3418,2002.0
2016-10-11,16.0,2009.461,1977.0
2016-10-11,17.0,2003.8579,1966.0
2016-10-11,18.0,1988.7201,1972.0
2016-10-11,19.0,1969.7792,1947.0
2016-10-11,20.0,1960.0958,2014.0
2016-10-11,21.0,1980.2074,1998.0
2016-10-11,22.0,1941.8062,1898.0
2016-10-11,23.0,1811.2882,1770.0
2016-10-12,0.0,1690.0953,1654.0
2016-10-12,1.0,1584.5675,1564.0
2016-10-12,2.0,1520.2617,1514.0
2016-10-12,3.0,1476.7258,1469.0
2016-10-12,4.0,1459.0194,1462.0
2016-10-12,5.0,1481.5796,1479.0
2016-10-12,6.0,1590.4034,1598.0
2016-10-12,7.0,1785.8339,1795.0
2016-10-12,8.0,1912.6786,1929.0
2016-10-12,9.0,1948.0719,1927.0
2016-10-12,10.0,1990.2817,1968.0
2016-10-12,11.0,2032.4514,2009.0
2016-10-12,12.0,2060.3752,2018.0
2016-10-12,13.0,2093.6333,2048.0
2016-10-12,14.0,2112.3137,2082.0
2016-10-12,15.0,2119.9011,2101.0
2016-10-12,16.0,2091.9067,2092.0
2016-10-12,17.0,2104.721,2082.0
2016-10-12,18.0,2116.7954,2063.0
2016-10-12,19.0,2102.2637,2053.0
2016-10-12,20.0,2094.531,2114.0
2016-10-12,21.0,2099.3867,2073.0
2016-10-12,22.0,2044.6461,1982.0
2016-10-12,23.0,1919.8878,1843.0
2016-10-13,0.0,1698.752,1709.0
2016-10-13,1.0,1581.5001,1620.0
2016-10-13,2.0,1507.0209,1551.0
2016-10-13,3.0,1457.3381,1498.0
2016-10-13,4.0,1436.2297,1476.0
2016-10-13,5.0,1457.789,1485.0
