day,hour,y_hat,y
2016-09-30,0.0,1635.7539,1671.0
2016-09-30,1.0,1527.3473,1589.0
2016-09-30,2.0,1449.5011,1513.0
2016-09-30,3.0,1401.3481,1476.0
2016-09-30,4.0,1378.4248,1449.0
2016-09-30,5.0,1408.7944,1482.0
2016-09-30,6.0,1517.3379,1574.0
2016-09-30,7.0,1715.5516,1786.0
2016-09-30,8.0,1840.1177,1924.0
2016-09-30,9.0,1877.4285,1932.0
2016-09-30,10.0,1923.572,1977.0
2016-09-30,11.0,1969.05,1999.0
2016-09-30,12.0,1991.0164,2002.0
2016-09-30,13.0,2023.1958,1999.0
2016-09-30,14.0,2026.4142,2001.0
2016-09-30,15.0,2019.2396,1974.0
2016-09-30,16.0,2004.036,1923.0
2016-09-30,17.0,1994.2628,1903.0
2016-09-30,18.0,1970.6798,1866.0
2016-09-30,19.0,1917.8787,1842.0
2016-09-30,20.0,1891.4735,1856.0
2016-09-30,21.0,1891.3397,1857.0
2016-09-30,22.0,1871.3224,1792.0
2016-09-30,23.0,1742.8647,1684.0
2016-10-01,0.0,1521.6498,1549.0
2016-10-01,1.0,1390.8813,1443.0
2016-10-01,2.0,1314.357,1369.0
2016-10-01,3.0,1249.9779,1326.0
2016-10-01,4.0,1229.5171,1309.0
2016-10-01,5.0,1229.9214,1308.0
2016-10-01,6.0,1288.4202,1331.0
2016-10-01,7.0,1386.1438,1394.0
2016-10-01,8.0,1489.1669,1475.0
2016-10-01,9.0,1548.4493,1540.0
2016-10-01,10.0,1608.6992,1608.0
2016-10-01,11.0,1666.9393,1646.0
2016-10-01,12.0,1688.6663,1656.0
2016-10-01,13.0,1710.9836,1649.0
2016-10-01,14.0,1712.6193,1640.0
2016-10-01,15.0,1706.5505,1628.0
2016-10-01,16.0,1708.743,1615.0
2016-10-01,17.0,1706.8286,1614.0
2016-10-01,18.0,1687.9617,1607.0
2016-10-01,19.0,1663.1201,1593.0
2016-10-01,20.0,1646.8999,1650.0
2016-10-01,21.0,1664.0366,1666.0
2016-10-01,22.0,1658.7743,1609.0
2016-10-01,23.0,1567.7301,1531.0
2016-10-02,0.0,1440.7518,1436.0
2016-10-02,1.0,1353.3086,1359.0
2016-10-02,2.0,1292.0164,1302.0
2016-10-02,3.0,1259.791,1279.0
2016-10-02,4.0,1248.1362,1250.0
2016-10-02,5.0,1249.9567,1257.0
2016-10-02,6.0,1277.6465,1264.0
2016-10-02,7.0,1329.1115,1317.0
2016-10-02,8.0,1381.493,1372.0
2016-10-02,9.0,1462.437,1441.0
2016-10-02,10.0,1534.4014,1512.0
2016-10-02,11.0,1574.9048,1559.0
2016-10-02,12.0,1603.1614,1602.0
2016-10-02,13.0,1632.2822,1622.0
2016-10-02,14.0,1631.5441,1633.0
2016-10-02,15.0,1634.1895,1631.0
2016-10-02,16.0,1651.0211,1637.0
2016-10-02,17.0,1678.6064,1666.0
