day,hour,y_hat,y
2016-09-30,0.0,1678.7997,1671.0
2016-09-30,1.0,1570.5017,1589.0
2016-09-30,2.0,1487.9526,1513.0
2016-09-30,3.0,1445.7869,1476.0
2016-09-30,4.0,1429.9833,1449.0
2016-09-30,5.0,1455.0242,1482.0
2016-09-30,6.0,1540.1033,1574.0
2016-09-30,7.0,1704.4868,1786.0
2016-09-30,8.0,1812.3517,1924.0
2016-09-30,9.0,1870.7047,1932.0
2016-09-30,10.0,1926.5514,1977.0
2016-09-30,11.0,1961.4541,1999.0
2016-09-30,12.0,1982.804,2002.0
2016-09-30,13.0,2003.688,1999.0
2016-09-30,14.0,2015.7661,2001.0
2016-09-30,15.0,2013.4459,1974.0
2016-09-30,16.0,1997.0527,1923.0
2016-09-30,17.0,1991.0829,1903.0
2016-09-30,18.0,1974.9529,1866.0
2016-09-30,19.0,1941.1865,1842.0
2016-09-30,20.0,1921.2606,1856.0
2016-09-30,21.0,1915.868,1857.0
2016-09-30,22.0,1891.4608,1792.0
2016-09-30,23.0,1781.727,1684.0
2016-10-01,0.0,1592.3185,1549.0
2016-10-01,1.0,1446.1641,1443.0
2016-10-01,2.0,1351.9973,1369.0
2016-10-01,3.0,1286.4236,1326.0
2016-10-01,4.0,1246.683,1309.0
2016-10-01,5.0,1240.5308,1308.0
2016-10-01,6.0,1264.35,1331.0
2016-10-01,7.0,1317.5459,1394.0
2016-10-01,8.0,1375.8718,1475.0
2016-10-01,9.0,1479.8905,1540.0
2016-10-01,10.0,1583.6069,1608.0
2016-10-01,11.0,1647.654,1646.0
2016-10-01,12.0,1691.0983,1656.0
2016-10-01,13.0,1720.963,1649.0
2016-10-01,14.0,1731.1074,1640.0
2016-10-01,15.0,1746.5369,1628.0
2016-10-01,16.0,1736.574,1615.0
2016-10-01,17.0,1755.7882,1614.0
2016-10-01,18.0,1734.3787,1607.0
2016-10-01,19.0,1700.3762,1593.0
2016-10-01,20.0,1668.2412,1650.0
2016-10-01,21.0,1677.5278,1666.0
2016-10-01,22.0,1662.4485,1609.0
2016-10-01,23.0,1574.1884,1531.0
2016-10-02,0.0,1483.589,1436.0
2016-10-02,1.0,1406.564,1359.0
2016-10-02,2.0,1357.4789,1302.0
2016-10-02,3.0,1337.4,1279.0
2016-10-02,4.0,1324.2458,1250.0
2016-10-02,5.0,1332.4302,1257.0
2016-10-02,6.0,1364.9244,1264.0
2016-10-02,7.0,1430.224,1317.0
2016-10-02,8.0,1487.2003,1372.0
2016-10-02,9.0,1544.172,1441.0
2016-10-02,10.0,1593.6478,1512.0
2016-10-02,11.0,1610.2007,1559.0
2016-10-02,12.0,1617.2563,1602.0
2016-10-02,13.0,1615.2638,1622.0
2016-10-02,14.0,1607.22,1633.0
2016-10-02,15.0,1598.6133,1631.0
2016-10-02,16.0,1592.7849,1637.0
2016-10-02,17.0,1620.4467,1666.0
2016-10-02,18.0,1680.6177,1697.0
2016-10-02,19.0,1700.5281,1708.0
2016-10-02,20.0,1721.682,1768.0
2016-10-02,21.0,1760.9181,1803.0
2016-10-02,22.0,1734.4327,1730.0
2016-10-02,23.0,1665.0043,1633.0
2016-10-03,0.0,1580.4297,1543.0
2016-10-03,1.0,1488.8715,1467.0
2016-10-03,2.0,1425.9119,1428.0
2016-10-03,3.0,1384.983,1402.0
2016-10-03,4.0,1365.646,1401.0
