day,hour,y_hat,y
2016-09-30,0.0,1679.7258,1671.0
2016-09-30,1.0,1606.8395,1589.0
2016-09-30,2.0,1551.1576,1513.0
2016-09-30,3.0,1528.0414,1476.0
2016-09-30,4.0,1521.8304,1449.0
2016-09-30,5.0,1560.8948,1482.0
2016-09-30,6.0,1651.4646,1574.0
2016-09-30,7.0,1810.818,1786.0
2016-09-30,8.0,1907.197,1924.0
2016-09-30,9.0,1933.0911,1932.0
2016-09-30,10.0,1945.0392,1977.0
2016-09-30,11.0,1954.0144,1999.0
2016-09-30,12.0,1934.1211,2002.0
2016-09-30,13.0,1914.1224,1999.0
2016-09-30,14.0,1887.7953,2001.0
2016-09-30,15.0,1860.9465,1974.0
2016-09-30,16.0,1827.7029,1923.0
2016-09-30,17.0,1832.8965,1903.0
2016-09-30,18.0,1853.1576,1866.0
2016-09-30,19.0,1885.6233,1842.0
2016-09-30,20.0,1889.1304,1856.0
2016-09-30,21.0,1902.7637,1857.0
2016-09-30,22.0,1866.0682,1792.0
2016-09-30,23.0,1768.2798,1684.0
2016-10-01,0.0,1589.1886,1549.0
2016-10-01,1.0,1458.031,1443.0
2016-10-01,2.0,1364.8132,1369.0
2016-10-01,3.0,1305.5653,1326.0
2016-10-01,4.0,1268.5367,1309.0
2016-10-01,5.0,1272.2275,1308.0
2016-10-01,6.0,1304.2938,1331.0
2016-10-01,7.0,1385.0936,1394.0
2016-10-01,8.0,1463.1283,1475.0
2016-10-01,9.0,1538.2103,1540.0
2016-10-01,10.0,1598.6481,1608.0
2016-10-01,11.0,1652.174,1646.0
2016-10-01,12.0,1675.7445,1656.0
2016-10-01,13.0,1683.812,1649.0
2016-10-01,14.0,1691.084,1640.0
2016-10-01,15.0,1688.9589,1628.0
2016-10-01,16.0,1672.731,1615.0
2016-10-01,17.0,1673.6588,1614.0
2016-10-01,18.0,1650.2957,1607.0
2016-10-01,19.0,1625.8081,1593.0
2016-10-01,20.0,1610.6807,1650.0
2016-10-01,21.0,1628.7052,1666.0
2016-10-01,22.0,1621.4158,1609.0
2016-10-01,23.0,1523.3534,1531.0
2016-10-02,0.0,1456.7411,1436.0
2016-10-02,1.0,1352.78,1359.0
2016-10-02,2.0,1284.8135,1302.0
2016-10-02,3.0,1244.1049,1279.0
2016-10-02,4.0,1222.3823,1250.0
2016-10-02,5.0,1220.9918,1257.0
2016-10-02,6.0,1236.3856,1264.0
2016-10-02,7.0,1282.2113,1317.0
2016-10-02,8.0,1344.9901,1372.0
2016-10-02,9.0,1437.9185,1441.0
2016-10-02,10.0,1525.6926,1512.0
2016-10-02,11.0,1579.4348,1559.0
2016-10-02,12.0,1623.1918,1602.0
2016-10-02,13.0,1655.4474,1622.0
2016-10-02,14.0,1672.7815,1633.0
2016-10-02,15.0,1687.5469,1631.0
2016-10-02,16.0,1697.3405,1637.0
2016-10-02,17.0,1725.8435,1666.0
2016-10-02,18.0,1755.7454,1697.0
2016-10-02,19.0,1756.9312,1708.0
2016-10-02,20.0,1764.0089,1768.0
2016-10-02,21.0,1775.3217,1803.0
2016-10-02,22.0,1761.0659,1730.0
2016-10-02,23.0,1673.785,1633.0
2016-10-03,0.0,1578.1346,1543.0
2016-10-03,1.0,1485.5638,1467.0
2016-10-03,2.0,1438.0745,1428.0
2016-10-03,3.0,1410.711,1402.0
2016-10-03,4.0,1410.214,1401.0
2016-10-03,5.0,1450.6206,1424.0
2016-10-03,6.0,1563.1455,1545.0
2016-10-03,7.0,1761.237,1751.0
2016-10-03,8.0,1886.4231,1876.0
2016-10-03,9.0,1922.6157,1902.0
2016-10-03,10.0,1962.0597,1938.0
