day,hour,y_hat,y
2016-09-30,0.0,1673.243,1671.0
2016-09-30,1.0,1575.9988,1589.0
2016-09-30,2.0,1511.4081,1513.0
2016-09-30,3.0,1472.8079,1476.0
2016-09-30,4.0,1459.8265,1449.0
2016-09-30,5.0,1491.5742,1482.0
2016-09-30,6.0,1594.6873,1574.0
2016-09-30,7.0,1779.1195,1786.0
2016-09-30,8.0,1894.035,1924.0
2016-09-30,9.0,1921.2671,1932.0
2016-09-30,10.0,1947.8977,1977.0
2016-09-30,11.0,1971.3206,1999.0
2016-09-30,12.0,1967.2117,2002.0
2016-09-30,13.0,1962.7825,1999.0
2016-09-30,14.0,1958.7184,2001.0
2016-09-30,15.0,1937.1455,1974.0
2016-09-30,16.0,1907.7719,1923.0
2016-09-30,17.0,1905.3865,1903.0
2016-09-30,18.0,1909.3345,1866.0
2016-09-30,19.0,1898.2164,1842.0
2016-09-30,20.0,1892.4408,1856.0
2016-09-30,21.0,1896.3722,1857.0
2016-09-30,22.0,1863.8138,1792.0
2016-09-30,23.0,1752.9307,1684.0
2016-10-01,0.0,1578.5188,1549.0
2016-10-01,1.0,1471.9683,1443.0
2016-10-01,2.0,1398.73,1369.0
2016-10-01,3.0,1357.1978,1326.0
2016-10-01,4.0,1335.1571,1309.0
2016-10-01,5.0,1342.6797,1308.0
2016-10-01,6.0,1384.8591,1331.0
2016-10-01,7.0,1467.5295,1394.0
2016-10-01,8.0,1540.9738,1475.0
2016-10-01,9.0,1597.0708,1540.0
2016-10-01,10.0,1642.6696,1608.0
2016-10-01,11.0,1663.8041,1646.0
2016-10-01,12.0,1658.9879,1656.0
2016-10-01,13.0,1645.8911,1649.0
2016-10-01,14.0,1625.5297,1640.0
2016-10-01,15.0,1602.8573,1628.0
2016-10-01,16.0,1587.1105,1615.0
2016-10-01,17.0,1595.51,1614.0
2016-10-01,18.0,1608.4547,1607.0
2016-10-01,19.0,1610.1674,1593.0
2016-10-01,20.0,1614.5803,1650.0
2016-10-01,21.0,1637.3451,1666.0
2016-10-01,22.0,1622.8503,1609.0
2016-10-01,23.0,1545.6855,1531.0
2016-10-02,0.0,1464.8654,1436.0
2016-10-02,1.0,1377.7653,1359.0
2016-10-02,2.0,1323.0161,1302.0
2016-10-02,3.0,1295.259,1279.0
2016-10-02,4.0,1281.0668,1250.0
2016-10-02,5.0,1286.9982,1257.0
2016-10-02,6.0,1315.1451,1264.0
2016-10-02,7.0,1370.3617,1317.0
2016-10-02,8.0,1435.2908,1372.0
2016-10-02,9.0,1510.0763,1441.0
2016-10-02,10.0,1574.7797,1512.0
2016-10-02,11.0,1608.8666,1559.0
2016-10-02,12.0,1628.5942,1602.0
2016-10-02,13.0,1637.1367,1622.0
2016-10-02,14.0,1632.22,1633.0
2016-10-02,15.0,1629.0493,1631.0
2016-10-02,16.0,1634.9163,1637.0
2016-10-02,17.0,1658.4586,1666.0
2016-10-02,18.0,1704.0154,1697.0
2016-10-02,19.0,1723.0424,1708.0
2016-10-02,20.0,1739.366,1768.0
2016-10-02,21.0,1763.009,1803.0
2016-10-02,22.0,1745.0773,1730.0
2016-10-02,23.0,1661.1832,1633.0
2016-10-03,0.0,1567.6514,1543.0
2016-10-03,1.0,1493.3961,1467.0
2016-10-03,2.0,1446.5546,1428.0
2016-10-03,3.0,1421.3711,1402.0
2016-10-03,4.0,1420.3082,1401.0
2016-10-03,5.0,1453.4165,1424.0
2016-10-03,6.0,1558.0123,1545.0
2016-10-03,7.0,1735.5356,1751.0
2016-10-03,8.0,1850.1929,1876.0
2016-10-03,9.0,1897.3319,1902.0
2016-10-03,10.0,1940.4419,1938.0
2016-10-03,11.0,1979.0261,2003.0
2016-10-03,12.0,1999.2831,2047.0
2016-10-03,13.0,2021.3153,2066.0
2016-10-03,14.0,2030.0312,2100.0
2016-10-03,15.0,2030.7715,2115.0
2016-10-03,16.0,2019.9095,2093.0
2016-10-03,17.0,2027.4965,2088.0
2016-10-03,18.0,2057.1047,2084.0
2016-10-03,19.0,2064.508,2061.0
2016-10-03,20.0,2065.9639,2107.0
2016-10-03,21.0,2075.782,2106.0
2016-10-03,22.0,2032.2938,1996.0
2016-10-03,23.0,1907.3752,1834.0
2016-10-04,0.0,1735.9883,1695.0
2016-10-04,1.0,1644.064,1596.0
2016-10-04,2.0,1580.6279,1532.0
2016-10-04,3.0,1542.2562,1474.0
2016-10-04,4.0,1531.404,1454.0
2016-10-04,5.0,1567.0216,1477.0
2016-10-04,6.0,1690.1354,1590.0
2016-10-04,7.0,1904.8694,1794.0
2016-10-04,8.0,2032.1476,1909.0
2016-10-04,9.0,2056.189,1924.0
2016-10-04,10.0,2079.3677,1973.0
2016-10-04,11.0,2105.9614,2030.0
2016-10-04,12.0,2106.6543,2072.0
2016-10-04,13.0,2111.7175,2130.0
2016-10-04,14.0,2110.977,2174.0
2016-10-04,15.0,2098.2686,2205.0
2016-10-04,16.0,2067.65,2215.0
2016-10-04,17.0,2060.909,2215.0
2016-10-04,18.0,2075.0574,2215.0
2016-10-04,19.0,2072.8389,2175.0
2016-10-04,20.0,2067.8176,2200.0
2016-10-04,21.0,2075.7312,2187.0
2016-10-04,22.0,2027.4175,2079.0
2016-10-04,23.0,1894.348,1933.0
2016-10-05,0.0,1824.2311,1793.0
2016-10-05,1.0,1724.9042,1676.0
2016-10-05,2.0,1657.893,1593.0
2016-10-05,3.0,1614.8525,1525.0
2016-10-05,4.0,1600.8295,1506.0
2016-10-05,5.0,1630.7734,1534.0
2016-10-05,6.0,1741.8582,1641.0
2016-10-05,7.0,1939.1604,1851.0
2016-10-05,8.0,2061.2937,1980.0
2016-10-05,9.0,2097.5378,1996.0
2016-10-05,10.0,2132.4626,2056.0
2016-10-05,11.0,2172.1362,2120.0
2016-10-05,12.0,2190.7327,2169.0
2016-10-05,13.0,2213.9365,2244.0
2016-10-05,14.0,2230.726,2305.0
2016-10-05,15.0,2236.0486,2347.0
2016-10-05,16.0,2224.5566,2344.0
2016-10-05,17.0,2233.1519,2371.0
2016-10-05,18.0,2267.9407,2358.0
2016-10-05,19.0,2276.261,2308.0
2016-10-05,20.0,2266.3066,2327.0
2016-10-05,21.0,2259.4773,2305.0
2016-10-05,22.0,2207.6897,2199.0
2016-10-05,23.0,2067.052,2038.0
2016-10-06,0.0,1909.0726,1876.0
2016-10-06,1.0,1806.137,1754.0
2016-10-06,2.0,1736.2274,1660.0
2016-10-06,3.0,1689.701,1590.0
2016-10-06,4.0,1674.1063,1550.0
2016-10-06,5.0,1710.4866,1572.0
2016-10-06,6.0,1836.3406,1677.0
2016-10-06,7.0,2057.0137,1880.0
2016-10-06,8.0,2190.7732,2007.0
2016-10-06,9.0,2217.7798,2022.0
2016-10-06,10.0,2246.0742,2085.0
2016-10-06,11.0,2280.241,2162.0
2016-10-06,12.0,2289.5762,2231.0
2016-10-06,13.0,2304.5366,2320.0
2016-10-06,14.0,2315.9592,2411.0
2016-10-06,15.0,2311.8643,2478.0
2016-10-06,16.0,2285.128,2491.0
2016-10-06,17.0,2284.3228,2495.0
2016-10-06,18.0,2301.5535,2483.0
2016-10-06,19.0,2297.6396,2404.0
2016-10-06,20.0,2277.1047,2397.0
2016-10-06,21.0,2258.036,2366.0
2016-10-06,22.0,2206.794,2234.0
2016-10-06,23.0,2068.3787,2048.0
2016-10-07,0.0,1915.4541,1878.0
2016-10-07,1.0,1804.8333,1748.0
2016-10-07,2.0,1730.23,1648.0
2016-10-07,3.0,1680.7711,1566.0
2016-10-07,4.0,1660.8224,1539.0
2016-10-07,5.0,1687.1464,1548.0
2016-10-07,6.0,1789.4744,1643.0
2016-10-07,7.0,1975.3843,1839.0
2016-10-07,8.0,2091.311,1951.0
2016-10-07,9.0,2124.097,1961.0
2016-10-07,10.0,2156.802,2021.0
2016-10-07,11.0,2184.2605,2099.0
2016-10-07,12.0,2184.7246,2161.0
2016-10-07,13.0,2186.6033,2227.0
2016-10-07,14.0,2187.475,2298.0
2016-10-07,15.0,2171.012,2343.0
2016-10-07,16.0,2139.4773,2365.0
2016-10-07,17.0,2136.9631,2383.0
2016-10-07,18.0,2144.0745,2359.0
2016-10-07,19.0,2136.4526,2274.0
2016-10-07,20.0,2109.0605,2217.0
2016-10-07,21.0,2088.617,2157.0
2016-10-07,22.0,2046.3917,2049.0
2016-10-07,23.0,1931.1631,1903.0
2016-10-08,0.0,1696.3976,1743.0
2016-10-08,1.0,1574.8744,1592.0
2016-10-08,2.0,1495.2892,1497.0
2016-10-08,3.0,1444.0675,1426.0
2016-10-08,4.0,1417.175,1376.0
2016-10-08,5.0,1412.7997,1350.0
2016-10-08,6.0,1438.3293,1371.0
2016-10-08,7.0,1491.0609,1425.0
2016-10-08,8.0,1548.1017,1496.0
2016-10-08,9.0,1613.6067,1556.0
2016-10-08,10.0,1668.862,1612.0
2016-10-08,11.0,1694.5908,1657.0
2016-10-08,12.0,1697.1047,1671.0
2016-10-08,13.0,1682.9363,1669.0
2016-10-08,14.0,1663.2325,1673.0
2016-10-08,15.0,1637.0503,1664.0
2016-10-08,16.0,1627.2743,1645.0
2016-10-08,17.0,1643.7666,1645.0
2016-10-08,18.0,1669.6761,1644.0
2016-10-08,19.0,1678.4545,1616.0
2016-10-08,20.0,1676.4205,1662.0
2016-10-08,21.0,1680.8977,1662.0
2016-10-08,22.0,1666.508,1599.0
2016-10-08,23.0,1591.3782,1510.0
2016-10-09,0.0,1461.7681,1421.0
2016-10-09,1.0,1374.7451,1346.0
2016-10-09,2.0,1317.0494,1291.0
2016-10-09,3.0,1288.0724,1260.0
2016-10-09,4.0,1273.6797,1242.0
2016-10-09,5.0,1279.8778,1234.0
2016-10-09,6.0,1313.3076,1262.0
2016-10-09,7.0,1375.1147,1301.0
2016-10-09,8.0,1439.2959,1369.0
2016-10-09,9.0,1508.9524,1439.0
2016-10-09,10.0,1565.712,1503.0
2016-10-09,11.0,1593.475,1533.0
2016-10-09,12.0,1600.9747,1547.0
2016-10-09,13.0,1600.3812,1561.0
2016-10-09,14.0,1589.8942,1562.0
2016-10-09,15.0,1579.918,1565.0
2016-10-09,16.0,1582.1812,1579.0
2016-10-09,17.0,1603.0629,1610.0
2016-10-09,18.0,1643.1306,1636.0
2016-10-09,19.0,1660.9791,1644.0
2016-10-09,20.0,1674.6666,1741.0
2016-10-09,21.0,1696.1326,1747.0
2016-10-09,22.0,1677.2828,1673.0
2016-10-09,23.0,1600.2571,1592.0
2016-10-10,0.0,1549.697,1541.0
2016-10-10,1.0,1476.452,1464.0
2016-10-10,2.0,1432.5563,1411.0
2016-10-10,3.0,1409.8099,1394.0
2016-10-10,4.0,1406.5739,1390.0
2016-10-10,5.0,1438.4458,1424.0
