day,hour,y_hat,y
2016-09-30,0.0,1692.5637,1671.0
2016-09-30,1.0,1588.4247,1589.0
2016-09-30,2.0,1519.7019,1513.0
2016-09-30,3.0,1468.2161,1476.0
2016-09-30,4.0,1450.6954,1449.0
2016-09-30,5.0,1473.186,1482.0
2016-09-30,6.0,1588.4142,1574.0
2016-09-30,7.0,1807.6333,1786.0
2016-09-30,8.0,1917.1637,1924.0
2016-09-30,9.0,1939.6096,1932.0
2016-09-30,10.0,1955.6777,1977.0
2016-09-30,11.0,1982.7733,1999.0
2016-09-30,12.0,1994.6554,2002.0
2016-09-30,13.0,2011.1008,1999.0
2016-09-30,14.0,2013.6533,2001.0
2016-09-30,15.0,2002.1804,1974.0
2016-09-30,16.0,1963.8407,1923.0
2016-09-30,17.0,1945.0339,1903.0
2016-09-30,18.0,1918.5579,1866.0
2016-09-30,19.0,1879.2482,1842.0
2016-09-30,20.0,1877.2489,1856.0
2016-09-30,21.0,1881.3525,1857.0
2016-09-30,22.0,1824.0875,1792.0
2016-09-30,23.0,1698.7308,1684.0
2016-10-01,0.0,1551.1105,1549.0
2016-10-01,1.0,1441.6978,1443.0
2016-10-01,2.0,1370.3525,1369.0
2016-10-01,3.0,1339.1866,1326.0
2016-10-01,4.0,1317.031,1309.0
2016-10-01,5.0,1316.8492,1308.0
2016-10-01,6.0,1352.9653,1331.0
2016-10-01,7.0,1439.8539,1394.0
2016-10-01,8.0,1508.0469,1475.0
2016-10-01,9.0,1571.1421,1540.0
2016-10-01,10.0,1624.1641,1608.0
2016-10-01,11.0,1649.8663,1646.0
2016-10-01,12.0,1658.0718,1656.0
2016-10-01,13.0,1635.2495,1649.0
2016-10-01,14.0,1616.1287,1640.0
2016-10-01,15.0,1601.8529,1628.0
2016-10-01,16.0,1587.6051,1615.0
2016-10-01,17.0,1598.8274,1614.0
2016-10-01,18.0,1603.4607,1607.0
2016-10-01,19.0,1605.7686,1593.0
2016-10-01,20.0,1659.2723,1650.0
2016-10-01,21.0,1690.3175,1666.0
2016-10-01,22.0,1617.9819,1609.0
2016-10-01,23.0,1542.8429,1531.0
2016-10-02,0.0,1408.8807,1436.0
2016-10-02,1.0,1317.216,1359.0
2016-10-02,2.0,1266.9694,1302.0
2016-10-02,3.0,1231.5355,1279.0
2016-10-02,4.0,1220.7244,1250.0
2016-10-02,5.0,1213.6403,1257.0
2016-10-02,6.0,1230.154,1264.0
2016-10-02,7.0,1277.4456,1317.0
2016-10-02,8.0,1335.5347,1372.0
2016-10-02,9.0,1408.4138,1441.0
2016-10-02,10.0,1491.4263,1512.0
2016-10-02,11.0,1536.4998,1559.0
2016-10-02,12.0,1576.7505,1602.0
2016-10-02,13.0,1603.5802,1622.0
2016-10-02,14.0,1615.137,1633.0
2016-10-02,15.0,1627.6031,1631.0
2016-10-02,16.0,1636.9126,1637.0
2016-10-02,17.0,1665.0369,1666.0
2016-10-02,18.0,1675.74,1697.0
2016-10-02,19.0,1676.8909,1708.0
2016-10-02,20.0,1721.1653,1768.0
2016-10-02,21.0,1772.8921,1803.0
2016-10-02,22.0,1724.0576,1730.0
2016-10-02,23.0,1625.4136,1633.0
2016-10-03,0.0,1571.0973,1543.0
2016-10-03,1.0,1507.9497,1467.0
2016-10-03,2.0,1454.9773,1428.0
2016-10-03,3.0,1419.6556,1402.0
2016-10-03,4.0,1417.447,1401.0
2016-10-03,5.0,1450.5548,1424.0
2016-10-03,6.0,1556.2168,1545.0
2016-10-03,7.0,1784.4521,1751.0
2016-10-03,8.0,1898.7483,1876.0
2016-10-03,9.0,1928.9945,1902.0
2016-10-03,10.0,1981.923,1938.0
2016-10-03,11.0,2033.1655,2003.0
2016-10-03,12.0,2060.2454,2047.0
2016-10-03,13.0,2082.3628,2066.0
2016-10-03,14.0,2094.4927,2100.0
2016-10-03,15.0,2085.4817,2115.0
2016-10-03,16.0,2058.8464,2093.0
2016-10-03,17.0,2047.57,2088.0
2016-10-03,18.0,2031.3402,2084.0
2016-10-03,19.0,2035.23,2061.0
2016-10-03,20.0,2056.3604,2107.0
2016-10-03,21.0,2068.722,2106.0
2016-10-03,22.0,1961.6791,1996.0
2016-10-03,23.0,1809.7125,1834.0
2016-10-04,0.0,1696.6091,1695.0
2016-10-04,1.0,1592.7263,1596.0
2016-10-04,2.0,1517.0902,1532.0
2016-10-04,3.0,1467.5745,1474.0
2016-10-04,4.0,1458.4587,1454.0
2016-10-04,5.0,1484.7051,1477.0
2016-10-04,6.0,1604.1141,1590.0
2016-10-04,7.0,1856.063,1794.0
2016-10-04,8.0,1977.2046,1909.0
2016-10-04,9.0,1990.8304,1924.0
2016-10-04,10.0,2023.5477,1973.0
2016-10-04,11.0,2082.4165,2030.0
2016-10-04,12.0,2121.7688,2072.0
2016-10-04,13.0,2165.2249,2130.0
2016-10-04,14.0,2196.902,2174.0
2016-10-04,15.0,2222.8367,2205.0
2016-10-04,16.0,2210.9216,2215.0
2016-10-04,17.0,2210.77,2215.0
2016-10-04,18.0,2208.684,2215.0
2016-10-04,19.0,2193.4749,2175.0
2016-10-04,20.0,2205.4756,2200.0
2016-10-04,21.0,2211.5063,2187.0
2016-10-04,22.0,2125.5718,2079.0
2016-10-04,23.0,1949.1296,1933.0
2016-10-05,0.0,1780.0073,1793.0
2016-10-05,1.0,1677.3859,1676.0
2016-10-05,2.0,1594.4213,1593.0
2016-10-05,3.0,1547.199,1525.0
2016-10-05,4.0,1532.4634,1506.0
2016-10-05,5.0,1551.8558,1534.0
2016-10-05,6.0,1669.4698,1641.0
2016-10-05,7.0,1903.5627,1851.0
2016-10-05,8.0,2029.5205,1980.0
2016-10-05,9.0,2045.9147,1996.0
2016-10-05,10.0,2089.2358,2056.0
2016-10-05,11.0,2145.0159,2120.0
2016-10-05,12.0,2187.3853,2169.0
2016-10-05,13.0,2238.63,2244.0
2016-10-05,14.0,2275.2627,2305.0
2016-10-05,15.0,2286.435,2347.0
2016-10-05,16.0,2272.3516,2344.0
2016-10-05,17.0,2300.1714,2371.0
2016-10-05,18.0,2293.9065,2358.0
2016-10-05,19.0,2263.0833,2308.0
2016-10-05,20.0,2270.5422,2327.0
2016-10-05,21.0,2269.082,2305.0
2016-10-05,22.0,2184.0156,2199.0
2016-10-05,23.0,2006.1395,2038.0
2016-10-06,0.0,1871.2345,1876.0
2016-10-06,1.0,1740.4254,1754.0
2016-10-06,2.0,1649.8475,1660.0
2016-10-06,3.0,1582.886,1590.0
2016-10-06,4.0,1558.7156,1550.0
2016-10-06,5.0,1576.852,1572.0
2016-10-06,6.0,1685.5692,1677.0
2016-10-06,7.0,1891.1221,1880.0
2016-10-06,8.0,2038.9965,2007.0
2016-10-06,9.0,2089.2495,2022.0
2016-10-06,10.0,2159.702,2085.0
2016-10-06,11.0,2232.2886,2162.0
2016-10-06,12.0,2273.5361,2231.0
2016-10-06,13.0,2326.4233,2320.0
2016-10-06,14.0,2367.465,2411.0
2016-10-06,15.0,2389.476,2478.0
2016-10-06,16.0,2380.7002,2491.0
2016-10-06,17.0,2395.199,2495.0
2016-10-06,18.0,2394.7524,2483.0
2016-10-06,19.0,2388.6199,2404.0
2016-10-06,20.0,2373.7207,2397.0
2016-10-06,21.0,2323.5115,2366.0
2016-10-06,22.0,2244.5293,2234.0
2016-10-06,23.0,2082.6174,2048.0
2016-10-07,0.0,1860.556,1878.0
2016-10-07,1.0,1727.2919,1748.0
2016-10-07,2.0,1641.3541,1648.0
2016-10-07,3.0,1581.6335,1566.0
2016-10-07,4.0,1551.8123,1539.0
2016-10-07,5.0,1570.3821,1548.0
2016-10-07,6.0,1674.3406,1643.0
2016-10-07,7.0,1862.6202,1839.0
2016-10-07,8.0,1988.295,1951.0
2016-10-07,9.0,2026.065,1961.0
2016-10-07,10.0,2079.2812,2021.0
2016-10-07,11.0,2154.1455,2099.0
2016-10-07,12.0,2202.1602,2161.0
2016-10-07,13.0,2244.1267,2227.0
2016-10-07,14.0,2282.0608,2298.0
2016-10-07,15.0,2292.1128,2343.0
2016-10-07,16.0,2290.3057,2365.0
2016-10-07,17.0,2293.9983,2383.0
2016-10-07,18.0,2268.1816,2359.0
2016-10-07,19.0,2234.2332,2274.0
2016-10-07,20.0,2232.088,2217.0
2016-10-07,21.0,2213.2517,2157.0
2016-10-07,22.0,2110.1821,2049.0
2016-10-07,23.0,1959.7168,1903.0
2016-10-08,0.0,1619.499,1743.0
2016-10-08,1.0,1495.4347,1592.0
2016-10-08,2.0,1412.0486,1497.0
2016-10-08,3.0,1360.4076,1426.0
2016-10-08,4.0,1333.3502,1376.0
2016-10-08,5.0,1325.9808,1350.0
2016-10-08,6.0,1352.4722,1371.0
2016-10-08,7.0,1412.808,1425.0
2016-10-08,8.0,1483.4113,1496.0
2016-10-08,9.0,1558.1243,1556.0
2016-10-08,10.0,1633.5387,1612.0
2016-10-08,11.0,1684.6439,1657.0
2016-10-08,12.0,1705.6865,1671.0
2016-10-08,13.0,1704.6492,1669.0
2016-10-08,14.0,1705.7284,1673.0
2016-10-08,15.0,1696.5059,1664.0
2016-10-08,16.0,1691.9219,1645.0
2016-10-08,17.0,1697.4352,1645.0
2016-10-08,18.0,1684.5725,1644.0
2016-10-08,19.0,1667.7166,1616.0
2016-10-08,20.0,1681.8583,1662.0
2016-10-08,21.0,1701.5848,1662.0
2016-10-08,22.0,1657.3491,1599.0
2016-10-08,23.0,1568.845,1510.0
2016-10-09,0.0,1445.9438,1421.0
2016-10-09,1.0,1338.9329,1346.0
2016-10-09,2.0,1272.6212,1291.0
2016-10-09,3.0,1225.6931,1260.0
2016-10-09,4.0,1197.052,1242.0
2016-10-09,5.0,1195.4303,1234.0
2016-10-09,6.0,1211.4546,1262.0
2016-10-09,7.0,1259.1736,1301.0
2016-10-09,8.0,1332.0989,1369.0
2016-10-09,9.0,1413.8401,1439.0
2016-10-09,10.0,1481.6035,1503.0
2016-10-09,11.0,1530.879,1533.0
2016-10-09,12.0,1574.4574,1547.0
2016-10-09,13.0,1601.809,1561.0
2016-10-09,14.0,1609.8127,1562.0
2016-10-09,15.0,1616.565,1565.0
2016-10-09,16.0,1618.3445,1579.0
2016-10-09,17.0,1633.7291,1610.0
2016-10-09,18.0,1646.2618,1636.0
2016-10-09,19.0,1643.1282,1644.0
2016-10-09,20.0,1681.3821,1741.0
2016-10-09,21.0,1708.501,1747.0
2016-10-09,22.0,1686.4369,1673.0
2016-10-09,23.0,1601.1509,1592.0
2016-10-10,0.0,1499.0807,1541.0
2016-10-10,1.0,1431.5555,1464.0
2016-10-10,2.0,1380.3302,1411.0
2016-10-10,3.0,1357.0743,1394.0
2016-10-10,4.0,1359.126,1390.0
2016-10-10,5.0,1399.8461,1424.0
2016-10-10,6.0,1520.8281,1537.0
2016-10-10,7.0,1736.35,1745.0
2016-10-10,8.0,1880.4119,1891.0
2016-10-10,9.0,1908.7361,1920.0
2016-10-10,10.0,1952.3328,1974.0
2016-10-10,11.0,1990.5574,2011.0
2016-10-10,12.0,2003.978,2028.0
2016-10-10,13.0,2028.2102,2025.0
2016-10-10,14.0,2028.0906,2033.0
2016-10-10,15.0,2029.4384,1993.0
2016-10-10,16.0,2007.7726,1973.0
2016-10-10,17.0,2004.1338,1971.0
2016-10-10,18.0,2006.5634,1973.0
2016-10-10,19.0,2027.3168,1964.0
2016-10-10,20.0,2064.8325,2016.0
2016-10-10,21.0,2041.2104,1999.0
2016-10-10,22.0,1965.0339,1892.0
2016-10-10,23.0,1840.9532,1762.0
2016-10-11,0.0,1651.3262,1647.0
2016-10-11,1.0,1558.3927,1554.0
2016-10-11,2.0,1489.4097,1501.0
2016-10-11,3.0,1450.6263,1452.0
2016-10-11,4.0,1434.8837,1450.0
2016-10-11,5.0,1471.1857,1472.0
2016-10-11,6.0,1579.9801,1584.0
2016-10-11,7.0,1806.2196,1793.0
2016-10-11,8.0,1942.825,1921.0
2016-10-11,9.0,1943.8998,1932.0
2016-10-11,10.0,1967.2733,1945.0
2016-10-11,11.0,1988.3604,1980.0
2016-10-11,12.0,1993.4645,1985.0
2016-10-11,13.0,2010.086,1993.0
2016-10-11,14.0,2017.7705,2002.0
2016-10-11,15.0,2014.0189,2002.0
2016-10-11,16.0,1995.8708,1977.0
2016-10-11,17.0,1974.4141,1966.0
2016-10-11,18.0,1945.2576,1972.0
2016-10-11,19.0,1939.0776,1947.0
2016-10-11,20.0,1989.5876,2014.0
2016-10-11,21.0,2008.9247,1998.0
2016-10-11,22.0,1934.1813,1898.0
2016-10-11,23.0,1789.9836,1770.0
2016-10-12,0.0,1643.0282,1654.0
2016-10-12,1.0,1546.416,1564.0
2016-10-12,2.0,1480.7659,1514.0
2016-10-12,3.0,1440.6353,1469.0
2016-10-12,4.0,1425.6895,1462.0
2016-10-12,5.0,1455.6355,1479.0
2016-10-12,6.0,1574.6227,1598.0
2016-10-12,7.0,1810.2412,1795.0
2016-10-12,8.0,1942.4541,1929.0
2016-10-12,9.0,1956.859,1927.0
2016-10-12,10.0,1987.4004,1968.0
2016-10-12,11.0,2028.6765,2009.0
2016-10-12,12.0,2046.4451,2018.0
2016-10-12,13.0,2069.8528,2048.0
2016-10-12,14.0,2091.6511,2082.0
2016-10-12,15.0,2094.9722,2101.0
2016-10-12,16.0,2076.514,2092.0
2016-10-12,17.0,2075.7856,2082.0
2016-10-12,18.0,2075.0813,2063.0
2016-10-12,19.0,2068.0884,2053.0
2016-10-12,20.0,2114.7976,2114.0
2016-10-12,21.0,2101.8716,2073.0
2016-10-12,22.0,2014.9028,1982.0
2016-10-12,23.0,1878.0635,1843.0
2016-10-13,0.0,1678.8354,1709.0
2016-10-13,1.0,1579.8893,1620.0
2016-10-13,2.0,1506.3855,1551.0
2016-10-13,3.0,1455.8712,1498.0
2016-10-13,4.0,1440.014,1476.0
2016-10-13,5.0,1465.3298,1485.0
2016-10-13,6.0,1577.409,1582.0
2016-10-13,7.0,1804.0741,1784.0
2016-10-13,8.0,1918.2186,1914.0
2016-10-13,9.0,1924.7399,1919.0
2016-10-13,10.0,1944.4242,1942.0
2016-10-13,11.0,1971.0338,1965.0
2016-10-13,12.0,1979.0256,1972.0
2016-10-13,13.0,1987.5298,1983.0
2016-10-13,14.0,1987.3204,2001.0
2016-10-13,15.0,1984.5857,1989.0
2016-10-13,16.0,1945.8878,1957.0
2016-10-13,17.0,1931.0319,1944.0
2016-10-13,18.0,1912.7776,1925.0
2016-10-13,19.0,1904.4606,1911.0
2016-10-13,20.0,1937.6627,1976.0
2016-10-13,21.0,1952.246,1964.0
2016-10-13,22.0,1893.7112,1890.0
2016-10-13,23.0,1752.6603,1765.0
2016-10-14,0.0,1630.4869,1651.0
2016-10-14,1.0,1548.6356,1568.0
2016-10-14,2.0,1487.8641,1514.0
2016-10-14,3.0,1453.3452,1483.0
2016-10-14,4.0,1447.346,1469.0
2016-10-14,5.0,1476.8357,1482.0
2016-10-14,6.0,1594.1495,1602.0
2016-10-14,7.0,1801.7858,1794.0
2016-10-14,8.0,1941.2911,1924.0
2016-10-14,9.0,1947.6002,1934.0
2016-10-14,10.0,1952.4191,1958.0
2016-10-14,11.0,1980.5071,1975.0
2016-10-14,12.0,1972.2407,1961.0
2016-10-14,13.0,1954.6637,1962.0
2016-10-14,14.0,1942.8102,1959.0
2016-10-14,15.0,1917.583,1934.0
2016-10-14,16.0,1889.4965,1898.0
2016-10-14,17.0,1874.7928,1865.0
2016-10-14,18.0,1883.5233,1833.0
2016-10-14,19.0,1870.489,1809.0
2016-10-14,20.0,1910.7048,1855.0
2016-10-14,21.0,1911.6016,1830.0
