day,hour,y_hat,y
2017-09-30,0.0,2437.0442,2450.0
2017-09-30,1.0,2275.3137,2268.0
2017-09-30,2.0,2166.914,2146.0
2017-09-30,3.0,2087.815,2032.0
2017-09-30,4.0,2043.5544,1999.0
2017-09-30,5.0,2045.9375,2010.0
2017-09-30,6.0,2089.5564,2051.0
2017-09-30,7.0,2159.922,2137.0
2017-09-30,8.0,2249.097,2210.0
2017-09-30,9.0,2369.3926,2320.0
2017-09-30,10.0,2455.0198,2457.0
2017-09-30,11.0,2526.1902,2537.0
2017-09-30,12.0,2575.2224,2583.0
2017-09-30,13.0,2579.5696,2596.0
2017-09-30,14.0,2552.3044,2612.0
2017-09-30,15.0,2525.9536,2614.0
2017-09-30,16.0,2549.1897,2626.0
2017-09-30,17.0,2532.588,2656.0
2017-09-30,18.0,2527.176,2656.0
2017-09-30,19.0,2543.5518,2615.0
2017-09-30,20.0,2537.9807,2615.0
2017-09-30,21.0,2574.8071,2591.0
2017-09-30,22.0,2521.626,2483.0
2017-09-30,23.0,2421.8613,2362.0
2017-10-01,0.0,2339.9524,2217.0
2017-10-01,1.0,2204.1343,2073.0
2017-10-01,2.0,2117.4375,1967.0
2017-10-01,3.0,2060.7332,1924.0
2017-10-01,4.0,2021.6709,1906.0
2017-10-01,5.0,2021.0531,1906.0
2017-10-01,6.0,2045.7029,1925.0
2017-10-01,7.0,2090.7842,1980.0
2017-10-01,8.0,2135.6982,2040.0
2017-10-01,9.0,2264.67,2133.0
2017-10-01,10.0,2385.5327,2225.0
2017-10-01,11.0,2460.5393,2329.0
2017-10-01,12.0,2505.9514,2375.0
2017-10-01,13.0,2536.8865,2401.0
2017-10-01,14.0,2544.379,2444.0
2017-10-01,15.0,2542.7207,2458.0
2017-10-01,16.0,2580.177,2514.0
2017-10-01,17.0,2607.0808,2591.0
2017-10-01,18.0,2662.7039,2637.0
2017-10-01,19.0,2679.6687,2652.0
2017-10-01,20.0,2697.9824,2713.0
2017-10-01,21.0,2736.7334,2756.0
2017-10-01,22.0,2682.8489,2611.0
2017-10-01,23.0,2540.6736,2434.0
2017-10-02,0.0,2365.8074,2253.0
2017-10-02,1.0,2215.253,2119.0
2017-10-02,2.0,2128.5886,2048.0
2017-10-02,3.0,2057.1204,2005.0
2017-10-02,4.0,2028.3182,1987.0
2017-10-02,5.0,2099.128,1979.0
2017-10-02,6.0,2276.2202,2127.0
2017-10-02,7.0,2538.587,2421.0
2017-10-02,8.0,2704.7886,2585.0
2017-10-02,9.0,2783.725,2614.0
2017-10-02,10.0,2831.3547,2734.0
2017-10-02,11.0,2914.124,2831.0
2017-10-02,12.0,2959.7175,2884.0
2017-10-02,13.0,2989.7864,2962.0
2017-10-02,14.0,3014.0156,3053.0
2017-10-02,15.0,3023.0837,3088.0
2017-10-02,16.0,3026.8025,3116.0
2017-10-02,17.0,3047.8794,3169.0
2017-10-02,18.0,3026.1865,3179.0
2017-10-02,19.0,2988.881,3141.0
2017-10-02,20.0,2969.5852,3114.0
2017-10-02,21.0,2994.8445,3062.0
2017-10-02,22.0,2905.0488,2899.0
2017-10-02,23.0,2710.7036,2665.0
2017-10-03,0.0,2414.7898,2438.0
2017-10-03,1.0,2250.6707,2266.0
