day,hour,y_hat,y
2017-09-30,0.0,2468.8616,2450.0
2017-09-30,1.0,2326.527,2268.0
2017-09-30,2.0,2225.873,2146.0
2017-09-30,3.0,2153.4114,2032.0
2017-09-30,4.0,2122.723,1999.0
2017-09-30,5.0,2124.7666,2010.0
2017-09-30,6.0,2162.8464,2051.0
2017-09-30,7.0,2243.767,2137.0
2017-09-30,8.0,2327.7766,2210.0
2017-09-30,9.0,2431.8489,2320.0
2017-09-30,10.0,2520.7979,2457.0
2017-09-30,11.0,2558.527,2537.0
2017-09-30,12.0,2562.494,2583.0
2017-09-30,13.0,2541.2576,2596.0
2017-09-30,14.0,2511.4087,2612.0
2017-09-30,15.0,2484.1038,2614.0
2017-09-30,16.0,2466.4988,2626.0
2017-09-30,17.0,2464.629,2656.0
2017-09-30,18.0,2488.2905,2656.0
2017-09-30,19.0,2500.0066,2615.0
2017-09-30,20.0,2514.9744,2615.0
2017-09-30,21.0,2542.0403,2591.0
2017-09-30,22.0,2528.862,2483.0
2017-09-30,23.0,2421.2793,2362.0
2017-10-01,0.0,2256.077,2217.0
2017-10-01,1.0,2122.6543,2073.0
2017-10-01,2.0,2035.6946,1967.0
2017-10-01,3.0,1989.2505,1924.0
2017-10-01,4.0,1956.011,1906.0
2017-10-01,5.0,1953.1965,1906.0
2017-10-01,6.0,1998.8672,1925.0
2017-10-01,7.0,2071.5217,1980.0
2017-10-01,8.0,2157.6633,2040.0
2017-10-01,9.0,2274.0437,2133.0
2017-10-01,10.0,2374.5044,2225.0
2017-10-01,11.0,2443.6309,2329.0
2017-10-01,12.0,2478.4941,2375.0
2017-10-01,13.0,2486.804,2401.0
2017-10-01,14.0,2478.0085,2444.0
2017-10-01,15.0,2455.2063,2458.0
2017-10-01,16.0,2464.1155,2514.0
2017-10-01,17.0,2486.2993,2591.0
2017-10-01,18.0,2506.1072,2637.0
2017-10-01,19.0,2527.1055,2652.0
2017-10-01,20.0,2543.1592,2713.0
2017-10-01,21.0,2599.7393,2756.0
2017-10-01,22.0,2572.1462,2611.0
2017-10-01,23.0,2443.8203,2434.0
2017-10-02,0.0,2291.655,2253.0
2017-10-02,1.0,2159.3928,2119.0
2017-10-02,2.0,2083.5862,2048.0
2017-10-02,3.0,2042.3254,2005.0
2017-10-02,4.0,2035.2734,1987.0
2017-10-02,5.0,2076.5098,1979.0
2017-10-02,6.0,2238.0205,2127.0
2017-10-02,7.0,2500.72,2421.0
2017-10-02,8.0,2653.581,2585.0
2017-10-02,9.0,2708.21,2614.0
2017-10-02,10.0,2772.2578,2734.0
2017-10-02,11.0,2827.7424,2831.0
2017-10-02,12.0,2855.3127,2884.0
2017-10-02,13.0,2882.997,2962.0
2017-10-02,14.0,2904.6465,3053.0
2017-10-02,15.0,2894.5498,3088.0
2017-10-02,16.0,2902.9556,3116.0
2017-10-02,17.0,2888.2239,3169.0
2017-10-02,18.0,2872.904,3179.0
2017-10-02,19.0,2861.709,3141.0
2017-10-02,20.0,2873.96,3114.0
2017-10-02,21.0,2909.625,3062.0
2017-10-02,22.0,2859.1665,2899.0
2017-10-02,23.0,2666.9148,2665.0
2017-10-03,0.0,2570.3284,2438.0
2017-10-03,1.0,2417.9976,2266.0
2017-10-03,2.0,2325.5508,2154.0
2017-10-03,3.0,2275.429,2090.0
2017-10-03,4.0,2252.3445,2061.0
2017-10-03,5.0,2292.6035,2079.0
2017-10-03,6.0,2473.935,2220.0
2017-10-03,7.0,2745.539,2502.0
2017-10-03,8.0,2893.4194,2651.0
2017-10-03,9.0,2963.0159,2680.0
2017-10-03,10.0,3002.7212,2748.0
2017-10-03,11.0,3090.79,2875.0
2017-10-03,12.0,3111.9807,2988.0
2017-10-03,13.0,3138.0496,3090.0
2017-10-03,14.0,3157.655,3209.0
2017-10-03,15.0,3170.9744,3334.0
2017-10-03,16.0,3185.2761,3450.0
2017-10-03,17.0,3180.4368,3529.0
2017-10-03,18.0,3193.6243,3548.0
2017-10-03,19.0,3227.0564,3460.0
2017-10-03,20.0,3192.7131,3417.0
2017-10-03,21.0,3202.1528,3365.0
2017-10-03,22.0,3099.7622,3180.0
2017-10-03,23.0,2905.3086,2921.0
2017-10-04,0.0,2760.4316,2670.0
2017-10-04,1.0,2561.048,2446.0
2017-10-04,2.0,2437.22,2316.0
2017-10-04,3.0,2357.2507,2206.0
2017-10-04,4.0,2319.8235,2167.0
2017-10-04,5.0,2336.4592,2177.0
2017-10-04,6.0,2484.6223,2331.0
2017-10-04,7.0,2771.7312,2607.0
2017-10-04,8.0,2933.868,2756.0
2017-10-04,9.0,3011.6067,2806.0
2017-10-04,10.0,3107.1487,2934.0
2017-10-04,11.0,3238.0034,3084.0
2017-10-04,12.0,3299.1934,3254.0
2017-10-04,13.0,3376.2449,3411.0
2017-10-04,14.0,3449.837,3564.0
2017-10-04,15.0,3490.893,3683.0
2017-10-04,16.0,3527.6633,3724.0
2017-10-04,17.0,3541.5308,3702.0
2017-10-04,18.0,3542.0276,3651.0
2017-10-04,19.0,3504.3965,3560.0
2017-10-04,20.0,3437.173,3542.0
2017-10-04,21.0,3396.0417,3490.0
2017-10-04,22.0,3320.764,3311.0
2017-10-04,23.0,3104.7288,3048.0
