day,hour,y_hat,y
2017-09-30,0.0,2382.442,2450.0
2017-09-30,1.0,2246.4822,2268.0
2017-09-30,2.0,2157.3452,2146.0
2017-09-30,3.0,2100.856,2032.0
2017-09-30,4.0,2068.106,1999.0
2017-09-30,5.0,2055.1611,2010.0
2017-09-30,6.0,2111.577,2051.0
2017-09-30,7.0,2188.57,2137.0
2017-09-30,8.0,2267.577,2210.0
2017-09-30,9.0,2361.4119,2320.0
2017-09-30,10.0,2454.415,2457.0
2017-09-30,11.0,2497.3157,2537.0
2017-09-30,12.0,2513.6887,2583.0
2017-09-30,13.0,2527.8525,2596.0
2017-09-30,14.0,2525.6982,2612.0
2017-09-30,15.0,2474.7,2614.0
2017-09-30,16.0,2486.0034,2626.0
2017-09-30,17.0,2505.1052,2656.0
2017-09-30,18.0,2541.9106,2656.0
2017-09-30,19.0,2561.8179,2615.0
2017-09-30,20.0,2570.1172,2615.0
2017-09-30,21.0,2612.296,2591.0
2017-09-30,22.0,2563.856,2483.0
2017-09-30,23.0,2435.7915,2362.0
2017-10-01,0.0,2196.0576,2217.0
2017-10-01,1.0,2065.7932,2073.0
2017-10-01,2.0,1968.9584,1967.0
2017-10-01,3.0,1919.6356,1924.0
2017-10-01,4.0,1886.9945,1906.0
2017-10-01,5.0,1899.0795,1906.0
2017-10-01,6.0,1986.1451,1925.0
2017-10-01,7.0,2103.9292,1980.0
2017-10-01,8.0,2209.7434,2040.0
2017-10-01,9.0,2297.5693,2133.0
2017-10-01,10.0,2391.8281,2225.0
2017-10-01,11.0,2474.206,2329.0
2017-10-01,12.0,2507.4106,2375.0
2017-10-01,13.0,2512.6729,2401.0
2017-10-01,14.0,2534.2358,2444.0
2017-10-01,15.0,2526.8606,2458.0
2017-10-01,16.0,2518.3308,2514.0
2017-10-01,17.0,2522.8723,2591.0
2017-10-01,18.0,2540.4233,2637.0
2017-10-01,19.0,2532.4392,2652.0
2017-10-01,20.0,2556.52,2713.0
2017-10-01,21.0,2601.6702,2756.0
2017-10-01,22.0,2568.3696,2611.0
2017-10-01,23.0,2407.2534,2434.0
2017-10-02,0.0,2360.1787,2253.0
2017-10-02,1.0,2236.217,2119.0
2017-10-02,2.0,2159.1409,2048.0
2017-10-02,3.0,2116.031,2005.0
2017-10-02,4.0,2106.2024,1987.0
2017-10-02,5.0,2152.8157,1979.0
2017-10-02,6.0,2316.1812,2127.0
2017-10-02,7.0,2570.538,2421.0
2017-10-02,8.0,2701.5789,2585.0
2017-10-02,9.0,2776.964,2614.0
2017-10-02,10.0,2825.6426,2734.0
2017-10-02,11.0,2882.2944,2831.0
2017-10-02,12.0,2904.548,2884.0
2017-10-02,13.0,2931.0857,2962.0
2017-10-02,14.0,2930.3853,3053.0
2017-10-02,15.0,2933.5916,3088.0
2017-10-02,16.0,2936.3496,3116.0
2017-10-02,17.0,2940.521,3169.0
2017-10-02,18.0,2960.1965,3179.0
2017-10-02,19.0,2960.653,3141.0
2017-10-02,20.0,2963.8489,3114.0
2017-10-02,21.0,2992.8884,3062.0
2017-10-02,22.0,2919.645,2899.0
2017-10-02,23.0,2724.1853,2665.0
