day,hour,y_hat,y
2017-09-30,0.0,2435.6194,2450.0
2017-09-30,1.0,2286.279,2268.0
2017-09-30,2.0,2168.596,2146.0
2017-09-30,3.0,2098.151,2032.0
2017-09-30,4.0,2056.8447,1999.0
2017-09-30,5.0,2046.0297,2010.0
2017-09-30,6.0,2087.0325,2051.0
2017-09-30,7.0,2124.6782,2137.0
2017-09-30,8.0,2218.0823,2210.0
2017-09-30,9.0,2336.9348,2320.0
2017-09-30,10.0,2457.1213,2457.0
2017-09-30,11.0,2535.5703,2537.0
2017-09-30,12.0,2581.178,2583.0
2017-09-30,13.0,2602.595,2596.0
2017-09-30,14.0,2593.1243,2612.0
2017-09-30,15.0,2612.2297,2614.0
2017-09-30,16.0,2616.2017,2626.0
2017-09-30,17.0,2633.7563,2656.0
2017-09-30,18.0,2679.9033,2656.0
2017-09-30,19.0,2675.4106,2615.0
2017-09-30,20.0,2652.9395,2615.0
2017-09-30,21.0,2678.1147,2591.0
2017-09-30,22.0,2656.5176,2483.0
2017-09-30,23.0,2535.9773,2362.0
2017-10-01,0.0,2360.1562,2217.0
2017-10-01,1.0,2187.9104,2073.0
2017-10-01,2.0,2091.5925,1967.0
2017-10-01,3.0,2006.033,1924.0
2017-10-01,4.0,1953.3822,1906.0
2017-10-01,5.0,1946.8386,1906.0
2017-10-01,6.0,1986.4431,1925.0
2017-10-01,7.0,2062.3408,1980.0
2017-10-01,8.0,2143.3118,2040.0
2017-10-01,9.0,2260.5796,2133.0
2017-10-01,10.0,2374.5022,2225.0
2017-10-01,11.0,2470.1387,2329.0
2017-10-01,12.0,2540.5725,2375.0
2017-10-01,13.0,2589.1694,2401.0
2017-10-01,14.0,2600.39,2444.0
2017-10-01,15.0,2616.9714,2458.0
2017-10-01,16.0,2652.2505,2514.0
2017-10-01,17.0,2653.644,2591.0
2017-10-01,18.0,2678.3247,2637.0
2017-10-01,19.0,2665.6755,2652.0
2017-10-01,20.0,2667.508,2713.0
2017-10-01,21.0,2695.273,2756.0
2017-10-01,22.0,2653.3723,2611.0
2017-10-01,23.0,2524.9146,2434.0
2017-10-02,0.0,2355.5698,2253.0
2017-10-02,1.0,2153.6355,2119.0
2017-10-02,2.0,2036.5552,2048.0
2017-10-02,3.0,1959.4451,2005.0
2017-10-02,4.0,1926.1292,1987.0
