day,hour,y_hat,y
2017-09-30,0.0,2408.2432,2450.0
2017-09-30,1.0,2250.796,2268.0
2017-09-30,2.0,2174.3245,2146.0
2017-09-30,3.0,2099.6494,2032.0
2017-09-30,4.0,2049.3823,1999.0
2017-09-30,5.0,2076.0186,2010.0
2017-09-30,6.0,2103.7944,2051.0
2017-09-30,7.0,2169.2815,2137.0
2017-09-30,8.0,2255.8547,2210.0
2017-09-30,9.0,2351.9114,2320.0
2017-09-30,10.0,2429.5942,2457.0
2017-09-30,11.0,2469.593,2537.0
2017-09-30,12.0,2477.8215,2583.0
2017-09-30,13.0,2468.9482,2596.0
2017-09-30,14.0,2441.9382,2612.0
2017-09-30,15.0,2406.0427,2614.0
2017-09-30,16.0,2388.346,2626.0
2017-09-30,17.0,2416.8264,2656.0
2017-09-30,18.0,2483.9526,2656.0
2017-09-30,19.0,2510.9739,2615.0
2017-09-30,20.0,2526.1858,2615.0
2017-09-30,21.0,2562.6226,2591.0
2017-09-30,22.0,2510.2397,2483.0
2017-09-30,23.0,2378.4973,2362.0
2017-10-01,0.0,2301.0764,2217.0
2017-10-01,1.0,2174.1184,2073.0
2017-10-01,2.0,2076.8374,1967.0
2017-10-01,3.0,2021.5536,1924.0
2017-10-01,4.0,1990.6423,1906.0
2017-10-01,5.0,1973.2294,1906.0
2017-10-01,6.0,1999.2559,1925.0
2017-10-01,7.0,2046.1477,1980.0
2017-10-01,8.0,2096.895,2040.0
2017-10-01,9.0,2208.586,2133.0
2017-10-01,10.0,2304.5918,2225.0
2017-10-01,11.0,2358.7556,2329.0
2017-10-01,12.0,2405.36,2375.0
2017-10-01,13.0,2403.515,2401.0
2017-10-01,14.0,2392.6187,2444.0
2017-10-01,15.0,2395.7307,2458.0
2017-10-01,16.0,2408.6113,2514.0
2017-10-01,17.0,2441.787,2591.0
2017-10-01,18.0,2497.4517,2637.0
2017-10-01,19.0,2534.195,2652.0
2017-10-01,20.0,2551.186,2713.0
2017-10-01,21.0,2597.8843,2756.0
2017-10-01,22.0,2561.355,2611.0
2017-10-01,23.0,2443.5737,2434.0
2017-10-02,0.0,2329.3372,2253.0
2017-10-02,1.0,2191.8943,2119.0
2017-10-02,2.0,2105.8647,2048.0
2017-10-02,3.0,2073.3062,2005.0
2017-10-02,4.0,2052.9426,1987.0
2017-10-02,5.0,2095.671,1979.0
2017-10-02,6.0,2270.9072,2127.0
2017-10-02,7.0,2535.876,2421.0
2017-10-02,8.0,2676.3013,2585.0
2017-10-02,9.0,2756.2476,2614.0
2017-10-02,10.0,2793.382,2734.0
2017-10-02,11.0,2860.8137,2831.0
