day,hour,y_hat,y
2017-09-30,0.0,2438.0698,2450.0
2017-09-30,1.0,2290.2854,2268.0
2017-09-30,2.0,2188.84,2146.0
2017-09-30,3.0,2126.32,2032.0
2017-09-30,4.0,2088.089,1999.0
2017-09-30,5.0,2072.7612,2010.0
2017-09-30,6.0,2089.0105,2051.0
2017-09-30,7.0,2126.9727,2137.0
2017-09-30,8.0,2199.0488,2210.0
2017-09-30,9.0,2327.391,2320.0
2017-09-30,10.0,2437.361,2457.0
2017-09-30,11.0,2513.4128,2537.0
2017-09-30,12.0,2538.5032,2583.0
2017-09-30,13.0,2546.999,2596.0
2017-09-30,14.0,2520.5999,2612.0
2017-09-30,15.0,2511.0981,2614.0
2017-09-30,16.0,2511.3657,2626.0
2017-09-30,17.0,2532.086,2656.0
2017-09-30,18.0,2566.7986,2656.0
2017-09-30,19.0,2571.3618,2615.0
2017-09-30,20.0,2596.853,2615.0
2017-09-30,21.0,2635.3218,2591.0
2017-09-30,22.0,2617.3613,2483.0
2017-09-30,23.0,2483.561,2362.0
2017-10-01,0.0,2396.4546,2217.0
2017-10-01,1.0,2233.121,2073.0
2017-10-01,2.0,2147.481,1967.0
2017-10-01,3.0,2078.2712,1924.0
2017-10-01,4.0,2046.8842,1906.0
2017-10-01,5.0,2030.0345,1906.0
2017-10-01,6.0,2030.7802,1925.0
2017-10-01,7.0,2015.7489,1980.0
2017-10-01,8.0,2072.26,2040.0
2017-10-01,9.0,2213.2874,2133.0
2017-10-01,10.0,2341.8286,2225.0
2017-10-01,11.0,2398.4307,2329.0
2017-10-01,12.0,2417.3027,2375.0
2017-10-01,13.0,2419.354,2401.0
2017-10-01,14.0,2411.1128,2444.0
2017-10-01,15.0,2414.3037,2458.0
2017-10-01,16.0,2420.4521,2514.0
2017-10-01,17.0,2448.2559,2591.0
2017-10-01,18.0,2516.195,2637.0
2017-10-01,19.0,2536.5127,2652.0
2017-10-01,20.0,2574.4304,2713.0
2017-10-01,21.0,2586.2585,2756.0
2017-10-01,22.0,2584.1719,2611.0
2017-10-01,23.0,2456.81,2434.0
2017-10-02,0.0,2307.747,2253.0
2017-10-02,1.0,2173.3015,2119.0
2017-10-02,2.0,2118.5781,2048.0
2017-10-02,3.0,2084.8757,2005.0
2017-10-02,4.0,2056.4243,1987.0
2017-10-02,5.0,2142.8645,1979.0
2017-10-02,6.0,2294.7556,2127.0
2017-10-02,7.0,2578.377,2421.0
2017-10-02,8.0,2724.549,2585.0
2017-10-02,9.0,2761.5625,2614.0
2017-10-02,10.0,2836.457,2734.0
2017-10-02,11.0,2895.4253,2831.0
2017-10-02,12.0,2912.9065,2884.0
2017-10-02,13.0,2955.3716,2962.0
2017-10-02,14.0,2962.316,3053.0
2017-10-02,15.0,2976.024,3088.0
2017-10-02,16.0,2995.1572,3116.0
2017-10-02,17.0,2951.8315,3169.0
2017-10-02,18.0,2985.5986,3179.0
2017-10-02,19.0,2977.9075,3141.0
2017-10-02,20.0,2993.138,3114.0
2017-10-02,21.0,3039.217,3062.0
2017-10-02,22.0,2943.0327,2899.0
2017-10-02,23.0,2749.7183,2665.0
2017-10-03,0.0,2505.3003,2438.0
2017-10-03,1.0,2374.6582,2266.0
2017-10-03,2.0,2280.9485,2154.0
2017-10-03,3.0,2252.318,2090.0
2017-10-03,4.0,2227.2942,2061.0
2017-10-03,5.0,2271.1448,2079.0
2017-10-03,6.0,2436.886,2220.0
2017-10-03,7.0,2701.5198,2502.0
2017-10-03,8.0,2862.8037,2651.0
2017-10-03,9.0,2911.4084,2680.0
2017-10-03,10.0,2968.7854,2748.0
2017-10-03,11.0,3036.542,2875.0
2017-10-03,12.0,3068.799,2988.0
2017-10-03,13.0,3085.3945,3090.0
2017-10-03,14.0,3108.8162,3209.0
