day,hour,y_hat,y
2017-09-30,0.0,2433.164,2450.0
2017-09-30,1.0,2268.3682,2268.0
2017-09-30,2.0,2159.9343,2146.0
2017-09-30,3.0,2084.7559,2032.0
2017-09-30,4.0,2046.5216,1999.0
2017-09-30,5.0,2038.5256,2010.0
2017-09-30,6.0,2078.6306,2051.0
2017-09-30,7.0,2158.0496,2137.0
2017-09-30,8.0,2251.9492,2210.0
2017-09-30,9.0,2351.7368,2320.0
2017-09-30,10.0,2462.0688,2457.0
2017-09-30,11.0,2542.7458,2537.0
2017-09-30,12.0,2588.7236,2583.0
2017-09-30,13.0,2603.4717,2596.0
2017-09-30,14.0,2598.7908,2612.0
2017-09-30,15.0,2594.6094,2614.0
2017-09-30,16.0,2589.6438,2626.0
2017-09-30,17.0,2600.485,2656.0
2017-09-30,18.0,2623.9927,2656.0
2017-09-30,19.0,2602.0745,2615.0
2017-09-30,20.0,2568.632,2615.0
2017-09-30,21.0,2588.1094,2591.0
2017-09-30,22.0,2538.093,2483.0
2017-09-30,23.0,2418.259,2362.0
2017-10-01,0.0,2328.219,2217.0
2017-10-01,1.0,2182.5134,2073.0
2017-10-01,2.0,2080.7126,1967.0
2017-10-01,3.0,2026.8119,1924.0
2017-10-01,4.0,1998.0176,1906.0
2017-10-01,5.0,1979.1079,1906.0
2017-10-01,6.0,2013.9895,1925.0
2017-10-01,7.0,2066.8196,1980.0
2017-10-01,8.0,2092.4575,2040.0
2017-10-01,9.0,2207.2686,2133.0
2017-10-01,10.0,2302.7332,2225.0
2017-10-01,11.0,2357.844,2329.0
2017-10-01,12.0,2392.0488,2375.0
2017-10-01,13.0,2411.946,2401.0
2017-10-01,14.0,2405.4258,2444.0
2017-10-01,15.0,2385.5845,2458.0
2017-10-01,16.0,2416.4346,2514.0
2017-10-01,17.0,2430.508,2591.0
2017-10-01,18.0,2493.5244,2637.0
2017-10-01,19.0,2507.2493,2652.0
2017-10-01,20.0,2505.6519,2713.0
2017-10-01,21.0,2613.345,2756.0
2017-10-01,22.0,2594.2268,2611.0
2017-10-01,23.0,2423.7703,2434.0
2017-10-02,0.0,2360.021,2253.0
2017-10-02,1.0,2218.8657,2119.0
2017-10-02,2.0,2139.8347,2048.0
2017-10-02,3.0,2095.3557,2005.0
2017-10-02,4.0,2075.607,1987.0
2017-10-02,5.0,2135.1047,1979.0
2017-10-02,6.0,2298.6653,2127.0
2017-10-02,7.0,2563.4438,2421.0
2017-10-02,8.0,2738.6067,2585.0
2017-10-02,9.0,2796.1694,2614.0
2017-10-02,10.0,2856.3672,2734.0
2017-10-02,11.0,2902.0542,2831.0
2017-10-02,12.0,2926.8123,2884.0
2017-10-02,13.0,2944.877,2962.0
2017-10-02,14.0,2961.1182,3053.0
2017-10-02,15.0,2961.9043,3088.0
2017-10-02,16.0,2974.3855,3116.0
2017-10-02,17.0,2975.243,3169.0
2017-10-02,18.0,3015.9832,3179.0
2017-10-02,19.0,2993.221,3141.0
2017-10-02,20.0,2977.435,3114.0
2017-10-02,21.0,2965.9397,3062.0
2017-10-02,22.0,2880.582,2899.0
2017-10-02,23.0,2713.223,2665.0
2017-10-03,0.0,2509.9426,2438.0
2017-10-03,1.0,2351.8352,2266.0
2017-10-03,2.0,2263.0286,2154.0
2017-10-03,3.0,2205.9653,2090.0
2017-10-03,4.0,2167.1729,2061.0
2017-10-03,5.0,2214.7336,2079.0
2017-10-03,6.0,2380.5981,2220.0
2017-10-03,7.0,2667.3025,2502.0
2017-10-03,8.0,2828.1816,2651.0
2017-10-03,9.0,2873.86,2680.0
2017-10-03,10.0,2948.2224,2748.0
2017-10-03,11.0,3014.2498,2875.0
2017-10-03,12.0,3062.199,2988.0
2017-10-03,13.0,3120.7175,3090.0
2017-10-03,14.0,3163.292,3209.0
2017-10-03,15.0,3208.9897,3334.0
2017-10-03,16.0,3233.38,3450.0
2017-10-03,17.0,3255.9739,3529.0
2017-10-03,18.0,3240.173,3548.0
2017-10-03,19.0,3208.7615,3460.0
2017-10-03,20.0,3189.4463,3417.0
2017-10-03,21.0,3223.8906,3365.0
2017-10-03,22.0,3126.3704,3180.0
2017-10-03,23.0,2910.4487,2921.0
2017-10-04,0.0,2718.1335,2670.0
2017-10-04,1.0,2502.0461,2446.0
2017-10-04,2.0,2371.2053,2316.0
2017-10-04,3.0,2280.458,2206.0
2017-10-04,4.0,2231.8462,2167.0
2017-10-04,5.0,2277.8896,2177.0
2017-10-04,6.0,2408.3118,2331.0
2017-10-04,7.0,2697.8276,2607.0
2017-10-04,8.0,2814.6826,2756.0
2017-10-04,9.0,2910.5005,2806.0
2017-10-04,10.0,3043.422,2934.0
2017-10-04,11.0,3197.5928,3084.0
2017-10-04,12.0,3306.855,3254.0
2017-10-04,13.0,3418.8877,3411.0
2017-10-04,14.0,3533.4556,3564.0
2017-10-04,15.0,3600.953,3683.0
2017-10-04,16.0,3651.1543,3724.0
2017-10-04,17.0,3675.986,3702.0
2017-10-04,18.0,3689.8154,3651.0
2017-10-04,19.0,3622.667,3560.0
2017-10-04,20.0,3517.765,3542.0
2017-10-04,21.0,3506.7437,3490.0
2017-10-04,22.0,3391.5918,3311.0
2017-10-04,23.0,3127.5127,3048.0
2017-10-05,0.0,2666.9568,2770.0
2017-10-05,1.0,2479.4875,2599.0
2017-10-05,2.0,2346.3953,2466.0
2017-10-05,3.0,2267.5938,2367.0
2017-10-05,4.0,2229.55,2311.0
2017-10-05,5.0,2253.735,2334.0
2017-10-05,6.0,2394.3413,2511.0
2017-10-05,7.0,2670.054,2788.0
2017-10-05,8.0,2794.7488,2966.0
2017-10-05,9.0,2831.2014,3015.0
2017-10-05,10.0,2904.506,3072.0
2017-10-05,11.0,3005.5005,3130.0
2017-10-05,12.0,3081.466,3110.0
2017-10-05,13.0,3173.9553,3120.0
2017-10-05,14.0,3275.7417,3168.0
2017-10-05,15.0,3340.9219,3160.0
2017-10-05,16.0,3398.1003,3157.0
2017-10-05,17.0,3422.9968,3176.0
2017-10-05,18.0,3414.8564,3161.0
2017-10-05,19.0,3348.738,3129.0
2017-10-05,20.0,3313.3018,3199.0
2017-10-05,21.0,3292.0242,3233.0
2017-10-05,22.0,3164.0725,3107.0
2017-10-05,23.0,2918.7683,2888.0
2017-10-06,0.0,2631.0723,2677.0
2017-10-06,1.0,2414.2664,2501.0
2017-10-06,2.0,2312.3074,2381.0
2017-10-06,3.0,2210.5037,2312.0
2017-10-06,4.0,2175.4578,2279.0
2017-10-06,5.0,2203.0256,2291.0
2017-10-06,6.0,2353.3354,2449.0
2017-10-06,7.0,2648.1838,2733.0
2017-10-06,8.0,2801.2883,2921.0
2017-10-06,9.0,2860.4302,2965.0
2017-10-06,10.0,2964.5183,2994.0
2017-10-06,11.0,3114.0168,3062.0
2017-10-06,12.0,3225.2395,3147.0
2017-10-06,13.0,3348.67,3288.0
2017-10-06,14.0,3419.6028,3414.0
2017-10-06,15.0,3489.9548,3481.0
2017-10-06,16.0,3519.06,3517.0
2017-10-06,17.0,3560.8232,3495.0
2017-10-06,18.0,3525.9795,3444.0
2017-10-06,19.0,3451.6116,3319.0
2017-10-06,20.0,3400.7515,3282.0
2017-10-06,21.0,3363.3408,3215.0
2017-10-06,22.0,3228.562,3079.0
2017-10-06,23.0,2991.841,2931.0
2017-10-07,0.0,2897.299,2720.0
2017-10-07,1.0,2702.847,2544.0
2017-10-07,2.0,2549.9841,2419.0
2017-10-07,3.0,2452.1064,2327.0
2017-10-07,4.0,2397.8384,2270.0
2017-10-07,5.0,2367.2131,2236.0
2017-10-07,6.0,2417.0913,2275.0
2017-10-07,7.0,2530.604,2357.0
2017-10-07,8.0,2608.1501,2459.0
2017-10-07,9.0,2727.289,2588.0
2017-10-07,10.0,2883.9187,2749.0
2017-10-07,11.0,3013.5132,2938.0
2017-10-07,12.0,3123.2266,3064.0
2017-10-07,13.0,3190.3218,3233.0
2017-10-07,14.0,3243.9685,3369.0
2017-10-07,15.0,3288.8777,3475.0
2017-10-07,16.0,3319.285,3497.0
2017-10-07,17.0,3338.8801,3519.0
2017-10-07,18.0,3320.9033,3433.0
2017-10-07,19.0,3271.0344,3394.0
2017-10-07,20.0,3266.9846,3421.0
2017-10-07,21.0,3244.3667,3403.0
2017-10-07,22.0,3156.5469,3325.0
2017-10-07,23.0,2949.9822,3184.0
2017-10-08,0.0,2630.0786,2922.0
2017-10-08,1.0,2486.4307,2724.0
2017-10-08,2.0,2379.3196,2549.0
2017-10-08,3.0,2314.2708,2400.0
2017-10-08,4.0,2248.358,2296.0
2017-10-08,5.0,2261.9373,2232.0
2017-10-08,6.0,2285.3767,2216.0
2017-10-08,7.0,2360.8335,2228.0
2017-10-08,8.0,2407.6,2298.0
2017-10-08,9.0,2477.9827,2385.0
2017-10-08,10.0,2585.5295,2513.0
2017-10-08,11.0,2646.6082,2625.0
2017-10-08,12.0,2678.472,2691.0
2017-10-08,13.0,2709.8193,2713.0
2017-10-08,14.0,2733.813,2716.0
2017-10-08,15.0,2737.7158,2707.0
2017-10-08,16.0,2751.636,2691.0
2017-10-08,17.0,2794.8027,2734.0
2017-10-08,18.0,2875.0173,2826.0
2017-10-08,19.0,2870.5906,2874.0
2017-10-08,20.0,2918.2778,2978.0
2017-10-08,21.0,2940.672,2963.0
2017-10-08,22.0,2845.7437,2864.0
2017-10-08,23.0,2653.717,2697.0
2017-10-09,0.0,2471.2937,2536.0
2017-10-09,1.0,2335.0017,2396.0
2017-10-09,2.0,2248.3975,2300.0
2017-10-09,3.0,2183.1333,2239.0
2017-10-09,4.0,2180.1863,2241.0
2017-10-09,5.0,2242.281,2315.0
2017-10-09,6.0,2420.8997,2495.0
2017-10-09,7.0,2756.575,2786.0
2017-10-09,8.0,2930.7664,3001.0
2017-10-09,9.0,2967.0637,3045.0
2017-10-09,10.0,3041.3826,3134.0
2017-10-09,11.0,3130.02,3208.0
2017-10-09,12.0,3201.0066,3253.0
2017-10-09,13.0,3265.4795,3274.0
2017-10-09,14.0,3320.0422,3290.0
2017-10-09,15.0,3345.93,3302.0
2017-10-09,16.0,3376.722,3284.0
2017-10-09,17.0,3415.3438,3280.0
2017-10-09,18.0,3398.3254,3268.0
2017-10-09,19.0,3374.2556,3256.0
2017-10-09,20.0,3396.1938,3333.0
2017-10-09,21.0,3372.4795,3302.0
2017-10-09,22.0,3270.444,3132.0
2017-10-09,23.0,3021.406,2874.0
2017-10-10,0.0,2737.091,2624.0
2017-10-10,1.0,2570.3818,2445.0
2017-10-10,2.0,2461.3303,2301.0
2017-10-10,3.0,2397.3162,2243.0
2017-10-10,4.0,2371.8008,2216.0
2017-10-10,5.0,2398.1658,2238.0
2017-10-10,6.0,2546.2056,2384.0
2017-10-10,7.0,2812.0632,2659.0
2017-10-10,8.0,2977.9814,2832.0
2017-10-10,9.0,3004.4438,2848.0
2017-10-10,10.0,3051.716,2950.0
2017-10-10,11.0,3092.946,3080.0
2017-10-10,12.0,3121.939,3196.0
2017-10-10,13.0,3134.913,3297.0
2017-10-10,14.0,3155.9045,3354.0
2017-10-10,15.0,3158.5005,3326.0
2017-10-10,16.0,3145.9421,3316.0
2017-10-10,17.0,3132.3625,3287.0
2017-10-10,18.0,3087.6235,3250.0
2017-10-10,19.0,3057.5183,3198.0
2017-10-10,20.0,3104.5361,3250.0
2017-10-10,21.0,3103.6753,3221.0
2017-10-10,22.0,3004.31,3097.0
2017-10-10,23.0,2816.3403,2888.0
2017-10-11,0.0,2589.0854,2667.0
2017-10-11,1.0,2420.051,2502.0
2017-10-11,2.0,2319.0232,2375.0
2017-10-11,3.0,2251.9705,2323.0
2017-10-11,4.0,2226.171,2307.0
2017-10-11,5.0,2264.191,2319.0
2017-10-11,6.0,2420.967,2485.0
2017-10-11,7.0,2707.7751,2799.0
2017-10-11,8.0,2866.332,2997.0
2017-10-11,9.0,2896.8193,3061.0
2017-10-11,10.0,2951.9556,3148.0
2017-10-11,11.0,3025.4307,3240.0
2017-10-11,12.0,3081.1921,3280.0
2017-10-11,13.0,3118.586,3277.0
2017-10-11,14.0,3170.1392,3265.0
2017-10-11,15.0,3183.06,3141.0
2017-10-11,16.0,3192.6501,3042.0
2017-10-11,17.0,3203.7993,2972.0
2017-10-11,18.0,3239.6501,2962.0
2017-10-11,19.0,3254.9082,2961.0
2017-10-11,20.0,3255.068,3027.0
2017-10-11,21.0,3229.6475,2986.0
2017-10-11,22.0,3087.429,2840.0
2017-10-11,23.0,2845.841,2636.0
2017-10-12,0.0,2527.7253,2432.0
2017-10-12,1.0,2365.4695,2284.0
2017-10-12,2.0,2265.127,2184.0
2017-10-12,3.0,2206.2869,2139.0
2017-10-12,4.0,2185.5117,2112.0
2017-10-12,5.0,2225.1157,2147.0
2017-10-12,6.0,2386.1978,2305.0
2017-10-12,7.0,2686.5752,2584.0
2017-10-12,8.0,2835.978,2825.0
2017-10-12,9.0,2859.953,2886.0
2017-10-12,10.0,2893.3318,2916.0
2017-10-12,11.0,2942.5947,2994.0
2017-10-12,12.0,2958.1165,3010.0
2017-10-12,13.0,2971.8643,3036.0
2017-10-12,14.0,2986.6218,3042.0
2017-10-12,15.0,2980.76,3033.0
2017-10-12,16.0,2967.9224,3003.0
2017-10-12,17.0,2948.1287,2983.0
2017-10-12,18.0,2922.7266,2969.0
2017-10-12,19.0,2913.1804,2979.0
2017-10-12,20.0,2932.6519,3035.0
2017-10-12,21.0,2936.6084,3025.0
2017-10-12,22.0,2852.4807,2860.0
2017-10-12,23.0,2660.9336,2684.0
2017-10-13,0.0,2489.0034,2500.0
2017-10-13,1.0,2333.9404,2361.0
2017-10-13,2.0,2248.7942,2251.0
2017-10-13,3.0,2194.8298,2183.0
2017-10-13,4.0,2184.7385,2154.0
2017-10-13,5.0,2230.3596,2170.0
2017-10-13,6.0,2389.6592,2305.0
2017-10-13,7.0,2675.3967,2578.0
2017-10-13,8.0,2850.4817,2722.0
2017-10-13,9.0,2900.1248,2750.0
2017-10-13,10.0,2932.1746,2816.0
2017-10-13,11.0,2979.61,2885.0
2017-10-13,12.0,2990.6885,2928.0
2017-10-13,13.0,2997.5771,2975.0
2017-10-13,14.0,3000.378,3026.0
2017-10-13,15.0,2995.2644,3089.0
2017-10-13,16.0,2973.4348,3128.0
2017-10-13,17.0,2947.034,3145.0
2017-10-13,18.0,2913.23,3113.0
2017-10-13,19.0,2893.7888,3029.0
2017-10-13,20.0,2901.1707,2965.0
2017-10-13,21.0,2926.4324,2912.0
2017-10-13,22.0,2873.107,2773.0
2017-10-13,23.0,2701.6755,2645.0
2017-10-14,0.0,2597.772,2458.0
2017-10-14,1.0,2425.5925,2297.0
2017-10-14,2.0,2298.7095,2207.0
2017-10-14,3.0,2218.3994,2113.0
2017-10-14,4.0,2166.828,2083.0
2017-10-14,5.0,2163.731,2086.0
2017-10-14,6.0,2203.2732,2119.0
2017-10-14,7.0,2299.207,2221.0
2017-10-14,8.0,2395.8096,2327.0
2017-10-14,9.0,2532.1707,2399.0
2017-10-14,10.0,2674.5422,2521.0
2017-10-14,11.0,2788.0645,2647.0
2017-10-14,12.0,2853.5852,2735.0
2017-10-14,13.0,2911.9785,2811.0
2017-10-14,14.0,2949.063,2884.0
2017-10-14,15.0,2962.2517,2952.0
2017-10-14,16.0,2978.0483,3055.0
2017-10-14,17.0,2995.0215,3143.0
2017-10-14,18.0,3002.1777,3165.0
2017-10-14,19.0,2970.6663,3089.0
2017-10-14,20.0,2941.528,3096.0
2017-10-14,21.0,2914.1128,3045.0
2017-10-14,22.0,2874.8276,2944.0
2017-10-14,23.0,2730.6675,2793.0
2017-10-15,0.0,2517.1802,2647.0
2017-10-15,1.0,2392.784,2515.0
2017-10-15,2.0,2303.648,2419.0
2017-10-15,3.0,2229.0642,2346.0
2017-10-15,4.0,2203.801,2290.0
2017-10-15,5.0,2191.3594,2265.0
2017-10-15,6.0,2228.424,2270.0
2017-10-15,7.0,2333.9727,2310.0
2017-10-15,8.0,2384.8074,2417.0
2017-10-15,9.0,2454.539,2505.0
2017-10-15,10.0,2550.83,2642.0
2017-10-15,11.0,2620.7183,2737.0
2017-10-15,12.0,2695.9106,2871.0
2017-10-15,13.0,2759.347,3021.0
