day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2017-09-30,0.0,2433.1528,2450.0,2248.5198732115523,2616.843327622814,0.57394
2017-09-30,1.0,2263.5928,2268.0,2085.8649660011993,2438.6157359545177,0.5202
2017-09-30,2.0,2172.312,2146.0,2000.5064273639478,2343.4422188272747,0.38204
2017-09-30,3.0,2110.4583,2032.0,1936.4423629278488,2283.975186777827,0.1882
2017-09-30,4.0,2066.3096,1999.0,1890.2217761334173,2242.0456150593254,0.22374
2017-09-30,5.0,2055.2244,2010.0,1876.0407884526355,2234.6819640331387,0.30974
2017-09-30,6.0,2095.4175,2051.0,1905.5375923200681,2286.2033439725474,0.32658
2017-09-30,7.0,2175.9607,2137.0,1955.5384358851954,2395.3049850776747,0.36598
2017-09-30,8.0,2257.7146,2210.0,2033.2369318643498,2482.1718167300633,0.34024
2017-09-30,9.0,2365.7827,2320.0,2169.5071731334306,2561.262464434543,0.32546
2017-09-30,10.0,2463.9329,2457.0,2305.053275594706,2620.1634540525356,0.46672
2017-09-30,11.0,2513.9824,2537.0,2363.8467525844876,2663.984945838074,0.61644
2017-09-30,12.0,2540.4492,2583.0,2379.504911991792,2701.670048184443,0.6961
2017-09-30,13.0,2541.75,2596.0,2371.826235209012,2711.187610507011,0.73166
2017-09-30,14.0,2517.21,2612.0,2330.3579995828986,2705.7612805451263,0.83542
2017-09-30,15.0,2517.1655,2614.0,2307.899039597531,2728.495624374086,0.8153
2017-09-30,16.0,2504.921,2626.0,2278.6018630273547,2732.900453543224,0.84874
2017-09-30,17.0,2516.8394,2656.0,2268.784141164738,2765.2717274943384,0.86344
2017-09-30,18.0,2558.012,2656.0,2293.6155244982756,2825.8952803375437,0.7627
2017-09-30,19.0,2570.6902,2615.0,2307.8269513166824,2835.353860852489,0.6285
2017-09-30,20.0,2580.4006,2615.0,2337.833946776995,2824.299170919299,0.606
2017-09-30,21.0,2584.6335,2591.0,2357.385177416168,2813.1258412918273,0.51766
2017-09-30,22.0,2580.855,2483.0,2351.68387974135,2808.977125533947,0.19958
2017-09-30,23.0,2454.8257,2362.0,2226.0828430755296,2683.2231599993916,0.21092
2017-10-01,0.0,2279.8276,2217.0,2111.2361194879873,2449.769890520938,0.23472
2017-10-01,1.0,2148.9883,2073.0,1989.6780971582855,2310.773026438745,0.17788
2017-10-01,2.0,2051.622,1967.0,1891.6156603761365,2213.2823065641314,0.15362
2017-10-01,3.0,1995.9329,1924.0,1835.2740468657007,2158.256442079698,0.19406
2017-10-01,4.0,1956.1978,1906.0,1792.084550313394,2122.6820360030742,0.27878
2017-10-01,5.0,1946.8424,1906.0,1779.7991837648676,2116.0141696200776,0.32204
2017-10-01,6.0,1977.7134,1925.0,1795.415142428813,2159.6450334072933,0.28806
2017-10-01,7.0,2023.0005,1980.0,1811.3980056824553,2234.3014671582905,0.34654
2017-10-01,8.0,2107.763,2040.0,1895.070376473853,2320.139802349082,0.2673
2017-10-01,9.0,2206.8328,2133.0,2021.5881530230865,2391.525276826411,0.22216
2017-10-01,10.0,2298.5493,2225.0,2146.4378203352912,2450.566643897017,0.17504
2017-10-01,11.0,2367.68,2329.0,2222.9312871718853,2512.2102645545233,0.30266
2017-10-01,12.0,2401.0034,2375.0,2248.082440566312,2554.474035642679,0.3711
2017-10-01,13.0,2417.8901,2401.0,2253.3224945069464,2582.199896533202,0.42062
2017-10-01,14.0,2403.6787,2444.0,2225.428674471141,2583.0955932563006,0.67184
2017-10-01,15.0,2397.8596,2458.0,2198.4631106590364,2597.04316768356,0.72266
2017-10-01,16.0,2391.027,2514.0,2171.30561108608,2609.9979466137443,0.8637
2017-10-01,17.0,2422.9998,2591.0,2184.756212819596,2663.708267906625,0.91442
2017-10-01,18.0,2452.1733,2637.0,2202.3753509000485,2703.442170260933,0.92582
2017-10-01,19.0,2468.4243,2652.0,2224.6200619533247,2712.5596312015687,0.92756
2017-10-01,20.0,2540.2402,2713.0,2301.5977243184,2778.2675370063166,0.92102
2017-10-01,21.0,2604.729,2756.0,2387.208248429738,2822.6195148381307,0.91408
2017-10-01,22.0,2530.9253,2611.0,2310.953751838284,2749.2322718731384,0.76332
2017-10-01,23.0,2389.4944,2434.0,2164.6213191904085,2613.513179200729,0.65324
2017-10-02,0.0,2320.4363,2253.0,2146.9153301401902,2492.4466715227095,0.2203
2017-10-02,1.0,2188.0466,2119.0,2023.6124958861762,2350.453191305794,0.203
2017-10-02,2.0,2109.8645,2048.0,1945.8469608019132,2273.4786685480467,0.2279
2017-10-02,3.0,2080.1006,2005.0,1913.4343387069973,2247.3390417890196,0.18764
2017-10-02,4.0,2069.7983,1987.0,1899.28322919771,2240.8900474329666,0.16998
2017-10-02,5.0,2128.2048,1979.0,1953.1149811518749,2304.9692171557863,0.04848
2017-10-02,6.0,2295.6902,2127.0,2108.120648063084,2483.595597420681,0.03934
2017-10-02,7.0,2588.0269,2421.0,2374.786188567913,2802.905367676512,0.06482
2017-10-02,8.0,2748.7642,2585.0,2532.7514484998737,2964.4707056974003,0.06868
2017-10-02,9.0,2802.3762,2614.0,2614.060774657433,2988.69079500549,0.02494
2017-10-02,10.0,2838.9783,2734.0,2686.0236128074184,2991.9219993288043,0.0901
2017-10-02,11.0,2902.5874,2831.0,2757.3827037431656,3047.6383341770124,0.16482
2017-10-02,12.0,2912.0774,2884.0,2760.7652437236193,3065.216615432434,0.35618
2017-10-02,13.0,2944.1501,2962.0,2784.6498926814106,3103.905380127637,0.58708
2017-10-02,14.0,2966.2964,3053.0,2793.6568691537377,3139.559276058615,0.8353
2017-10-02,15.0,2977.0742,3088.0,2782.4231249344666,3170.8160701889183,0.86808
2017-10-02,16.0,2994.3967,3116.0,2779.6825618806006,3211.491034582073,0.86546
2017-10-02,17.0,2978.8645,3169.0,2742.6716548838053,3216.364808013535,0.94102
2017-10-02,18.0,2969.0334,3179.0,2715.9066203487973,3222.1039043891024,0.9477
2017-10-02,19.0,2950.344,3141.0,2702.646023366011,3199.088004998657,0.93416
2017-10-02,20.0,2931.9907,3114.0,2696.795665873446,3167.570502892297,0.93436
2017-10-02,21.0,3001.7761,3062.0,2787.976066738084,3217.441341313025,0.70718
2017-10-02,22.0,2924.2356,2899.0,2711.508975517012,3138.711828021019,0.40748
2017-10-02,23.0,2745.8179,2665.0,2530.437334954641,2965.2744815641263,0.2293
2017-10-03,0.0,2531.87,2438.0,2358.8789732841615,2705.758689306148,0.14344
2017-10-03,1.0,2350.7947,2266.0,2185.8514378264244,2516.325494623516,0.15438
2017-10-03,2.0,2231.9426,2154.0,2066.3502189538685,2399.238406988865,0.17618
2017-10-03,3.0,2166.1606,2090.0,1997.109956487705,2334.616833973226,0.18304
2017-10-03,4.0,2130.2097,2061.0,1956.8118397355508,2304.5325356982394,0.21392
2017-10-03,5.0,2171.4084,2079.0,1992.4561297989246,2351.1877005821466,0.15288
2017-10-03,6.0,2324.3743,2220.0,2132.615098619116,2516.307807856014,0.14002
2017-10-03,7.0,2596.249,2502.0,2378.7502816291617,2816.4723254135724,0.19654
2017-10-03,8.0,2756.872,2651.0,2539.380769720481,2975.8239719158482,0.17102
2017-10-03,9.0,2826.9583,2680.0,2637.6259790108134,3014.468765461142,0.0629
2017-10-03,10.0,2920.8174,2748.0,2768.370207976468,3072.421963399755,0.0135
2017-10-03,11.0,3018.24,2875.0,2873.4094535281924,3161.247121493562,0.02628
2017-10-03,12.0,3090.2336,2988.0,2937.2978407806077,3243.3464652175508,0.09908
2017-10-03,13.0,3178.1453,3090.0,3009.213199646435,3347.512694729821,0.1538
2017-10-03,14.0,3223.5593,3209.0,3041.76694882248,3405.4102583397694,0.43748
2017-10-03,15.0,3264.296,3334.0,3060.3170260677325,3468.4678884192763,0.74994
2017-10-03,16.0,3285.195,3450.0,3060.931243803657,3509.918210383127,0.92514
2017-10-03,17.0,3299.425,3529.0,3054.2415268677905,3546.2132861306477,0.96582
2017-10-03,18.0,3302.426,3548.0,3040.9340455238125,3564.505177806425,0.96684
2017-10-03,19.0,3267.7134,3460.0,3007.1343006310017,3530.287381150928,0.92548
2017-10-03,20.0,3230.1414,3417.0,2980.4394076586213,3480.634294236225,0.92846
2017-10-03,21.0,3194.2205,3365.0,2963.571957718925,3425.5473319401194,0.92794
2017-10-03,22.0,3113.1294,3180.0,2889.9878793854136,3337.022331212527,0.72558
2017-10-03,23.0,2888.4377,2921.0,2665.2327171732177,3107.2933079935283,0.6185
2017-10-04,0.0,2661.6548,2670.0,2493.3784495351238,2828.7605090488837,0.53984
2017-10-04,1.0,2490.868,2446.0,2334.6885247852315,2647.633661935018,0.2874
2017-10-04,2.0,2359.7336,2316.0,2203.0447856489773,2516.543394953584,0.29022
2017-10-04,3.0,2293.222,2206.0,2135.771452862026,2451.789055481025,0.13798
2017-10-04,4.0,2253.8281,2167.0,2092.9397958144273,2415.141087397416,0.14438
2017-10-04,5.0,2288.573,2177.0,2123.2846097460656,2455.0598710488407,0.09356
2017-10-04,6.0,2429.9639,2331.0,2251.7254334830186,2608.5178010594045,0.13658
2017-10-04,7.0,2682.6562,2607.0,2475.2413877645317,2890.6564505931547,0.23586
2017-10-04,8.0,2859.6145,2756.0,2649.4621690144468,3073.298403197947,0.16674
2017-10-04,9.0,2932.039,2806.0,2748.919213702522,3119.4243087621703,0.09024
2017-10-04,10.0,3054.4287,2934.0,2902.829440083035,3210.1168210789206,0.0614
2017-10-04,11.0,3165.2869,3084.0,3022.391148299263,3311.798944805757,0.13354
2017-10-04,12.0,3253.8616,3254.0,3103.493885062973,3406.726383014784,0.4979
2017-10-04,13.0,3330.1606,3411.0,3170.2263840138494,3490.7577487500885,0.83692
2017-10-04,14.0,3411.5845,3564.0,3236.3814784463716,3587.205618864928,0.95562
2017-10-04,15.0,3475.6582,3683.0,3280.271226995175,3671.356505112215,0.98046
2017-10-04,16.0,3516.6829,3724.0,3301.17535263208,3731.527075378401,0.97066
2017-10-04,17.0,3545.0706,3702.0,3306.252209349249,3780.7877455590933,0.9061
2017-10-04,18.0,3560.1545,3651.0,3308.378804801471,3808.524417910408,0.7647
2017-10-04,19.0,3550.7903,3560.0,3304.898269963558,3794.0776876344617,0.52968
2017-10-04,20.0,3483.642,3542.0,3247.4189740615275,3716.5461349545308,0.68692
2017-10-04,21.0,3427.405,3490.0,3210.9143182548382,3641.226190289399,0.71512
2017-10-04,22.0,3351.3628,3311.0,3137.5787711121366,3562.356159012202,0.35826
2017-10-04,23.0,3111.0535,3048.0,2891.460548646442,3328.2155125235745,0.28966
2017-10-05,0.0,2679.7146,2770.0,2495.845031133697,2862.6156062483738,0.83454
2017-10-05,1.0,2509.84,2599.0,2337.334201258094,2680.096281532286,0.84858
2017-10-05,2.0,2386.1357,2466.0,2213.9148330877224,2556.9487529637995,0.8212
2017-10-05,3.0,2321.3013,2367.0,2146.6217552723033,2493.456623057845,0.70104
2017-10-05,4.0,2288.4612,2311.0,2111.9416451389866,2461.976475405593,0.60388
2017-10-05,5.0,2314.6123,2334.0,2134.0459083552237,2492.0340909284123,0.58796
2017-10-05,6.0,2456.9277,2511.0,2265.258930300399,2645.728148324953,0.71546
2017-10-05,7.0,2699.1042,2788.0,2479.8060556273786,2919.163631187058,0.78904
2017-10-05,8.0,2862.741,2966.0,2640.181456196223,3083.4761800015,0.82284
2017-10-05,9.0,2926.0002,3015.0,2732.113226362729,3118.24533815999,0.81804
2017-10-05,10.0,2995.3818,3072.0,2837.130550795101,3150.840513020472,0.83186
2017-10-05,11.0,3072.6582,3130.0,2925.856694115686,3217.177562524008,0.78064
2017-10-05,12.0,3116.457,3110.0,2959.9505714804836,3270.059268372035,0.46898
2017-10-05,13.0,3142.2068,3120.0,2976.8545570601477,3306.552264276437,0.39778
2017-10-05,14.0,3164.87,3168.0,2984.9627804332035,3346.379764212419,0.51334
2017-10-05,15.0,3190.441,3160.0,2988.853489338147,3396.88906309599,0.38418
2017-10-05,16.0,3168.7903,3157.0,2944.7693968416543,3399.5630262609307,0.4595
2017-10-05,17.0,3188.0842,3176.0,2938.253991105389,3442.7934342933618,0.46206
