day,hour,y_hat,y
2017-09-30,0.0,2455.2688,2450.0
2017-09-30,1.0,2292.1313,2268.0
2017-09-30,2.0,2185.2273,2146.0
2017-09-30,3.0,2131.86,2032.0
2017-09-30,4.0,2092.193,1999.0
2017-09-30,5.0,2082.343,2010.0
2017-09-30,6.0,2148.5923,2051.0
2017-09-30,7.0,2240.2888,2137.0
2017-09-30,8.0,2329.1719,2210.0
2017-09-30,9.0,2423.412,2320.0
2017-09-30,10.0,2506.8904,2457.0
2017-09-30,11.0,2556.9297,2537.0
2017-09-30,12.0,2575.2388,2583.0
2017-09-30,13.0,2545.064,2596.0
2017-09-30,14.0,2521.3933,2612.0
2017-09-30,15.0,2507.9082,2614.0
2017-09-30,16.0,2477.1152,2626.0
2017-09-30,17.0,2471.9585,2656.0
2017-09-30,18.0,2475.5457,2656.0
2017-09-30,19.0,2484.1755,2615.0
2017-09-30,20.0,2494.6458,2615.0
2017-09-30,21.0,2531.2542,2591.0
2017-09-30,22.0,2495.707,2483.0
2017-09-30,23.0,2355.0417,2362.0
2017-10-01,0.0,2344.8088,2217.0
2017-10-01,1.0,2220.517,2073.0
2017-10-01,2.0,2120.3765,1967.0
2017-10-01,3.0,2091.8674,1924.0
2017-10-01,4.0,2070.4526,1906.0
2017-10-01,5.0,2068.5564,1906.0
2017-10-01,6.0,2091.25,1925.0
2017-10-01,7.0,2135.2305,1980.0
2017-10-01,8.0,2174.246,2040.0
2017-10-01,9.0,2271.5437,2133.0
2017-10-01,10.0,2380.4863,2225.0
2017-10-01,11.0,2429.0535,2329.0
2017-10-01,12.0,2453.409,2375.0
2017-10-01,13.0,2476.6096,2401.0
2017-10-01,14.0,2445.0806,2444.0
2017-10-01,15.0,2425.867,2458.0
2017-10-01,16.0,2432.8435,2514.0
2017-10-01,17.0,2428.4785,2591.0
2017-10-01,18.0,2443.925,2637.0
2017-10-01,19.0,2438.445,2652.0
2017-10-01,20.0,2508.8887,2713.0
2017-10-01,21.0,2593.282,2756.0
2017-10-01,22.0,2546.9128,2611.0
2017-10-01,23.0,2377.644,2434.0
2017-10-02,0.0,2278.0176,2253.0
2017-10-02,1.0,2155.905,2119.0
2017-10-02,2.0,2086.258,2048.0
2017-10-02,3.0,2059.4744,2005.0
2017-10-02,4.0,2046.1135,1987.0
2017-10-02,5.0,2100.831,1979.0
2017-10-02,6.0,2260.8933,2127.0
2017-10-02,7.0,2558.3162,2421.0
2017-10-02,8.0,2725.7202,2585.0
2017-10-02,9.0,2760.7935,2614.0
2017-10-02,10.0,2828.1296,2734.0
2017-10-02,11.0,2881.168,2831.0
2017-10-02,12.0,2905.2222,2884.0
2017-10-02,13.0,2935.4297,2962.0
2017-10-02,14.0,2948.6152,3053.0
2017-10-02,15.0,2947.833,3088.0
2017-10-02,16.0,2946.8083,3116.0
2017-10-02,17.0,2949.0015,3169.0
2017-10-02,18.0,2953.5476,3179.0
2017-10-02,19.0,2939.1494,3141.0
2017-10-02,20.0,2994.5398,3114.0
2017-10-02,21.0,3003.6704,3062.0
2017-10-02,22.0,2892.5867,2899.0
2017-10-02,23.0,2674.387,2665.0
2017-10-03,0.0,2436.4204,2438.0
2017-10-03,1.0,2287.514,2266.0
2017-10-03,2.0,2169.169,2154.0
2017-10-03,3.0,2110.6113,2090.0
2017-10-03,4.0,2094.7473,2061.0
2017-10-03,5.0,2130.8008,2079.0
2017-10-03,6.0,2293.3816,2220.0
2017-10-03,7.0,2622.431,2502.0
2017-10-03,8.0,2794.558,2651.0
2017-10-03,9.0,2791.014,2680.0
2017-10-03,10.0,2832.3286,2748.0
2017-10-03,11.0,2945.1426,2875.0
2017-10-03,12.0,3004.6455,2988.0
2017-10-03,13.0,3097.4783,3090.0
2017-10-03,14.0,3199.7468,3209.0
2017-10-03,15.0,3255.6748,3334.0
2017-10-03,16.0,3289.486,3450.0
2017-10-03,17.0,3332.9377,3529.0
2017-10-03,18.0,3318.7122,3548.0
2017-10-03,19.0,3281.4814,3460.0
2017-10-03,20.0,3332.4385,3417.0
2017-10-03,21.0,3328.2383,3365.0
2017-10-03,22.0,3121.657,3180.0
2017-10-03,23.0,2866.2917,2921.0
2017-10-04,0.0,2707.836,2670.0
2017-10-04,1.0,2524.5903,2446.0
2017-10-04,2.0,2394.4983,2316.0
2017-10-04,3.0,2331.7644,2206.0
2017-10-04,4.0,2291.1382,2167.0
2017-10-04,5.0,2311.1145,2177.0
2017-10-04,6.0,2468.6562,2331.0
2017-10-04,7.0,2734.468,2607.0
2017-10-04,8.0,2877.7441,2756.0
2017-10-04,9.0,2950.7864,2806.0
2017-10-04,10.0,3049.3333,2934.0
2017-10-04,11.0,3177.7585,3084.0
2017-10-04,12.0,3272.0442,3254.0
2017-10-04,13.0,3367.7969,3411.0
2017-10-04,14.0,3432.8,3564.0
2017-10-04,15.0,3503.858,3683.0
2017-10-04,16.0,3530.4048,3724.0
2017-10-04,17.0,3540.8462,3702.0
2017-10-04,18.0,3475.1292,3651.0
2017-10-04,19.0,3456.9373,3560.0
2017-10-04,20.0,3445.1282,3542.0
2017-10-04,21.0,3428.944,3490.0
2017-10-04,22.0,3298.088,3311.0
2017-10-04,23.0,3051.3364,3048.0
2017-10-05,0.0,2752.102,2770.0
2017-10-05,1.0,2562.2341,2599.0
2017-10-05,2.0,2442.0718,2466.0
2017-10-05,3.0,2363.7136,2367.0
2017-10-05,4.0,2334.8037,2311.0
2017-10-05,5.0,2359.6128,2334.0
2017-10-05,6.0,2532.8704,2511.0
2017-10-05,7.0,2864.9304,2788.0
2017-10-05,8.0,3031.9124,2966.0
2017-10-05,9.0,3023.1167,3015.0
2017-10-05,10.0,3050.111,3072.0
2017-10-05,11.0,3098.3271,3130.0
2017-10-05,12.0,3116.415,3110.0
2017-10-05,13.0,3149.7437,3120.0
2017-10-05,14.0,3164.2375,3168.0
2017-10-05,15.0,3175.3784,3160.0
2017-10-05,16.0,3162.6487,3157.0
2017-10-05,17.0,3159.7734,3176.0
2017-10-05,18.0,3133.7107,3161.0
2017-10-05,19.0,3111.9348,3129.0
2017-10-05,20.0,3122.1653,3199.0
2017-10-05,21.0,3136.7646,3233.0
2017-10-05,22.0,3016.3262,3107.0
2017-10-05,23.0,2812.379,2888.0
2017-10-06,0.0,2733.244,2677.0
2017-10-06,1.0,2545.4158,2501.0
2017-10-06,2.0,2416.2783,2381.0
2017-10-06,3.0,2336.8538,2312.0
2017-10-06,4.0,2295.8115,2279.0
2017-10-06,5.0,2327.3674,2291.0
2017-10-06,6.0,2480.8215,2449.0
2017-10-06,7.0,2752.0479,2733.0
2017-10-06,8.0,2918.1694,2921.0
2017-10-06,9.0,2978.9878,2965.0
2017-10-06,10.0,3056.597,2994.0
2017-10-06,11.0,3150.7405,3062.0
2017-10-06,12.0,3198.8384,3147.0
2017-10-06,13.0,3243.582,3288.0
2017-10-06,14.0,3307.717,3414.0
2017-10-06,15.0,3349.742,3481.0
2017-10-06,16.0,3386.9392,3517.0
2017-10-06,17.0,3395.4688,3495.0
2017-10-06,18.0,3360.3257,3444.0
2017-10-06,19.0,3301.9558,3319.0
2017-10-06,20.0,3282.3462,3282.0
2017-10-06,21.0,3239.4404,3215.0
2017-10-06,22.0,3133.1812,3079.0
2017-10-06,23.0,2923.9282,2931.0
2017-10-07,0.0,2800.507,2720.0
2017-10-07,1.0,2588.7268,2544.0
2017-10-07,2.0,2428.319,2419.0
2017-10-07,3.0,2305.3,2327.0
2017-10-07,4.0,2229.6165,2270.0
2017-10-07,5.0,2191.3105,2236.0
2017-10-07,6.0,2197.589,2275.0
2017-10-07,7.0,2268.5137,2357.0
2017-10-07,8.0,2339.972,2459.0
2017-10-07,9.0,2505.984,2588.0
2017-10-07,10.0,2719.9937,2749.0
2017-10-07,11.0,2941.9172,2938.0
2017-10-07,12.0,3125.1423,3064.0
2017-10-07,13.0,3266.6604,3233.0
2017-10-07,14.0,3384.4365,3369.0
2017-10-07,15.0,3463.1382,3475.0
2017-10-07,16.0,3530.2166,3497.0
2017-10-07,17.0,3600.6,3519.0
2017-10-07,18.0,3636.8374,3433.0
2017-10-07,19.0,3555.6997,3394.0
2017-10-07,20.0,3472.7063,3421.0
2017-10-07,21.0,3386.461,3403.0
2017-10-07,22.0,3230.284,3325.0
2017-10-07,23.0,3041.3254,3184.0
2017-10-08,0.0,2707.5557,2922.0
2017-10-08,1.0,2534.722,2724.0
2017-10-08,2.0,2409.0632,2549.0
2017-10-08,3.0,2329.428,2400.0
2017-10-08,4.0,2274.297,2296.0
2017-10-08,5.0,2243.4573,2232.0
2017-10-08,6.0,2272.476,2216.0
2017-10-08,7.0,2342.0425,2228.0
2017-10-08,8.0,2423.0706,2298.0
2017-10-08,9.0,2507.3281,2385.0
2017-10-08,10.0,2621.2717,2513.0
2017-10-08,11.0,2695.194,2625.0
2017-10-08,12.0,2749.406,2691.0
2017-10-08,13.0,2789.1255,2713.0
2017-10-08,14.0,2805.201,2716.0
2017-10-08,15.0,2792.5999,2707.0
2017-10-08,16.0,2801.4124,2691.0
2017-10-08,17.0,2806.0676,2734.0
2017-10-08,18.0,2834.1277,2826.0
2017-10-08,19.0,2848.5698,2874.0
2017-10-08,20.0,2880.1824,2978.0
2017-10-08,21.0,2864.5579,2963.0
2017-10-08,22.0,2771.5598,2864.0
2017-10-08,23.0,2599.2454,2697.0
2017-10-09,0.0,2555.1733,2536.0
2017-10-09,1.0,2396.9807,2396.0
2017-10-09,2.0,2291.5479,2300.0
2017-10-09,3.0,2236.1064,2239.0
2017-10-09,4.0,2207.7559,2241.0
2017-10-09,5.0,2257.3892,2315.0
2017-10-09,6.0,2419.624,2495.0
2017-10-09,7.0,2716.8984,2786.0
2017-10-09,8.0,2908.4678,3001.0
2017-10-09,9.0,2935.4495,3045.0
2017-10-09,10.0,3000.271,3134.0
2017-10-09,11.0,3090.5967,3208.0
2017-10-09,12.0,3168.2463,3253.0
2017-10-09,13.0,3238.2258,3274.0
2017-10-09,14.0,3299.3083,3290.0
2017-10-09,15.0,3348.4866,3302.0
2017-10-09,16.0,3386.738,3284.0
2017-10-09,17.0,3411.9033,3280.0
2017-10-09,18.0,3403.5073,3268.0
2017-10-09,19.0,3380.1228,3256.0
2017-10-09,20.0,3422.5625,3333.0
2017-10-09,21.0,3379.411,3302.0
2017-10-09,22.0,3218.8027,3132.0
2017-10-09,23.0,2985.7495,2874.0
2017-10-10,0.0,2664.7717,2624.0
2017-10-10,1.0,2493.4312,2445.0
2017-10-10,2.0,2376.7415,2301.0
2017-10-10,3.0,2293.1255,2243.0
2017-10-10,4.0,2268.5464,2216.0
2017-10-10,5.0,2289.14,2238.0
2017-10-10,6.0,2431.0378,2384.0
2017-10-10,7.0,2718.9673,2659.0
2017-10-10,8.0,2865.8345,2832.0
2017-10-10,9.0,2909.1587,2848.0
2017-10-10,10.0,2951.7878,2950.0
2017-10-10,11.0,3032.3289,3080.0
2017-10-10,12.0,3092.9404,3196.0
2017-10-10,13.0,3156.0713,3297.0
2017-10-10,14.0,3204.0027,3354.0
2017-10-10,15.0,3247.0776,3326.0
2017-10-10,16.0,3258.913,3316.0
2017-10-10,17.0,3274.4375,3287.0
2017-10-10,18.0,3228.1,3250.0
2017-10-10,19.0,3213.4536,3198.0
2017-10-10,20.0,3258.3572,3250.0
2017-10-10,21.0,3255.1675,3221.0
2017-10-10,22.0,3142.496,3097.0
2017-10-10,23.0,2909.7473,2888.0
2017-10-11,0.0,2606.4958,2667.0
2017-10-11,1.0,2452.9426,2502.0
2017-10-11,2.0,2348.22,2375.0
2017-10-11,3.0,2283.6714,2323.0
2017-10-11,4.0,2258.8494,2307.0
2017-10-11,5.0,2293.9055,2319.0
2017-10-11,6.0,2457.2278,2485.0
2017-10-11,7.0,2758.3777,2799.0
2017-10-11,8.0,2910.83,2997.0
2017-10-11,9.0,2943.4329,3061.0
2017-10-11,10.0,2989.6772,3148.0
2017-10-11,11.0,3053.1484,3240.0
2017-10-11,12.0,3076.9773,3280.0
