day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2008-09-30,0.0,14116.215,14260.0,13515.764825252178,14718.599196865245,0.67588
2008-09-30,1.0,13160.344,13410.0,12548.028775220366,13774.85678485801,0.78588
2008-09-30,2.0,12626.8545,12818.0,11996.906618799769,13260.289466941396,0.72276
2008-09-30,3.0,12284.505,12543.0,11599.013258137438,12971.555325871455,0.76956
2008-09-30,4.0,12171.544,12348.0,11472.086495587218,12876.030702526346,0.68762
2008-09-30,5.0,12352.331,12480.0,11607.65364154379,13103.408933585068,0.6303
2008-09-30,6.0,13094.463,13164.0,12287.724906618449,13907.156644342282,0.56624
2008-09-30,7.0,14629.295,14734.0,13653.412486678764,15606.487515620818,0.58184
2008-09-30,8.0,15505.987,15478.0,14542.183262173046,16476.234374374253,0.47638
2008-09-30,9.0,15593.927,15541.0,14789.63084355227,16401.960309564212,0.44858
2008-09-30,10.0,15757.686,15803.0,15151.502922269488,16364.306292468209,0.5599
2008-09-30,11.0,15978.188,16067.0,15464.62784220897,16496.517430078246,0.6329
2008-09-30,12.0,16078.206,16228.0,15554.09576283564,16609.91804799792,0.70962
2008-09-30,13.0,16385.213,16332.0,15792.556347587242,16982.664999601333,0.43286
2008-09-30,14.0,16477.22,16417.0,15789.00733487634,17154.812092033175,0.43364
2008-09-30,15.0,16622.582,16409.0,15834.943315515091,17399.76001670635,0.2982
2008-09-30,16.0,16588.363,16251.0,15722.203184152942,17452.19353658742,0.22218
2008-09-30,17.0,16710.848,16219.0,15786.417376981011,17640.201798730373,0.14894
2008-09-30,18.0,16711.742,16072.0,15755.482059307138,17665.128622046148,0.09314
2008-09-30,19.0,16593.682,15971.0,15672.787289668942,17497.814480724275,0.0904
2008-09-30,20.0,16648.295,16509.0,15759.560120478653,17530.117831115906,0.3798
2008-09-30,21.0,16872.396,16573.0,16067.506822648777,17681.567918892473,0.23286
2008-09-30,22.0,16461.0,15772.0,15672.547649500839,17243.36533602092,0.04384
2008-09-30,23.0,15286.718,14800.0,14465.307423776918,16109.821301936787,0.12304
2008-10-01,0.0,13490.147,13659.0,12898.653072626985,14077.61125019774,0.71248
2008-10-01,1.0,12716.477,12782.0,12114.513594315624,13317.001442334833,0.58454
2008-10-01,2.0,12202.782,12384.0,11575.713269583734,12830.168458771906,0.71516
2008-10-01,3.0,12000.567,11883.0,11331.507817802281,12666.730199316895,0.36474
2008-10-01,4.0,11898.768,11823.0,11197.092338147155,12601.574174180036,0.41554
2008-10-01,5.0,12056.852,12033.0,11304.795590669675,12814.107265960298,0.47348
2008-10-01,6.0,12783.535,12733.0,11978.079710370366,13595.57557650617,0.4498
2008-10-01,7.0,14289.425,14358.0,13359.157882269887,15222.33556495464,0.55506
2008-10-01,8.0,15034.595,15137.0,14111.744461636024,15967.52285254798,0.58214
2008-10-01,9.0,15087.968,15210.0,14317.725756775866,15868.830923961532,0.61966
2008-10-01,10.0,15201.782,15360.0,14625.471421770762,15782.447826698148,0.70408
2008-10-01,11.0,15394.262,15574.0,14899.625440814349,15892.625816476064,0.76128
2008-10-01,12.0,15361.691,15521.0,14833.302680213099,15896.200660327126,0.72192
2008-10-01,13.0,15439.277,15571.0,14838.272326231867,16042.64919707017,0.6648
