day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2008-09-30,0.0,13818.29,14260.0,13080.999529149325,14551.46891326583,0.88112
2008-09-30,1.0,12934.045,13410.0,12229.65220306774,13631.192028565712,0.9081
2008-09-30,2.0,12445.469,12818.0,11739.539055069563,13146.249609048264,0.85098
2008-09-30,3.0,12141.175,12543.0,11398.177862019813,12883.251291173183,0.85638
2008-09-30,4.0,12068.319,12348.0,11298.204735859134,12841.02958514092,0.7617
2008-09-30,5.0,12219.021,12480.0,11394.263309160755,13043.075124747147,0.73224
2008-09-30,6.0,12958.187,13164.0,12087.435466700459,13821.125927642965,0.68002
2008-09-30,7.0,14324.918,14734.0,13301.50616634428,15347.824562431299,0.78336
2008-09-30,8.0,15243.508,15478.0,14231.197865578184,16251.415525657994,0.67338
2008-09-30,9.0,15493.98,15541.0,14637.948903897644,16337.352663619853,0.54248
2008-09-30,10.0,15787.899,15803.0,15135.596189250082,16434.594963938896,0.51744
2008-09-30,11.0,16089.602,16067.0,15547.365661416512,16635.58424466814,0.46622
2008-09-30,12.0,16253.915,16228.0,15709.725126851055,16807.896822666775,0.4656
2008-09-30,13.0,16452.898,16332.0,15833.517479288193,17078.649929527117,0.35268
2008-09-30,14.0,16595.748,16417.0,15862.49347689424,17333.207877515597,0.31652
2008-09-30,15.0,16636.617,16409.0,15789.222323312892,17487.3555019476,0.29886
2008-09-30,16.0,16559.795,16251.0,15608.433747995683,17503.85449735681,0.25894
2008-09-30,17.0,16664.963,16219.0,15641.65499953324,17678.27305177111,0.19318
2008-09-30,18.0,16687.527,16072.0,15597.596823548927,17777.154560344017,0.13332
2008-09-30,19.0,16644.828,15971.0,15612.487830725255,17679.81744868808,0.09976
2008-09-30,20.0,16581.361,16509.0,15616.253588867981,17550.536689707147,0.44196
2008-09-30,21.0,16603.504,16573.0,15692.015744541473,17512.20445106194,0.47406
2008-09-30,22.0,16276.44,15772.0,15374.953123074109,17168.3746949879,0.13372
2008-09-30,23.0,15216.0,14800.0,14287.394983881146,16143.304034694434,0.19088
2008-10-01,0.0,13727.714,13659.0,13144.188083258914,14327.149622338928,0.40948
2008-10-01,1.0,12816.444,12782.0,12216.030540123882,13424.353178356998,0.45404
2008-10-01,2.0,12272.869,12384.0,11644.53118409278,12905.420250061488,0.6324
2008-10-01,3.0,11970.738,11883.0,11302.518608155346,12644.774510776986,0.39822
2008-10-01,4.0,11862.815,11823.0,11159.78480618444,12568.477405574726,0.45516
2008-10-01,5.0,12031.33,12033.0,11282.556808234305,12789.066087431494,0.49986
2008-10-01,6.0,12700.773,12733.0,11893.948449370468,13515.49467589287,0.5301
2008-10-01,7.0,14031.782,14358.0,13097.561792482105,14977.094161605884,0.7488
2008-10-01,8.0,14839.291,15137.0,13908.415259716474,15788.856044506936,0.73004
2008-10-01,9.0,15065.789,15210.0,14291.87378541066,15847.040676707553,0.63778
2008-10-01,10.0,15279.977,15360.0,14702.988855284113,15856.803564272492,0.60476
2008-10-01,11.0,15486.41,15574.0,15009.99258728547,15958.7483857027,0.63832
2008-10-01,12.0,15564.878,15521.0,15066.604491621296,16065.308953906844,0.43432
2008-10-01,13.0,15675.047,15571.0,15095.94740447595,16252.86149244405,0.36662
2008-10-01,14.0,15770.016,15622.0,15070.535092979675,16460.149494358673,0.3404
2008-10-01,15.0,15758.818,15515.0,14951.466179559031,16559.02283610063,0.2816
2008-10-01,16.0,15711.696,15256.0,14823.31405854175,16600.658970658664,0.15938
2008-10-01,17.0,15742.404,15176.0,14791.224501072238,16687.964519296605,0.12288
2008-10-01,18.0,15815.311,15135.0,14838.970061499387,16789.436802378666,0.08772
2008-10-01,19.0,15715.0205,15254.0,14791.775852481858,16633.30303967875,0.16234
2008-10-01,20.0,15829.146,16053.0,14926.534492174516,16723.932266418287,0.69338
2008-10-01,21.0,16064.987,16331.0,15253.90801264713,16874.558687090135,0.744
2008-10-01,22.0,15876.21,15774.0,15075.283496477896,16684.69507908916,0.40046
2008-10-01,23.0,14939.021,14803.0,14116.244087283934,15774.966108832006,0.37474
2008-10-02,0.0,13580.37,13671.0,12997.207537332442,14161.864413517444,0.62102
2008-10-02,1.0,12676.399,12933.0,12068.163431211326,13273.893503865633,0.79654
2008-10-02,2.0,12138.431,12548.0,11504.506383314678,12764.910924091366,0.89918
2008-10-02,3.0,11840.54,12281.0,11170.214229594963,12508.429528520786,0.90096
2008-10-02,4.0,11718.547,12140.0,11012.594997796008,12417.928128088628,0.88044
2008-10-02,5.0,11894.466,12347.0,11142.046265699371,12638.756552294057,0.88184
2008-10-02,6.0,12631.424,13183.0,11831.702923512381,13435.659045595832,0.91168
2008-10-02,7.0,14065.601,14934.0,13103.728733299842,15033.14930681578,0.96068
2008-10-02,8.0,14903.449,15858.0,13965.443919212115,15839.545117851942,0.977
2008-10-02,9.0,15148.514,15799.0,14384.846535861123,15908.833899974714,0.95204
2008-10-02,10.0,15404.058,15885.0,14820.613827667588,15982.58612749288,0.94772
2008-10-02,11.0,15710.034,16000.0,15210.811354564461,16208.64861200674,0.87438
2008-10-02,12.0,15891.733,15982.0,15379.61932147706,16403.798514470396,0.63472
2008-10-02,13.0,16111.938,15845.0,15538.24449801608,16691.238982793926,0.18402
2008-10-02,14.0,16360.737,15776.0,15688.909384079252,17031.51339660726,0.0447
2008-10-02,15.0,16455.67,15600.0,15686.07524730693,17223.173889613485,0.01458
2008-10-02,16.0,16456.219,15489.0,15596.558319518126,17312.134245790276,0.01358
2008-10-02,17.0,16494.732,15388.0,15564.44678255368,17414.17923510382,0.00918
2008-10-02,18.0,16503.21,15329.0,15546.096659142031,17462.30153847468,0.00784
2008-10-02,19.0,16316.76,15355.0,15417.246035489712,17221.780471274713,0.01822
2008-10-02,20.0,16354.8,16113.0,15471.965418693195,17239.624734119643,0.2967
2008-10-02,21.0,16573.553,16481.0,15749.426536136687,17399.755802818923,0.41264
2008-10-02,22.0,16211.56,15906.0,15409.191975557505,17021.90017042118,0.231
2008-10-02,23.0,15113.753,14969.0,14248.72946676577,15975.129432764583,0.37234
2008-10-03,0.0,13831.87,14082.0,13171.030037989887,14497.021013041425,0.77044
2008-10-03,1.0,12939.806,13284.0,12276.805916585228,13602.726766743854,0.84562
2008-10-03,2.0,12422.437,12890.0,11733.484444895583,13117.372302220998,0.90694
2008-10-03,3.0,12166.558,12670.0,11431.538247626764,12904.76661658091,0.90938
2008-10-03,4.0,12068.442,12618.0,11300.985437360629,12836.24352645319,0.9192
2008-10-03,5.0,12220.392,12834.0,11402.119208447131,13038.331772693557,0.9288
2008-10-03,6.0,12894.053,13630.0,12021.363033527405,13775.626444116326,0.94942
2008-10-03,7.0,14162.982,15231.0,13122.325050502457,15226.990365457223,0.97554
2008-10-03,8.0,15014.5,16245.0,13975.49672568273,16065.367452110193,0.98924
2008-10-03,9.0,15301.759,16081.0,14443.925140551017,16162.840130363167,0.96138
2008-10-03,10.0,15549.673,15959.0,14899.280568911556,16197.986037146422,0.89194
2008-10-03,11.0,15797.48,15912.0,15259.588068193276,16333.837443950946,0.66262
2008-10-03,12.0,15893.169,15732.0,15335.137420296996,16446.496722884258,0.28362
2008-10-03,13.0,15933.165,15624.0,15308.491964790177,16555.786197775888,0.1645
2008-10-03,14.0,15971.171,15661.0,15227.79008564857,16706.681884007015,0.206
2008-10-03,15.0,15918.737,15421.0,15060.608993609148,16767.441950676377,0.12632
2008-10-03,16.0,15842.509,15300.0,14888.826036529925,16788.833024477262,0.12964
2008-10-03,17.0,15836.438,15146.0,14818.144325176278,16850.91880928654,0.09296
2008-10-03,18.0,15759.837,15039.0,14691.735227788913,16822.791989829064,0.09166
2008-10-03,19.0,15646.286,14821.0,14635.208502555386,16660.540391677056,0.05578
2008-10-03,20.0,15637.366,15349.0,14680.695051579312,16601.20121086278,0.27854
2008-10-03,21.0,15787.102,15296.0,14902.042601292358,16670.576230295264,0.1376
2008-10-03,22.0,15636.767,14937.0,14791.474152194281,16483.701935625428,0.053
2008-10-03,23.0,14780.401,14122.0,13872.05445225835,15681.026090268366,0.07726
2008-10-04,0.0,13375.091,13193.0,12681.504363733753,14077.09745846637,0.30408
2008-10-04,1.0,12491.9795,12369.0,11792.287960691352,13197.036918646734,0.36474
2008-10-04,2.0,11925.227,12056.0,11216.87815659045,12642.792063491777,0.63914
2008-10-04,3.0,11576.165,11755.0,10821.61427079124,12343.656282236194,0.67898
2008-10-04,4.0,11375.291,11704.0,10578.482693819195,12186.739353250521,0.78832
2008-10-04,5.0,11431.65,11710.0,10585.97239005389,12280.676450832068,0.74178
2008-10-04,6.0,11604.94,12145.0,10703.748006385104,12505.452558315106,0.87922
2008-10-04,7.0,12013.999,12681.0,10962.742304902955,13068.159772765457,0.8943
2008-10-04,8.0,12666.886,13442.0,11631.381775351334,13706.794857927232,0.92932
2008-10-04,9.0,13245.69,13957.0,12371.823770559758,14114.439968052171,0.9451
2008-10-04,10.0,13760.147,14329.0,13091.547481001835,14418.906725821702,0.95426
2008-10-04,11.0,13947.71,14288.0,13366.375358362098,14520.574436707873,0.87762
2008-10-04,12.0,14097.436,14261.0,13510.642282871517,14682.031721578476,0.70812
2008-10-04,13.0,14175.316,14084.0,13523.934712360298,14825.86041008321,0.391
2008-10-04,14.0,14252.904,13975.0,13489.980669197636,15007.706145126991,0.23856
2008-10-04,15.0,14207.277,13802.0,13320.765530406974,15084.429423199472,0.1884
2008-10-04,16.0,14228.352,13779.0,13256.726528873261,15196.085918327128,0.18596
2008-10-04,17.0,14344.815,13787.0,13299.728212844999,15384.608823585826,0.1506
2008-10-04,18.0,14411.886,13811.0,13302.51443418569,15528.022012284631,0.14816
2008-10-04,19.0,14273.405,13782.0,13196.605079556502,15362.83389125784,0.1888
2008-10-04,20.0,14270.2705,14331.0,13253.091503631898,15293.666012218679,0.54404
2008-10-04,21.0,14445.201,14562.0,13513.531764977388,15382.55274882047,0.5976
2008-10-04,22.0,14369.814,14262.0,13475.221066689332,15273.365619631455,0.40518
2008-10-04,23.0,13706.081,13446.0,12800.755616287397,14626.009170456116,0.28398
2008-10-05,0.0,12862.274,12763.0,12219.722364348712,13502.248900058888,0.38062
2008-10-05,1.0,11986.057,11936.0,11346.433916153464,12619.42814952387,0.43724
2008-10-05,2.0,11400.437,11585.0,10737.802297286646,12059.443046511511,0.70716
2008-10-05,3.0,11061.78,11320.0,10360.002634862552,11758.184225463796,0.76536
2008-10-05,4.0,10937.888,11376.0,10204.028587582729,11667.539394225372,0.8806
2008-10-05,5.0,10940.975,11372.0,10158.884006817743,11719.559699730586,0.8621
2008-10-05,6.0,11002.148,11637.0,10166.53352605205,11833.316355444513,0.93268
2008-10-05,7.0,11158.472,11977.0,10149.643668680965,12161.85630642705,0.94418
2008-10-05,8.0,11589.198,12540.0,10574.970507163402,12600.753598694759,0.96748
2008-10-05,9.0,12403.421,13114.0,11585.765182315772,13219.356197438836,0.95606
2008-10-05,10.0,13075.6,13400.0,12470.442307256644,13675.32462295059,0.85528
2008-10-05,11.0,13495.694,13476.0,12984.379170552873,13997.739833709891,0.47212
2008-10-05,12.0,13852.954,13474.0,13318.816605105932,14381.225877185216,0.08128
2008-10-05,13.0,14032.083,13583.0,13430.519375270933,14631.68867450651,0.07204
2008-10-05,14.0,14162.906,13555.0,13443.721868772109,14881.62308843273,0.04944
2008-10-05,15.0,14246.095,13626.0,13418.26354004158,15076.066526556464,0.07172
2008-10-05,16.0,14364.091,13640.0,13444.597278532412,15280.73131200039,0.06026
2008-10-05,17.0,14432.448,13912.0,13449.930888262688,15417.429115723286,0.14938
2008-10-05,18.0,14580.493,14012.0,13540.397243344723,15632.60957023435,0.14478
2008-10-05,19.0,14593.657,14051.0,13591.240439683192,15603.615945550899,0.14736
2008-10-05,20.0,14707.707,14809.0,13754.734514208869,15658.478127970944,0.57966
2008-10-05,21.0,14790.873,14933.0,13941.284610596407,15645.1553785664,0.62764
2008-10-05,22.0,14725.0,14370.0,13861.859698908947,15588.307520835815,0.20852
2008-10-05,23.0,14082.632,13594.0,13183.655321733382,14983.497279259827,0.14354
2008-10-06,0.0,13223.682,12803.0,12436.292904015549,14005.049317821975,0.14672
2008-10-06,1.0,12472.432,12222.0,11742.692485547792,13200.398620711356,0.25224
2008-10-06,2.0,12051.14,11955.0,11331.605775689433,12772.122045450038,0.39788
2008-10-06,3.0,11819.797,11807.0,11083.383497731471,12559.276601552945,0.48708
2008-10-06,4.0,11770.124,11834.0,11004.227105375021,12534.186185984676,0.56524
2008-10-06,5.0,12035.153,12124.0,11221.544995598533,12843.371098194462,0.58412
2008-10-06,6.0,12884.454,12891.0,12016.011985944344,13748.090171468044,0.50378
2008-10-06,7.0,14431.981,14682.0,13400.953721679685,15461.296553042283,0.68326
2008-10-06,8.0,15335.798,15735.0,14299.752090077214,16374.96907072932,0.77568
2008-10-06,9.0,15431.294,15827.0,14577.95420278653,16279.650691044539,0.82034
2008-10-06,10.0,15629.203,16000.0,14982.631640506717,16273.728459987307,0.87184
2008-10-06,11.0,15800.431,16068.0,15259.55598967223,16343.247412500888,0.83416
2008-10-06,12.0,15967.509,16172.0,15413.897792739062,16522.244241414806,0.7638
2008-10-06,13.0,16083.223,16168.0,15449.050427882567,16721.818408070965,0.60246
2008-10-06,14.0,16290.448,16312.0,15534.748655063744,17043.28647138317,0.52236
2008-10-06,15.0,16280.103,16238.0,15425.623478562062,17136.91292289263,0.46298
2008-10-06,16.0,16233.149,16114.0,15281.176419065221,17190.605800923717,0.40418
2008-10-06,17.0,16290.523,16055.0,15260.192300103414,17327.767923236257,0.32524
2008-10-06,18.0,16151.306,15980.0,15062.497747799745,17224.173309073423,0.37788
2008-10-06,19.0,16103.873,15860.0,15038.99528999279,17157.39027524426,0.32564
2008-10-06,20.0,16210.516,16626.0,15175.254219396607,17240.522249687598,0.78462
2008-10-06,21.0,16605.656,16571.0,15687.148360658752,17521.447670180867,0.46822
2008-10-06,22.0,16292.378,15960.0,15406.272664389895,17175.072650128746,0.23246
2008-10-06,23.0,15217.996,14944.0,14294.156214484536,16145.128509452656,0.28056
2008-10-07,0.0,13735.084,13885.0,13142.011363229718,14325.109900364596,0.68588
2008-10-07,1.0,12973.349,12981.0,12357.837090999423,13584.02208890734,0.50708
2008-10-07,2.0,12553.965,12604.0,11908.39202353667,13190.335037404142,0.5568
2008-10-07,3.0,12298.265,12344.0,11615.922136748602,12974.407860123923,0.55144
2008-10-07,4.0,12247.771,12227.0,11529.336805610727,12958.577680343938,0.47568
2008-10-07,5.0,12462.365,12549.0,11695.810865168973,13223.890567626608,0.58706
2008-10-07,6.0,13221.438,13286.0,12398.805950445721,14033.409993184248,0.56098
2008-10-07,7.0,14686.886,14751.0,13723.752768440692,15632.90685384812,0.55284
2008-10-07,8.0,15609.097,15666.0,14653.083373026218,16561.04152204707,0.54534
2008-10-07,9.0,15716.508,15749.0,14923.652040280898,16503.688960881806,0.53146
2008-10-07,10.0,15860.935,15667.0,15274.825378410034,16450.330691263305,0.25958
2008-10-07,11.0,16033.535,15859.0,15521.864677395937,16549.798175743737,0.25114
2008-10-07,12.0,16056.343,15846.0,15515.396685105417,16596.1141180233,0.2213
2008-10-07,13.0,16088.826,15885.0,15483.296058447537,16688.95323503635,0.25334
2008-10-07,14.0,16170.481,16158.0,15452.6000574771,16882.527190218883,0.48736
2008-10-07,15.0,16128.214,16202.0,15304.399220728656,16947.60828339002,0.5705
2008-10-07,16.0,16054.957,16082.0,15151.599830343835,16964.09776515817,0.52402
2008-10-07,17.0,16057.5205,16021.0,15088.16259017909,17030.159286678732,0.47286
2008-10-07,18.0,16039.893,15938.0,15039.64350009102,17036.626488487458,0.42036
2008-10-07,19.0,16006.732,15899.0,15044.988336853725,16965.953990323087,0.41276
2008-10-07,20.0,16363.426,16630.0,15479.020301317112,17259.371647516513,0.72174
2008-10-07,21.0,16477.527,16650.0,15675.486861343641,17284.892352255236,0.6629
2008-10-07,22.0,16010.814,16016.0,15206.431588261283,16822.357702168945,0.50412
2008-10-07,23.0,14998.716,14961.0,14154.107221148372,15853.718552543993,0.46326
2008-10-08,0.0,13787.18,13927.0,13160.721649035735,14409.349361600156,0.66816
2008-10-08,1.0,12930.598,12998.0,12292.013750466778,13562.092090541708,0.582
2008-10-08,2.0,12421.401,12676.0,11761.795055954055,13075.981893686874,0.77556
2008-10-08,3.0,12155.181,12378.0,11464.17325165099,12846.684203744639,0.73546
2008-10-08,4.0,12062.225,12302.0,11327.082376527083,12792.597464982202,0.7401
2008-10-08,5.0,12240.239,12393.0,11460.11331512831,13013.361569925793,0.6514
2008-10-08,6.0,13021.741,13091.0,12192.193329771271,13850.009917790814,0.56776
2008-10-08,7.0,14522.815,14775.0,13527.907786236463,15514.556411973974,0.69074
2008-10-08,8.0,15354.814,15904.0,14352.50318114647,16354.743306082344,0.86108
2008-10-08,9.0,15532.162,16076.0,14714.050625478307,16352.663691774284,0.90384
2008-10-08,10.0,15741.82,16135.0,15119.761354530361,16356.843799707325,0.89264
