year,month,day,hour,y_hat,y
2015.0,1.0,1.0,0.0,13289.351,16375.0
2015.0,1.0,1.0,1.0,12730.065,16172.0
2015.0,1.0,1.0,2.0,12395.47,15968.0
2015.0,1.0,1.0,3.0,12267.252,15749.0
2015.0,1.0,1.0,4.0,12274.321,15727.0
2015.0,1.0,1.0,5.0,12482.588,15710.0
2015.0,1.0,1.0,6.0,13095.122,15937.0
2015.0,1.0,1.0,7.0,14072.288,16239.0
2015.0,1.0,1.0,8.0,14791.353,16573.0
2015.0,1.0,1.0,9.0,15066.548,16600.0
2015.0,1.0,1.0,10.0,15275.748,16439.0
2015.0,1.0,1.0,11.0,15410.604,16306.0
2015.0,1.0,1.0,12.0,15363.219,16064.0
2015.0,1.0,1.0,13.0,15219.442,15760.0
2015.0,1.0,1.0,14.0,15055.646,15511.0
2015.0,1.0,1.0,15.0,14869.188,15124.0
2015.0,1.0,1.0,16.0,14763.003,15000.0
2015.0,1.0,1.0,17.0,14946.592,15365.0
2015.0,1.0,1.0,18.0,15668.922,16413.0
2015.0,1.0,1.0,19.0,16008.94,16662.0
2015.0,1.0,1.0,20.0,16028.905,16586.0
2015.0,1.0,1.0,21.0,15981.647,16312.0
2015.0,1.0,1.0,22.0,15845.339,15859.0
2015.0,1.0,1.0,23.0,15264.377,15195.0
2015.0,1.0,2.0,0.0,15367.533,14722.0
2015.0,1.0,2.0,1.0,14844.118,14338.0
2015.0,1.0,2.0,2.0,14527.962,14123.0
2015.0,1.0,2.0,3.0,14403.055,13981.0
2015.0,1.0,2.0,4.0,14400.543,13822.0
2015.0,1.0,2.0,5.0,14609.41,14111.0
2015.0,1.0,2.0,6.0,15145.147,14627.0
2015.0,1.0,2.0,7.0,15963.4795,15440.0
2015.0,1.0,2.0,8.0,16611.85,16133.0
2015.0,1.0,2.0,9.0,16868.104,16422.0
2015.0,1.0,2.0,10.0,17107.055,16395.0
2015.0,1.0,2.0,11.0,17312.123,16238.0
2015.0,1.0,2.0,12.0,17309.273,16294.0
2015.0,1.0,2.0,13.0,17205.227,16008.0
2015.0,1.0,2.0,14.0,17139.709,15816.0
2015.0,1.0,2.0,15.0,16999.398,15563.0
2015.0,1.0,2.0,16.0,16947.023,15400.0
2015.0,1.0,2.0,17.0,17177.195,15607.0
2015.0,1.0,2.0,18.0,18002.188,16460.0
2015.0,1.0,2.0,19.0,18065.873,16662.0
2015.0,1.0,2.0,20.0,17531.426,16454.0
2015.0,1.0,2.0,21.0,16945.11,16322.0
2015.0,1.0,2.0,22.0,16576.809,16035.0
2015.0,1.0,2.0,23.0,16046.168,15406.0
2015.0,1.0,3.0,0.0,18608.549,14722.0
2015.0,1.0,3.0,1.0,18174.588,14146.0
2015.0,1.0,3.0,2.0,17996.377,13723.0
2015.0,1.0,3.0,3.0,17987.785,13530.0
2015.0,1.0,3.0,4.0,18104.994,13457.0
2015.0,1.0,3.0,5.0,18323.465,13589.0
2015.0,1.0,3.0,6.0,18692.156,13918.0
2015.0,1.0,3.0,7.0,19147.559,14231.0
2015.0,1.0,3.0,8.0,19672.172,14747.0
2015.0,1.0,3.0,9.0,20012.047,15053.0
2015.0,1.0,3.0,10.0,20021.203,15415.0
