ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value
2015-01-01 00:00:00,16375.0,15332.149759257294,13460.814550527299,17329.23593898262,15331.082582471117,13459.747373741122,17328.168762196445,0.5002788186068672,0.7552053328561089
2015-01-01 01:00:00,16172.0,14547.9333471418,12647.080634436084,16565.61313395036,14548.062431462522,12647.209718756807,16565.742218271083,0.49996595404098265,0.8559498518417775
2015-01-01 02:00:00,15968.0,13952.893606135403,11993.297334155654,16014.303759308314,13953.081074449048,11993.484802469298,16014.491227621958,0.4999509369192918,0.9005139791183931
2015-01-01 03:00:00,15749.0,13612.367405011813,11687.21802199076,15695.331492226895,13611.200937731657,11686.051554710604,15694.165024946738,0.500305571741676,0.9140824527377426
2015-01-01 04:00:00,15727.0,13574.494603745321,11711.649745001068,15639.652408804255,13574.958073660573,11712.11321491632,15640.115878719507,0.4998785234040229,0.9199230838586027
2015-01-01 05:00:00,15710.0,13870.066388452062,12143.102029118225,16016.427762235757,13869.71075766819,12142.746398334353,16016.072131451885,0.5000935804285379,0.8883011061272015
2015-01-01 06:00:00,15937.0,14466.379189609106,12540.931376693898,16548.656201872654,14466.33814942119,12540.890336505981,16548.61516168474,0.5000107306179988,0.8265250287384833
2015-01-01 07:00:00,16239.0,15230.253223944977,13147.287172943197,17134.179656907174,15230.17011199008,13147.2040609883,17134.096544952277,0.5000217846108566,0.7416709983196036
2015-01-01 08:00:00,16573.0,15961.382813838914,14014.384226503278,18045.42479903006,15961.734904574529,14014.736317238892,18045.776889765675,0.4999069582992795,0.6513218416822639
2015-01-01 09:00:00,16600.0,16491.92950993162,14385.940754252906,18396.637889021033,16492.121579155566,14386.132823476853,18396.82995824498,0.4999495028994467,0.5275307634613399
2015-01-01 10:00:00,16439.0,16776.664111517217,14844.258953409286,18643.812562864852,16776.758368283838,14844.353210175905,18643.906819631473,0.4999753296234959,0.40990806284489156
2015-01-01 11:00:00,16306.0,16895.669091864056,14921.735375989037,18984.203064706264,16896.585770450773,14922.652054575754,18985.11974329298,0.49976047686726177,0.35493316348504017
2015-01-01 12:00:00,16064.0,16966.797963753612,15101.053637068728,19075.693779862548,16966.7608432491,15101.016516564217,19075.656659358036,0.500009695583345,0.2802220193923719
2015-01-01 13:00:00,15760.0,17047.127939763133,15047.323678084416,19043.476371730314,17047.622064713298,15047.81780303458,19043.97049668048,0.49987061668426225,0.20452844058448305
2015-01-01 14:00:00,15511.0,17110.799036022923,15326.333021347422,19035.87509738039,17110.008992883533,15325.542978208032,19035.085054241,0.5002070860345312,0.13449769921560645
2015-01-01 15:00:00,15124.0,17114.98300427197,15117.122204272819,19007.207208391224,17114.74700487318,15116.88620487403,19006.971208992436,0.500061881743187,0.09479028737492701
2015-01-01 16:00:00,15000.0,17079.03899385156,15183.140427159004,19006.852559902087,17079.458250432242,15183.55968373969,19007.27181648277,0.49989046816448646,0.08171660168400408
2015-01-01 17:00:00,15365.0,17089.212483611747,15146.533008670376,19027.01200201176,17089.831080476153,15147.151605534782,19027.630598876167,0.49983872605185525,0.12738012489830397
2015-01-01 18:00:00,16413.0,17215.94037150468,15268.762248014598,19142.60217541805,17216.253493340988,15269.075369850907,19142.91529725436,0.4999174027593392,0.29761906134255733
2015-01-01 19:00:00,16662.0,17420.607720361742,15393.774485325108,19363.625632177427,17420.627445051592,15393.794210014958,19363.645356867277,0.4999948351469855,0.3121415720361713
2015-01-01 20:00:00,16586.0,17545.596678789017,15626.40345151889,19427.364770583863,17544.68265727496,15625.489430004833,19426.450749069805,0.5002403337469828,0.2587884496251808
2015-01-01 21:00:00,16312.0,17408.078629916,15482.69670235501,19347.686752542002,17408.190989174178,15482.80906161319,19347.79911180018,0.499970621402487,0.23365143103805536
2015-01-01 22:00:00,15859.0,16923.943402308054,14870.334640812429,19076.776692713967,16923.75960585666,14870.150844361036,19076.592896262573,0.5000483077650528,0.25820154414159824
2015-01-01 23:00:00,15195.0,16162.378859567358,14460.532965575818,18304.181518089295,16161.683400123453,14459.837506131913,18303.48605864539,0.5001833189903477,0.25943506084270046
2015-01-02 00:00:00,14722.0,15295.922938594089,13325.414201307469,17223.965354271055,15295.91409286642,13325.4053555798,17223.956508543386,0.5000023162122457,0.3529657745630691
2015-01-02 01:00:00,14338.0,14501.073626721221,12458.685370237428,16401.615243347565,14500.979192430781,12458.590935946988,16401.520809057125,0.5000247155200966,0.457788765755548
2015-01-02 02:00:00,14123.0,13895.215186499641,11786.71481721504,15795.1139610632,13895.197589494424,11786.697220209822,15795.096364057983,0.500004610587426,0.5579023968254886
2015-01-02 03:00:00,13981.0,13543.587977350802,11571.418519094417,15516.36729655789,13544.422396669792,11572.252938413407,15517.20171587688,0.4997818383145752,0.6118692746626306
2015-01-02 04:00:00,13822.0,13494.218780679057,11425.971472180467,15346.17252757218,13494.347940136277,11426.100631637686,15346.3016870294,0.4999663105917052,0.5848472186384328
2015-01-02 05:00:00,14111.0,13777.771246928649,12021.014089962258,15722.918855949569,13778.276892345488,12021.519735379097,15723.424501366408,0.4998668407868642,0.5912334330200811
2015-01-02 06:00:00,14627.0,14361.402258187196,12356.073334615996,16376.516161181806,14361.374464386008,12356.045540814808,16376.488367380618,0.5000072747825998,0.5672288012927663
2015-01-02 07:00:00,15440.0,15111.783213101195,13151.053780664333,17014.770390064914,15111.459729555523,13150.730297118662,17014.446906519242,0.5000844636756976,0.586180907188384
2015-01-02 08:00:00,16133.0,15828.453348896466,13813.238362678661,17759.58831497211,15828.602363719192,13813.387377501387,17759.737329794836,0.4999609044514369,0.5783988754320526
2015-01-02 09:00:00,16422.0,16343.416082216161,14343.599114116867,18241.693223378417,16343.841902659302,14344.024934560008,18242.119043821556,0.4998882370206136,0.5206046045812248
2015-01-02 10:00:00,16395.0,16611.284418242187,14653.144667964194,18594.87460014803,16611.304068505786,14653.164318227793,18594.894250411628,0.4999948653576268,0.4440777374338938
2015-01-02 11:00:00,16238.0,16711.986884149544,14640.134791499191,18750.011931660694,16711.19571884623,14639.343626195874,18749.22076635738,0.500207306423597,0.3837680112892486
2015-01-02 12:00:00,16294.0,16763.230471016275,14878.107221719127,18852.517666867283,16763.630466765426,14878.50721746828,18852.917662616434,0.4998956537988647,0.38109452968642143
2015-01-02 13:00:00,16008.0,16821.956885376458,14826.857163228902,18845.793958564256,16822.20981421172,14827.110092064166,18846.04688739952,0.4999338771061378,0.30184330489221295
