day,hour,y_hat,y
2016-09-30,0.0,10147.874,9902.0
2016-09-30,1.0,9408.331,9163.0
2016-09-30,2.0,8823.767,8694.0
2016-09-30,3.0,8446.001,8429.0
2016-09-30,4.0,8168.3823,8234.0
2016-09-30,5.0,8059.7573,8212.0
2016-09-30,6.0,8130.822,8339.0
2016-09-30,7.0,8441.931,8949.0
2016-09-30,8.0,9024.915,10036.0
2016-09-30,9.0,9656.834,10766.0
2016-09-30,10.0,10186.864,11079.0
2016-09-30,11.0,10639.187,11331.0
2016-09-30,12.0,11024.876,11503.0
2016-09-30,13.0,11249.7295,11449.0
2016-09-30,14.0,11440.48,11399.0
2016-09-30,15.0,11651.099,11394.0
2016-09-30,16.0,11685.466,11267.0
2016-09-30,17.0,11707.4795,11138.0
2016-09-30,18.0,11625.951,11042.0
2016-09-30,19.0,11444.518,10998.0
2016-09-30,20.0,11242.975,11152.0
2016-09-30,21.0,11294.193,11121.0
2016-09-30,22.0,11348.139,10832.0
2016-09-30,23.0,11063.64,10458.0
2016-10-01,0.0,9843.466,9808.0
2016-10-01,1.0,9171.707,9142.0
2016-10-01,2.0,8678.385,8616.0
2016-10-01,3.0,8311.8,8302.0
2016-10-01,4.0,8103.3247,8102.0
2016-10-01,5.0,8007.739,7964.0
2016-10-01,6.0,8041.0376,7979.0
2016-10-01,7.0,8282.224,8222.0
2016-10-01,8.0,8624.453,8603.0
2016-10-01,9.0,9002.943,8909.0
2016-10-01,10.0,9382.963,9375.0
2016-10-01,11.0,9638.012,9784.0
2016-10-01,12.0,9781.232,9969.0
2016-10-01,13.0,9879.203,10061.0
2016-10-01,14.0,9886.208,9950.0
2016-10-01,15.0,9844.331,9795.0
2016-10-01,16.0,9764.801,9698.0
2016-10-01,17.0,9777.316,9595.0
2016-10-01,18.0,9776.795,9573.0
2016-10-01,19.0,9791.049,9610.0
2016-10-01,20.0,9772.022,9864.0
2016-10-01,21.0,9946.031,10074.0
2016-10-01,22.0,10157.513,9950.0
2016-10-01,23.0,9875.454,9623.0
2016-10-02,0.0,9509.585,9182.0
2016-10-02,1.0,8869.183,8637.0
2016-10-02,2.0,8323.295,8213.0
2016-10-02,3.0,7976.567,7900.0
2016-10-02,4.0,7757.653,7734.0
2016-10-02,5.0,7588.1094,7594.0
2016-10-02,6.0,7632.1343,7595.0
2016-10-02,7.0,7728.6006,7633.0
2016-10-02,8.0,7904.135,7861.0
2016-10-02,9.0,8287.996,7872.0
2016-10-02,10.0,8723.964,8278.0
2016-10-02,11.0,9098.264,8548.0
2016-10-02,12.0,9434.326,8849.0
2016-10-02,13.0,9584.92,9038.0
2016-10-02,14.0,9697.652,9106.0
2016-10-02,15.0,9783.687,9114.0
2016-10-02,16.0,9800.519,9101.0
2016-10-02,17.0,9823.387,9191.0
2016-10-02,18.0,9778.98,9261.0
2016-10-02,19.0,9726.938,9346.0
2016-10-02,20.0,9666.999,9735.0
2016-10-02,21.0,9783.471,10042.0
2016-10-02,22.0,9980.907,9835.0
2016-10-02,23.0,9773.344,9483.0
2016-10-03,0.0,9117.23,9043.0
2016-10-03,1.0,8577.693,8514.0
2016-10-03,2.0,8170.575,8181.0
2016-10-03,3.0,7958.4624,7958.0
2016-10-03,4.0,7806.682,7869.0
2016-10-03,5.0,7823.8096,7851.0
2016-10-03,6.0,8072.4463,8097.0
2016-10-03,7.0,8757.007,8754.0
2016-10-03,8.0,9750.16,9912.0
2016-10-03,9.0,10507.41,10500.0
2016-10-03,10.0,10831.447,10885.0
2016-10-03,11.0,11013.908,11070.0
2016-10-03,12.0,11245.621,11341.0
2016-10-03,13.0,11339.623,11450.0
2016-10-03,14.0,11405.298,11480.0
2016-10-03,15.0,11522.163,11537.0
2016-10-03,16.0,11509.418,11434.0
2016-10-03,17.0,11433.137,11326.0
2016-10-03,18.0,11369.783,11249.0
2016-10-03,19.0,11333.285,11160.0
2016-10-03,20.0,11256.788,11389.0
2016-10-03,21.0,11428.003,11567.0
2016-10-03,22.0,11415.236,11255.0
2016-10-03,23.0,10945.33,10727.0
2016-10-04,0.0,10206.868,9955.0
