day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2016-09-30,0.0,9960.759,9902.0,9434.79630018128,10490.711295910127,0.41372
2016-09-30,1.0,9226.717,9163.0,8748.097840975286,9707.613761624121,0.39814
2016-09-30,2.0,8717.031,8694.0,8281.561051420746,9154.71817883908,0.4578
2016-09-30,3.0,8389.577,8429.0,7978.01699532842,8800.406564765237,0.57288
2016-09-30,4.0,8197.425,8234.0,7799.731851554363,8590.321831191743,0.57274
2016-09-30,5.0,8154.4565,8212.0,7760.7565625013185,8543.026261642215,0.6142
2016-09-30,6.0,8357.993,8339.0,7958.049936305083,8751.431198618851,0.46322
2016-09-30,7.0,9020.853,8949.0,8587.83114051979,9447.74754273253,0.37488
2016-09-30,8.0,9991.309,10036.0,9491.668168069757,10484.991541546526,0.57102
2016-09-30,9.0,10559.754,10766.0,10054.678948152781,11064.22497841247,0.78946
2016-09-30,10.0,10873.386,11079.0,10385.53354415327,11353.032164727952,0.7991
2016-09-30,11.0,11018.76,11331.0,10535.215743949328,11493.745084949278,0.90008
2016-09-30,12.0,11183.472,11503.0,10693.21181526968,11672.371902052506,0.89988
2016-09-30,13.0,11221.751,11449.0,10700.467551099819,11743.248691757643,0.8054
2016-09-30,14.0,11229.676,11399.0,10702.817726222404,11764.053550599976,0.73242
2016-09-30,15.0,11285.106,11394.0,10735.627085416008,11836.664205035722,0.65088
2016-09-30,16.0,11211.154,11267.0,10615.23672717802,11810.757156399737,0.57354
2016-09-30,17.0,11087.564,11138.0,10416.438683634668,11765.166485316253,0.55952
2016-09-30,18.0,11036.95,11042.0,10303.77806690367,11781.114889178009,0.50668
2016-09-30,19.0,10950.655,10998.0,10194.488131139977,11707.815022799447,0.54718
2016-09-30,20.0,10881.045,11152.0,10132.939570202992,11638.447558748274,0.76036
2016-09-30,21.0,11058.139,11121.0,10343.752942135545,11768.632185077275,0.56744
2016-09-30,22.0,11033.208,10832.0,10316.10868057851,11752.193912785307,0.2917
2016-09-30,23.0,10582.304,10458.0,9861.07987675526,11308.977545406275,0.36758
2016-10-01,0.0,9761.413,9808.0,9244.937002991905,10273.61653742834,0.57054
2016-10-01,1.0,9081.536,9142.0,8614.943231669002,9546.312224957024,0.6042
2016-10-01,2.0,8568.506,8616.0,8141.652396717702,8999.062337388905,0.58934
2016-10-01,3.0,8231.737,8302.0,7830.291221485106,8635.8440280807,0.63488
2016-10-01,4.0,7999.934,8102.0,7611.774589553516,8390.85557917826,0.6959
2016-10-01,5.0,7900.658,7964.0,7509.994132849526,8292.572271272855,0.62458
2016-10-01,6.0,7924.7407,7979.0,7525.729980518972,8323.266978849862,0.60418
2016-10-01,7.0,8158.259,8222.0,7711.954443414061,8606.265460064546,0.6085
2016-10-01,8.0,8561.883,8603.0,8035.522429489511,9083.234300698026,0.55792
2016-10-01,9.0,8838.369,8909.0,8293.815996641342,9379.093793707625,0.5983
2016-10-01,10.0,9176.776,9375.0,8654.882340452978,9691.278762700449,0.77366
2016-10-01,11.0,9450.695,9784.0,8938.263703528171,9959.456744338024,0.90054
2016-10-01,12.0,9654.717,9969.0,9130.344032695837,10176.364900185272,0.88182
2016-10-01,13.0,9737.277,10061.0,9190.784237075582,10282.870628304201,0.8772
2016-10-01,14.0,9753.614,9950.0,9195.315247575181,10308.29460873805,0.75468
2016-10-01,15.0,9731.583,9795.0,9168.578190684073,10291.298942622956,0.58674
2016-10-01,16.0,9692.205,9698.0,9104.2708356991,10282.821978728947,0.50776
2016-10-01,17.0,9656.034,9595.0,9015.660980837574,10299.777699461281,0.42562
2016-10-01,18.0,9612.682,9573.0,8923.739653407632,10299.291375096427,0.45508
2016-10-01,19.0,9609.185,9610.0,8893.989377685366,10320.83937714481,0.49896
2016-10-01,20.0,9892.328,9864.0,9179.731046974892,10612.090452775357,0.46918
2016-10-01,21.0,10116.31,10074.0,9434.051254407494,10796.913495127468,0.44798
2016-10-01,22.0,10104.714,9950.0,9420.573744012834,10782.36265880221,0.32772
2016-10-01,23.0,9777.601,9623.0,9072.056451803453,10476.252537151437,0.33112
2016-10-02,0.0,9084.852,9182.0,8565.475818402228,9599.09727806384,0.64548
2016-10-02,1.0,8566.232,8637.0,8091.056184651296,9042.704293642257,0.6153
2016-10-02,2.0,8155.7373,8213.0,7709.729185872742,8602.520984310984,0.60014
2016-10-02,3.0,7819.9585,7900.0,7399.965591286994,8239.658842900872,0.64436
2016-10-02,4.0,7648.0654,7734.0,7240.563716362242,8057.376519376769,0.65502
2016-10-02,5.0,7544.8027,7594.0,7136.757690966589,7954.950767506247,0.5895
2016-10-02,6.0,7520.466,7595.0,7105.974693904542,7937.070566815264,0.63244
2016-10-02,7.0,7528.5645,7633.0,7076.541821348985,7985.47524448436,0.6702
2016-10-02,8.0,7553.808,7861.0,7013.368230192566,8097.51064446412,0.86584
2016-10-02,9.0,7671.305,7872.0,7125.58402805853,8214.78831630503,0.76078
2016-10-02,10.0,8079.589,8278.0,7560.147124645149,8597.215862084082,0.77116
2016-10-02,11.0,8408.679,8548.0,7900.971566710803,8922.697477575835,0.70186
2016-10-02,12.0,8700.297,8849.0,8177.292476410648,9232.954288454575,0.70656
2016-10-02,13.0,8893.028,9038.0,8347.855814867613,9444.904802020958,0.69462
2016-10-02,14.0,8956.081,9106.0,8399.004184239311,9518.885797880086,0.70034
2016-10-02,15.0,8969.246,9114.0,8400.211299363562,9543.444135562057,0.6913
2016-10-02,16.0,9043.225,9101.0,8440.99429210282,9644.912334075085,0.57538
2016-10-02,17.0,9054.322,9191.0,8391.490642894589,9716.160818965562,0.65528
2016-10-02,18.0,9160.559,9261.0,8466.139762375451,9852.303821656393,0.6112
2016-10-02,19.0,9256.688,9346.0,8526.905257602228,9994.020828755143,0.59798
2016-10-02,20.0,9579.022,9735.0,8853.382371828384,10301.293899770295,0.66352
2016-10-02,21.0,9818.897,10042.0,9109.027710175083,10520.792938966168,0.73394
2016-10-02,22.0,9806.1,9835.0,9094.152265011291,10507.76456026599,0.53366
2016-10-02,23.0,9586.93,9483.0,8856.963680068508,10304.787534652442,0.39078
2016-10-03,0.0,9078.043,9043.0,8525.294592324095,9626.464230619042,0.45284
2016-10-03,1.0,8487.279,8514.0,7983.622107527792,8988.423468035751,0.54452
2016-10-03,2.0,8068.98,8181.0,7608.615841050771,8528.951830777243,0.68506
2016-10-03,3.0,7826.607,7958.0,7393.896697728659,8256.872314069784,0.72562
2016-10-03,4.0,7702.785,7869.0,7285.372067439041,8114.578734409059,0.78384
2016-10-03,5.0,7682.7827,7851.0,7268.985593852619,8089.529192606468,0.78998
2016-10-03,6.0,7937.525,8097.0,7522.325681940576,8348.788518354737,0.77782
2016-10-03,7.0,8608.199,8754.0,8151.854943951971,9066.933809121618,0.73646
2016-10-03,8.0,9720.2705,9912.0,9191.15785900003,10247.790673669559,0.76408
2016-10-03,9.0,10337.808,10500.0,9782.314717556212,10889.202527468009,0.71768
2016-10-03,10.0,10660.581,10885.0,10126.792999989295,11192.23508171084,0.79756
2016-10-03,11.0,10894.101,11070.0,10369.618491171632,11411.95152489738,0.74748
2016-10-03,12.0,11131.365,11341.0,10601.578650889534,11655.350708301627,0.78198
2016-10-03,13.0,11280.003,11450.0,10729.981122144787,11828.035247875143,0.7263
2016-10-03,14.0,11347.17,11480.0,10794.936806559514,11904.598975778012,0.67848
2016-10-03,15.0,11473.77,11537.0,10902.986888801395,12053.512796354593,0.5836
2016-10-03,16.0,11420.118,11434.0,10798.572896603262,12047.30611559647,0.51612
2016-10-03,17.0,11393.693,11326.0,10718.148625598833,12079.136099096911,0.42086
2016-10-03,18.0,11397.644,11249.0,10681.83162303048,12120.93854504054,0.3404
2016-10-03,19.0,11391.497,11160.0,10640.386313828893,12145.063633025737,0.27152
2016-10-03,20.0,11315.767,11389.0,10561.204315802142,12073.433055578189,0.5738
2016-10-03,21.0,11404.917,11567.0,10681.649876288227,12129.790809506163,0.6693
2016-10-03,22.0,11250.349,11255.0,10530.917443948323,11965.848767861598,0.50264
2016-10-03,23.0,10777.928,10727.0,10047.317441942943,11510.86650174208,0.44756
2016-10-04,0.0,10086.337,9955.0,9546.240917873447,10626.651127712776,0.31638
