year,month,day,hour,y_hat,y
2015.0,1.0,1.0,0.0,11107.841,11774.0
2015.0,1.0,1.0,1.0,10358.307,11341.0
2015.0,1.0,1.0,2.0,9828.942,10969.0
2015.0,1.0,1.0,3.0,9506.3955,10651.0
2015.0,1.0,1.0,4.0,9313.708,10425.0
2015.0,1.0,1.0,5.0,9270.353,10299.0
2015.0,1.0,1.0,6.0,9432.311,10294.0
2015.0,1.0,1.0,7.0,9965.622,10443.0
2015.0,1.0,1.0,8.0,10709.594,10634.0
2015.0,1.0,1.0,9.0,11103.001,10532.0
2015.0,1.0,1.0,10.0,11354.658,10433.0
2015.0,1.0,1.0,11.0,11540.52,10543.0
2015.0,1.0,1.0,12.0,11694.624,10635.0
2015.0,1.0,1.0,13.0,11742.686,10623.0
2015.0,1.0,1.0,14.0,11718.247,10592.0
2015.0,1.0,1.0,15.0,11678.362,10511.0
2015.0,1.0,1.0,16.0,11579.02,10503.0
2015.0,1.0,1.0,17.0,11577.236,10585.0
2015.0,1.0,1.0,18.0,12107.158,11404.0
2015.0,1.0,1.0,19.0,12630.01,12140.0
2015.0,1.0,1.0,20.0,12483.409,12076.0
2015.0,1.0,1.0,21.0,12347.261,11919.0
2015.0,1.0,1.0,22.0,12169.431,11712.0
2015.0,1.0,1.0,23.0,11749.347,11397.0
2015.0,1.0,2.0,0.0,12037.424,10826.0
2015.0,1.0,2.0,1.0,11268.168,10304.0
2015.0,1.0,2.0,2.0,10758.211,9884.0
2015.0,1.0,2.0,3.0,10468.302,9620.0
2015.0,1.0,2.0,4.0,10314.786,9513.0
2015.0,1.0,2.0,5.0,10319.023,9533.0
2015.0,1.0,2.0,6.0,10549.692,9791.0
2015.0,1.0,2.0,7.0,11199.688,10346.0
2015.0,1.0,2.0,8.0,12126.905,11115.0
2015.0,1.0,2.0,9.0,12651.75,11543.0
2015.0,1.0,2.0,10.0,12833.178,11598.0
2015.0,1.0,2.0,11.0,12907.273,11661.0
2015.0,1.0,2.0,12.0,12925.9,11701.0
2015.0,1.0,2.0,13.0,12841.173,11628.0
2015.0,1.0,2.0,14.0,12714.517,11469.0
2015.0,1.0,2.0,15.0,12661.512,11445.0
2015.0,1.0,2.0,16.0,12586.134,11394.0
2015.0,1.0,2.0,17.0,12621.245,11478.0
2015.0,1.0,2.0,18.0,13198.489,12211.0
2015.0,1.0,2.0,19.0,13851.866,12804.0
2015.0,1.0,2.0,20.0,13654.258,12666.0
2015.0,1.0,2.0,21.0,13291.768,12436.0
2015.0,1.0,2.0,22.0,13066.486,12185.0
2015.0,1.0,2.0,23.0,12623.287,11823.0
2015.0,1.0,3.0,0.0,13437.511,11194.0
2015.0,1.0,3.0,1.0,12787.3,10520.0
2015.0,1.0,3.0,2.0,12269.489,9963.0
2015.0,1.0,3.0,3.0,11944.233,9622.0
2015.0,1.0,3.0,4.0,11748.224,9475.0
2015.0,1.0,3.0,5.0,11671.9,9423.0
2015.0,1.0,3.0,6.0,11714.866,9494.0
2015.0,1.0,3.0,7.0,11915.479,9733.0
2015.0,1.0,3.0,8.0,12257.348,10135.0
2015.0,1.0,3.0,9.0,12582.489,10432.0
2015.0,1.0,3.0,10.0,13024.2705,10696.0
2015.0,1.0,3.0,11.0,13446.718,11014.0
2015.0,1.0,3.0,12.0,13691.845,11244.0
2015.0,1.0,3.0,13.0,13695.136,11249.0
2015.0,1.0,3.0,14.0,13519.453,11328.0
2015.0,1.0,3.0,15.0,13239.471,11200.0
2015.0,1.0,3.0,16.0,13040.744,11073.0
2015.0,1.0,3.0,17.0,12987.044,11033.0
2015.0,1.0,3.0,18.0,13615.878,11517.0
2015.0,1.0,3.0,19.0,14410.89,12009.0
2015.0,1.0,3.0,20.0,14356.612,12010.0
2015.0,1.0,3.0,21.0,14197.621,11840.0
2015.0,1.0,3.0,22.0,14066.738,11648.0
2015.0,1.0,3.0,23.0,13696.243,11302.0
2015.0,1.0,4.0,0.0,13075.598,10823.0
2015.0,1.0,4.0,1.0,12439.497,10217.0
2015.0,1.0,4.0,2.0,11944.293,9752.0
2015.0,1.0,4.0,3.0,11604.868,9384.0
2015.0,1.0,4.0,4.0,11395.15,9251.0
2015.0,1.0,4.0,5.0,11295.092,9197.0
2015.0,1.0,4.0,6.0,11288.513,9251.0
2015.0,1.0,4.0,7.0,11339.577,9404.0
2015.0,1.0,4.0,8.0,11463.17,9677.0
2015.0,1.0,4.0,9.0,11482.049,9805.0
2015.0,1.0,4.0,10.0,11650.822,10078.0
2015.0,1.0,4.0,11.0,11862.073,10324.0
2015.0,1.0,4.0,12.0,11975.382,10657.0
2015.0,1.0,4.0,13.0,11988.206,10858.0
2015.0,1.0,4.0,14.0,11886.302,11023.0
2015.0,1.0,4.0,15.0,11758.888,11060.0
2015.0,1.0,4.0,16.0,11766.013,11119.0
2015.0,1.0,4.0,17.0,11953.764,11253.0
2015.0,1.0,4.0,18.0,12624.814,12008.0
2015.0,1.0,4.0,19.0,13554.149,12975.0
2015.0,1.0,4.0,20.0,13733.244,13078.0
2015.0,1.0,4.0,21.0,13643.721,13106.0
2015.0,1.0,4.0,22.0,13487.507,12990.0
2015.0,1.0,4.0,23.0,13190.868,12627.0
2015.0,1.0,5.0,0.0,11481.773,12084.0
2015.0,1.0,5.0,1.0,10879.791,11601.0
2015.0,1.0,5.0,2.0,10491.935,11325.0
2015.0,1.0,5.0,3.0,10239.939,11209.0
2015.0,1.0,5.0,4.0,10105.369,11181.0
2015.0,1.0,5.0,5.0,10084.482,11217.0
2015.0,1.0,5.0,6.0,10269.627,11570.0
2015.0,1.0,5.0,7.0,10773.416,12312.0
2015.0,1.0,5.0,8.0,11483.653,13465.0
2015.0,1.0,5.0,9.0,11790.597,14010.0
2015.0,1.0,5.0,10.0,11867.398,14073.0
2015.0,1.0,5.0,11.0,11984.127,14079.0
2015.0,1.0,5.0,12.0,12170.598,14133.0
2015.0,1.0,5.0,13.0,12330.808,14176.0
2015.0,1.0,5.0,14.0,12456.49,14122.0
2015.0,1.0,5.0,15.0,12629.016,14234.0
2015.0,1.0,5.0,16.0,12685.886,14187.0
2015.0,1.0,5.0,17.0,12771.902,14248.0
2015.0,1.0,5.0,18.0,13219.053,14865.0
2015.0,1.0,5.0,19.0,13832.574,15447.0
2015.0,1.0,5.0,20.0,13738.064,15322.0
2015.0,1.0,5.0,21.0,13403.641,15122.0
2015.0,1.0,5.0,22.0,13095.41,14827.0
2015.0,1.0,5.0,23.0,12578.748,14198.0
2015.0,1.0,6.0,0.0,13441.535,13262.0
2015.0,1.0,6.0,1.0,12776.6455,12414.0
2015.0,1.0,6.0,2.0,12403.024,11904.0
2015.0,1.0,6.0,3.0,12231.351,11598.0
2015.0,1.0,6.0,4.0,12169.935,11472.0
2015.0,1.0,6.0,5.0,12234.031,11492.0
2015.0,1.0,6.0,6.0,12510.541,11712.0
2015.0,1.0,6.0,7.0,13216.727,12421.0
2015.0,1.0,6.0,8.0,14166.553,13479.0
2015.0,1.0,6.0,9.0,14564.711,13897.0
2015.0,1.0,6.0,10.0,14606.592,13859.0
2015.0,1.0,6.0,11.0,14607.403,13838.0
2015.0,1.0,6.0,12.0,14597.367,13875.0
2015.0,1.0,6.0,13.0,14473.7,13748.0
2015.0,1.0,6.0,14.0,14311.172,13713.0
2015.0,1.0,6.0,15.0,14250.765,13785.0
2015.0,1.0,6.0,16.0,14146.869,13783.0
2015.0,1.0,6.0,17.0,14146.456,13920.0
2015.0,1.0,6.0,18.0,14794.342,14644.0
2015.0,1.0,6.0,19.0,15547.248,15347.0
2015.0,1.0,6.0,20.0,15230.801,15297.0
2015.0,1.0,6.0,21.0,15123.737,15099.0
2015.0,1.0,6.0,22.0,14939.159,14804.0
2015.0,1.0,6.0,23.0,14317.064,14301.0
2015.0,1.0,7.0,0.0,13765.001,13549.0
2015.0,1.0,7.0,1.0,12970.191,12832.0
2015.0,1.0,7.0,2.0,12451.42,12396.0
2015.0,1.0,7.0,3.0,12137.536,12113.0
2015.0,1.0,7.0,4.0,11950.807,12027.0
2015.0,1.0,7.0,5.0,11920.939,12006.0
2015.0,1.0,7.0,6.0,12124.364,12249.0
2015.0,1.0,7.0,7.0,12746.023,12866.0
2015.0,1.0,7.0,8.0,13688.016,13792.0
2015.0,1.0,7.0,9.0,14125.917,14244.0
2015.0,1.0,7.0,10.0,14227.502,14353.0
2015.0,1.0,7.0,11.0,14283.496,14518.0
2015.0,1.0,7.0,12.0,14313.011,14620.0
2015.0,1.0,7.0,13.0,14266.894,14643.0
2015.0,1.0,7.0,14.0,14229.252,14545.0
2015.0,1.0,7.0,15.0,14287.741,14540.0
2015.0,1.0,7.0,16.0,14280.409,14445.0
2015.0,1.0,7.0,17.0,14348.678,14450.0
2015.0,1.0,7.0,18.0,14908.21,14969.0
2015.0,1.0,7.0,19.0,15608.051,15816.0
2015.0,1.0,7.0,20.0,15379.883,15778.0
2015.0,1.0,7.0,21.0,15091.636,15578.0
2015.0,1.0,7.0,22.0,14701.332,15314.0
2015.0,1.0,7.0,23.0,14070.417,14824.0
2015.0,1.0,8.0,0.0,13678.025,14072.0
2015.0,1.0,8.0,1.0,12982.289,13356.0
2015.0,1.0,8.0,2.0,12538.175,12965.0
2015.0,1.0,8.0,3.0,12262.931,12730.0
2015.0,1.0,8.0,4.0,12113.911,12596.0
2015.0,1.0,8.0,5.0,12097.981,12590.0
2015.0,1.0,8.0,6.0,12285.442,12792.0
2015.0,1.0,8.0,7.0,12854.61,13293.0
2015.0,1.0,8.0,8.0,13645.556,14159.0
2015.0,1.0,8.0,9.0,13918.602,14662.0
2015.0,1.0,8.0,10.0,13796.076,14893.0
2015.0,1.0,8.0,11.0,13684.932,15113.0
2015.0,1.0,8.0,12.0,13577.153,15373.0
2015.0,1.0,8.0,13.0,13420.005,15398.0
2015.0,1.0,8.0,14.0,13269.0625,15381.0
2015.0,1.0,8.0,15.0,13218.209,15412.0
2015.0,1.0,8.0,16.0,13059.993,15281.0
2015.0,1.0,8.0,17.0,12976.958,15145.0
2015.0,1.0,8.0,18.0,13464.048,15473.0
2015.0,1.0,8.0,19.0,14144.169,15951.0
2015.0,1.0,8.0,20.0,13988.89,15775.0
2015.0,1.0,8.0,21.0,13748.945,15494.0
2015.0,1.0,8.0,22.0,13523.922,15100.0
2015.0,1.0,8.0,23.0,13025.566,14470.0
2015.0,1.0,9.0,0.0,12957.95,13667.0
2015.0,1.0,9.0,1.0,12214.25,12880.0
2015.0,1.0,9.0,2.0,11739.572,12505.0
2015.0,1.0,9.0,3.0,11452.368,12247.0
2015.0,1.0,9.0,4.0,11287.98,12059.0
2015.0,1.0,9.0,5.0,11270.588,12025.0
2015.0,1.0,9.0,6.0,11468.754,12229.0
2015.0,1.0,9.0,7.0,12043.933,12814.0
2015.0,1.0,9.0,8.0,12937.509,13813.0
2015.0,1.0,9.0,9.0,13380.013,14298.0
2015.0,1.0,9.0,10.0,13508.378,14312.0
2015.0,1.0,9.0,11.0,13590.731,14382.0
2015.0,1.0,9.0,12.0,13680.264,14452.0
2015.0,1.0,9.0,13.0,13709.336,14474.0
2015.0,1.0,9.0,14.0,13753.594,14451.0
2015.0,1.0,9.0,15.0,13844.433,14455.0
2015.0,1.0,9.0,16.0,13833.277,14364.0
2015.0,1.0,9.0,17.0,13899.149,14358.0
2015.0,1.0,9.0,18.0,14367.714,14798.0
2015.0,1.0,9.0,19.0,14921.541,15509.0
2015.0,1.0,9.0,20.0,14630.395,15502.0
2015.0,1.0,9.0,21.0,14317.552,15316.0
2015.0,1.0,9.0,22.0,13951.691,14998.0
2015.0,1.0,9.0,23.0,13435.206,14593.0
2015.0,1.0,10.0,0.0,13281.34,13817.0
2015.0,1.0,10.0,1.0,12562.721,13132.0
2015.0,1.0,10.0,2.0,12045.919,12665.0
2015.0,1.0,10.0,3.0,11728.711,12315.0
2015.0,1.0,10.0,4.0,11544.255,12145.0
2015.0,1.0,10.0,5.0,11483.913,12110.0
2015.0,1.0,10.0,6.0,11573.992,12184.0
2015.0,1.0,10.0,7.0,11874.359,12442.0
2015.0,1.0,10.0,8.0,12324.799,12865.0
2015.0,1.0,10.0,9.0,12556.005,13056.0
