ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value
2015-01-01 00:00:00,11774.0,11748.380186539049,10157.094753695817,13428.419691999608,11747.85802081502,10156.572587971788,13427.89752627558,0.5001595940146336,0.5080075426615979
2015-01-01 01:00:00,11341.0,11014.920989147766,9299.680814366544,12670.090511103459,11014.134975645218,9298.894800863996,12669.304497600911,0.5002414578656849,0.5979227565020575
2015-01-01 02:00:00,10969.0,10369.388657785385,8717.345899877824,12083.63134206662,10370.507088504623,8718.464330597062,12084.749772785857,0.49965676627684824,0.6760014659267238
2015-01-01 03:00:00,10651.0,9889.257838647287,8196.000700077646,11641.898239911232,9890.861508320917,8197.604369751276,11643.501909584862,0.4995064795242521,0.714504860251095
2015-01-01 04:00:00,10425.0,9612.180026986867,7927.160814446847,11221.063036943673,9611.558546033622,7926.5393334936025,11220.441555990428,0.5001894298919604,0.7364647655141507
2015-01-01 05:00:00,10299.0,9566.923386297949,7925.451998378385,11173.848672193444,9567.535911212333,7926.06452329277,11174.461197107828,0.49981281055542076,0.7182447398980636
2015-01-01 06:00:00,10294.0,9777.804417870648,8079.156678328389,11468.609969982388,9777.953287814611,8079.305548272352,11468.758839926351,0.4999544313577025,0.6518599685077473
2015-01-01 07:00:00,10443.0,10231.553957974915,8512.211571582366,11845.774242838697,10230.955785977134,8511.613399584585,11845.176070840917,0.5001820405959939,0.5645739435315558
2015-01-01 08:00:00,10634.0,10844.223482431602,9206.470308072126,12364.64748008089,10843.969761413844,9206.216587054369,12364.393759063132,0.5000773507520343,0.43226423880247533
2015-01-01 09:00:00,10532.0,11474.737556479966,9852.186797338802,13129.38379060645,11474.98663797995,9852.435878838785,13129.632872106433,0.4999235994704669,0.23046474931523658
2015-01-01 10:00:00,10433.0,11989.437934915773,10301.186532030491,13686.004189561836,11988.827155184026,10300.575752298744,13685.393409830089,0.5001866516537452,0.11928081417748493
2015-01-01 11:00:00,10543.0,12329.98804426024,10719.252672291006,14008.820170480818,12329.425796072443,10718.690424103208,14008.25792229302,0.5001721281506386,0.08190797282697959
2015-01-01 12:00:00,10635.0,12528.427786531196,10903.741945598336,14178.874583237566,12527.256630727125,10902.570789794265,14177.703427433495,0.500359098648688,0.06919841962480869
2015-01-01 13:00:00,10623.0,12658.787286386781,11070.126701128806,14264.957536914551,12657.813170957736,11069.15258569976,14263.983421485505,0.5002977591027218,0.051209026486143505
2015-01-01 14:00:00,10592.0,12771.129605103059,11122.338644293803,14444.269219832533,12772.30950965281,11123.518548843555,14445.449124382285,0.49963957566178846,0.04634730207862624
2015-01-01 15:00:00,10511.0,12866.270549275116,11180.379689124538,14425.908729904791,12865.305500616774,11179.414640466197,14424.94368124645,0.5002950819077657,0.031440206287893326
2015-01-01 16:00:00,10503.0,12925.945274690477,11251.098223964776,14557.41544900118,12925.408830119299,11250.561779393598,14556.879004430002,0.5001637140494729,0.030170006747151618
2015-01-01 17:00:00,10585.0,12957.307556194013,11397.852914407102,14663.99209293269,12958.17211943965,11398.717477652739,14664.856656178328,0.49973609779024797,0.03132490485401601
2015-01-01 18:00:00,11404.0,12998.031787316566,11411.486317471512,14637.22030077048,12998.345018981368,11411.799549136314,14637.533532435282,0.49990451997306884,0.10265177130493552
2015-01-01 19:00:00,12140.0,13071.383896573447,11339.228041335768,14758.75188045444,13070.017576163766,11337.861720926086,14757.385560044759,0.5004165751328349,0.2425515329801416
2015-01-01 20:00:00,12076.0,13136.045715629421,11566.598522447675,14794.809482559884,13136.437486163708,11566.990292981962,14795.20125309417,0.4998799034187775,0.19999344356079984
2015-01-01 21:00:00,11919.0,13087.008603427561,11443.425526026907,14759.196151257664,13086.71284747486,11443.129770074207,14758.900395304963,0.5000908302222953,0.1832961117338318
2015-01-01 22:00:00,11712.0,12818.455461838794,11233.996991502638,14489.97830687083,12818.187789183632,11233.729318847476,14489.710634215668,0.5000818560033374,0.19187709893556054
2015-01-01 23:00:00,11397.0,12300.64381472195,10614.522493516979,13853.562283193822,12300.739411312741,10614.61809010777,13853.657879784612,0.4999707756512673,0.23728364784316291
2015-01-02 00:00:00,10826.0,11607.593372472322,9976.787570994858,13236.055080656195,11606.519886858543,9975.71408538108,13234.981595042416,0.5003285067257577,0.2693933845761608
2015-01-02 01:00:00,10304.0,10875.580074482332,9235.907494765557,12445.22938208169,10874.25550232932,9234.582922612546,12443.90480992868,0.500405895083506,0.3240193531384091
2015-01-02 02:00:00,9884.0,10232.12696331802,8551.8920810379,11854.336314925305,10232.434608035568,8552.199725755449,11854.643959642854,0.49990524650642904,0.3935072871134062
2015-01-02 03:00:00,9620.0,9754.55381566072,8216.846123810841,11466.029997377063,9754.993841793384,8217.286149943506,11466.470023509728,0.4998659781235116,0.4577347913957921
2015-01-02 04:00:00,9513.0,9480.332064519118,7853.79444817922,11162.938855431297,9480.560975715598,7854.0233593757,11163.167766627777,0.49992985708281734,0.5100933602949053
