day,hour,y_hat,y
2016-09-30,0.0,10036.018,9902.0
2016-09-30,1.0,9378.962,9163.0
2016-09-30,2.0,8897.618,8694.0
2016-09-30,3.0,8594.464,8429.0
2016-09-30,4.0,8445.523,8234.0
2016-09-30,5.0,8423.429,8212.0
2016-09-30,6.0,8609.553,8339.0
2016-09-30,7.0,9130.237,8949.0
2016-09-30,8.0,9896.338,10036.0
2016-09-30,9.0,10323.468,10766.0
2016-09-30,10.0,10554.481,11079.0
2016-09-30,11.0,10793.144,11331.0
2016-09-30,12.0,10936.156,11503.0
2016-09-30,13.0,10996.387,11449.0
2016-09-30,14.0,10997.781,11399.0
2016-09-30,15.0,11003.649,11394.0
2016-09-30,16.0,10958.801,11267.0
2016-09-30,17.0,10942.988,11138.0
2016-09-30,18.0,11131.129,11042.0
2016-09-30,19.0,11302.46,10998.0
2016-09-30,20.0,11278.708,11152.0
2016-09-30,21.0,11346.872,11121.0
2016-09-30,22.0,11309.913,10832.0
2016-09-30,23.0,10926.539,10458.0
2016-10-01,0.0,9711.373,9808.0
2016-10-01,1.0,9043.014,9142.0
2016-10-01,2.0,8569.167,8616.0
2016-10-01,3.0,8261.435,8302.0
2016-10-01,4.0,8085.1865,8102.0
2016-10-01,5.0,8019.814,7964.0
2016-10-01,6.0,8135.303,7979.0
2016-10-01,7.0,8487.361,8222.0
2016-10-01,8.0,9039.922,8603.0
2016-10-01,9.0,9365.823,8909.0
2016-10-01,10.0,9594.819,9375.0
2016-10-01,11.0,9725.622,9784.0
2016-10-01,12.0,9789.102,9969.0
2016-10-01,13.0,9761.549,10061.0
2016-10-01,14.0,9706.508,9950.0
2016-10-01,15.0,9655.465,9795.0
2016-10-01,16.0,9572.621,9698.0
2016-10-01,17.0,9517.228,9595.0
2016-10-01,18.0,9629.237,9573.0
2016-10-01,19.0,9727.7,9610.0
2016-10-01,20.0,9797.058,9864.0
2016-10-01,21.0,9929.249,10074.0
2016-10-01,22.0,10023.333,9950.0
2016-10-01,23.0,9754.012,9623.0
2016-10-02,0.0,8840.457,9182.0
2016-10-02,1.0,8309.905,8637.0
2016-10-02,2.0,7922.8535,8213.0
2016-10-02,3.0,7703.1343,7900.0
2016-10-02,4.0,7576.059,7734.0
2016-10-02,5.0,7553.1943,7594.0
2016-10-02,6.0,7693.5737,7595.0
2016-10-02,7.0,8058.1274,7633.0
2016-10-02,8.0,8597.66,7861.0
2016-10-02,9.0,8879.333,7872.0
2016-10-02,10.0,9049.529,8278.0
2016-10-02,11.0,9148.219,8548.0
2016-10-02,12.0,9196.554,8849.0
2016-10-02,13.0,9159.239,9038.0
2016-10-02,14.0,9084.788,9106.0
2016-10-02,15.0,9006.365,9114.0
2016-10-02,16.0,8911.304,9101.0
2016-10-02,17.0,8853.079,9191.0
2016-10-02,18.0,8955.869,9261.0
2016-10-02,19.0,9114.489,9346.0
2016-10-02,20.0,9286.448,9735.0
2016-10-02,21.0,9510.969,10042.0
2016-10-02,22.0,9594.57,9835.0
2016-10-02,23.0,9344.846,9483.0
2016-10-03,0.0,9231.363,9043.0
2016-10-03,1.0,8646.709,8514.0
2016-10-03,2.0,8262.171,8181.0
2016-10-03,3.0,8051.2515,7958.0
2016-10-03,4.0,7937.9565,7869.0
2016-10-03,5.0,7939.872,7851.0
2016-10-03,6.0,8169.175,8097.0
2016-10-03,7.0,8779.222,8754.0
2016-10-03,8.0,9721.211,9912.0
2016-10-03,9.0,10331.547,10500.0
2016-10-03,10.0,10658.183,10885.0
2016-10-03,11.0,10894.704,11070.0
2016-10-03,12.0,11158.958,11341.0
2016-10-03,13.0,11272.732,11450.0
2016-10-03,14.0,11325.572,11480.0
2016-10-03,15.0,11366.02,11537.0
2016-10-03,16.0,11359.441,11434.0
2016-10-03,17.0,11325.642,11326.0
2016-10-03,18.0,11384.194,11249.0
2016-10-03,19.0,11429.194,11160.0
2016-10-03,20.0,11406.394,11389.0
2016-10-03,21.0,11533.329,11567.0
2016-10-03,22.0,11544.161,11255.0
2016-10-03,23.0,11063.837,10727.0
2016-10-04,0.0,10135.241,9955.0
2016-10-04,1.0,9406.128,9197.0
2016-10-04,2.0,8908.083,8701.0
2016-10-04,3.0,8613.059,8404.0
2016-10-04,4.0,8450.19,8227.0
2016-10-04,5.0,8426.932,8162.0
2016-10-04,6.0,8630.239,8363.0
2016-10-04,7.0,9239.633,9011.0
2016-10-04,8.0,10237.578,10128.0
2016-10-04,9.0,10874.821,10736.0
2016-10-04,10.0,11151.035,11050.0
2016-10-04,11.0,11297.69,11282.0
2016-10-04,12.0,11431.376,11583.0
2016-10-04,13.0,11440.844,11837.0
2016-10-04,14.0,11438.521,11905.0
2016-10-04,15.0,11489.892,12005.0
2016-10-04,16.0,11394.784,12015.0
2016-10-04,17.0,11355.902,12007.0
2016-10-04,18.0,11427.765,11951.0
2016-10-04,19.0,11454.675,11731.0
2016-10-04,20.0,11425.196,11747.0
2016-10-04,21.0,11532.885,12025.0
2016-10-04,22.0,11433.484,11731.0
2016-10-04,23.0,11018.079,11146.0
2016-10-05,0.0,10695.233,10298.0
2016-10-05,1.0,9928.721,9495.0
2016-10-05,2.0,9428.984,8953.0
2016-10-05,3.0,9121.964,8601.0
2016-10-05,4.0,8951.067,8432.0
2016-10-05,5.0,8899.713,8378.0
2016-10-05,6.0,9130.683,8550.0
2016-10-05,7.0,9748.673,9217.0
2016-10-05,8.0,10739.937,10384.0
2016-10-05,9.0,11400.042,10960.0
2016-10-05,10.0,11654.97,11430.0
2016-10-05,11.0,11804.868,11835.0
2016-10-05,12.0,11955.092,12289.0
2016-10-05,13.0,11990.648,12387.0
2016-10-05,14.0,11985.967,12510.0
2016-10-05,15.0,12025.268,12639.0
2016-10-05,16.0,11997.561,12970.0
2016-10-05,17.0,11936.718,13030.0
2016-10-05,18.0,12103.539,13006.0
2016-10-05,19.0,12265.489,12736.0
2016-10-05,20.0,12205.817,12650.0
2016-10-05,21.0,12194.78,12673.0
2016-10-05,22.0,12085.15,12234.0
2016-10-05,23.0,11637.978,11479.0
2016-10-06,0.0,10991.791,10562.0
2016-10-06,1.0,10186.171,9695.0
2016-10-06,2.0,9611.142,9067.0
2016-10-06,3.0,9275.32,8703.0
2016-10-06,4.0,9062.38,8498.0
2016-10-06,5.0,9012.815,8401.0
2016-10-06,6.0,9193.769,8601.0
2016-10-06,7.0,9777.997,9347.0
2016-10-06,8.0,10700.854,10526.0
2016-10-06,9.0,11313.261,11316.0
2016-10-06,10.0,11637.1045,11678.0
2016-10-06,11.0,11813.817,11920.0
2016-10-06,12.0,11949.425,12105.0
2016-10-06,13.0,11999.837,12139.0
2016-10-06,14.0,11998.038,12348.0
2016-10-06,15.0,12052.127,12444.0
2016-10-06,16.0,12009.734,12345.0
2016-10-06,17.0,11967.8955,12343.0
