day,hour,y_hat,y
2016-09-30,0.0,1679.4711,1671.0
2016-09-30,1.0,1584.775,1589.0
2016-09-30,2.0,1524.9838,1513.0
2016-09-30,3.0,1481.611,1476.0
2016-09-30,4.0,1470.1158,1449.0
2016-09-30,5.0,1489.4908,1482.0
2016-09-30,6.0,1574.5864,1574.0
2016-09-30,7.0,1737.0946,1786.0
2016-09-30,8.0,1839.8134,1924.0
2016-09-30,9.0,1872.5701,1932.0
2016-09-30,10.0,1902.0734,1977.0
2016-09-30,11.0,1921.9905,1999.0
2016-09-30,12.0,1921.6809,2002.0
2016-09-30,13.0,1914.3712,1999.0
2016-09-30,14.0,1906.141,2001.0
2016-09-30,15.0,1876.7372,1974.0
2016-09-30,16.0,1865.1401,1923.0
2016-09-30,17.0,1859.1259,1903.0
2016-09-30,18.0,1871.047,1866.0
2016-09-30,19.0,1872.3771,1842.0
2016-09-30,20.0,1872.075,1856.0
2016-09-30,21.0,1892.057,1857.0
2016-09-30,22.0,1861.8466,1792.0
2016-09-30,23.0,1751.6167,1684.0
2016-10-01,0.0,1573.219,1549.0
2016-10-01,1.0,1471.29,1443.0
2016-10-01,2.0,1397.7499,1369.0
2016-10-01,3.0,1356.7277,1326.0
2016-10-01,4.0,1345.03,1309.0
2016-10-01,5.0,1344.6482,1308.0
2016-10-01,6.0,1375.3606,1331.0
2016-10-01,7.0,1443.732,1394.0
2016-10-01,8.0,1499.2393,1475.0
2016-10-01,9.0,1576.7528,1540.0
2016-10-01,10.0,1628.9967,1608.0
2016-10-01,11.0,1656.3451,1646.0
2016-10-01,12.0,1651.1521,1656.0
2016-10-01,13.0,1635.182,1649.0
2016-10-01,14.0,1618.0002,1640.0
2016-10-01,15.0,1596.7014,1628.0
2016-10-01,16.0,1584.7292,1615.0
2016-10-01,17.0,1604.2079,1614.0
2016-10-01,18.0,1625.6078,1607.0
2016-10-01,19.0,1629.2083,1593.0
2016-10-01,20.0,1633.8721,1650.0
2016-10-01,21.0,1660.0792,1666.0
2016-10-01,22.0,1645.5415,1609.0
2016-10-01,23.0,1569.2518,1531.0
2016-10-02,0.0,1451.268,1436.0
2016-10-02,1.0,1363.6964,1359.0
2016-10-02,2.0,1310.005,1302.0
2016-10-02,3.0,1276.4257,1279.0
2016-10-02,4.0,1256.7136,1250.0
2016-10-02,5.0,1264.7512,1257.0
2016-10-02,6.0,1291.3859,1264.0
2016-10-02,7.0,1336.1962,1317.0
2016-10-02,8.0,1395.5266,1372.0
2016-10-02,9.0,1476.0681,1441.0
2016-10-02,10.0,1546.7545,1512.0
2016-10-02,11.0,1583.9607,1559.0
2016-10-02,12.0,1606.9443,1602.0
2016-10-02,13.0,1625.3934,1622.0
2016-10-02,14.0,1632.3677,1633.0
2016-10-02,15.0,1626.5336,1631.0
2016-10-02,16.0,1633.7332,1637.0
2016-10-02,17.0,1657.7213,1666.0
2016-10-02,18.0,1696.6458,1697.0
2016-10-02,19.0,1710.7059,1708.0
2016-10-02,20.0,1722.6094,1768.0
2016-10-02,21.0,1749.0314,1803.0
2016-10-02,22.0,1746.5311,1730.0
2016-10-02,23.0,1661.0725,1633.0
2016-10-03,0.0,1559.733,1543.0
2016-10-03,1.0,1488.6693,1467.0
2016-10-03,2.0,1451.9548,1428.0
2016-10-03,3.0,1429.1931,1402.0
2016-10-03,4.0,1433.6766,1401.0
2016-10-03,5.0,1476.8892,1424.0
2016-10-03,6.0,1594.813,1545.0
2016-10-03,7.0,1794.9858,1751.0
2016-10-03,8.0,1924.9509,1876.0
2016-10-03,9.0,1956.6388,1902.0
2016-10-03,10.0,1981.9124,1938.0
2016-10-03,11.0,2011.5808,2003.0
2016-10-03,12.0,2010.553,2047.0
2016-10-03,13.0,2015.3284,2066.0
2016-10-03,14.0,2017.3983,2100.0
2016-10-03,15.0,2012.9521,2115.0
2016-10-03,16.0,1983.0563,2093.0
2016-10-03,17.0,1976.927,2088.0
2016-10-03,18.0,1992.6915,2084.0
2016-10-03,19.0,1990.3712,2061.0
2016-10-03,20.0,2007.6008,2107.0
2016-10-03,21.0,2024.0233,2106.0
2016-10-03,22.0,1966.5549,1996.0
2016-10-03,23.0,1839.8691,1834.0
2016-10-04,0.0,1720.2272,1695.0
2016-10-04,1.0,1621.2811,1596.0
2016-10-04,2.0,1555.846,1532.0
2016-10-04,3.0,1507.107,1474.0
2016-10-04,4.0,1487.5645,1454.0
2016-10-04,5.0,1522.6887,1477.0
2016-10-04,6.0,1625.7899,1590.0
2016-10-04,7.0,1825.0582,1794.0
2016-10-04,8.0,1956.984,1909.0
2016-10-04,9.0,1987.3828,1924.0
2016-10-04,10.0,2024.7305,1973.0
2016-10-04,11.0,2069.2705,2030.0
2016-10-04,12.0,2085.6455,2072.0
2016-10-04,13.0,2109.8062,2130.0
2016-10-04,14.0,2121.214,2174.0
2016-10-04,15.0,2128.2288,2205.0
2016-10-04,16.0,2105.0835,2215.0
2016-10-04,17.0,2105.6597,2215.0
2016-10-04,18.0,2120.032,2215.0
2016-10-04,19.0,2114.0854,2175.0
2016-10-04,20.0,2109.6123,2200.0
2016-10-04,21.0,2103.9421,2187.0
2016-10-04,22.0,2050.1897,2079.0
2016-10-04,23.0,1915.7218,1933.0
2016-10-05,0.0,1784.0101,1793.0
2016-10-05,1.0,1691.4042,1676.0
2016-10-05,2.0,1626.7059,1593.0
2016-10-05,3.0,1586.6271,1525.0
2016-10-05,4.0,1585.4503,1506.0
2016-10-05,5.0,1617.2448,1534.0
2016-10-05,6.0,1715.9904,1641.0
2016-10-05,7.0,1912.734,1851.0
2016-10-05,8.0,2028.6392,1980.0
2016-10-05,9.0,2063.4165,1996.0
2016-10-05,10.0,2108.1738,2056.0
2016-10-05,11.0,2145.8586,2120.0
2016-10-05,12.0,2167.6309,2169.0
2016-10-05,13.0,2194.774,2244.0
2016-10-05,14.0,2212.236,2305.0
2016-10-05,15.0,2220.5708,2347.0
2016-10-05,16.0,2212.2961,2344.0
2016-10-05,17.0,2225.072,2371.0
2016-10-05,18.0,2277.043,2358.0
2016-10-05,19.0,2285.8818,2308.0
2016-10-05,20.0,2255.0596,2327.0
2016-10-05,21.0,2248.2454,2305.0
2016-10-05,22.0,2190.6267,2199.0
2016-10-05,23.0,2061.7852,2038.0
2016-10-06,0.0,1878.1716,1876.0
2016-10-06,1.0,1772.3749,1754.0
2016-10-06,2.0,1696.6526,1660.0
2016-10-06,3.0,1649.5227,1590.0
2016-10-06,4.0,1634.4711,1550.0
2016-10-06,5.0,1662.6443,1572.0
2016-10-06,6.0,1779.4263,1677.0
2016-10-06,7.0,1963.3015,1880.0
2016-10-06,8.0,2077.4922,2007.0
2016-10-06,9.0,2126.9524,2022.0
