day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2016-09-30,0.0,1660.4315,1671.0,1574.6425646183316,1745.6214926184953,0.5974
2016-09-30,1.0,1565.6145,1589.0,1482.8482711156032,1646.758337853301,0.71468
2016-09-30,2.0,1497.4258,1513.0,1415.5976401091173,1578.4461735538882,0.65018
2016-09-30,3.0,1456.3196,1476.0,1372.9401001127617,1538.4504236214748,0.6823
2016-09-30,4.0,1430.8599,1449.0,1344.9898527496796,1516.4655541918019,0.66502
2016-09-30,5.0,1461.6384,1482.0,1373.5729188161538,1549.0161694200574,0.67792
2016-09-30,6.0,1572.1149,1574.0,1478.033201846734,1665.9446725082646,0.51868
2016-09-30,7.0,1781.3737,1786.0,1671.0296225715413,1890.5370861338015,0.53338
2016-09-30,8.0,1896.0984,1924.0,1783.4255798701727,2008.2135509182053,0.68748
2016-09-30,9.0,1912.5825,1932.0,1813.9859913070245,2010.1305185173212,0.65152
2016-09-30,10.0,1951.3833,1977.0,1869.125923754766,2033.108990095145,0.72812
2016-09-30,11.0,1974.1285,1999.0,1895.9537656966097,2052.6151098821265,0.7294
2016-09-30,12.0,1979.3693,2002.0,1896.4742641191897,2061.9021018734406,0.70112
2016-09-30,13.0,1988.4751,1999.0,1899.0241074765609,2077.1591811147237,0.5883
2016-09-30,14.0,1997.0518,2001.0,1899.443360228627,2094.33249349609,0.52824
2016-09-30,15.0,1999.6931,1974.0,1895.5329257259682,2103.8939580996494,0.31282
2016-09-30,16.0,1964.2198,1923.0,1849.8987589782284,2078.8670772307773,0.2388
2016-09-30,17.0,1962.0896,1903.0,1835.4605294327532,2090.5112123812232,0.18098
2016-09-30,18.0,1939.3698,1866.0,1806.2204844883224,2073.6246669755355,0.13896
2016-09-30,19.0,1920.4169,1842.0,1786.9324484090973,2052.954852179935,0.12334
2016-09-30,20.0,1925.1376,1856.0,1798.7781818135122,2052.3162855164674,0.1423
2016-09-30,21.0,1927.7229,1857.0,1811.5311618935873,2044.687163562253,0.11738
2016-09-30,22.0,1868.9685,1792.0,1751.9574848547015,1986.3167731763542,0.1019
2016-09-30,23.0,1733.988,1684.0,1613.7132294343548,1854.3673182091502,0.21024
2016-10-01,0.0,1558.5992,1549.0,1474.836048695627,1641.9269773674232,0.4113
2016-10-01,1.0,1451.0049,1443.0,1373.7278813050964,1528.8470040574196,0.41866
2016-10-01,2.0,1367.9886,1369.0,1293.2700779069705,1442.8259444955916,0.50956
2016-10-01,3.0,1329.3442,1326.0,1254.780500377899,1403.8789443157268,0.46368
2016-10-01,4.0,1298.8855,1309.0,1222.7786806432641,1374.8622878550923,0.5998
2016-10-01,5.0,1301.3629,1308.0,1222.7005368965997,1380.2941036645332,0.56386
2016-10-01,6.0,1342.6183,1331.0,1257.2291443308452,1427.6958837103698,0.39416
2016-10-01,7.0,1399.0095,1394.0,1296.0643523604404,1501.3452681090266,0.45928
2016-10-01,8.0,1492.65,1475.0,1385.7134501553082,1599.4602151487977,0.3708
2016-10-01,9.0,1541.975,1540.0,1452.8165628828995,1631.6954874258622,0.4802
2016-10-01,10.0,1613.8154,1608.0,1539.2227621594927,1689.146948771522,0.43756
2016-10-01,11.0,1645.4541,1646.0,1571.6708759491314,1719.2554275598259,0.50258
2016-10-01,12.0,1648.3746,1656.0,1568.8532083411242,1729.0693209301692,0.57296
2016-10-01,13.0,1643.728,1649.0,1557.3739704953498,1729.4302398803507,0.54724
2016-10-01,14.0,1633.4626,1640.0,1541.0845414608998,1726.4334795432342,0.5505
