year,month,day,hour,y_hat,y
2015.0,1.0,1.0,0.0,1824.1636,2001.0
2015.0,1.0,1.0,1.0,1729.5917,1950.0
2015.0,1.0,1.0,2.0,1666.772,1912.0
2015.0,1.0,1.0,3.0,1629.215,1866.0
2015.0,1.0,1.0,4.0,1612.2545,1859.0
2015.0,1.0,1.0,5.0,1622.5543,1861.0
2015.0,1.0,1.0,6.0,1672.9885,1885.0
2015.0,1.0,1.0,7.0,1749.7838,1932.0
2015.0,1.0,1.0,8.0,1827.9668,1971.0
2015.0,1.0,1.0,9.0,1898.7263,1980.0
2015.0,1.0,1.0,10.0,1987.4799,2008.0
2015.0,1.0,1.0,11.0,2056.2979,2036.0
2015.0,1.0,1.0,12.0,2082.8545,2037.0
2015.0,1.0,1.0,13.0,2076.162,2009.0
2015.0,1.0,1.0,14.0,2044.7518,1948.0
2015.0,1.0,1.0,15.0,2010.0475,1903.0
2015.0,1.0,1.0,16.0,1982.5118,1890.0
2015.0,1.0,1.0,17.0,1986.7563,1926.0
2015.0,1.0,1.0,18.0,2076.553,2066.0
2015.0,1.0,1.0,19.0,2130.8604,2112.0
2015.0,1.0,1.0,20.0,2110.144,2087.0
2015.0,1.0,1.0,21.0,2097.4617,2040.0
2015.0,1.0,1.0,22.0,2041.8341,1971.0
2015.0,1.0,1.0,23.0,1948.7744,1905.0
2015.0,1.0,2.0,0.0,2047.6791,1844.0
2015.0,1.0,2.0,1.0,1981.2618,1786.0
2015.0,1.0,2.0,2.0,1948.9872,1730.0
2015.0,1.0,2.0,3.0,1937.2762,1705.0
2015.0,1.0,2.0,4.0,1949.6564,1701.0
2015.0,1.0,2.0,5.0,2003.3655,1730.0
2015.0,1.0,2.0,6.0,2130.9138,1804.0
2015.0,1.0,2.0,7.0,2333.951,1929.0
2015.0,1.0,2.0,8.0,2460.965,2035.0
2015.0,1.0,2.0,9.0,2471.993,2065.0
2015.0,1.0,2.0,10.0,2471.3352,2102.0
2015.0,1.0,2.0,11.0,2458.9705,2120.0
2015.0,1.0,2.0,12.0,2429.5415,2096.0
2015.0,1.0,2.0,13.0,2406.754,2045.0
2015.0,1.0,2.0,14.0,2381.3296,2011.0
2015.0,1.0,2.0,15.0,2346.8938,1961.0
2015.0,1.0,2.0,16.0,2308.7317,1914.0
