ds,y_hat,y
2015-01-01 00:00:00,1951.9429,2001.0
2015-01-01 01:00:00,1853.9504,1950.0
2015-01-01 02:00:00,1792.6002,1912.0
2015-01-01 03:00:00,1755.716,1866.0
2015-01-01 04:00:00,1744.9836,1859.0
2015-01-01 05:00:00,1771.9794,1861.0
2015-01-01 06:00:00,1857.2773,1885.0
2015-01-01 07:00:00,1995.2349,1932.0
2015-01-01 08:00:00,2094.8235,1971.0
2015-01-01 09:00:00,2125.4692,1980.0
2015-01-01 10:00:00,2154.7993,2008.0
2015-01-01 11:00:00,2173.0117,2036.0
2015-01-01 12:00:00,2160.7175,2037.0
2015-01-01 13:00:00,2137.5142,2009.0
2015-01-01 14:00:00,2109.3894,1948.0
2015-01-01 15:00:00,2080.8408,1903.0
2015-01-01 16:00:00,2061.4897,1890.0
2015-01-01 17:00:00,2092.1042,1926.0
2015-01-01 18:00:00,2218.9888,2066.0
2015-01-01 19:00:00,2304.0723,2112.0
2015-01-01 20:00:00,2239.9456,2087.0
2015-01-01 21:00:00,2190.558,2040.0
2015-01-01 22:00:00,2146.9043,1971.0
2015-01-01 23:00:00,2046.984,1905.0
2015-01-02 00:00:00,1911.729,1844.0
2015-01-02 01:00:00,1815.2396,1786.0
2015-01-02 02:00:00,1754.9243,1730.0
2015-01-02 03:00:00,1720.7733,1705.0
2015-01-02 04:00:00,1711.4551,1701.0
2015-01-02 05:00:00,1734.0554,1730.0
2015-01-02 06:00:00,1806.647,1804.0
2015-01-02 07:00:00,1918.4896,1929.0
2015-01-02 08:00:00,2014.8416,2035.0
2015-01-02 09:00:00,2062.048,2065.0
2015-01-02 10:00:00,2107.1711,2102.0
2015-01-02 11:00:00,2132.7554,2120.0
2015-01-02 12:00:00,2124.7522,2096.0
2015-01-02 13:00:00,2100.2761,2045.0
2015-01-02 14:00:00,2069.0042,2011.0
2015-01-02 15:00:00,2034.9158,1961.0
2015-01-02 16:00:00,2013.4297,1914.0
2015-01-02 17:00:00,2040.7135,1918.0
2015-01-02 18:00:00,2164.3645,2045.0
2015-01-02 19:00:00,2244.1685,2116.0
2015-01-02 20:00:00,2167.764,2095.0
2015-01-02 21:00:00,2111.6775,2054.0
2015-01-02 22:00:00,2069.626,2012.0
2015-01-02 23:00:00,1982.2659,1925.0
2015-01-03 00:00:00,1795.465,1829.0
2015-01-03 01:00:00,1686.9667,1752.0
2015-01-03 02:00:00,1617.9532,1702.0
2015-01-03 03:00:00,1576.1389,1663.0
2015-01-03 04:00:00,1558.6285,1658.0
2015-01-03 05:00:00,1564.52,1671.0
2015-01-03 06:00:00,1602.0269,1708.0
2015-01-03 07:00:00,1659.7119,1776.0
2015-01-03 08:00:00,1739.9431,1841.0
2015-01-03 09:00:00,1813.1995,1893.0
2015-01-03 10:00:00,1875.5928,1942.0
2015-01-03 11:00:00,1902.7665,1979.0
2015-01-03 12:00:00,1893.9631,1999.0
2015-01-03 13:00:00,1859.6033,1981.0
2015-01-03 14:00:00,1814.2268,1961.0
2015-01-03 15:00:00,1770.3245,1910.0
2015-01-03 16:00:00,1746.947,1896.0
2015-01-03 17:00:00,1768.4712,1891.0
2015-01-03 18:00:00,1901.273,1942.0
2015-01-03 19:00:00,1976.5048,1951.0
2015-01-03 20:00:00,1918.2142,1878.0
2015-01-03 21:00:00,1860.29,1825.0
2015-01-03 22:00:00,1819.5387,1752.0
2015-01-03 23:00:00,1745.714,1665.0
2015-01-04 00:00:00,1692.7664,1571.0
2015-01-04 01:00:00,1603.6696,1481.0
2015-01-04 02:00:00,1546.2703,1413.0
2015-01-04 03:00:00,1509.9834,1381.0
2015-01-04 04:00:00,1493.4236,1356.0
2015-01-04 05:00:00,1496.9541,1361.0
2015-01-04 06:00:00,1516.1794,1390.0
2015-01-04 07:00:00,1543.8451,1449.0
2015-01-04 08:00:00,1604.0989,1523.0
2015-01-04 09:00:00,1685.0426,1580.0
2015-01-04 10:00:00,1756.8701,1667.0
2015-01-04 11:00:00,1794.4786,1746.0
2015-01-04 12:00:00,1810.1017,1815.0
2015-01-04 13:00:00,1805.9115,1856.0
2015-01-04 14:00:00,1781.5303,1884.0
2015-01-04 15:00:00,1758.701,1904.0
2015-01-04 16:00:00,1757.5781,1939.0
2015-01-04 17:00:00,1797.4248,2009.0
2015-01-04 18:00:00,1929.3497,2135.0
2015-01-04 19:00:00,2023.3599,2205.0
2015-01-04 20:00:00,1990.0278,2196.0
2015-01-04 21:00:00,1953.4369,2192.0
2015-01-04 22:00:00,1915.2758,2144.0
2015-01-04 23:00:00,1843.1273,2075.0
2015-01-05 00:00:00,1794.6187,2029.0
2015-01-05 01:00:00,1731.2671,2002.0
2015-01-05 02:00:00,1698.7892,1994.0
2015-01-05 03:00:00,1688.4258,2011.0
2015-01-05 04:00:00,1697.453,2039.0
2015-01-05 05:00:00,1742.8894,2122.0
2015-01-05 06:00:00,1863.0409,2285.0
2015-01-05 07:00:00,2051.6711,2526.0
2015-01-05 08:00:00,2174.2144,2678.0
2015-01-05 09:00:00,2205.9346,2672.0
2015-01-05 10:00:00,2236.1016,2675.0
2015-01-05 11:00:00,2258.9668,2670.0
2015-01-05 12:00:00,2249.8462,2651.0
2015-01-05 13:00:00,2236.6714,2631.0
2015-01-05 14:00:00,2212.8306,2583.0
2015-01-05 15:00:00,2182.1816,2546.0
2015-01-05 16:00:00,2153.6157,2548.0
2015-01-05 17:00:00,2171.1877,2602.0
2015-01-05 18:00:00,2284.2737,2750.0
2015-01-05 19:00:00,2368.6216,2784.0
2015-01-05 20:00:00,2300.4165,2760.0
2015-01-05 21:00:00,2264.3638,2708.0
2015-01-05 22:00:00,2205.9426,2585.0
2015-01-05 23:00:00,2084.1572,2451.0
2015-01-06 00:00:00,1945.1472,2334.0
2015-01-06 01:00:00,1856.7094,2255.0
2015-01-06 02:00:00,1804.9982,2192.0
2015-01-06 03:00:00,1776.3585,2167.0
2015-01-06 04:00:00,1773.5212,2147.0
2015-01-06 05:00:00,1815.2389,2185.0
2015-01-06 06:00:00,1938.982,2282.0
2015-01-06 07:00:00,2136.8955,2427.0
2015-01-06 08:00:00,2273.0037,2535.0
2015-01-06 09:00:00,2290.6943,2535.0
2015-01-06 10:00:00,2307.5679,2551.0
2015-01-06 11:00:00,2321.2363,2545.0
2015-01-06 12:00:00,2302.9475,2516.0
2015-01-06 13:00:00,2281.036,2510.0
2015-01-06 14:00:00,2258.9038,2505.0
2015-01-06 15:00:00,2232.955,2475.0
2015-01-06 16:00:00,2206.2158,2467.0
2015-01-06 17:00:00,2224.1973,2508.0
2015-01-06 18:00:00,2320.0554,2664.0
2015-01-06 19:00:00,2405.5789,2760.0
2015-01-06 20:00:00,2357.7166,2735.0
2015-01-06 21:00:00,2297.6733,2712.0
2015-01-06 22:00:00,2232.4812,2642.0
2015-01-06 23:00:00,2116.6953,2525.0
2015-01-07 00:00:00,1984.2732,2407.0
2015-01-07 01:00:00,1892.7085,2332.0
2015-01-07 02:00:00,1839.884,2294.0
2015-01-07 03:00:00,1810.1431,2266.0
2015-01-07 04:00:00,1806.6749,2270.0
2015-01-07 05:00:00,1848.117,2317.0
2015-01-07 06:00:00,1973.235,2449.0
2015-01-07 07:00:00,2178.5632,2636.0
2015-01-07 08:00:00,2317.2239,2776.0
2015-01-07 09:00:00,2326.8628,2813.0
2015-01-07 10:00:00,2337.0635,2795.0
2015-01-07 11:00:00,2344.1216,2776.0
2015-01-07 12:00:00,2321.8062,2747.0
2015-01-07 13:00:00,2299.1948,2734.0
2015-01-07 14:00:00,2277.257,2718.0
2015-01-07 15:00:00,2248.6416,2715.0
2015-01-07 16:00:00,2222.9988,2709.0
2015-01-07 17:00:00,2244.5706,2744.0
2015-01-07 18:00:00,2345.6968,2886.0
2015-01-07 19:00:00,2432.5173,2989.0
2015-01-07 20:00:00,2382.9546,2978.0
2015-01-07 21:00:00,2314.25,2945.0
2015-01-07 22:00:00,2241.467,2866.0
2015-01-07 23:00:00,2126.1333,2760.0
2015-01-08 00:00:00,2018.3503,2655.0
2015-01-08 01:00:00,1927.7501,2601.0
2015-01-08 02:00:00,1874.7688,2568.0
2015-01-08 03:00:00,1843.6759,2566.0
2015-01-08 04:00:00,1839.149,2569.0
2015-01-08 05:00:00,1880.7518,2613.0
2015-01-08 06:00:00,2004.7512,2721.0
2015-01-08 07:00:00,2213.3313,2886.0
2015-01-08 08:00:00,2350.158,2993.0
2015-01-08 09:00:00,2348.781,2999.0
2015-01-08 10:00:00,2348.7034,2989.0
2015-01-08 11:00:00,2346.014,2992.0
2015-01-08 12:00:00,2317.235,2972.0
2015-01-08 13:00:00,2289.9868,2944.0
2015-01-08 14:00:00,2262.0757,2926.0
2015-01-08 15:00:00,2225.017,2895.0
2015-01-08 16:00:00,2189.9727,2856.0
2015-01-08 17:00:00,2207.2327,2859.0
2015-01-08 18:00:00,2308.7766,2940.0
2015-01-08 19:00:00,2395.2354,2995.0
2015-01-08 20:00:00,2352.7625,2943.0
2015-01-08 21:00:00,2293.492,2853.0
2015-01-08 22:00:00,2221.7913,2771.0
2015-01-08 23:00:00,2109.2944,2636.0
2015-01-09 00:00:00,2003.6272,2501.0
2015-01-09 01:00:00,1912.6031,2405.0
2015-01-09 02:00:00,1857.627,2347.0
2015-01-09 03:00:00,1826.3589,2305.0
2015-01-09 04:00:00,1821.622,2291.0
2015-01-09 05:00:00,1861.7504,2328.0
2015-01-09 06:00:00,1980.5989,2453.0
2015-01-09 07:00:00,2179.3801,2639.0
2015-01-09 08:00:00,2316.6978,2768.0
2015-01-09 09:00:00,2321.7458,2775.0
2015-01-09 10:00:00,2327.329,2761.0
2015-01-09 11:00:00,2326.9941,2772.0
2015-01-09 12:00:00,2295.0354,2733.0
2015-01-09 13:00:00,2260.94,2712.0
2015-01-09 14:00:00,2226.6184,2686.0
2015-01-09 15:00:00,2180.6443,2633.0
2015-01-09 16:00:00,2136.6616,2601.0
2015-01-09 17:00:00,2143.8862,2624.0
2015-01-09 18:00:00,2230.9941,2732.0
2015-01-09 19:00:00,2310.1365,2843.0
2015-01-09 20:00:00,2252.9836,2813.0
2015-01-09 21:00:00,2185.6929,2784.0
2015-01-09 22:00:00,2118.207,2736.0
2015-01-09 23:00:00,2019.412,2637.0
2015-01-10 00:00:00,1894.1721,2522.0
2015-01-10 01:00:00,1785.2778,2444.0
2015-01-10 02:00:00,1717.3069,2397.0
2015-01-10 03:00:00,1678.8643,2372.0
2015-01-10 04:00:00,1665.5566,2378.0
2015-01-10 05:00:00,1676.3462,2395.0
2015-01-10 06:00:00,1722.4182,2454.0
2015-01-10 07:00:00,1793.3248,2545.0
2015-01-10 08:00:00,1889.9519,2634.0
2015-01-10 09:00:00,1960.8888,2678.0
2015-01-10 10:00:00,2019.3545,2670.0
2015-01-10 11:00:00,2042.2987,2620.0
2015-01-10 12:00:00,2030.7236,2563.0
2015-01-10 13:00:00,1997.3442,2476.0
2015-01-10 14:00:00,1957.9141,2401.0
2015-01-10 15:00:00,1920.7903,2322.0
2015-01-10 16:00:00,1904.4939,2277.0
2015-01-10 17:00:00,1929.3744,2286.0
2015-01-10 18:00:00,2044.8893,2409.0
2015-01-10 19:00:00,2130.048,2522.0
2015-01-10 20:00:00,2084.1477,2495.0
2015-01-10 21:00:00,2023.3047,2461.0
2015-01-10 22:00:00,1967.2147,2393.0
2015-01-10 23:00:00,1896.428,2278.0
