day,hour,y_hat,y
2016-09-30,0.0,1686.7416,1671.0
2016-09-30,1.0,1588.4331,1589.0
2016-09-30,2.0,1521.4407,1513.0
2016-09-30,3.0,1480.2043,1476.0
2016-09-30,4.0,1465.0016,1449.0
2016-09-30,5.0,1486.6078,1482.0
2016-09-30,6.0,1567.4742,1574.0
2016-09-30,7.0,1715.02,1786.0
2016-09-30,8.0,1815.4255,1924.0
2016-09-30,9.0,1863.327,1932.0
2016-09-30,10.0,1897.5918,1977.0
2016-09-30,11.0,1928.6879,1999.0
2016-09-30,12.0,1934.1313,2002.0
2016-09-30,13.0,1939.0054,1999.0
2016-09-30,14.0,1935.7355,2001.0
2016-09-30,15.0,1929.2571,1974.0
2016-09-30,16.0,1914.0332,1923.0
2016-09-30,17.0,1914.6771,1903.0
2016-09-30,18.0,1939.2227,1866.0
2016-09-30,19.0,1941.9586,1842.0
2016-09-30,20.0,1936.7107,1856.0
2016-09-30,21.0,1941.1846,1857.0
2016-09-30,22.0,1909.075,1792.0
2016-09-30,23.0,1797.1934,1684.0
2016-10-01,0.0,1526.7267,1549.0
2016-10-01,1.0,1427.2186,1443.0
2016-10-01,2.0,1364.6919,1369.0
2016-10-01,3.0,1326.2112,1326.0
2016-10-01,4.0,1308.1105,1309.0
2016-10-01,5.0,1319.0538,1308.0
2016-10-01,6.0,1366.723,1331.0
2016-10-01,7.0,1465.9639,1394.0
2016-10-01,8.0,1538.4856,1475.0
2016-10-01,9.0,1587.7075,1540.0
2016-10-01,10.0,1622.2225,1608.0
2016-10-01,11.0,1632.5889,1646.0
2016-10-01,12.0,1625.381,1656.0
2016-10-01,13.0,1611.6538,1649.0
2016-10-01,14.0,1596.0637,1640.0
2016-10-01,15.0,1578.3706,1628.0
2016-10-01,16.0,1568.9049,1615.0
2016-10-01,17.0,1577.7001,1614.0
2016-10-01,18.0,1597.8812,1607.0
2016-10-01,19.0,1594.9521,1593.0
2016-10-01,20.0,1609.9652,1650.0
2016-10-01,21.0,1639.037,1666.0
2016-10-01,22.0,1621.8168,1609.0
2016-10-01,23.0,1539.5774,1531.0
2016-10-02,0.0,1413.7013,1436.0
2016-10-02,1.0,1333.0685,1359.0
2016-10-02,2.0,1282.6484,1302.0
2016-10-02,3.0,1253.8048,1279.0
2016-10-02,4.0,1246.036,1250.0
2016-10-02,5.0,1262.0411,1257.0
2016-10-02,6.0,1323.5555,1264.0
2016-10-02,7.0,1435.7192,1317.0
2016-10-02,8.0,1512.3258,1372.0
2016-10-02,9.0,1563.114,1441.0
2016-10-02,10.0,1602.4159,1512.0
2016-10-02,11.0,1622.4407,1559.0
2016-10-02,12.0,1623.9633,1602.0
2016-10-02,13.0,1617.7427,1622.0
2016-10-02,14.0,1604.7462,1633.0
2016-10-02,15.0,1592.8099,1631.0
2016-10-02,16.0,1577.8677,1637.0
2016-10-02,17.0,1588.7719,1666.0
2016-10-02,18.0,1610.9513,1697.0
2016-10-02,19.0,1616.3401,1708.0
2016-10-02,20.0,1637.7977,1768.0
2016-10-02,21.0,1672.2229,1803.0
2016-10-02,22.0,1657.2959,1730.0
2016-10-02,23.0,1573.3003,1633.0
2016-10-03,0.0,1568.5824,1543.0
2016-10-03,1.0,1494.4567,1467.0
2016-10-03,2.0,1447.1565,1428.0
2016-10-03,3.0,1422.7614,1402.0
2016-10-03,4.0,1419.8328,1401.0
2016-10-03,5.0,1457.739,1424.0
2016-10-03,6.0,1568.6726,1545.0
2016-10-03,7.0,1756.1216,1751.0
2016-10-03,8.0,1871.3494,1876.0
2016-10-03,9.0,1913.925,1902.0
2016-10-03,10.0,1955.991,1938.0
2016-10-03,11.0,1998.8665,2003.0
2016-10-03,12.0,2011.2423,2047.0
2016-10-03,13.0,2027.6067,2066.0
2016-10-03,14.0,2037.6731,2100.0
2016-10-03,15.0,2033.3649,2115.0
2016-10-03,16.0,2016.3373,2093.0
2016-10-03,17.0,2022.4891,2088.0
2016-10-03,18.0,2053.8518,2084.0
2016-10-03,19.0,2056.5051,2061.0
2016-10-03,20.0,2057.1128,2107.0
2016-10-03,21.0,2068.9414,2106.0
2016-10-03,22.0,2027.0615,1996.0
2016-10-03,23.0,1899.1556,1834.0
2016-10-04,0.0,1745.0807,1695.0
2016-10-04,1.0,1650.8997,1596.0
2016-10-04,2.0,1583.3599,1532.0
2016-10-04,3.0,1550.5321,1474.0
2016-10-04,4.0,1538.3912,1454.0
2016-10-04,5.0,1564.2504,1477.0
2016-10-04,6.0,1672.8274,1590.0
2016-10-04,7.0,1851.1813,1794.0
2016-10-04,8.0,1975.786,1909.0
2016-10-04,9.0,2017.3075,1924.0
2016-10-04,10.0,2050.522,1973.0
2016-10-04,11.0,2085.1323,2030.0
2016-10-04,12.0,2090.4927,2072.0
2016-10-04,13.0,2099.0347,2130.0
2016-10-04,14.0,2104.0022,2174.0
2016-10-04,15.0,2100.235,2205.0
2016-10-04,16.0,2080.2979,2215.0
2016-10-04,17.0,2083.387,2215.0
2016-10-04,18.0,2098.6016,2215.0
2016-10-04,19.0,2095.7852,2175.0
2016-10-04,20.0,2089.5115,2200.0
2016-10-04,21.0,2090.5918,2187.0
2016-10-04,22.0,2045.9902,2079.0
2016-10-04,23.0,1920.195,1933.0
2016-10-05,0.0,1840.5232,1793.0
2016-10-05,1.0,1740.5667,1676.0
2016-10-05,2.0,1668.873,1593.0
2016-10-05,3.0,1624.5288,1525.0
2016-10-05,4.0,1609.9154,1506.0
2016-10-05,5.0,1641.6613,1534.0
2016-10-05,6.0,1751.9019,1641.0
2016-10-05,7.0,1941.1831,1851.0
2016-10-05,8.0,2066.6167,1980.0
2016-10-05,9.0,2104.7444,1996.0
2016-10-05,10.0,2140.2307,2056.0
2016-10-05,11.0,2180.706,2120.0
2016-10-05,12.0,2186.9326,2169.0
2016-10-05,13.0,2205.2463,2244.0
2016-10-05,14.0,2210.3672,2305.0
2016-10-05,15.0,2213.4053,2347.0
2016-10-05,16.0,2187.3516,2344.0
2016-10-05,17.0,2193.1846,2371.0
2016-10-05,18.0,2213.3042,2358.0
2016-10-05,19.0,2211.817,2308.0
2016-10-05,20.0,2192.2605,2327.0
2016-10-05,21.0,2184.9932,2305.0
2016-10-05,22.0,2138.4438,2199.0
2016-10-05,23.0,1998.7441,2038.0
2016-10-06,0.0,1917.4164,1876.0
2016-10-06,1.0,1814.7946,1754.0
2016-10-06,2.0,1739.9917,1660.0
2016-10-06,3.0,1694.8182,1590.0
2016-10-06,4.0,1683.5438,1550.0
2016-10-06,5.0,1712.2136,1572.0
2016-10-06,6.0,1819.222,1677.0
2016-10-06,7.0,2010.5327,1880.0
2016-10-06,8.0,2133.8057,2007.0
2016-10-06,9.0,2171.7087,2022.0
2016-10-06,10.0,2217.688,2085.0
