day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2017-09-30,0.0,2463.0088,2450.0,2318.1896586676385,2608.6312572852476,0.42844
2017-09-30,1.0,2281.8315,2268.0,2145.5787517361755,2417.5436442334926,0.41772
2017-09-30,2.0,2165.7961,2146.0,2031.7525412443067,2297.7377919294618,0.38098
2017-09-30,3.0,2133.9302,2032.0,1998.4837008780896,2267.655497934026,0.06756
2017-09-30,4.0,2077.0264,1999.0,1940.7233957559085,2212.85533912349,0.12738
2017-09-30,5.0,2072.8474,2010.0,1932.0498242367603,2213.542616516836,0.18464
2017-09-30,6.0,2095.3992,2051.0,1942.3369130804754,2249.5042535982334,0.27988
2017-09-30,7.0,2168.6763,2137.0,1993.0165798431522,2346.0484529002215,0.358
2017-09-30,8.0,2217.5166,2210.0,2036.8979569576336,2400.3914398091383,0.46398
2017-09-30,9.0,2336.9343,2320.0,2181.0892545938814,2495.0219263809972,0.41218
2017-09-30,10.0,2460.9631,2457.0,2330.821980532711,2593.5024369885705,0.47318
2017-09-30,11.0,2532.1968,2537.0,2401.998216768167,2662.500371257549,0.52586
2017-09-30,12.0,2561.498,2583.0,2418.18425660501,2704.117592349069,0.61418
2017-09-30,13.0,2579.1768,2596.0,2424.349073667269,2733.564460629329,0.5841
2017-09-30,14.0,2572.6572,2612.0,2405.5648655162304,2737.4383935400124,0.68212
2017-09-30,15.0,2578.4688,2614.0,2397.0731817981327,2757.193858950791,0.652
2017-09-30,16.0,2567.6973,2626.0,2372.526625957701,2758.497251992026,0.72506
2017-09-30,17.0,2574.6033,2656.0,2364.7109773174357,2781.7673503662872,0.78078
2017-09-30,18.0,2608.7317,2656.0,2391.569490456332,2824.6814451159266,0.6689
2017-09-30,19.0,2595.7349,2615.0,2386.9402853872225,2803.794411732652,0.5773
2017-09-30,20.0,2592.563,2615.0,2391.237409264313,2790.877953303927,0.59276
2017-09-30,21.0,2617.3027,2591.0,2430.463789649062,2804.3702469254126,0.39496
2017-09-30,22.0,2593.804,2483.0,2405.2705732590753,2781.982216231221,0.12422
2017-09-30,23.0,2468.4138,2362.0,2276.985705131467,2660.204635527014,0.13924
2017-10-01,0.0,2311.149,2217.0,2178.1649715351987,2443.8645995502616,0.08092
2017-10-01,1.0,2159.761,2073.0,2039.4611760707405,2278.5051710660214,0.0768
2017-10-01,2.0,2059.0498,1967.0,1944.177980629006,2173.5674234777166,0.0564
2017-10-01,3.0,2003.206,1924.0,1889.0898302757143,2117.762507972294,0.0854
