year,month,day,hour,y_hat,y
2015.0,1.0,1.0,0.0,2860.9055,3262.0
2015.0,1.0,1.0,1.0,2711.8516,3150.0
2015.0,1.0,1.0,2.0,2601.9106,3113.0
2015.0,1.0,1.0,3.0,2539.6653,3036.0
2015.0,1.0,1.0,4.0,2510.2698,3023.0
2015.0,1.0,1.0,5.0,2508.2,3039.0
2015.0,1.0,1.0,6.0,2556.171,3084.0
2015.0,1.0,1.0,7.0,2635.9033,3149.0
2015.0,1.0,1.0,8.0,2732.786,3183.0
2015.0,1.0,1.0,9.0,2826.3518,3167.0
2015.0,1.0,1.0,10.0,2911.6873,3184.0
2015.0,1.0,1.0,11.0,2956.8735,3207.0
2015.0,1.0,1.0,12.0,2951.088,3160.0
2015.0,1.0,1.0,13.0,2930.3354,3139.0
2015.0,1.0,1.0,14.0,2884.0125,3055.0
2015.0,1.0,1.0,15.0,2846.4578,2992.0
2015.0,1.0,1.0,16.0,2819.431,2960.0
2015.0,1.0,1.0,17.0,2834.2756,3021.0
2015.0,1.0,1.0,18.0,2929.8965,3256.0
2015.0,1.0,1.0,19.0,2984.7922,3391.0
2015.0,1.0,1.0,20.0,2987.9976,3359.0
2015.0,1.0,1.0,21.0,2977.5298,3301.0
2015.0,1.0,1.0,22.0,2910.599,3213.0
2015.0,1.0,1.0,23.0,2806.588,3056.0
2015.0,1.0,2.0,0.0,2927.2456,2935.0
2015.0,1.0,2.0,1.0,2806.9944,2834.0
2015.0,1.0,2.0,2.0,2745.0398,2749.0
2015.0,1.0,2.0,3.0,2723.1687,2729.0
2015.0,1.0,2.0,4.0,2736.3115,2739.0
2015.0,1.0,2.0,5.0,2801.9084,2794.0
2015.0,1.0,2.0,6.0,2977.3484,2894.0
2015.0,1.0,2.0,7.0,3241.4287,3061.0
2015.0,1.0,2.0,8.0,3433.9114,3211.0
2015.0,1.0,2.0,9.0,3472.418,3267.0
2015.0,1.0,2.0,10.0,3509.117,3311.0
2015.0,1.0,2.0,11.0,3538.667,3350.0
2015.0,1.0,2.0,12.0,3526.7288,3342.0
2015.0,1.0,2.0,13.0,3500.2576,3286.0
2015.0,1.0,2.0,14.0,3473.3237,3225.0
2015.0,1.0,2.0,15.0,3448.439,3161.0
2015.0,1.0,2.0,16.0,3457.4275,3144.0
2015.0,1.0,2.0,17.0,3523.053,3151.0
2015.0,1.0,2.0,18.0,3704.3223,3322.0
2015.0,1.0,2.0,19.0,3827.8162,3397.0
2015.0,1.0,2.0,20.0,3794.0552,3351.0
2015.0,1.0,2.0,21.0,3757.005,3284.0
2015.0,1.0,2.0,22.0,3642.1711,3181.0
2015.0,1.0,2.0,23.0,3463.761,3060.0
2015.0,1.0,3.0,0.0,3529.6536,2896.0
2015.0,1.0,3.0,1.0,3439.4717,2745.0
2015.0,1.0,3.0,2.0,3396.203,2665.0
2015.0,1.0,3.0,3.0,3388.4038,2611.0
2015.0,1.0,3.0,4.0,3405.317,2617.0
2015.0,1.0,3.0,5.0,3436.1245,2616.0
2015.0,1.0,3.0,6.0,3503.5708,2664.0
2015.0,1.0,3.0,7.0,3535.4692,2762.0
2015.0,1.0,3.0,8.0,3692.1582,2865.0
2015.0,1.0,3.0,9.0,3827.9128,2936.0
2015.0,1.0,3.0,10.0,3914.6326,3004.0
2015.0,1.0,3.0,11.0,3947.125,3071.0
2015.0,1.0,3.0,12.0,3898.9521,3087.0
2015.0,1.0,3.0,13.0,3824.0442,3103.0
2015.0,1.0,3.0,14.0,3727.844,3058.0
2015.0,1.0,3.0,15.0,3641.07,3021.0
2015.0,1.0,3.0,16.0,3603.5806,2976.0
2015.0,1.0,3.0,17.0,3663.1484,2959.0
2015.0,1.0,3.0,18.0,3889.912,3061.0
2015.0,1.0,3.0,19.0,4090.759,3068.0
2015.0,1.0,3.0,20.0,4132.169,2988.0
2015.0,1.0,3.0,21.0,4085.1204,2921.0
2015.0,1.0,3.0,22.0,4030.931,2808.0
2015.0,1.0,3.0,23.0,3918.7917,2660.0
2015.0,1.0,4.0,0.0,3608.9958,2514.0
2015.0,1.0,4.0,1.0,3503.4338,2356.0
2015.0,1.0,4.0,2.0,3437.283,2237.0
2015.0,1.0,4.0,3.0,3407.86,2164.0
2015.0,1.0,4.0,4.0,3403.944,2148.0
2015.0,1.0,4.0,5.0,3426.9692,2168.0
2015.0,1.0,4.0,6.0,3464.1445,2205.0
2015.0,1.0,4.0,7.0,3501.0637,2275.0
2015.0,1.0,4.0,8.0,3572.8281,2394.0
2015.0,1.0,4.0,9.0,3606.477,2442.0
2015.0,1.0,4.0,10.0,3612.3003,2555.0
2015.0,1.0,4.0,11.0,3551.6377,2712.0
2015.0,1.0,4.0,12.0,3447.5044,2831.0
