ds,y_hat,y
2015-01-01 00:00:00,3253.2944,3262.0
2015-01-01 01:00:00,3104.6472,3150.0
2015-01-01 02:00:00,3028.2783,3113.0
2015-01-01 03:00:00,2990.0208,3036.0
2015-01-01 04:00:00,2957.8062,3023.0
2015-01-01 05:00:00,3028.0793,3039.0
2015-01-01 06:00:00,3154.5225,3084.0
2015-01-01 07:00:00,3372.1982,3149.0
2015-01-01 08:00:00,3502.3188,3183.0
2015-01-01 09:00:00,3524.0444,3167.0
2015-01-01 10:00:00,3504.9124,3184.0
2015-01-01 11:00:00,3472.368,3207.0
2015-01-01 12:00:00,3421.3389,3160.0
2015-01-01 13:00:00,3356.2297,3139.0
2015-01-01 14:00:00,3309.9246,3055.0
2015-01-01 15:00:00,3253.2078,2992.0
2015-01-01 16:00:00,3207.366,2960.0
2015-01-01 17:00:00,3222.8203,3021.0
2015-01-01 18:00:00,3393.576,3256.0
2015-01-01 19:00:00,3518.2253,3391.0
2015-01-01 20:00:00,3468.5627,3359.0
2015-01-01 21:00:00,3425.5083,3301.0
2015-01-01 22:00:00,3335.1484,3213.0
2015-01-01 23:00:00,3196.6272,3056.0
2015-01-02 00:00:00,3141.7932,2935.0
2015-01-02 01:00:00,2999.8474,2834.0
2015-01-02 02:00:00,2918.3767,2749.0
2015-01-02 03:00:00,2854.3274,2729.0
2015-01-02 04:00:00,2845.183,2739.0
2015-01-02 05:00:00,2907.9993,2794.0
2015-01-02 06:00:00,3067.871,2894.0
2015-01-02 07:00:00,3308.4587,3061.0
2015-01-02 08:00:00,3466.3723,3211.0
2015-01-02 09:00:00,3459.3623,3267.0
2015-01-02 10:00:00,3462.0222,3311.0
2015-01-02 11:00:00,3413.4788,3350.0
2015-01-02 12:00:00,3370.9602,3342.0
2015-01-02 13:00:00,3295.999,3286.0
2015-01-02 14:00:00,3267.6033,3225.0
2015-01-02 15:00:00,3207.116,3161.0
2015-01-02 16:00:00,3167.3352,3144.0
2015-01-02 17:00:00,3164.763,3151.0
2015-01-02 18:00:00,3291.604,3322.0
2015-01-02 19:00:00,3402.0469,3397.0
2015-01-02 20:00:00,3380.536,3351.0
2015-01-02 21:00:00,3307.1816,3284.0
2015-01-02 22:00:00,3227.0813,3181.0
2015-01-02 23:00:00,3089.147,3060.0
2015-01-03 00:00:00,3060.9966,2896.0
2015-01-03 01:00:00,2926.928,2745.0
2015-01-03 02:00:00,2836.999,2665.0
2015-01-03 03:00:00,2793.298,2611.0
2015-01-03 04:00:00,2770.2769,2617.0
2015-01-03 05:00:00,2790.6646,2616.0
2015-01-03 06:00:00,2866.112,2664.0
2015-01-03 07:00:00,2960.5693,2762.0
2015-01-03 08:00:00,3050.0964,2865.0
2015-01-03 09:00:00,3107.254,2936.0
2015-01-03 10:00:00,3128.088,3004.0
2015-01-03 11:00:00,3121.8787,3071.0
2015-01-03 12:00:00,3094.291,3087.0
2015-01-03 13:00:00,3053.83,3103.0
2015-01-03 14:00:00,2997.1743,3058.0
2015-01-03 15:00:00,2945.4033,3021.0
2015-01-03 16:00:00,2926.4937,2976.0
2015-01-03 17:00:00,2941.694,2959.0
2015-01-03 18:00:00,3084.1836,3061.0
2015-01-03 19:00:00,3220.688,3068.0
2015-01-03 20:00:00,3232.3574,2988.0
2015-01-03 21:00:00,3197.172,2921.0
2015-01-03 22:00:00,3112.4753,2808.0
2015-01-03 23:00:00,2984.0977,2660.0
2015-01-04 00:00:00,2931.3655,2514.0
2015-01-04 01:00:00,2812.7517,2356.0
2015-01-04 02:00:00,2722.4775,2237.0
2015-01-04 03:00:00,2696.5203,2164.0
2015-01-04 04:00:00,2682.0479,2148.0
2015-01-04 05:00:00,2692.0706,2168.0
2015-01-04 06:00:00,2727.2173,2205.0
2015-01-04 07:00:00,2756.7244,2275.0
2015-01-04 08:00:00,2829.6685,2394.0
2015-01-04 09:00:00,2927.893,2442.0
2015-01-04 10:00:00,2984.4634,2555.0
2015-01-04 11:00:00,3033.8853,2712.0
2015-01-04 12:00:00,3036.02,2831.0
2015-01-04 13:00:00,3035.8875,2922.0
2015-01-04 14:00:00,2997.2192,2945.0
2015-01-04 15:00:00,2958.564,2978.0
