day,hour,y_hat,y
2017-09-30,0.0,2358.2861,2450.0
2017-09-30,1.0,2217.2168,2268.0
2017-09-30,2.0,2114.272,2146.0
2017-09-30,3.0,2066.3218,2032.0
2017-09-30,4.0,2039.3303,1999.0
2017-09-30,5.0,2051.73,2010.0
2017-09-30,6.0,2121.8113,2051.0
2017-09-30,7.0,2248.7637,2137.0
2017-09-30,8.0,2339.8064,2210.0
2017-09-30,9.0,2408.294,2320.0
2017-09-30,10.0,2478.3376,2457.0
2017-09-30,11.0,2534.198,2537.0
2017-09-30,12.0,2557.0588,2583.0
2017-09-30,13.0,2558.0422,2596.0
2017-09-30,14.0,2560.2952,2612.0
2017-09-30,15.0,2549.5938,2614.0
2017-09-30,16.0,2561.5898,2626.0
2017-09-30,17.0,2578.5938,2656.0
2017-09-30,18.0,2631.1902,2656.0
2017-09-30,19.0,2660.4197,2615.0
2017-09-30,20.0,2671.73,2615.0
2017-09-30,21.0,2685.358,2591.0
2017-09-30,22.0,2628.386,2483.0
2017-09-30,23.0,2487.576,2362.0
2017-10-01,0.0,2140.444,2217.0
2017-10-01,1.0,2013.764,2073.0
2017-10-01,2.0,1935.8389,1967.0
2017-10-01,3.0,1894.0228,1924.0
2017-10-01,4.0,1875.8112,1906.0
2017-10-01,5.0,1907.2081,1906.0
2017-10-01,6.0,1985.0895,1925.0
2017-10-01,7.0,2130.0188,1980.0
2017-10-01,8.0,2235.7603,2040.0
2017-10-01,9.0,2294.467,2133.0
2017-10-01,10.0,2355.4597,2225.0
2017-10-01,11.0,2401.6777,2329.0
2017-10-01,12.0,2425.8645,2375.0
2017-10-01,13.0,2440.1306,2401.0
2017-10-01,14.0,2425.9749,2444.0
2017-10-01,15.0,2419.5254,2458.0
2017-10-01,16.0,2433.554,2514.0
2017-10-01,17.0,2454.9668,2591.0
2017-10-01,18.0,2495.524,2637.0
2017-10-01,19.0,2515.6938,2652.0
2017-10-01,20.0,2551.3389,2713.0
2017-10-01,21.0,2584.3848,2756.0
2017-10-01,22.0,2533.986,2611.0
2017-10-01,23.0,2390.2654,2434.0
2017-10-02,0.0,2294.78,2253.0
2017-10-02,1.0,2179.137,2119.0
2017-10-02,2.0,2111.2476,2048.0
2017-10-02,3.0,2089.7166,2005.0
2017-10-02,4.0,2094.761,1987.0
2017-10-02,5.0,2146.3154,1979.0
2017-10-02,6.0,2302.8994,2127.0
2017-10-02,7.0,2558.18,2421.0
2017-10-02,8.0,2704.3818,2585.0
2017-10-02,9.0,2750.689,2614.0
2017-10-02,10.0,2801.046,2734.0
2017-10-02,11.0,2861.864,2831.0
2017-10-02,12.0,2881.3425,2884.0
2017-10-02,13.0,2905.253,2962.0
2017-10-02,14.0,2911.865,3053.0
2017-10-02,15.0,2915.9917,3088.0
2017-10-02,16.0,2926.1453,3116.0
2017-10-02,17.0,2942.876,3169.0
2017-10-02,18.0,2999.8782,3179.0
2017-10-02,19.0,3040.3303,3141.0
2017-10-02,20.0,3058.6084,3114.0
2017-10-02,21.0,3080.164,3062.0
2017-10-02,22.0,3003.6243,2899.0
2017-10-02,23.0,2803.9006,2665.0
2017-10-03,0.0,2550.1458,2438.0
2017-10-03,1.0,2413.5999,2266.0
2017-10-03,2.0,2335.3052,2154.0
2017-10-03,3.0,2287.0476,2090.0
