day,hour,y_hat,y
2008-09-30,0.0,14209.302,14260.0
2008-09-30,1.0,13262.746,13410.0
2008-09-30,2.0,12695.508,12818.0
2008-09-30,3.0,12384.292,12543.0
2008-09-30,4.0,12227.558,12348.0
2008-09-30,5.0,12416.214,12480.0
2008-09-30,6.0,13115.776,13164.0
2008-09-30,7.0,14546.41,14734.0
2008-09-30,8.0,15417.637,15478.0
2008-09-30,9.0,15574.68,15541.0
2008-09-30,10.0,15781.036,15803.0
2008-09-30,11.0,16051.397,16067.0
2008-09-30,12.0,16160.636,16228.0
2008-09-30,13.0,16314.802,16332.0
2008-09-30,14.0,16482.363,16417.0
2008-09-30,15.0,16562.059,16409.0
2008-09-30,16.0,16522.523,16251.0
2008-09-30,17.0,16560.951,16219.0
2008-09-30,18.0,16513.21,16072.0
2008-09-30,19.0,16450.32,15971.0
2008-09-30,20.0,16488.408,16509.0
2008-09-30,21.0,16436.113,16573.0
2008-09-30,22.0,16020.608,15772.0
2008-09-30,23.0,15002.659,14800.0
2008-10-01,0.0,13512.404,13659.0
2008-10-01,1.0,12612.203,12782.0
2008-10-01,2.0,12117.822,12384.0
2008-10-01,3.0,11801.195,11883.0
2008-10-01,4.0,11723.284,11823.0
2008-10-01,5.0,11842.375,12033.0
2008-10-01,6.0,12527.69,12733.0
2008-10-01,7.0,14012.348,14358.0
2008-10-01,8.0,14874.6455,15137.0
2008-10-01,9.0,15007.123,15210.0
2008-10-01,10.0,15203.629,15360.0
2008-10-01,11.0,15370.417,15574.0
2008-10-01,12.0,15494.638,15521.0
2008-10-01,13.0,15554.224,15571.0
2008-10-01,14.0,15611.1,15622.0
2008-10-01,15.0,15610.201,15515.0
2008-10-01,16.0,15520.059,15256.0
2008-10-01,17.0,15621.487,15176.0
2008-10-01,18.0,15544.643,15135.0
2008-10-01,19.0,15583.5205,15254.0
2008-10-01,20.0,15863.717,16053.0
2008-10-01,21.0,16128.363,16331.0
2008-10-01,22.0,15700.176,15774.0
2008-10-01,23.0,14674.609,14803.0
2008-10-02,0.0,13342.091,13671.0
2008-10-02,1.0,12500.849,12933.0
2008-10-02,2.0,12032.217,12548.0
2008-10-02,3.0,11787.995,12281.0
2008-10-02,4.0,11698.553,12140.0
2008-10-02,5.0,11898.389,12347.0
2008-10-02,6.0,12714.663,13183.0
2008-10-02,7.0,14250.615,14934.0
2008-10-02,8.0,15048.381,15858.0
2008-10-02,9.0,15241.183,15799.0
2008-10-02,10.0,15440.724,15885.0
2008-10-02,11.0,15765.628,16000.0
2008-10-02,12.0,15859.336,15982.0
2008-10-02,13.0,16029.946,15845.0
2008-10-02,14.0,16187.005,15776.0
2008-10-02,15.0,16230.996,15600.0
2008-10-02,16.0,16192.928,15489.0
2008-10-02,17.0,16308.916,15388.0
2008-10-02,18.0,16234.569,15329.0
2008-10-02,19.0,16176.725,15355.0
2008-10-02,20.0,16260.281,16113.0
2008-10-02,21.0,16435.86,16481.0
2008-10-02,22.0,16006.282,15906.0
2008-10-02,23.0,14938.444,14969.0
2008-10-03,0.0,13811.031,14082.0
2008-10-03,1.0,12982.724,13284.0
2008-10-03,2.0,12435.604,12890.0
2008-10-03,3.0,12182.243,12670.0
2008-10-03,4.0,12053.698,12618.0
2008-10-03,5.0,12197.042,12834.0
2008-10-03,6.0,12962.999,13630.0
2008-10-03,7.0,14524.487,15231.0
2008-10-03,8.0,15319.427,16245.0
2008-10-03,9.0,15434.387,16081.0
2008-10-03,10.0,15641.936,15959.0
2008-10-03,11.0,15853.128,15912.0
2008-10-03,12.0,15875.586,15732.0
2008-10-03,13.0,15986.18,15624.0
2008-10-03,14.0,16033.009,15661.0
2008-10-03,15.0,16044.849,15421.0
2008-10-03,16.0,15877.913,15300.0
2008-10-03,17.0,15820.511,15146.0
2008-10-03,18.0,15620.833,15039.0
2008-10-03,19.0,15472.511,14821.0
2008-10-03,20.0,15543.51,15349.0
2008-10-03,21.0,15703.639,15296.0
2008-10-03,22.0,15267.522,14937.0
2008-10-03,23.0,14255.955,14122.0
2008-10-04,0.0,13304.192,13193.0
2008-10-04,1.0,12496.159,12369.0
2008-10-04,2.0,11957.619,12056.0
2008-10-04,3.0,11657.928,11755.0
2008-10-04,4.0,11503.815,11704.0
2008-10-04,5.0,11509.336,11710.0
2008-10-04,6.0,11760.648,12145.0
2008-10-04,7.0,12287.304,12681.0
2008-10-04,8.0,12833.94,13442.0
2008-10-04,9.0,13332.699,13957.0
2008-10-04,10.0,13822.371,14329.0
2008-10-04,11.0,14140.768,14288.0
2008-10-04,12.0,14227.268,14261.0
2008-10-04,13.0,14252.677,14084.0
2008-10-04,14.0,14222.235,13975.0
2008-10-04,15.0,14117.629,13802.0
2008-10-04,16.0,14109.723,13779.0
2008-10-04,17.0,14174.636,13787.0
2008-10-04,18.0,14286.598,13811.0
2008-10-04,19.0,14419.068,13782.0
2008-10-04,20.0,14781.569,14331.0
2008-10-04,21.0,14752.885,14562.0
2008-10-04,22.0,14226.421,14262.0
2008-10-04,23.0,13562.898,13446.0
2008-10-05,0.0,12627.759,12763.0
2008-10-05,1.0,11886.129,11936.0
2008-10-05,2.0,11371.711,11585.0
2008-10-05,3.0,11121.306,11320.0
2008-10-05,4.0,10999.706,11376.0
2008-10-05,5.0,10994.387,11372.0
2008-10-05,6.0,11180.695,11637.0
2008-10-05,7.0,11645.94,11977.0
2008-10-05,8.0,12127.108,12540.0
2008-10-05,9.0,12641.406,13114.0
2008-10-05,10.0,13127.684,13400.0
2008-10-05,11.0,13349.51,13476.0
2008-10-05,12.0,13595.544,13474.0
2008-10-05,13.0,13823.922,13583.0
2008-10-05,14.0,13893.907,13555.0
2008-10-05,15.0,14009.724,13626.0
2008-10-05,16.0,14060.73,13640.0
2008-10-05,17.0,14232.044,13912.0
