day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2008-09-30,0.0,14055.883,14260.0,13510.530326837094,14583.83597894588,0.78108
2008-09-30,1.0,13190.16,13410.0,12629.767378655777,13731.661362895804,0.79448
2008-09-30,2.0,12671.057,12818.0,12093.317453322314,13223.299980362128,0.70774
2008-09-30,3.0,12391.575,12543.0,11781.07536115058,12981.870837691242,0.70284
2008-09-30,4.0,12303.967,12348.0,11655.704518082044,12920.5034022576,0.57386
2008-09-30,5.0,12484.509,12480.0,11788.84428889978,13149.220654039647,0.51106
2008-09-30,6.0,13335.626,13164.0,12590.176471072324,14045.510075029128,0.34268
2008-09-30,7.0,14946.535,14734.0,14066.741504844633,15778.088223470406,0.33348
2008-09-30,8.0,15853.422,15478.0,14988.343996213622,16699.85532852032,0.20476
2008-09-30,9.0,15888.398,15541.0,15176.336427237413,16605.5500007693,0.17076
2008-09-30,10.0,15903.43,15803.0,15374.166614958447,16455.022663617296,0.33972
2008-09-30,11.0,16049.395,16067.0,15608.61320680463,16535.558491712018,0.49192
2008-09-30,12.0,16078.498,16228.0,15622.619667454246,16589.258237251062,0.68438
2008-09-30,13.0,16205.018,16332.0,15692.94480567678,16785.115386479094,0.62386
2008-09-30,14.0,16284.894,16417.0,15699.270903553059,16960.536977265838,0.6016
2008-09-30,15.0,16306.802,16409.0,15637.748265672464,17069.97518656058,0.5592
2008-09-30,16.0,16135.037,16251.0,15409.105985523674,16975.42011606571,0.55966
2008-09-30,17.0,16234.021,16219.0,15444.765123228251,17124.738287944976,0.4376
2008-09-30,18.0,16157.644,16072.0,15340.393889811265,17062.030936509753,0.38432
2008-09-30,19.0,16161.411,15971.0,15360.802965093037,17032.474656390823,0.3023
2008-09-30,20.0,16355.069,16509.0,15546.753479594689,17176.671209118682,0.6392
2008-09-30,21.0,16366.371,16573.0,15658.876173396171,17122.612766325667,0.68512
2008-09-30,22.0,16023.279,15772.0,15326.437640933556,16792.00662555789,0.22212
2008-09-30,23.0,14970.174,14800.0,14236.326469578416,15778.571030335943,0.29804
2008-10-01,0.0,13567.685,13659.0,13063.299502829585,14199.146129513416,0.53798
2008-10-01,1.0,12763.385,12782.0,12237.799490835043,13398.509615345847,0.45006
2008-10-01,2.0,12281.805,12384.0,11729.199335878493,12921.9033367458,0.57818
2008-10-01,3.0,12027.657,11883.0,11431.365694463384,12702.099509644648,0.28456
2008-10-01,4.0,11946.477,11823.0,11305.374444442097,12642.39323370015,0.32668
2008-10-01,5.0,12195.003,12033.0,11509.11578073407,12941.599048024778,0.30068
2008-10-01,6.0,12948.055,12733.0,12206.350144549328,13739.397757956483,0.2692
2008-10-01,7.0,14467.521,14358.0,13578.021526481003,15393.400771323688,0.38966
2008-10-01,8.0,15239.2295,15137.0,14350.043466442843,16174.017065022099,0.39358
2008-10-01,9.0,15353.3125,15210.0,14621.26461984973,16139.43421284552,0.32654
2008-10-01,10.0,15503.96,15360.0,14956.202605056038,16113.950083582255,0.27726
2008-10-01,11.0,15656.801,15574.0,15192.47525655535,16183.702329728747,0.3263
2008-10-01,12.0,15615.545,15521.0,15121.367803302239,16166.336310917111,0.32264
2008-10-01,13.0,15621.208,15571.0,15059.378672013745,16232.112556054033,0.40196
2008-10-01,14.0,15676.2,15622.0,15044.149249478498,16369.728301194727,0.40516
2008-10-01,15.0,15602.6875,15515.0,14877.041290594098,16382.346227700551,0.38128
2008-10-01,16.0,15522.679,15256.0,14716.643320121835,16359.415308044745,0.25072
2008-10-01,17.0,15497.929,15176.0,14628.289731549117,16391.535139863,0.22798
2008-10-01,18.0,15683.469,15135.0,14758.027331826208,16606.103230264627,0.12134
2008-10-01,19.0,15768.377,15254.0,14872.344877204512,16651.9259124684,0.13056
2008-10-01,20.0,15775.784,16053.0,14977.718706387215,16626.11920210413,0.72956
2008-10-01,21.0,15884.205,16331.0,15135.913542493678,16665.336759950238,0.86246
2008-10-01,22.0,15470.514,15774.0,14714.70661232363,16231.203576546988,0.77984
2008-10-01,23.0,14462.964,14803.0,13649.501615240591,15264.04933742397,0.79726
2008-10-02,0.0,13714.949,13671.0,13145.80285161771,14262.222795221493,0.45216
2008-10-02,1.0,12851.146,12933.0,12282.230426376142,13410.902564039598,0.61706
2008-10-02,2.0,12291.746,12548.0,11725.614681749466,12882.240784150097,0.7956
2008-10-02,3.0,11982.636,12281.0,11394.854711847882,12609.681599384632,0.81476
2008-10-02,4.0,11875.048,12140.0,11260.561184401813,12535.065457202878,0.7707
2008-10-02,5.0,12015.191,12347.0,11357.2698895249,12721.8467898462,0.81134
2008-10-02,6.0,12721.555,13183.0,11997.323029739684,13463.449770176907,0.8877
2008-10-02,7.0,14319.237,14934.0,13433.955614361797,15165.002508138057,0.92408
2008-10-02,8.0,15135.239,15858.0,14224.277002676161,15979.824926212332,0.95242
2008-10-02,9.0,15209.066,15799.0,14449.913195461635,15920.910445282309,0.94956
2008-10-02,10.0,15412.449,15885.0,14826.430509683682,15939.03270851499,0.96142
2008-10-02,11.0,15724.338,16000.0,15194.044932758035,16170.759252184418,0.89934
2008-10-02,12.0,15867.749,15982.0,15321.439116108504,16318.602146212823,0.7361
2008-10-02,13.0,16080.14,15845.0,15466.460338603736,16571.39028376574,0.27172
2008-10-02,14.0,16282.021,15776.0,15575.54282419451,16845.830292692186,0.09332
2008-10-02,15.0,16394.21,15600.0,15587.206547911957,17045.41832835347,0.02728
2008-10-02,16.0,16362.758,15489.0,15473.401123852402,17076.6824695379,0.02702
2008-10-02,17.0,16382.119,15388.0,15455.296349681656,17179.830796097744,0.01718
2008-10-02,18.0,16218.711,15329.0,15285.41545478872,17058.039404959844,0.03146
2008-10-02,19.0,16295.216,15355.0,15405.055366858198,17093.026216943166,0.01914
2008-10-02,20.0,16450.87,16113.0,15584.38925642712,17200.76021092552,0.24982
2008-10-02,21.0,16543.56,16481.0,15758.525758935464,17217.928216203956,0.49296
2008-10-02,22.0,16040.827,15906.0,15244.221135218379,16729.000840791952,0.4151
2008-10-02,23.0,14897.737,14969.0,14067.95949994228,15632.119642573669,0.61972
2008-10-03,0.0,13905.633,14082.0,13370.046659400654,14461.410862080278,0.72938
2008-10-03,1.0,12989.108,13284.0,12456.309967044954,13559.701027151661,0.84048
2008-10-03,2.0,12425.999,12890.0,11871.40584576171,13020.296799455218,0.93398
2008-10-03,3.0,12183.124,12670.0,11592.540046514812,12809.741933191597,0.93388
2008-10-03,4.0,11961.393,12618.0,11341.905282050853,12630.39483971158,0.97296
2008-10-03,5.0,12155.397,12834.0,11492.218088868758,12862.980146719328,0.96932
2008-10-03,6.0,12821.637,13630.0,12124.252707678952,13585.972634611308,0.98132
2008-10-03,7.0,14205.022,15231.0,13403.334588770365,15107.444842051853,0.98792
2008-10-03,8.0,15080.974,16245.0,14275.133897936235,15981.291384501325,0.99508
2008-10-03,9.0,15371.259,16081.0,14702.289664190484,16102.231543385775,0.97116
2008-10-03,10.0,15547.645,15959.0,15040.855528921014,16098.130893900285,0.92638
2008-10-03,11.0,15777.165,15912.0,15326.514404694199,16254.935393260454,0.6936
2008-10-03,12.0,15803.884,15732.0,15320.642837152447,16298.335583249074,0.37072
2008-10-03,13.0,15838.166,15624.0,15297.65720056364,16393.941647880598,0.2078
2008-10-03,14.0,15993.052,15661.0,15360.599242634695,16630.430299080337,0.14644
2008-10-03,15.0,15951.26,15421.0,15226.946257926666,16666.351442306703,0.07584
2008-10-03,16.0,15812.975,15300.0,15012.244872600335,16593.37608300557,0.10492
2008-10-03,17.0,15787.583,15146.0,14925.49212811272,16617.562461859052,0.07226
2008-10-03,18.0,15732.048,15039.0,14832.94465232973,16588.735858319484,0.06522
2008-10-03,19.0,15529.631,14821.0,14697.605196650566,16367.28963903509,0.04708
2008-10-03,20.0,15636.517,15349.0,14817.095280636187,16462.247064196334,0.24216
2008-10-03,21.0,15675.113,15296.0,14921.020800750077,16432.251002916844,0.15888
2008-10-03,22.0,15248.351,14937.0,14481.618206787241,16001.721621640414,0.2167
2008-10-03,23.0,14299.169,14122.0,13497.892538853355,15089.421508448722,0.33782
2008-10-04,0.0,13301.342,13193.0,12743.999859927311,13805.87559136645,0.37892
2008-10-04,1.0,12528.3545,12369.0,11965.442263690169,13051.614962024474,0.30572
2008-10-04,2.0,12000.211,12056.0,11429.862298143007,12542.945995482836,0.5966
2008-10-04,3.0,11705.197,11755.0,11118.304678639586,12283.005583070139,0.57252
2008-10-04,4.0,11608.094,11704.0,10990.373971659754,12209.749223068913,0.62338
2008-10-04,5.0,11589.477,11710.0,10933.435372288963,12245.49883226614,0.63452
2008-10-04,6.0,11929.777,12145.0,11258.401178696698,12641.877645352706,0.70474
2008-10-04,7.0,12426.609,12681.0,11662.497190326942,13266.400824278886,0.7031
2008-10-04,8.0,12980.838,13442.0,12213.020152302759,13824.515431542066,0.85002
2008-10-04,9.0,13531.226,13957.0,12875.866467157402,14224.033952356682,0.88018
2008-10-04,10.0,13959.224,14329.0,13445.545572873229,14474.436053462608,0.91944
2008-10-04,11.0,14207.8545,14288.0,13765.002675258289,14655.950339244955,0.63182
2008-10-04,12.0,14244.797,14261.0,13765.334697115128,14702.834371341536,0.54406
2008-10-04,13.0,14191.387,14084.0,13645.121646327645,14703.737005691835,0.36778
2008-10-04,14.0,14192.647,13975.0,13546.654758046257,14781.13660046682,0.27314
2008-10-04,15.0,14103.258,13802.0,13355.228145539757,14779.777810546148,0.23344
2008-10-04,16.0,14062.198,13779.0,13238.610686873697,14786.284189654563,0.2785
2008-10-04,17.0,14131.044,13787.0,13247.514554649131,14902.14759212112,0.24588
2008-10-04,18.0,14172.08,13811.0,13248.398501056927,14969.947516638527,0.243
2008-10-04,19.0,14182.604,13782.0,13315.277843062691,14963.945532826594,0.19268
2008-10-04,20.0,14336.342,14331.0,13507.993379118758,15099.426764413472,0.52816
2008-10-04,21.0,14380.084,14562.0,13605.707973941557,15095.727865522887,0.71006
2008-10-04,22.0,14075.935,14262.0,13317.593425164812,14791.756082564425,0.7086
2008-10-04,23.0,13369.356,13446.0,12576.067423281685,14124.630278237566,0.5963
2008-10-05,0.0,12579.362,12763.0,12053.88880177532,13141.96162306881,0.7249
2008-10-05,1.0,11765.182,11936.0,11227.28474198577,12345.506956408144,0.70084
2008-10-05,2.0,11225.318,11585.0,10665.762351060714,11817.061533055725,0.87854
2008-10-05,3.0,11037.361,11320.0,10445.413864728529,11663.86865054345,0.80226
2008-10-05,4.0,10838.045,11376.0,10218.340093046618,11499.790158501986,0.94436
2008-10-05,5.0,10822.748,11372.0,10158.069282006447,11533.185962214922,0.93522
2008-10-05,6.0,10995.802,11637.0,10286.699621204038,11757.716681320862,0.94824
2008-10-05,7.0,11232.145,11977.0,10423.417396136261,12136.437006127971,0.94564
2008-10-05,8.0,11705.546,12540.0,10911.142157553973,12600.636740503018,0.9656
2008-10-05,9.0,12354.321,13114.0,11681.04292543407,13074.051898187512,0.98096
2008-10-05,10.0,12997.522,13400.0,12486.845575802303,13538.50502310211,0.92692
2008-10-05,11.0,13269.271,13476.0,12825.229555315798,13737.090986826526,0.8014
2008-10-05,12.0,13591.72,13474.0,13099.67090532854,14078.877212486324,0.32548
2008-10-05,13.0,13927.972,13583.0,13347.297974512558,14476.924298359801,0.12582
2008-10-05,14.0,14116.243,13555.0,13435.621402030267,14746.073961595452,0.05482
2008-10-05,15.0,14199.164,13626.0,13431.971587614402,14922.679504888421,0.07444
2008-10-05,16.0,14243.413,13640.0,13387.63895046718,15022.294233174687,0.08894
2008-10-05,17.0,14387.627,13912.0,13478.116530327123,15229.960519330216,0.16352
2008-10-05,18.0,14575.065,14012.0,13639.63378808808,15453.329694020342,0.1245
2008-10-05,19.0,14711.17,14051.0,13811.92823295687,15534.210733505864,0.07702
2008-10-05,20.0,15124.381,14809.0,14300.061731901644,15900.253782837839,0.23522
2008-10-05,21.0,15303.203,14933.0,14574.56098923456,16031.170729427864,0.15866
2008-10-05,22.0,14974.664,14370.0,14204.865257343063,15694.996620417243,0.06444
2008-10-05,23.0,14163.248,13594.0,13347.352300009365,14915.837769779011,0.09058
2008-10-06,0.0,13019.668,12803.0,12436.78385739095,13557.92355560646,0.25256
2008-10-06,1.0,12270.218,12222.0,11688.779362346393,12846.892616392266,0.44438
2008-10-06,2.0,11900.92,11955.0,11279.02909965075,12507.610780344807,0.57898
2008-10-06,3.0,11713.205,11807.0,11061.500924721224,12370.181663887768,0.6071
2008-10-06,4.0,11694.33,11834.0,11008.885299865124,12379.25116227104,0.65506
2008-10-06,5.0,11961.164,12124.0,11242.432145173829,12692.416099151904,0.66332
