day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2016-09-30,0.0,1644.0502,1671.0,1551.7836075650278,1736.194239927994,0.71434
2016-09-30,1.0,1543.9786,1589.0,1457.1308197008202,1631.3752972145383,0.84076
2016-09-30,2.0,1471.8644,1513.0,1386.9468170939683,1558.353862400917,0.82284
2016-09-30,3.0,1429.5719,1476.0,1343.41757903912,1516.566802419825,0.85128
2016-09-30,4.0,1409.6101,1449.0,1321.718172640776,1498.6049649156023,0.80536
2016-09-30,5.0,1437.8584,1482.0,1346.2471604164668,1530.2638618402855,0.82298
2016-09-30,6.0,1535.9459,1574.0,1439.7690557000524,1633.2823981527504,0.7773
2016-09-30,7.0,1737.8429,1786.0,1624.1143320602448,1852.2287816623123,0.79436
2016-09-30,8.0,1845.8727,1924.0,1728.7593686979014,1962.6134050457504,0.9039
2016-09-30,9.0,1876.7523,1932.0,1776.953510497581,1976.8320266604155,0.85934
2016-09-30,10.0,1916.0818,1977.0,1831.4659542846198,2000.9870694363578,0.921
2016-09-30,11.0,1957.5514,1999.0,1876.3074043675672,2038.6285924039553,0.84312
2016-09-30,12.0,1974.1702,2002.0,1887.757986350057,2060.0731268831432,0.73892
2016-09-30,13.0,1995.9023,1999.0,1904.398290220984,2087.2537179906317,0.53038
2016-09-30,14.0,2002.7849,2001.0,1903.6312587946657,2100.9776173375603,0.48952
2016-09-30,15.0,1998.2963,1974.0,1891.2038850339097,2104.8086218674816,0.32866
2016-09-30,16.0,1974.6206,1923.0,1857.9802571918485,2091.3200026934746,0.196
2016-09-30,17.0,1961.602,1903.0,1828.242924538962,2092.95151800033,0.19674
2016-09-30,18.0,1934.1619,1866.0,1791.1392162919462,2074.0020690139386,0.17482
2016-09-30,19.0,1893.6898,1842.0,1751.430003076928,2033.850226825873,0.23706
2016-09-30,20.0,1908.5286,1856.0,1774.8531594644037,2041.566728993243,0.21882
2016-09-30,21.0,1933.242,1857.0,1808.7217002317639,2057.1820966887767,0.11242
2016-09-30,22.0,1871.9021,1792.0,1748.5913629035354,1995.7142400797143,0.09958
2016-09-30,23.0,1737.502,1684.0,1611.4232749955909,1864.4364512940556,0.2027
2016-10-01,0.0,1563.8353,1549.0,1467.108227998182,1660.7422049705483,0.37904
2016-10-01,1.0,1451.2673,1443.0,1359.9203326225293,1543.097136273772,0.42708
2016-10-01,2.0,1381.9768,1369.0,1291.7007616908795,1471.9390322107718,0.38618
2016-10-01,3.0,1333.7766,1326.0,1243.1281225760195,1423.9910656599557,0.43052
2016-10-01,4.0,1312.2866,1309.0,1219.1630812607477,1404.3229670045635,0.4704
2016-10-01,5.0,1300.3417,1308.0,1205.2297679212274,1395.0482532808935,0.56114
2016-10-01,6.0,1360.525,1331.0,1259.0778692134058,1461.4928640442508,0.27856
2016-10-01,7.0,1450.4012,1394.0,1332.2194009503276,1569.7822440366883,0.17246
2016-10-01,8.0,1521.7147,1475.0,1402.0758937009557,1642.6183862591577,0.2209
2016-10-01,9.0,1565.6366,1540.0,1463.1782345900033,1668.4570398718583,0.30844
2016-10-01,10.0,1616.8704,1608.0,1531.3147027315053,1703.0208697375874,0.41474
2016-10-01,11.0,1644.5583,1646.0,1563.1417739778988,1727.2469123011922,0.50918
2016-10-01,12.0,1652.6556,1656.0,1566.7788482349854,1738.7915669288195,0.52914
2016-10-01,13.0,1639.7721,1649.0,1547.3055001624282,1731.6799998892955,0.57654
2016-10-01,14.0,1630.2501,1640.0,1530.5662677804667,1729.728362767421,0.57588
2016-10-01,15.0,1589.1758,1628.0,1480.051161112209,1696.621605746744,0.76014
2016-10-01,16.0,1571.5846,1615.0,1449.5491600084679,1691.7156964767169,0.76446
2016-10-01,17.0,1584.41,1614.0,1447.5249467179035,1721.3348143166054,0.67092
2016-10-01,18.0,1566.7678,1607.0,1422.9295008989727,1709.6554434128495,0.71548
2016-10-01,19.0,1574.6279,1593.0,1433.166011646079,1716.849129539098,0.6043
2016-10-01,20.0,1579.2278,1650.0,1441.9107816081548,1716.6505821970152,0.84432
2016-10-01,21.0,1584.0479,1666.0,1452.6522594397006,1714.457917803005,0.89148
2016-10-01,22.0,1569.5863,1609.0,1439.3570817350308,1697.6746254854602,0.72616
2016-10-01,23.0,1478.9763,1531.0,1347.3534417782646,1611.3138220745125,0.78208
2016-10-02,0.0,1462.956,1436.0,1368.7652017723217,1556.0648725512563,0.28274
2016-10-02,1.0,1375.7695,1359.0,1288.1969222037744,1463.0080826874544,0.34988
2016-10-02,2.0,1320.0361,1302.0,1233.4067685532461,1406.064182381868,0.3372
