day,hour,y_hat,y,y_hat_lower,y_hat_upper,p_values
2016-09-30,0.0,9967.007,9902.0,9422.616597073755,10515.286322042479,0.4084
2016-09-30,1.0,9213.351,9163.0,8721.280053384475,9710.258131944962,0.42224
2016-09-30,2.0,8651.483,8694.0,8205.535584764348,9103.007758869811,0.57274
2016-09-30,3.0,8322.784,8429.0,7904.603838728168,8748.366648288773,0.68892
2016-09-30,4.0,8111.1294,8234.0,7706.025459064868,8521.067116694569,0.72434
2016-09-30,5.0,8028.0938,8212.0,7624.56520251902,8435.414404210373,0.81362
2016-09-30,6.0,8224.778,8339.0,7815.4041063807845,8633.515978935915,0.70952
2016-09-30,7.0,8868.756,8949.0,8413.627194821833,9318.65841623875,0.63712
2016-09-30,8.0,9821.238,10036.0,9302.534476327914,10330.0063848698,0.79596
2016-09-30,9.0,10444.5625,10766.0,9907.196546834137,10981.891861218759,0.88094
2016-09-30,10.0,10777.802,11079.0,10261.268869285712,11296.208642689333,0.87186
2016-09-30,11.0,11001.499,11331.0,10485.713981711187,11521.501067480782,0.89266
2016-09-30,12.0,11235.411,11503.0,10712.063369753343,11760.265687154351,0.8413
2016-09-30,13.0,11289.732,11449.0,10742.432424980241,11833.790910476591,0.71712
2016-09-30,14.0,11382.948,11399.0,10814.871180078342,11943.69067227142,0.52022
2016-09-30,15.0,11457.514,11394.0,10875.378730645993,12037.347015739655,0.41582
2016-09-30,16.0,11406.632,11267.0,10780.48989889419,12022.480581934586,0.32946
2016-09-30,17.0,11330.06,11138.0,10637.109213479223,12015.32744612458,0.29076
2016-09-30,18.0,11233.999,11042.0,10493.771555100036,11958.211552942568,0.30284
2016-09-30,19.0,11076.356,10998.0,10319.236024915992,11827.223372615423,0.41842
2016-09-30,20.0,11032.564,11152.0,10282.359958929797,11789.60650002195,0.62022
2016-09-30,21.0,11183.147,11121.0,10450.601982598611,11914.45976823796,0.43552
2016-09-30,22.0,11079.4795,10832.0,10345.802093542206,11813.830791710012,0.25532
2016-09-30,23.0,10632.475,10458.0,9897.827139122362,11374.233916840629,0.32506
2016-10-01,0.0,10022.417,9808.0,9500.203296259366,10541.161382671537,0.20982
2016-10-01,1.0,9367.593,9142.0,8897.254423047647,9835.067960770766,0.17492
2016-10-01,2.0,8798.37,8616.0,8364.091036760226,9230.399312355697,0.2062
2016-10-01,3.0,8435.128,8302.0,8027.3835573839315,8848.42665877639,0.26246
2016-10-01,4.0,8216.786,8102.0,7824.71473909777,8615.04429887914,0.28264
2016-10-01,5.0,8063.949,7964.0,7674.889533765189,8463.756988943964,0.30862
2016-10-01,6.0,8084.0483,7979.0,7686.053851779744,8492.102142674039,0.3041
2016-10-01,7.0,8248.236,8222.0,7815.737901943028,8692.3198327998,0.45258
2016-10-01,8.0,8529.289,8603.0,8031.418936909897,9033.165227308824,0.61148
2016-10-01,9.0,8829.82,8909.0,8320.361419536805,9335.264121869586,0.61724
2016-10-01,10.0,9251.687,9375.0,8759.815607021043,9736.420079773034,0.6938
2016-10-01,11.0,9590.284,9784.0,9105.218855894735,10066.427706054532,0.79126
2016-10-01,12.0,9815.002,9969.0,9317.013154507458,10309.146786218897,0.73312
2016-10-01,13.0,9883.907,10061.0,9353.603806446634,10403.572085534313,0.74976
2016-10-01,14.0,9882.3125,9950.0,9332.58342495426,10430.275363590958,0.6032
2016-10-01,15.0,9858.969,9795.0,9282.274409045614,10429.85081165997,0.41632
2016-10-01,16.0,9810.7705,9698.0,9187.409762339725,10428.17764976394,0.36364
2016-10-01,17.0,9713.93,9595.0,9039.782655420084,10379.83155943094,0.36636
2016-10-01,18.0,9797.035,9573.0,9084.930370271975,10504.793756938581,0.2697
2016-10-01,19.0,9783.437,9610.0,9049.349639974098,10510.504549228155,0.3225
